train_loss,step,epoch,val_loss,val_acc,train_acc,test_acc
2.5933165550231934,49,0,,,,
2.9931225776672363,99,0,,,,
2.6301982402801514,149,0,,,,
2.840394973754883,199,0,,,,
2.394317150115967,249,0,,,,
2.2435340881347656,299,0,,,,
,311,0,2.324824810028076,0.1378999948501587,,
,311,0,,,0.13729466497898102,0.13490000367164612
2.3893303871154785,349,1,,,,
2.410749912261963,399,1,,,,
2.5385546684265137,449,1,,,,
2.457123041152954,499,1,,,,
2.651155710220337,549,1,,,,
2.3307292461395264,599,1,,,,
,623,1,5.1997904777526855,0.16449999809265137,,
,623,1,,,0.13601763546466827,0.17790000140666962
2.2658803462982178,649,2,,,,
2.347032308578491,699,2,,,,
2.1688783168792725,749,2,,,,
2.0733768939971924,799,2,,,,
2.113051652908325,849,2,,,,
2.0674824714660645,899,2,,,,
,935,2,2.1002864837646484,0.23090000450611115,,
,935,2,,,0.1875,0.26899999380111694
2.037242889404297,949,3,,,,
2.0628786087036133,999,3,,,,
2.0068795680999756,1049,3,,,,
2.1585280895233154,1099,3,,,,
2.03843092918396,1149,3,,,,
2.022768974304199,1199,3,,,,
,1247,3,2.0384361743927,0.2612000107765198,,
,1247,3,,,0.23455028235912323,0.3257000148296356
2.204171657562256,1249,4,,,,
1.9483239650726318,1299,4,,,,
2.01938796043396,1349,4,,,,
1.9707112312316895,1399,4,,,,
1.9693410396575928,1449,4,,,,
2.003308057785034,1499,4,,,,
2.0592217445373535,1549,4,,,,
,1559,4,1.9783117771148682,0.274399995803833,,
,1559,4,,,0.26364684104919434,0.3352000117301941
1.973000168800354,1599,5,,,,
2.0082545280456543,1649,5,,,,
1.9601244926452637,1699,5,,,,
1.9675697088241577,1749,5,,,,
2.0081253051757812,1799,5,,,,
1.8154957294464111,1849,5,,,,
,1871,5,2.0200610160827637,0.27090001106262207,,
,1871,5,,,0.2841045558452606,0.3294000029563904
2.022341012954712,1899,6,,,,
1.884585976600647,1949,6,,,,
1.9712097644805908,1999,6,,,,
1.9517912864685059,2049,6,,,,
1.8700950145721436,2099,6,,,,
1.9943690299987793,2149,6,,,,
,2183,6,1.9234271049499512,0.3037000000476837,,
,2183,6,,,0.30536359548568726,0.3905999958515167
1.8637995719909668,2199,7,,,,
1.829005241394043,2249,7,,,,
1.9105371236801147,2299,7,,,,
1.926234483718872,2349,7,,,,
1.9410209655761719,2399,7,,,,
1.9962717294692993,2449,7,,,,
,2495,7,1.8602943420410156,0.3472000062465668,,
,2495,7,,,0.3265474736690521,0.4415999948978424
2.0043234825134277,2499,8,,,,
1.9536552429199219,2549,8,,,,
1.7501522302627563,2599,8,,,,
1.929373025894165,2649,8,,,,
1.818767786026001,2699,8,,,,
1.8007030487060547,2749,8,,,,
1.7817505598068237,2799,8,,,,
,2807,8,1.8421562910079956,0.3635999858379364,,
,2807,8,,,0.3475310504436493,0.4699000120162964
1.8874340057373047,2849,9,,,,
1.8194317817687988,2899,9,,,,
1.7648807764053345,2949,9,,,,
1.7849010229110718,2999,9,,,,
1.9066355228424072,3049,9,,,,
1.7602392435073853,3099,9,,,,
,3119,9,1.8655167818069458,0.35510000586509705,,
,3119,9,,,0.3669871687889099,0.4542999863624573
1.7834055423736572,3149,10,,,,
1.7405134439468384,3199,10,,,,
1.5111395120620728,3249,10,,,,
1.7365072965621948,3299,10,,,,
1.8089957237243652,3349,10,,,,
1.6701149940490723,3399,10,,,,
,3431,10,1.8013478517532349,0.36980000138282776,,
,3431,10,,,0.3833884298801422,0.4771000146865845
1.38394296169281,3449,11,,,,
1.5401240587234497,3499,11,,,,
1.5889991521835327,3549,11,,,,
1.517085313796997,3599,11,,,,
1.561629295349121,3649,11,,,,
1.539243221282959,3699,11,,,,
,3743,11,1.757290244102478,0.3995000123977661,,
,3743,11,,,0.40199318528175354,0.532800018787384
1.430592656135559,3749,12,,,,
1.1018706560134888,3799,12,,,,
1.3192628622055054,3849,12,,,,
1.1943151950836182,3899,12,,,,
1.1039068698883057,3949,12,,,,
1.5229603052139282,3999,12,,,,
1.5486435890197754,4049,12,,,,
,4055,12,1.837052345275879,0.4000000059604645,,
,4055,12,,,0.4141876995563507,0.5350000262260437
1.0038375854492188,4099,13,,,,
1.068481683731079,4149,13,,,,
0.9218840599060059,4199,13,,,,
1.337204933166504,4249,13,,,,
1.1055046319961548,4299,13,,,,
1.0146830081939697,4349,13,,,,
,4367,13,1.9081908464431763,0.4106999933719635,,
,4367,13,,,0.42007210850715637,0.5579000115394592
0.4201313257217407,4399,14,,,,
0.5869506597518921,4449,14,,,,
0.715825080871582,4499,14,,,,
0.48039495944976807,4549,14,,,,
0.8370815515518188,4599,14,,,,
0.8916902542114258,4649,14,,,,
,4679,14,2.2068145275115967,0.41100001335144043,,
,4679,14,,,0.4300881326198578,0.5486999750137329
0.3471336364746094,4699,15,,,,
0.47873151302337646,4749,15,,,,
0.11575150489807129,4799,15,,,,
0.504935622215271,4849,15,,,,
0.6534866094589233,4899,15,,,,
0.116904616355896,4949,15,,,,
,4991,15,2.3622095584869385,0.4101000130176544,,
,4991,15,,,0.44098058342933655,0.5289000272750854
-0.03217577934265137,4999,16,,,,
-0.16672325134277344,5049,16,,,,
-0.42135047912597656,5099,16,,,,
-0.13265013694763184,5149,16,,,,
0.1345353126525879,5199,16,,,,
0.20452880859375,5249,16,,,,
0.030091047286987305,5299,16,,,,
,5303,16,2.6010823249816895,0.4205000102519989,,
,5303,16,,,0.4475410580635071,0.5699999928474426
-0.5402371883392334,5349,17,,,,
-0.5955429077148438,5399,17,,,,
-1.4350087642669678,5449,17,,,,
-0.9266989231109619,5499,17,,,,
-0.6337218284606934,5549,17,,,,
0.03994393348693848,5599,17,,,,
,5615,17,2.8243329524993896,0.44620001316070557,,
,5615,17,,,0.45750701427459717,0.5782999992370605
-1.2243030071258545,5649,18,,,,
-0.9731028079986572,5699,18,,,,
-1.0811634063720703,5749,18,,,,
-1.1122300624847412,5799,18,,,,
-1.192427158355713,5849,18,,,,
-0.49801135063171387,5899,18,,,,
,5927,18,3.1562795639038086,0.42500001192092896,,
,5927,18,,,0.46877503395080566,0.5648000240325928
-1.654416561126709,5949,19,,,,
-1.8488633632659912,5999,19,,,,
-1.4909181594848633,6049,19,,,,
-1.2574074268341064,6099,19,,,,
-1.8348193168640137,6149,19,,,,
-1.7638654708862305,6199,19,,,,
,6239,19,3.1249661445617676,0.45080000162124634,,
,6239,19,,,0.47601160407066345,0.5936999917030334
-2.318145751953125,6249,20,,,,
-2.600457191467285,6299,20,,,,
-2.654726028442383,6349,20,,,,
-2.521111011505127,6399,20,,,,
-1.8328187465667725,6449,20,,,,
-2.0786914825439453,6499,20,,,,
-2.5181095600128174,6549,20,,,,
,6551,20,3.2163891792297363,0.4528000056743622,,
,6551,20,,,0.4770132303237915,0.6201000213623047
-2.63662052154541,6599,21,,,,
-3.001486301422119,6649,21,,,,
-3.4445931911468506,6699,21,,,,
-2.4619300365448,6749,21,,,,
-2.5115323066711426,6799,21,,,,
-3.393125534057617,6849,21,,,,
,6863,21,3.149338960647583,0.4973999857902527,,
,6863,21,,,0.48935797810554504,0.6980000138282776
-3.270077705383301,6899,22,,,,
-3.604001045227051,6949,22,,,,
-3.4283483028411865,6999,22,,,,
-2.947479248046875,7049,22,,,,
-3.821322202682495,7099,22,,,,
-2.6911394596099854,7149,22,,,,
,7175,22,3.5234644412994385,0.46560001373291016,,
,7175,22,,,0.49126100540161133,0.6326000094413757
-4.004549980163574,7199,23,,,,
-4.3830885887146,7249,23,,,,
-3.7875711917877197,7299,23,,,,
-4.466670989990234,7349,23,,,,
-3.68039608001709,7399,23,,,,
-3.9240822792053223,7449,23,,,,
,7487,23,3.64389967918396,0.4652999937534332,,
,7487,23,,,0.4973958432674408,0.6256999969482422
-4.149707317352295,7499,24,,,,
-4.663053035736084,7549,24,,,,
-4.58594274520874,7599,24,,,,
-4.835407257080078,7649,24,,,,
-4.7801833152771,7699,24,,,,
-4.567715167999268,7749,24,,,,
-4.372654914855957,7799,24,,,,
,7799,24,3.7508487701416016,0.4578000009059906,,
,7799,24,,,0.49924880266189575,0.6262999773025513
-4.382280349731445,7849,25,,,,
-4.451394081115723,7899,25,,,,
-4.863481521606445,7949,25,,,,
-5.917877674102783,7999,25,,,,
-5.318579196929932,8049,25,,,,
-5.185720443725586,8099,25,,,,
,8111,25,3.866480827331543,0.48969998955726624,,
,8111,25,,,0.5018028616905212,0.6586999893188477
-5.585208892822266,8149,26,,,,
-5.531061172485352,8199,26,,,,
-5.293322563171387,8249,26,,,,
-5.500786781311035,8299,26,,,,
-5.680429458618164,8349,26,,,,
-5.586008071899414,8399,26,,,,
,8423,26,3.581312894821167,0.512499988079071,,
,8423,26,,,0.5065104365348816,0.7110000252723694
-6.9607367515563965,8449,27,,,,
-6.613863945007324,8499,27,,,,
-7.359784126281738,8549,27,,,,
-6.669456481933594,8599,27,,,,
-6.959446907043457,8649,27,,,,
-6.716612815856934,8699,27,,,,
,8735,27,3.9713432788848877,0.4846999943256378,,
,8735,27,,,0.5105168223381042,0.6534000039100647
-7.278977394104004,8749,28,,,,
-7.223740577697754,8799,28,,,,
-6.173091888427734,8849,28,,,,
-5.981490612030029,8899,28,,,,
-6.215551376342773,8949,28,,,,
-7.700611114501953,8999,28,,,,
,9047,28,3.829603433609009,0.5182999968528748,,
,9047,28,,,0.5110676884651184,0.7315999865531921
-8.485336303710938,9049,29,,,,
-7.663003921508789,9099,29,,,,
-7.757078170776367,9149,29,,,,
-7.880377769470215,9199,29,,,,
-7.381775856018066,9249,29,,,,
-7.930502891540527,9299,29,,,,
-7.164589881896973,9349,29,,,,
,9359,29,4.4247002601623535,0.47350001335144043,,
,9359,29,,,0.5152744650840759,0.6654000282287598
-8.001862525939941,9399,30,,,,
-7.63032865524292,9449,30,,,,
-8.443485260009766,9499,30,,,,
-8.767762184143066,9549,30,,,,
-8.51489543914795,9599,30,,,,
-7.380025386810303,9649,30,,,,
,9671,30,4.142072677612305,0.5001000165939331,,
,9671,30,,,0.5128205418586731,0.707099974155426
-8.877148628234863,9699,31,,,,
-8.957164764404297,9749,31,,,,
-8.339925765991211,9799,31,,,,
-7.446343898773193,9849,31,,,,
-8.731792449951172,9899,31,,,,
-8.585445404052734,9949,31,,,,
,9983,31,4.270506858825684,0.47929999232292175,,
,9983,31,,,0.5187299847602844,0.6474999785423279
-9.908880233764648,9999,32,,,,
-9.469559669494629,10049,32,,,,
-9.445859909057617,10099,32,,,,
-9.92032241821289,10149,32,,,,
-9.034969329833984,10199,32,,,,
-9.601676940917969,10249,32,,,,
,10295,32,4.71199893951416,0.4659000039100647,,
,10295,32,,,0.5146234035491943,0.6413999795913696
-11.4323091506958,10299,33,,,,
-10.051658630371094,10349,33,,,,
