train_loss,epoch,step,val_loss,val_acc,test_acc,train_acc,mix_match_loss
2.5681493282318115,0,49,,,,,
2.280668258666992,0,99,,,,,
2.572971820831299,0,149,,,,,
2.154691219329834,0,199,,,,,
2.25252103805542,0,249,,,,,
2.1333084106445312,0,299,,,,,
,0,311,2.0482027530670166,0.22619999945163727,,,
,0,311,,,0.2386273741722107,0.16791866719722748,
2.0454623699188232,1,349,,,,,
1.805009365081787,1,399,,,,,
1.9065247774124146,1,449,,,,,
1.9754250049591064,1,499,,,,,
1.894525408744812,1,549,,,,,
1.8132481575012207,1,599,,,,,
,1,623,1.788744330406189,0.3431999981403351,,,
,1,623,,,0.3627373278141022,0.2780699133872986,
1.727371335029602,2,649,,,,,
1.7834364175796509,2,699,,,,,
1.8638650178909302,2,749,,,,,
1.7115391492843628,2,799,,,,,
1.4499046802520752,2,849,,,,,
1.7571773529052734,2,899,,,,,
,2,935,1.6871693134307861,0.38589999079704285,,,
,2,935,,,0.4261273741722107,0.3571714758872986,
1.681388020515442,3,949,,,,,
1.683892011642456,3,999,,,,,
1.7192847728729248,3,1049,,,,,
1.5983811616897583,3,1099,,,,,
1.4870253801345825,3,1149,,,,,
1.669644832611084,3,1199,,,,,
,3,1247,1.6054439544677734,0.43630000948905945,,,
,3,1247,,,0.47438687086105347,0.4059996008872986,
1.5760023593902588,4,1249,,,,,
1.4710192680358887,4,1299,,,,,
1.384946584701538,4,1349,,,,,
1.4984849691390991,4,1399,,,,,
1.6097710132598877,4,1449,,,,,
1.449834942817688,4,1499,,,,,
1.497401237487793,4,1549,,,,,
,4,1559,1.4480587244033813,0.48539999127388,,,
,4,1559,,,0.5101858973503113,0.44964441657066345,
1.4154497385025024,5,1599,,,,,
1.6776665449142456,5,1649,,,,,
1.6290544271469116,5,1699,,,,,
1.4469242095947266,5,1749,,,,,
1.4043042659759521,5,1799,,,,,
1.6192468404769897,5,1849,,,,,
,5,1871,1.4673508405685425,0.4893999993801117,,,
,5,1871,,,0.5319422483444214,0.48622795939445496,
1.2537318468093872,6,1899,,,,,
1.5308796167373657,6,1949,,,,,
1.2924250364303589,6,1999,,,,,
1.3601802587509155,6,2049,,,,,
1.2554376125335693,6,2099,,,,,
1.4851939678192139,6,2149,,,,,
,6,2183,1.3447554111480713,0.5424000024795532,,,
,6,2183,,,0.574367105960846,0.5155749320983887,
1.2413766384124756,7,2199,,,,,
1.2216105461120605,7,2249,,,,,
1.3662681579589844,7,2299,,,,,
1.2797205448150635,7,2349,,,,,
1.3064676523208618,7,2399,,,,,
1.0095345973968506,7,2449,,,,,
,7,2495,1.3071820735931396,0.5479000210762024,,,
,7,2495,,,0.5791139006614685,0.5446714758872986,
1.221477746963501,8,2499,,,,,
1.365000605583191,8,2549,,,,,
1.3845438957214355,8,2599,,,,,
1.4136382341384888,8,2649,,,,,
1.217759132385254,8,2699,,,,,
1.293605089187622,8,2749,,,,,
1.2112452983856201,8,2799,,,,,
,8,2807,1.1843301057815552,0.6000999808311462,,,
,8,2807,,,0.6370648741722107,0.5667567849159241,
1.2172168493270874,9,2849,,,,,
1.2434322834014893,9,2899,,,,,
1.1349542140960693,9,2949,,,,,
1.2122524976730347,9,2999,,,,,
1.2186903953552246,9,3049,,,,,
1.345801591873169,9,3099,,,,,
,9,3119,1.3591034412384033,0.5461000204086304,,,
,9,3119,,,0.6188686490058899,0.5917468070983887,
1.166102409362793,10,3149,,,,,
1.0232480764389038,10,3199,,,,,
1.1471799612045288,10,3249,,,,,
1.1041146516799927,10,3299,,,,,
0.9966128468513489,10,3349,,,,,
1.1171057224273682,10,3399,,,,,
,10,3431,1.1688600778579712,0.6028000116348267,,,
,10,3431,,,0.6476463675498962,0.6112028956413269,
1.2544976472854614,11,3449,,,,,
1.1637858152389526,11,3499,,,,,
1.0996761322021484,11,3549,,,,,
0.9323773384094238,11,3599,,,,,
1.1043438911437988,11,3649,,,,,
0.9884853363037109,11,3699,,,,,
,11,3743,1.1843181848526,0.6022999882698059,,,
,11,3743,,,0.6404272317886353,0.6239233016967773,
1.2474219799041748,12,3749,,,,,
1.0485010147094727,12,3799,,,,,
1.0459359884262085,12,3849,,,,,
1.1074985265731812,12,3899,,,,,
1.1067802906036377,12,3949,,,,,
0.9909993410110474,12,3999,,,,,
1.134838581085205,12,4049,,,,,
,12,4055,1.0722118616104126,0.6395999789237976,,,
,12,4055,,,0.6688093543052673,0.634690523147583,
1.1020562648773193,13,4099,,,,,
1.0709542036056519,13,4149,,,,,
1.0175994634628296,13,4199,,,,,
1.0523192882537842,13,4249,,,,,
1.0880787372589111,13,4299,,,,,
0.9348810911178589,13,4349,,,,,
,13,4367,1.1769815683364868,0.6133000254631042,,,
,13,4367,,,0.6683148741722107,0.6451071500778198,
0.977353036403656,14,4399,,,,,
1.2645275592803955,14,4449,,,,,
0.9026679396629333,14,4499,,,,,
0.9663910269737244,14,4549,,,,,
1.1078886985778809,14,4599,,,,,
1.2156018018722534,14,4649,,,,,
,14,4679,1.0968354940414429,0.6391000151634216,,,
,14,4679,,,0.6945213675498962,0.6584785580635071,
0.9972745180130005,15,4699,,,,,
0.9662555456161499,15,4749,,,,,
1.144139051437378,15,4799,,,,,
1.0149319171905518,15,4849,,,,,
1.1018083095550537,15,4899,,,,,
1.2035343647003174,15,4949,,,,,
,15,4991,1.2341771125793457,0.6079000234603882,,,
,15,4991,,,0.6859177350997925,0.6585035920143127,
0.8799175024032593,16,4999,,,,,
1.0383150577545166,16,5049,,,,,
1.0096596479415894,16,5099,,,,,
