train_loss,epoch,step,test_acc,train_acc
2.965536117553711,0,49,,
2.352813959121704,0,99,,
2.3883655071258545,0,149,,
2.2876369953155518,0,199,,
2.1214287281036377,0,249,,
2.221010208129883,0,299,,
2.215935707092285,0,349,,
,0,389,0.21960000693798065,0.17149439454078674
2.448021173477173,1,399,,
2.0374412536621094,1,449,,
2.4664978981018066,1,499,,
2.078683376312256,1,549,,
2.1246719360351562,1,599,,
2.2456507682800293,1,649,,
2.2561349868774414,1,699,,
2.2111446857452393,1,749,,
,1,779,0.24449999630451202,0.21939103305339813
2.203819513320923,2,799,,
2.3448758125305176,2,849,,
2.24487042427063,2,899,,
2.162717819213867,2,949,,
1.9574166536331177,2,999,,
2.036625862121582,2,1049,,
1.8499046564102173,2,1099,,
1.7072380781173706,2,1149,,
,2,1169,0.35920000076293945,0.26258012652397156
1.9765580892562866,3,1199,,
1.8681864738464355,3,1249,,
1.7130178213119507,3,1299,,
1.842248797416687,3,1349,,
1.711732029914856,3,1399,,
1.6865102052688599,3,1449,,
1.7777934074401855,3,1499,,
1.7886207103729248,3,1549,,
,3,1559,0.385699987411499,0.33561697602272034
1.6978439092636108,4,1599,,
1.7109671831130981,4,1649,,
1.5950912237167358,4,1699,,
1.6383142471313477,4,1749,,
1.5971249341964722,4,1799,,
1.5459197759628296,4,1849,,
1.70090651512146,4,1899,,
1.7254880666732788,4,1949,,
,4,1949,0.516700029373169,0.4117988646030426
1.649884819984436,5,1999,,
1.5614712238311768,5,2049,,
1.4052226543426514,5,2099,,
1.5287240743637085,5,2149,,
1.4166885614395142,5,2199,,
1.367717981338501,5,2249,,
1.5841476917266846,5,2299,,
,5,2339,0.5472000241279602,0.4873998463153839
1.3823360204696655,6,2349,,
1.4131085872650146,6,2399,,
1.5800206661224365,6,2449,,
1.351919412612915,6,2499,,
1.2806470394134521,6,2549,,
1.3990070819854736,6,2599,,
1.4383606910705566,6,2649,,
1.3417880535125732,6,2699,,
,6,2729,0.6040999889373779,0.5356169939041138
1.4508508443832397,7,2749,,
1.2625867128372192,7,2799,,
1.3046480417251587,7,2849,,
1.3274598121643066,7,2899,,
1.436771035194397,7,2949,,
1.1867541074752808,7,2999,,
1.3670064210891724,7,3049,,
1.2325332164764404,7,3099,,
,7,3119,0.614300012588501,0.5737179517745972
1.1394151449203491,8,3149,,
1.2080535888671875,8,3199,,
1.2437955141067505,8,3249,,
1.3820443153381348,8,3299,,
1.3764113187789917,8,3349,,
1.2212318181991577,8,3399,,
1.089795470237732,8,3449,,
1.1809730529785156,8,3499,,
,8,3509,0.6794000267982483,0.6018028855323792
1.2014423608779907,9,3549,,
1.1229549646377563,9,3599,,
1.04146409034729,9,3649,,
1.3316781520843506,9,3699,,
1.1713923215866089,9,3749,,
1.3166576623916626,9,3799,,
1.1792291402816772,9,3849,,
1.3079016208648682,9,3899,,
,9,3899,0.7148000001907349,0.6355769038200378
1.1512478590011597,10,3949,,
1.2095260620117188,10,3999,,
1.300705075263977,10,4049,,
1.2987349033355713,10,4099,,
1.2513655424118042,10,4149,,
1.1303707361221313,10,4199,,
1.0545761585235596,10,4249,,
,10,4289,0.7111999988555908,0.6542668342590332
0.7914086580276489,11,4299,,
0.815696656703949,11,4349,,
0.9221974611282349,11,4399,,
1.025550127029419,11,4449,,
0.6959638595581055,11,4499,,
0.6944775581359863,11,4549,,
0.8372941017150879,11,4599,,
0.7487547397613525,11,4649,,
,11,4679,0.7229999899864197,0.658473551273346
0.28460001945495605,12,4699,,
0.3074955940246582,12,4749,,
0.8388491868972778,12,4799,,
0.4498574733734131,12,4849,,
0.2548334002494812,12,4899,,
0.46876996755599976,12,4949,,
0.43056637048721313,12,4999,,
0.5701956748962402,12,5049,,
,12,5069,0.729200005531311,0.6550280451774597
-0.10875177383422852,13,5099,,
0.2569160461425781,13,5149,,
-0.14472699165344238,13,5199,,
0.22097909450531006,13,5249,,
-0.1481335163116455,13,5299,,
-0.29626035690307617,13,5349,,
-0.211952805519104,13,5399,,
-0.02487015724182129,13,5449,,
,13,5459,0.7031999826431274,0.6580528616905212
0.006266117095947266,14,5499,,
-0.7256726026535034,14,5549,,
-0.2200779914855957,14,5599,,
0.040149688720703125,14,5649,,
-0.3315180540084839,14,5699,,
-0.56131911277771,14,5749,,
-0.7953206300735474,14,5799,,
-0.6179662942886353,14,5849,,
,14,5849,0.6783999800682068,0.6628405451774597
-1.3557696342468262,15,5899,,
-0.7993524074554443,15,5949,,
-0.963554859161377,15,5999,,
-1.2463890314102173,15,6049,,
-0.7276779413223267,15,6099,,
-1.0108604431152344,15,6149,,
-0.9104046821594238,15,6199,,
,15,6239,0.6869999766349792,0.6682091355323792
-1.2614879608154297,16,6249,,
-1.1115734577178955,16,6299,,
-1.408534049987793,16,6349,,
-1.1671292781829834,16,6399,,
-1.5973907709121704,16,6449,,
-2.092388153076172,16,6499,,
-1.8308987617492676,16,6549,,
-2.1986608505249023,16,6599,,
,16,6629,0.7444999814033508,0.6778044700622559
-2.4374842643737793,17,6649,,
-2.1087167263031006,17,6699,,
-2.4928054809570312,17,6749,,
-2.6758198738098145,17,6799,,
-2.232729434967041,17,6849,,
-2.305753707885742,17,6899,,
-2.4158453941345215,17,6949,,
-2.165666103363037,17,6999,,
,17,7019,0.6884999871253967,0.6786057949066162
-3.3513784408569336,18,7049,,
-2.595378875732422,18,7099,,
-2.1721715927124023,18,7149,,
-2.932996988296509,18,7199,,
-2.4620132446289062,18,7249,,
-2.5834124088287354,18,7299,,
-3.158511161804199,18,7349,,
-2.6605029106140137,18,7399,,
,18,7409,0.727400004863739,0.6839542984962463
-3.184285879135132,19,7449,,
-3.6176857948303223,19,7499,,
-3.1566555500030518,19,7549,,
-3.504271984100342,19,7599,,
-3.320833921432495,19,7649,,
-3.2140674591064453,19,7699,,
-3.5616278648376465,19,7749,,
-3.6066603660583496,19,7799,,
,19,7799,0.7825999855995178,0.6893429756164551
-3.9770162105560303,20,7849,,
-4.215800762176514,20,7899,,
-4.521848678588867,20,7949,,
-3.3443543910980225,20,7999,,
-3.8765735626220703,20,8049,,
-4.117410182952881,20,8099,,
-3.5340168476104736,20,8149,,
,20,8189,0.753000020980835,0.6952724456787109
-4.654504776000977,21,8199,,
-4.731078147888184,21,8249,,
-4.141226768493652,21,8299,,
-4.686854362487793,21,8349,,
-4.547592639923096,21,8399,,
-5.008086681365967,21,8449,,
-4.862147331237793,21,8499,,
-4.555793285369873,21,8549,,
,21,8579,0.7709000110626221,0.6971554756164551
-5.29451322555542,22,8599,,
-5.696328163146973,22,8649,,
-5.9212260246276855,22,8699,,
-5.225452423095703,22,8749,,
-6.149323463439941,22,8799,,
-5.555482387542725,22,8849,,
-5.224196434020996,22,8899,,
-5.1043596267700195,22,8949,,
,22,8969,0.7591999769210815,0.6966947317123413
-5.9795355796813965,23,8999,,
-5.91664981842041,23,9049,,
-5.580463886260986,23,9099,,
-5.465450286865234,23,9149,,
-5.785342216491699,23,9199,,
-5.638278961181641,23,9249,,
-5.814377784729004,23,9299,,
-5.565577507019043,23,9349,,
,23,9359,0.7559999823570251,0.7040064334869385
-6.899472236633301,24,9399,,
-6.625275135040283,24,9449,,
-6.762767791748047,24,9499,,
-5.919462203979492,24,9549,,
-6.536952018737793,24,9599,,
-6.546690464019775,24,9649,,
-5.556521415710449,24,9699,,
-6.4980621337890625,24,9749,,
,24,9749,0.7886000275611877,0.7030849456787109
-6.969450950622559,25,9799,,
-7.724325656890869,25,9849,,
-7.469234466552734,25,9899,,
-7.314992904663086,25,9949,,
-7.6938862800598145,25,9999,,
-7.416618347167969,25,10049,,
-6.272778511047363,25,10099,,
,25,10139,0.7070000171661377,0.7068910002708435
-8.425711631774902,26,10149,,
-7.976900577545166,26,10199,,
-8.11911392211914,26,10249,,
-8.005775451660156,26,10299,,
-8.015695571899414,26,10349,,
-8.666107177734375,26,10399,,
-7.23712158203125,26,10449,,
-8.379173278808594,26,10499,,
,26,10529,0.6934999823570251,0.7083533406257629
-8.799581527709961,27,10549,,
-7.999582767486572,27,10599,,
-7.4973602294921875,27,10649,,
-8.799200057983398,27,10699,,
-8.541260719299316,27,10749,,
-8.617431640625,27,10799,,
-8.351851463317871,27,10849,,
-9.290833473205566,27,10899,,
,27,10919,0.7444000244140625,0.7073917984962463
-9.150806427001953,28,10949,,
-9.197032928466797,28,10999,,
-9.050361633300781,28,11049,,
-9.445592880249023,28,11099,,
-8.491642951965332,28,11149,,
-9.42912483215332,28,11199,,
-8.997322082519531,28,11249,,
-8.355453491210938,28,11299,,
,28,11309,0.7592999935150146,0.7108573913574219
-10.41048526763916,29,11349,,
-9.593460083007812,29,11399,,
-9.765388488769531,29,11449,,
-9.152008056640625,29,11499,,
-8.854246139526367,29,11549,,
-9.130229949951172,29,11599,,
-10.057596206665039,29,11649,,
-9.471994400024414,29,11699,,
,29,11699,0.7613000273704529,0.7115985751152039
-10.755544662475586,30,11749,,
-10.517691612243652,30,11799,,
-10.787433624267578,30,11849,,
-9.265142440795898,30,11899,,
-10.62933349609375,30,11949,,
-11.134907722473145,30,11999,,
-10.196540832519531,30,12049,,
,30,12089,0.7781999707221985,0.7113982439041138
-11.159944534301758,31,12099,,
-10.829954147338867,31,12149,,
-10.609655380249023,31,12199,,
-11.28581428527832,31,12249,,
-10.630258560180664,31,12299,,
-10.753978729248047,31,12349,,
-11.308677673339844,31,12399,,
-10.699688911437988,31,12449,,
,31,12479,0.7731999754905701,0.7117788195610046
-10.86447525024414,32,12499,,
-11.359687805175781,32,12549,,
-11.562299728393555,32,12599,,
-12.018858909606934,32,12649,,
-11.141145706176758,32,12699,,
-12.268655776977539,32,12749,,
-11.6910982131958,32,12799,,
-11.552369117736816,32,12849,,
,32,12869,0.8014000058174133,0.7123998403549194
-12.545039176940918,33,12899,,
-12.736303329467773,33,12949,,
-12.203474998474121,33,12999,,
-12.529973030090332,33,13049,,
-12.726370811462402,33,13099,,
-13.12523078918457,33,13149,,
-11.967408180236816,33,13199,,
-12.396766662597656,33,13249,,
,33,13259,0.7218000292778015,0.713201105594635
-12.573440551757812,34,13299,,
-13.391258239746094,34,13349,,
-13.671600341796875,34,13399,,
-13.230877876281738,34,13449,,
-12.341405868530273,34,13499,,
-13.393771171569824,34,13549,,
-13.114744186401367,34,13599,,
-13.368125915527344,34,13649,,
,34,13649,0.7716000080108643,0.7152844667434692
-13.72207260131836,35,13699,,
-12.804203033447266,35,13749,,
-13.624242782592773,35,13799,,
-13.598111152648926,35,13849,,
-12.598004341125488,35,13899,,
-13.493181228637695,35,13949,,
-13.597007751464844,35,13999,,
,35,14039,0.7940999865531921,0.7145232558250427
-14.020626068115234,36,14049,,
-13.663466453552246,36,14099,,
-14.81117057800293,36,14149,,
-14.47121810913086,36,14199,,
-14.766241073608398,36,14249,,
-14.68189525604248,36,14299,,
-14.121143341064453,36,14349,,
-14.51208209991455,36,14399,,
,36,14429,0.7706999778747559,0.7167267799377441
