step,epoch,train_loss,test_acc
49,0,-0.16603517532348633,
99,0,-0.2668033838272095,
149,0,-0.33307409286499023,
199,0,-0.3090662956237793,
249,0,-0.31368768215179443,
299,0,-0.3476371765136719,
349,0,-0.37689894437789917,
389,0,,0.5419999957084656
399,1,-0.40441322326660156,
449,1,-0.3198457360267639,
499,1,-0.35699462890625,
549,1,-0.3607715964317322,
599,1,-0.45125019550323486,
649,1,-0.356467604637146,
699,1,-0.41913342475891113,
749,1,-0.3762536644935608,
779,1,,0.6055999994277954
799,2,-0.4370863437652588,
849,2,-0.47939610481262207,
899,2,-0.4960663914680481,
949,2,-0.47740596532821655,
999,2,-0.5419270992279053,
1049,2,-0.4872013330459595,
1099,2,-0.518951416015625,
1149,2,-0.4544553756713867,
1169,2,,0.6438999772071838
1199,3,-0.5398780107498169,
1249,3,-0.5019672513008118,
1299,3,-0.5802818536758423,
1349,3,-0.49485260248184204,
1399,3,-0.44162267446517944,
1449,3,-0.5682007670402527,
1499,3,-0.5302003622055054,
1549,3,-0.5196812152862549,
1559,3,,0.6894999742507935
1599,4,-0.5402673482894897,
1649,4,-0.531478762626648,
1699,4,-0.5771579742431641,
1749,4,-0.6326079368591309,
1799,4,-0.5060526728630066,
1849,4,-0.579815149307251,
1899,4,-0.5834125876426697,
1949,4,-0.5579924583435059,
1949,4,,0.7084000110626221
1999,5,-0.5070897340774536,
2049,5,-0.6285684108734131,
2099,5,-0.5503769516944885,
2149,5,-0.530929684638977,
2199,5,-0.6059855818748474,
2249,5,-0.6142153143882751,
2299,5,-0.6080747842788696,
2339,5,,0.7107999920845032
2349,6,-0.6080679297447205,
2399,6,-0.5991834998130798,
2449,6,-0.6650993824005127,
2499,6,-0.5202415585517883,
2549,6,-0.5487903952598572,
2599,6,-0.6356441378593445,
2649,6,-0.681523323059082,
2699,6,-0.6392303705215454,
2729,6,,0.7560999989509583
2749,7,-0.6154513359069824,
2799,7,-0.5854642987251282,
2849,7,-0.530183732509613,
2899,7,-0.5617412328720093,
2949,7,-0.6158316135406494,
2999,7,-0.5862240791320801,
3049,7,-0.6758906245231628,
3099,7,-0.5892443656921387,
3119,7,,0.7468000054359436
3149,8,-0.6164366006851196,
3199,8,-0.6327239274978638,
3249,8,-0.6430236101150513,
3299,8,-0.634194552898407,
3349,8,-0.6518247723579407,
3399,8,-0.6639360785484314,
3449,8,-0.5399116277694702,
3499,8,-0.6657519936561584,
3509,8,,0.7544999718666077
3549,9,-0.6539756655693054,
3599,9,-0.5947346091270447,
3649,9,-0.5102869272232056,
3699,9,-0.6447399854660034,
3749,9,-0.6085155606269836,
3799,9,-0.6367881894111633,
3849,9,-0.6413577795028687,
3899,9,-0.6401039958000183,
3899,9,,0.7545999884605408
3949,10,2.206853151321411,
3999,10,2.490870475769043,
4049,10,2.4947304725646973,
4099,10,2.283581495285034,
4149,10,2.3886702060699463,
4199,10,2.289669990539551,
4249,10,2.4970149993896484,
4289,10,,0.8016999959945679
4299,11,2.4187746047973633,
4349,11,2.5307400226593018,
4399,11,2.3681259155273438,
4449,11,2.386260986328125,
4499,11,2.248518466949463,
4549,11,2.321087121963501,
4599,11,2.379168748855591,
4649,11,2.1642796993255615,
4679,11,,0.7973999977111816
4699,12,2.325413227081299,
4749,12,2.423370361328125,
4799,12,2.282674789428711,
4849,12,2.2246041297912598,
4899,12,2.2687692642211914,
4949,12,2.459440231323242,
4999,12,2.3511414527893066,
5049,12,2.242769479751587,
5069,12,,0.8174999952316284
5099,13,2.082989454269409,
5149,13,2.168527364730835,
5199,13,2.116105556488037,
5249,13,2.301133394241333,
5299,13,1.9652867317199707,
5349,13,2.089961528778076,
5399,13,2.3116092681884766,
5449,13,2.064645528793335,
5459,13,,0.8266000151634216
5499,14,2.1923279762268066,
5549,14,2.2160227298736572,
5599,14,2.098377227783203,
5649,14,2.217146158218384,
5699,14,2.220609664916992,
5749,14,1.9647858142852783,
5799,14,1.8060193061828613,
5849,14,2.1333866119384766,
5849,14,,0.8313000202178955
5899,15,2.125422239303589,
5949,15,2.2099881172180176,
5999,15,2.2029709815979004,
6049,15,1.9278403520584106,
6099,15,2.1057941913604736,
6149,15,2.148777484893799,
6199,15,2.2560579776763916,
6239,15,,0.84170001745224
6249,16,2.151427984237671,
6299,16,2.1519198417663574,
6349,16,2.0261001586914062,
6399,16,2.183372974395752,
6449,16,2.2624306678771973,
6499,16,1.9975645542144775,
6549,16,2.191372871398926,
