train_loss,step,epoch,train_acc,test_acc
2.5263240337371826,49,0,,
2.521735429763794,99,0,,
2.3721418380737305,149,0,,
2.241199016571045,199,0,,
2.373624563217163,249,0,,
2.5101828575134277,299,0,,
2.6112661361694336,349,0,,
,389,0,0.15464743971824646,0.13379999995231628
2.4450790882110596,399,1,,
2.5105221271514893,449,1,,
2.464406728744507,499,1,,
2.3824310302734375,549,1,,
2.5067334175109863,599,1,,
2.3193602561950684,649,1,,
2.3768036365509033,699,1,,
2.2664084434509277,749,1,,
,779,1,0.16544471681118011,0.2506999969482422
2.421213150024414,799,2,,
2.1472063064575195,849,2,,
2.1625077724456787,899,2,,
2.0876004695892334,949,2,,
2.0677597522735596,999,2,,
2.091111421585083,1049,2,,
2.0030500888824463,1099,2,,
1.9414345026016235,1149,2,,
,1169,2,0.23347355425357819,0.3140000104904175
2.06485652923584,1199,3,,
2.192751407623291,1249,3,,
1.8778473138809204,1299,3,,
2.0485897064208984,1349,3,,
1.9627902507781982,1399,3,,
1.905213713645935,1449,3,,
1.9720189571380615,1499,3,,
2.0061371326446533,1549,3,,
,1559,3,0.27003204822540283,0.3781999945640564
1.9794237613677979,1599,4,,
1.9797827005386353,1649,4,,
1.8650487661361694,1699,4,,
1.9468438625335693,1749,4,,
1.8293994665145874,1799,4,,
1.8236668109893799,1849,4,,
1.9425899982452393,1899,4,,
2.047574520111084,1949,4,,
,1949,4,0.29683494567871094,0.3725000023841858
1.9682196378707886,1999,5,,
1.9242714643478394,2049,5,,
1.8092392683029175,2099,5,,
1.8492851257324219,2149,5,,
1.8577452898025513,2199,5,,
1.8484190702438354,2249,5,,
1.8989192247390747,2299,5,,
,2339,5,0.31630608439445496,0.42179998755455017
1.8699562549591064,2349,6,,
1.9880523681640625,2399,6,,
1.9285199642181396,2449,6,,
1.851616382598877,2499,6,,
1.912951111793518,2549,6,,
1.9569225311279297,2599,6,,
1.894877314567566,2649,6,,
1.8514775037765503,2699,6,,
,2729,6,0.34659454226493835,0.46470001339912415
1.8988831043243408,2749,7,,
1.8626459836959839,2799,7,,
1.8246285915374756,2849,7,,
1.7930991649627686,2899,7,,
1.9738314151763916,2949,7,,
1.6951403617858887,2999,7,,
1.9348937273025513,3049,7,,
1.7513389587402344,3099,7,,
,3119,7,0.3751201927661896,0.47290000319480896
1.5330342054367065,3149,8,,
1.7117849588394165,3199,8,,
1.5815722942352295,3249,8,,
1.6732509136199951,3299,8,,
1.8822903633117676,3349,8,,
1.8218834400177002,3399,8,,
1.5561596155166626,3449,8,,
1.7528231143951416,3499,8,,
,3509,8,0.40106168389320374,0.536300003528595
1.703579306602478,3549,9,,
1.7132604122161865,3599,9,,
1.6761330366134644,3649,9,,
1.729813814163208,3699,9,,
1.8353856801986694,3749,9,,
1.7909808158874512,3799,9,,
1.805440068244934,3849,9,,
1.7887580394744873,3899,9,,
,3899,9,0.42293670773506165,0.545799970626831
1.5281116962432861,3949,10,,
1.732569932937622,3999,10,,
1.7147061824798584,4049,10,,
1.675749659538269,4099,10,,
1.7814576625823975,4149,10,,
1.7890886068344116,4199,10,,
1.5687675476074219,4249,10,,
,4289,10,0.4428485631942749,0.48829999566078186
1.399352788925171,4299,11,,
1.4309492111206055,4349,11,,
1.5726871490478516,4399,11,,
1.5684152841567993,4449,11,,
1.3104077577590942,4499,11,,
1.2861167192459106,4549,11,,
1.4802862405776978,4599,11,,
1.4833567142486572,4649,11,,
,4679,11,0.4577323794364929,0.6220999956130981
1.1067713499069214,4699,12,,
1.0515519380569458,4749,12,,
1.1951407194137573,4799,12,,
1.2982105016708374,4849,12,,
1.114201307296753,4899,12,,
1.097547173500061,4949,12,,
1.313103437423706,4999,12,,
1.217697262763977,5049,12,,
,5069,12,0.46822917461395264,0.6640999913215637
0.7972556948661804,5099,13,,
1.194324254989624,5149,13,,
0.6688719391822815,5199,13,,
0.8793103694915771,5249,13,,
0.6062135100364685,5299,13,,
0.7552485466003418,5349,13,,
0.7508763074874878,5399,13,,
1.0588133335113525,5449,13,,
,5459,13,0.47097355127334595,0.5740000009536743
0.860395073890686,5499,14,,
0.12608778476715088,5549,14,,
0.6256150007247925,5599,14,,
0.7431585788726807,5649,14,,
0.5586984157562256,5699,14,,
0.4278585910797119,5749,14,,
0.5072909593582153,5799,14,,
0.6311908960342407,5849,14,,
,5849,14,0.473497599363327,0.5260000228881836
0.007214069366455078,5899,15,,
0.06296646595001221,5949,15,,
0.03298807144165039,5999,15,,
0.007327556610107422,6049,15,,
0.211531400680542,6099,15,,
0.049263954162597656,6149,15,,
0.4293498992919922,6199,15,,
,6239,15,0.47487980127334595,0.6029999852180481
0.5043461322784424,6249,16,,
0.3179914951324463,6299,16,,
-0.2536275386810303,6349,16,,
-0.04183650016784668,6399,16,,
-0.2998793125152588,6449,16,,
-0.44553136825561523,6499,16,,
-0.291553258895874,6549,16,,
-0.23225021362304688,6599,16,,
,6629,16,0.481991171836853,0.6344000101089478
-1.0095555782318115,6649,17,,
-0.6827456951141357,6699,17,,
-1.3076770305633545,6749,17,,
-0.9397149085998535,6799,17,,
-0.22828936576843262,6849,17,,
-0.6705741882324219,6899,17,,
-1.1270694732666016,6949,17,,
-0.8536744117736816,6999,17,,
,7019,17,0.4877203404903412,0.6241999864578247
-1.7471132278442383,7049,18,,
-0.8114683628082275,7099,18,,
-1.4320166110992432,7149,18,,
-0.8826789855957031,7199,18,,
-1.0670735836029053,7249,18,,
-1.2441868782043457,7299,18,,
-1.5572872161865234,7349,18,,
-0.6356480121612549,7399,18,,
