epoch,step,train_loss1,train_loss2,test_acc,train_acc2,train_acc1
0,49,0.014796721749007702,0.015968531370162964,,,
0,99,0.01407153345644474,0.01521677989512682,,,
0,149,0.012748375535011292,0.01349778100848198,,,
0,199,0.011771726422011852,0.01365126483142376,,,
0,249,0.013977005146443844,0.01340935006737709,,,
0,299,0.012081404216587543,0.01345903892070055,,,
0,349,0.010745986364781857,0.011528951115906239,,,
0,389,,,0.5023000240325928,0.33741986751556396,0.36003604531288147
1,399,0.011774998158216476,0.012795469723641872,,,
1,449,0.010961849242448807,0.011402292177081108,,,
1,499,0.010555142536759377,0.010761071927845478,,,
1,549,0.01073844637721777,0.011631110683083534,,,
1,599,0.011142936535179615,0.01144314557313919,,,
1,649,0.010287962853908539,0.01231691986322403,,,
1,699,0.00922590121626854,0.00984184443950653,,,
1,749,0.010232138447463512,0.01220193412154913,,,
1,779,,,0.6000000238418579,0.48064902424812317,0.5027443766593933
2,799,0.00909485761076212,0.009432679042220116,,,
2,849,0.008411877788603306,0.009292376227676868,,,
2,899,0.007772553712129593,0.007946072146296501,,,
2,949,0.008082209154963493,0.008512400090694427,,,
2,999,0.010814938694238663,0.011317551136016846,,,
2,1049,0.008018742315471172,0.008802150376141071,,,
2,1099,0.01047760620713234,0.010481408797204494,,,
2,1149,0.008367211557924747,0.008527066558599472,,,
2,1169,,,0.7001000046730042,0.5525640845298767,0.5726362466812134
3,1199,0.007930264808237553,0.00912677962332964,,,
3,1249,0.009703466668725014,0.009956258349120617,,,
3,1299,0.009045973420143127,0.009787669405341148,,,
3,1349,0.007972382009029388,0.008753086440265179,,,
3,1399,0.007872183807194233,0.007665152661502361,,,
3,1449,0.006011259276419878,0.0061307610012590885,,,
3,1499,0.007868093438446522,0.008306126110255718,,,
3,1549,0.006819983944296837,0.00738898478448391,,,
3,1559,,,0.742900013923645,0.5972555875778198,0.6230568885803223
4,1599,0.008352969773113728,0.00923130102455616,,,
4,1649,0.006640180014073849,0.007481046952307224,,,
4,1699,0.0064744120463728905,0.007527720648795366,,,
4,1749,0.007043450605124235,0.007654928602278233,,,
4,1799,0.006246740464121103,0.006846046075224876,,,
4,1849,0.007628723978996277,0.008188596926629543,,,
4,1899,0.007041153032332659,0.008311777375638485,,,
4,1949,0.00787919107824564,0.008777455426752567,,,
4,1949,,,0.7150999903678894,0.6304887533187866,0.650861382484436
5,1999,0.007877616211771965,0.008753652684390545,,,
5,2049,0.007594581693410873,0.0074648563750088215,,,
5,2099,0.006449913140386343,0.007331239990890026,,,
5,2149,0.005347173660993576,0.005225339438766241,,,
5,2199,0.006436268333345652,0.006544249597936869,,,
5,2249,0.0049316659569740295,0.004990593530237675,,,
5,2299,0.00597353745251894,0.0062598432414233685,,,
5,2339,,,0.7215999960899353,0.6589543223381042,0.6719150543212891
6,2349,0.0035508102737367153,0.0037379951681941748,,,
6,2399,0.003908440005034208,0.004337813705205917,,,
6,2449,0.004395895171910524,0.004203937016427517,,,
6,2499,0.005205350928008556,0.004497466143220663,,,
6,2549,0.0054219248704612255,0.006028726696968079,,,
6,2599,0.006598332896828651,0.006893006153404713,,,
6,2649,0.005229369271546602,0.005396546330302954,,,
6,2699,0.005718616768717766,0.005657111760228872,,,
6,2729,,,0.744700014591217,0.6789663434028625,0.6863581538200378
7,2749,0.005236046854406595,0.005732645280659199,,,
7,2799,0.0033659441396594048,0.003845981787890196,,,
7,2849,0.003619452239945531,0.004440138582140207,,,
7,2899,0.004170731175690889,0.003722049295902252,,,
7,2949,0.0039119720458984375,0.0037028903607279062,,,
7,2999,0.003315793816000223,0.002951727481558919,,,
7,3049,0.005226808600127697,0.006070611532777548,,,
7,3099,0.0034807452466338873,0.004437531344592571,,,
7,3119,,,0.7904000282287598,0.6951722502708435,0.6971755027770996
8,3149,0.004021736793220043,0.004854382947087288,,,
8,3199,0.003510712878778577,0.004055509343743324,,,
8,3249,0.004851959645748138,0.00392322288826108,,,
8,3299,0.0056005557999014854,0.005910183768719435,,,
8,3349,0.0021733015310019255,0.0022795076947659254,,,
8,3399,0.003481330582872033,0.003483736189082265,,,
8,3449,0.004312999080866575,0.005183236673474312,,,
8,3499,0.0035699016880244017,0.0038539699744433165,,,
8,3509,,,0.8036999702453613,0.7051482200622559,0.7086137533187866
9,3549,0.002483570482581854,0.0024851455818861723,,,
9,3599,0.0037135747261345387,0.004676970187574625,,,
9,3649,0.0030930957291275263,0.0021775737404823303,,,
9,3699,0.0023517394438385963,0.0026420410722494125,,,
9,3749,0.001863502198830247,0.0020563583821058273,,,
9,3799,0.004098124336451292,0.003972433041781187,,,
9,3849,0.002348072826862335,0.0032145436853170395,,,
9,3899,0.0027165343053638935,0.0026826709508895874,,,
9,3899,,,0.7896999716758728,0.7129607200622559,0.7157852649688721
10,3949,0.0023396285250782967,0.0023062890395522118,,,
10,3999,0.0021606083028018475,0.0018180378247052431,,,
10,4049,0.0022760704159736633,0.0025815635453909636,,,
10,4099,0.002130020409822464,0.0020366671960800886,,,
10,4149,0.002057399833574891,0.0022765370085835457,,,
10,4199,0.002035597339272499,0.0015691113658249378,,,
10,4249,0.0014033025363460183,0.0018283490790054202,,,
10,4289,,,0.8115000128746033,0.7223958373069763,0.7253805994987488
11,4299,0.0018035542452707887,0.0017552865901961923,,,
11,4349,0.003856702707707882,0.005118970293551683,,,
11,4399,0.003383532864972949,0.003724050708115101,,,
11,4449,0.0033621899783611298,0.003562065539881587,,,
11,4499,0.002492310479283333,0.0027007029857486486,,,
11,4549,0.0017902975669130683,0.001716093742288649,,,
11,4599,0.001784743508324027,0.0015960907330736518,,,
11,4649,0.001362243783660233,0.0019911793060600758,,,
11,4679,,,0.8245000243186951,0.731330156326294,0.7319110631942749
12,4699,0.002545083872973919,0.002224514726549387,,,
12,4749,0.0015527636278420687,0.0017680969322100282,,,
12,4799,0.0025157660711556673,0.002714666770771146,,,
12,4849,0.0019839636515825987,0.0017076310468837619,,,
12,4899,0.0026348710525780916,0.002346511697396636,,,
12,4949,0.0023231571540236473,0.0032905808184295893,,,
12,4999,0.0021511693485081196,0.0024526421912014484,,,
12,5049,0.0025454219430685043,0.0028464135248214006,,,
12,5069,,,0.8216000199317932,0.7353565692901611,0.7362980842590332
13,5099,0.0021538229193538427,0.0028123038355261087,,,
13,5149,0.0030517629347741604,0.004633483476936817,,,
13,5199,0.0021316539496183395,0.00230246689170599,,,
13,5249,0.0016968785785138607,0.001678062486462295,,,
13,5299,0.0010965770343318582,0.00146672991104424,,,
13,5349,0.002237750217318535,0.0021410309709608555,,,
13,5399,0.0007818087469786406,0.001199491904117167,,,
13,5449,0.0024907467886805534,0.00186038832180202,,,
13,5459,,,0.8551999926567078,0.7415664792060852,0.7427483797073364
14,5499,0.00417870981618762,0.002166343852877617,,,
14,5549,0.0013467728858813643,0.00104844244197011,,,
14,5599,0.00270284921862185,0.0024059179704636335,,,
14,5649,0.001969248289242387,0.0019401108147576451,,,
14,5699,0.0016759609570726752,0.001476368634030223,,,
14,5749,0.0018575417343527079,0.0024677200708538294,,,
14,5799,0.003040522104129195,0.002879501087591052,,,
14,5849,0.005115693435072899,0.005505457520484924,,,
14,5849,,,0.8324999809265137,0.7477564215660095,0.7488982081413269
15,5899,0.0037438380531966686,0.003987248055636883,,,
15,5949,0.00123394257389009,0.001262559206224978,,,
15,5999,0.0027700955979526043,0.002655687043443322,,,
15,6049,0.002979460172355175,0.0027230812702327967,,,
15,6099,0.0020850340370088816,0.0029040630906820297,,,
15,6149,0.005808928515762091,0.004877562168985605,,,
15,6199,0.0014458298683166504,0.0013297767145559192,,,
15,6239,,,0.8424000144004822,0.7534254789352417,0.753325343132019
16,6249,0.0022742634173482656,0.002774709602817893,,,
16,6299,0.001480763079598546,0.0012032410595566034,,,
16,6349,0.0021873791702091694,0.003156814957037568,,,
16,6399,0.0021435569506138563,0.0022578267380595207,,,
16,6449,0.0010474649025127292,0.0022505547385662794,,,
16,6499,0.0017849199939519167,0.002225831849500537,,,
16,6549,0.0018603726057335734,0.0015601033810526133,,,
16,6599,0.0031190908048301935,0.0029572504572570324,,,
16,6629,,,0.8446000218391418,0.7570112347602844,0.757031261920929
17,6649,0.0010510876309126616,0.0008278870955109596,,,
17,6699,0.001847393112257123,0.0018493498209863901,,,
17,6749,0.0023027125280350447,0.0011943114222958684,,,
17,6799,0.0022422256879508495,0.001927605364471674,,,
17,6849,0.0024729010183364153,0.0030287504196166992,,,
17,6899,0.002262084512040019,0.0025578439235687256,,,
17,6949,0.0027813916094601154,0.0021152179688215256,,,
17,6999,0.002796666929498315,0.0021908043418079615,,,
17,7019,,,0.8589000105857849,0.760817289352417,0.760236382484436
18,7049,0.0017043183324858546,0.0019228169694542885,,,
18,7099,0.0008378748898394406,0.0016383434413000941,,,
18,7149,0.0023437899071723223,0.001558963442221284,,,
18,7199,0.003235042793676257,0.002638787031173706,,,
18,7249,0.001832184032537043,0.0015323278494179249,,,
18,7299,0.0013952007284387946,0.0016970833530649543,,,
18,7349,0.002235677093267441,0.003184713888913393,,,
18,7399,0.0018779255915433168,0.0018186564557254314,,,
18,7409,,,0.8522999882698059,0.7644430994987488,0.7665865421295166
19,7449,0.002331975381821394,0.0018837895477190614,,,
19,7499,0.0013820534804835916,0.00098380446434021,,,
19,7549,0.0023874712642282248,0.0015122548211365938,,,
19,7599,0.0009124854113906622,0.0008872971520759165,,,
19,7649,0.0014441944658756256,0.002142454031854868,,,
19,7699,0.0009673176682554185,0.001118113985285163,,,
19,7749,0.0006820725393481553,0.0010027867974713445,,,
19,7799,0.002665062202140689,0.0030139379668980837,,,
19,7799,,,0.8575999736785889,0.7669270634651184,0.7682291865348816
20,7849,0.0014052516780793667,0.0011909620370715857,,,
20,7899,0.0008509937324561179,0.0008887911681085825,,,
20,7949,0.0012574768625199795,0.002100002486258745,,,
20,7999,0.0022011802066117525,0.002571806777268648,,,
20,8049,0.000832382938824594,0.0010306867770850658,,,
20,8099,0.0004537356144282967,0.0005646517383866012,,,
20,8149,0.001898660440929234,0.0020777860190719366,,,
20,8189,,,0.8593999743461609,0.7685496807098389,0.7691707015037537
21,8199,0.0015674998285248876,0.00169061915948987,,,
21,8249,0.002232311526313424,0.002042523818090558,,,
21,8299,0.0018317620269954205,0.0017720801988616586,,,
21,8349,0.0013981707161292434,0.001000748248770833,,,
21,8399,0.0007909628911875188,0.0009758656960912049,,,
21,8449,0.0018346291035413742,0.0017496050568297505,,,
21,8499,0.0020780046470463276,0.0032993368804454803,,,
21,8549,0.0012460763100534678,0.0008532400242984295,,,
21,8579,,,0.859499990940094,0.7757211327552795,0.7755809426307678
22,8599,0.0005846076528541744,0.0007590622408315539,,,
22,8649,0.001720934291370213,0.0022010155953466892,,,
22,8699,0.003326322417706251,0.0038295576814562082,,,
22,8749,0.0011253895936533809,0.0006131008267402649,,,
22,8799,0.0016783577157184482,0.0032371359411627054,,,
22,8849,0.001825047773309052,0.0015051678055897355,,,
22,8899,0.001725441194139421,0.002137023489922285,,,
22,8949,0.0013539147330448031,0.0010060975328087807,,,
22,8969,,,0.8756999969482422,0.7744390964508057,0.7775641083717346
23,8999,0.0009285302949137986,0.0003591411514207721,,,
23,9049,0.0012044792529195547,0.0007105996483005583,,,
23,9099,0.0006791233900003135,0.0006415045354515314,,,
23,9149,0.0032381860073655844,0.0027569979429244995,,,
23,9199,0.00037426193011924624,0.0007136613130569458,,,
23,9249,0.0011457378277555108,0.0014080131659284234,,,
23,9299,0.0010003632633015513,0.001223024446517229,,,
23,9349,0.0007142135291360319,0.0007467663381248713,,,
23,9359,,,0.871999979019165,0.7791666388511658,0.7803285121917725
24,9399,0.00124442542437464,0.0015064446488395333,,,
24,9449,0.0008267528028227389,0.0006250284495763481,,,
24,9499,0.0009024635073728859,0.0006314099882729352,,,
24,9549,0.000927505549043417,0.0016611344181001186,,,
24,9599,0.0015408972976729274,0.0015541311586275697,,,
24,9649,0.0020434437319636345,0.0022328917402774096,,,
24,9699,0.0030330251902341843,0.0017387726111337543,,,
24,9749,0.00184483896009624,0.0030733251478523016,,,
24,9749,,,0.873199999332428,0.7820913195610046,0.7797876596450806
25,9799,0.0009739859378896654,0.0010224406141787767,,,
25,9849,0.00041998247615993023,0.0005767339607700706,,,
25,9899,0.002998726675286889,0.0027485699392855167,,,
25,9949,0.0015693202149122953,0.0015065568732097745,,,
25,9999,0.0008132775546982884,0.0010528407292440534,,,
25,10049,0.00150273775216192,0.0018031810177490115,,,
25,10099,0.0019361109007149935,0.002095282543450594,,,
25,10139,,,0.873199999332428,0.7843950390815735,0.7846354246139526
26,10149,0.0008582771988585591,0.0008599110296927392,,,
26,10199,0.0008697817102074623,0.001125310780480504,,,
26,10249,0.0007162649999372661,0.0012774730566889048,,,
26,10299,0.0009174004662781954,0.0016506352694705129,,,
26,10349,0.0017346730455756187,0.0020265027415007353,,,
26,10399,0.0005253145936876535,0.0013059737393632531,,,
26,10449,0.0009215963655151427,0.0010025380179286003,,,
26,10499,0.001730379299260676,0.0022654016502201557,,,
26,10529,,,0.8695999979972839,0.7862980961799622,0.7867788672447205
27,10549,0.000853625126183033,0.0010025844676420093,,,
27,10599,0.0016646052245050669,0.0015625075902789831,,,
27,10649,0.0007334069814532995,0.0008307032403536141,,,
27,10699,0.0007957445341162384,0.0009399487171322107,,,
27,10749,0.0017498860834166408,0.001301976153627038,,,
27,10799,0.0015685188118368387,0.0018048036145046353,,,
27,10849,0.0016112028388306499,0.0012620139168575406,,,
27,10899,0.0023058950901031494,0.002527544740587473,,,
27,10919,,,0.8783000111579895,0.7877203822135925,0.7881009578704834
28,10949,0.001285830861888826,0.0013482414651662111,,,
28,10999,0.0005691739497706294,0.0012930500088259578,,,
28,11049,0.0012207316467538476,0.0007216338999569416,,,
28,11099,0.0018338514491915703,0.0022020069882273674,,,
28,11149,0.002378626260906458,0.0025244704447686672,,,
28,11199,0.0006060143932700157,0.0005859582452103496,,,
28,11249,0.00042900803964585066,0.0005717844469472766,,,
28,11299,0.002156977541744709,0.001228226232342422,,,
28,11309,,,0.8766999840736389,0.7911057472229004,0.7914062738418579
29,11349,0.005751418881118298,0.0015598740428686142,,,
29,11399,0.0008083836291916668,0.0009060777956619859,,,
29,11449,0.0008480052347294986,0.0010526999831199646,,,
29,11499,0.0016806247876957059,0.001849308144301176,,,
29,11549,0.0010325676994398236,0.0006879856809973717,,,
29,11599,0.001229689922183752,0.0013005282962694764,,,
29,11649,0.0018458913546055555,0.0014351416612043977,,,
29,11699,0.0004341349413152784,0.0002900286635849625,,,
29,11699,,,0.8679999709129333,0.7922876477241516,0.7924479246139526
30,11749,0.0008889655000530183,0.0009448115015402436,,,
30,11799,0.001518724486231804,0.0007976506603881717,,,
30,11849,0.0010188426822423935,0.001640643342398107,,,
30,11899,0.0004952229210175574,0.00043041081517003477,,,
30,11949,0.00032432828447781503,0.000269628333626315,,,
30,11999,0.0010991496965289116,0.0010505447862669826,,,
30,12049,0.0009421713184565306,0.0009675835608504713,,,
30,12089,,,0.8805999755859375,0.7951522469520569,0.794491171836853
31,12099,0.0005733082653023303,0.0010693417862057686,,,
31,12149,0.0013250670162960887,0.0012845138553529978,,,
31,12199,0.0011977016692981124,0.0014132908545434475,,,
