Epoch,Training Acc,Val_Noisy_Acc,Test_ACC
0,31.98,32.83,24.02
1,33.885,34.2,24.74
2,39.5575,38.4,37.35
3,41.4425,42.86,35.14
4,43.7775,45.99,40.13
5,48.535,48.59,36.91
6,49.005,50.01,44.89
7,51.0375,51.28,41.91
8,53.425,53.91,45.38
9,54.38,54.53,40.41
10,55.4575,55.94,46.17
11,53.885,54.72,45.57
12,57.535,58.26,41.45
13,58.28,58.22,46.03
14,57.935,59.06,42.38
15,59.3,59.13,42.23
16,57.4975,56.8,44.55
17,59.11,58.06,47.46
18,59.32,57.9,48.48
19,61.435,61.34,43.67
20,60.1475,59.39,44.37
21,59.32,58.21,47.94
22,58.9425,57.92,50.99
23,58.9625,57.96,50.21
24,56.24,56.93,51.63
25,57.8275,57.2,54.17
26,57.6325,57.55,50.07
27,56.31,56.29,59.0
28,58.06,57.44,51.68
29,60.2175,60.71,44.13
30,57.5375,56.59,60.13
31,59.78,59.56,49.06
32,56.7675,55.89,56.78
33,55.8225,55.21,57.65
34,59.8725,59.92,44.24
35,59.6825,59.37,47.56
36,59.7775,59.17,45.65
37,57.7525,57.31,61.8
38,56.6625,56.05,61.12
39,60.2375,60.14,46.1
40,62.985,61.14,54.11
41,64.2425,62.33,50.17
42,64.73,63.74,45.99
43,64.9125,62.99,50.6
44,64.2775,62.54,53.38
45,65.09,62.73,51.78
46,64.53,61.95,56.08
47,64.685,62.63,53.24
48,63.985,60.55,61.42
49,65.1125,63.22,51.11
