epoch train_acc1 train_acc2 test_acc1 test_acc2
0 0 0 10.817307692307692 9.985977564102564
1 25.15224358974359 26.326121794871796 39.08253205128205 40.89543269230769
2 33.47956730769231 34.74559294871795 42.84855769230769 44.83173076923077
3 36.61658653846154 37.39182692307692 46.69471153846154 46.81490384615385
4 39.07251602564103 39.62540064102564 47.97676282051282 48.177083333333336
5 40.75320512820513 41.18790064102564 49.479166666666664 50.79126602564103
6 42.522035256410255 43.0088141025641 52.40384615384615 52.51402243589744
7 43.93028846153846 44.40304487179487 52.814503205128204 52.453926282051285
8 44.18269230769231 45.24238782051282 54.427083333333336 53.10496794871795
9 45.34655448717949 46.516426282051285 55.43870192307692 56.350160256410255
10 46.70673076923077 47.5380608974359 55.48878205128205 56.22996794871795
11 47.53405448717949 48.53966346153846 56.80088141025641 57.04126602564103
12 48.28725961538461 49.43509615384615 57.54206730769231 58.61378205128205
13 48.880208333333336 50.37459935897436 56.770833333333336 57.712339743589745
14 49.18870192307692 50.71514423076923 57.161458333333336 59.30488782051282
15 50.01602564102564 51.28405448717949 57.99278846153846 59.01442307692308
16 50.280448717948715 51.69070512820513 58.89423076923077 60.08613782051282
17 50.92948717948718 52.51602564102564 58.66386217948718 60.416666666666664
18 51.173878205128204 53.01282051282051 58.072916666666664 59.35496794871795
19 51.7588141025641 53.40945512820513 58.77403846153846 60.24639423076923
20 48.21113782051282 49.53926282051282 54.24679487179487 59.274839743589745
21 49.45913461538461 50.73317307692308 58.47355769230769 59.36498397435897
22 49.62940705128205 51.17988782051282 54.38701923076923 56.31009615384615
23 50.212339743589745 51.62860576923077 57.502003205128204 58.89423076923077
24 51.17588141025641 52.72035256410256 58.39342948717949 57.00120192307692
25 51.72676282051282 53.05889423076923 58.072916666666664 59.13461538461539
26 51.65264423076923 53.96634615384615 58.22315705128205 59.475160256410255
27 52.341746794871796 54.17067307692308 57.65224358974359 58.102964743589745
28 52.6181891025641 54.36097756410256 57.97275641025641 60.36658653846154
29 52.98677884615385 54.244791666666664 58.59375 59.895833333333336
30 53.19511217948718 55.08213141025641 58.483573717948715 59.54527243589744
31 53.205128205128204 55.33653846153846 58.91426282051282 59.635416666666664
32 53.86217948717949 55.861378205128204 58.313301282051285 59.64543269230769
33 54.00841346153846 56.13782051282051 59.23477564102564 60.27644230769231
34 54.36298076923077 56.374198717948715 59.28485576923077 59.35496794871795
35 54.791666666666664 56.53445512820513 59.094551282051285 60.647035256410255
36 54.8056891025641 56.92508012820513 57.732371794871796 60.27644230769231
37 55.09014423076923 56.59655448717949 58.66386217948718 60.18629807692308
38 54.69551282051282 57.09935897435897 58.71394230769231 59.78565705128205
39 55.520833333333336 57.48798076923077 58.62379807692308 59.70552884615385
40 55.29847756410256 57.50400641025641 54.54727564102564 56.52043269230769
41 55.59695512820513 57.552083333333336 56.76081730769231 59.375
