step,train_loss,epoch,val_acc,train_acc,test_acc
10149,nan,32,,,
10199,nan,32,,,
10249,nan,32,,,
10299,nan,32,,,
10328,,32,0.10140000283718109,,
10328,,32,,0.09965000301599503,0.1002769023180008
10349,nan,33,,,
10399,nan,33,,,
10449,nan,33,,,
10499,nan,33,,,
10549,nan,33,,,
10599,nan,33,,,
10641,,33,0.10140000283718109,,
10641,,33,,0.09965000301599503,0.1002769023180008
10649,nan,34,,,
10699,nan,34,,,
10749,nan,34,,,
10799,nan,34,,,
10849,nan,34,,,
10899,nan,34,,,
10949,nan,34,,,
10954,,34,0.10140000283718109,,
10954,,34,,0.09965000301599503,0.1002769023180008
10999,nan,35,,,
11049,nan,35,,,
11099,nan,35,,,
11149,nan,35,,,
11199,nan,35,,,
11249,nan,35,,,
11267,,35,0.10140000283718109,,
11267,,35,,0.09965000301599503,0.1002769023180008
11299,nan,36,,,
11349,nan,36,,,
11399,nan,36,,,
11449,nan,36,,,
11499,nan,36,,,
11549,nan,36,,,
11580,,36,0.10140000283718109,,
11580,,36,,0.09965000301599503,0.1002769023180008
11599,nan,37,,,
11649,nan,37,,,
11699,nan,37,,,
11749,nan,37,,,
11799,nan,37,,,
11849,nan,37,,,
11893,,37,0.10140000283718109,,
11893,,37,,0.09965000301599503,0.1002769023180008
11899,nan,38,,,
11949,nan,38,,,
11999,nan,38,,,
12049,nan,38,,,
12099,nan,38,,,
12149,nan,38,,,
12199,nan,38,,,
12206,,38,0.10140000283718109,,
12206,,38,,0.09965000301599503,0.1002769023180008
12249,nan,39,,,
12299,nan,39,,,
12349,nan,39,,,
12399,nan,39,,,
12449,nan,39,,,
12499,nan,39,,,
12519,,39,0.10140000283718109,,
12519,,39,,0.09965000301599503,0.1002769023180008
12549,nan,40,,,
12599,nan,40,,,
12649,nan,40,,,
12699,nan,40,,,
12749,nan,40,,,
12799,nan,40,,,
12832,,40,0.10140000283718109,,
12832,,40,,0.09965000301599503,0.1002769023180008
12849,nan,41,,,
12899,nan,41,,,
12949,nan,41,,,
12999,nan,41,,,
13049,nan,41,,,
13099,nan,41,,,
13145,,41,0.10140000283718109,,
13145,,41,,0.09965000301599503,0.1002769023180008
13149,nan,42,,,
13199,nan,42,,,
13249,nan,42,,,
13299,nan,42,,,
13349,nan,42,,,
13399,nan,42,,,
13449,nan,42,,,
13458,,42,0.10140000283718109,,
13458,,42,,0.09965000301599503,0.1002769023180008
13499,nan,43,,,
13549,nan,43,,,
13599,nan,43,,,
