step,epoch,train_loss,val_acc2,val_acc1,train_acc2,train_acc1,test_acc
49,0,5.092740058898926,,,,,
99,0,1.6125173568725586,,,,,
149,0,0.8389230370521545,,,,,
199,0,0.6668311357498169,,,,,
249,0,0.6688111424446106,,,,,
299,0,0.6396642923355103,,,,,
312,0,,0.10170000046491623,0.10159999877214432,,,
312,0,,,,0.09952499717473984,0.09952499717473984,0.10096914321184158
349,1,0.5808200240135193,,,,,
399,1,0.6065029501914978,,,,,
449,1,0.571854293346405,,,,,
499,1,0.536942183971405,,,,,
549,1,0.5125575661659241,,,,,
599,1,0.5154663324356079,,,,,
625,1,,0.10339999943971634,0.10520000010728836,,,
625,1,,,,0.09965000301599503,0.0997999981045723,0.10502373427152634
649,2,0.470166951417923,,,,,
699,2,0.4549110531806946,,,,,
749,2,0.47193199396133423,,,,,
799,2,0.5020285248756409,,,,,
849,2,0.47481706738471985,,,,,
899,2,0.4664651155471802,,,,,
938,2,,0.10459999740123749,0.10540000349283218,,,
938,2,,,,0.10369999706745148,0.10450000315904617,0.1048259511590004
949,3,0.44405364990234375,,,,,
999,3,0.45790454745292664,,,,,
1049,3,0.4478906989097595,,,,,
1099,3,0.44547563791275024,,,,,
1149,3,0.4501127004623413,,,,,
1199,3,0.45985040068626404,,,,,
1249,3,0.46528172492980957,,,,,
1251,3,,0.10589999705553055,0.10909999907016754,,,
1251,3,,,,0.10262499749660492,0.10197500139474869,0.10452926903963089
1299,4,0.4467233121395111,,,,,
1349,4,0.45386019349098206,,,,,
1399,4,0.44362136721611023,,,,,
1449,4,0.4454076588153839,,,,,
1499,4,0.447831392288208,,,,,
1549,4,0.4456700086593628,,,,,
1564,4,,0.10830000042915344,0.1111999973654747,,,
1564,4,,,,0.10522499680519104,0.10402499884366989,0.10650712251663208
1599,5,0.4426921606063843,,,,,
1649,5,0.43999412655830383,,,,,
1699,5,0.44218844175338745,,,,,
1749,5,0.4439156651496887,,,,,
1799,5,0.43735477328300476,,,,,
1849,5,0.44048383831977844,,,,,
1877,5,,0.11949999630451202,0.12030000239610672,,,
1877,5,,,,0.10970000177621841,0.11140000075101852,0.11926423758268356
1899,6,0.4423430263996124,,,,,
1949,6,0.4340612590312958,,,,,
1999,6,0.44044381380081177,,,,,
2049,6,0.436184823513031,,,,,
2099,6,0.4375404119491577,,,,,
2149,6,0.4390356242656708,,,,,
2190,6,,0.13860000669956207,0.13819999992847443,,,
2190,6,,,,0.12622499465942383,0.1256749927997589,0.1302413046360016
2199,7,0.4367004632949829,,,,,
2249,7,0.4274194836616516,,,,,
2299,7,0.4295797348022461,,,,,
2349,7,0.4279862940311432,,,,,
2399,7,0.4185396432876587,,,,,
2449,7,0.43251949548721313,,,,,
2499,7,0.409725546836853,,,,,
2503,7,,0.16459999978542328,0.163100004196167,,,
2503,7,,,,0.14717499911785126,0.14857499301433563,0.1693038046360016
2549,8,0.4121891260147095,,,,,
2599,8,0.39038732647895813,,,,,
2649,8,0.38736093044281006,,,,,
2699,8,0.3854568600654602,,,,,
2749,8,0.36879879236221313,,,,,
2799,8,0.36478307843208313,,,,,
2816,8,,0.20669999718666077,0.20730000734329224,,,
2816,8,,,,0.19040000438690186,0.1889999955892563,0.20648734271526337
2849,9,0.34598204493522644,,,,,
2899,9,0.3700949251651764,,,,,
2949,9,0.3647173345088959,,,,,
2999,9,0.36499547958374023,,,,,
3049,9,0.35774436593055725,,,,,
3099,9,0.35116279125213623,,,,,
3129,9,,0.22059999406337738,0.22139999270439148,,,
3129,9,,,,0.20069999992847443,0.19817499816417694,0.2245846539735794
3149,10,0.33174383640289307,,,,,
3199,10,0.3392447233200073,,,,,
3249,10,0.3563440442085266,,,,,
3299,10,0.33176374435424805,,,,,
3349,10,0.33980217576026917,,,,,
3399,10,0.3187807500362396,,,,,
3442,10,,0.2320999950170517,0.2231999933719635,,,
3442,10,,,,0.22062499821186066,0.21882499754428864,0.22438687086105347
3449,11,0.33112725615501404,,,,,
3499,11,0.3379777669906616,,,,,
3549,11,0.3301912844181061,,,,,
3599,11,0.3262576758861542,,,,,
3649,11,0.33848026394844055,,,,,
3699,11,0.31691884994506836,,,,,
3749,11,0.3396775424480438,,,,,
3755,11,,0.22499999403953552,0.21209999918937683,,,
3755,11,,,,0.22654999792575836,0.22654999792575836,0.23002372682094574
3799,12,0.31536367535591125,,,,,
3849,12,0.37435486912727356,,,,,
3899,12,0.3576541244983673,,,,,
3949,12,0.3372325599193573,,,,,
3999,12,0.3287560045719147,,,,,
4049,12,0.32611557841300964,,,,,
4068,12,,0.24560000002384186,0.23639999330043793,,,
4068,12,,,,0.23307499289512634,0.2309499979019165,0.24129746854305267
4099,13,0.39128395915031433,,,,,
4149,13,0.41642552614212036,,,,,
4199,13,0.3218967616558075,,,,,
4249,13,0.3978860080242157,,,,,
4299,13,0.38121530413627625,,,,,
4349,13,0.3747272491455078,,,,,
4381,13,,0.19220000505447388,0.22040000557899475,,,
4381,13,,,,0.2057500034570694,0.20409999787807465,0.2230023741722107
4399,14,0.3671841323375702,,,,,
4449,14,0.3603670597076416,,,,,
4499,14,0.36425361037254333,,,,,
4549,14,0.35757026076316833,,,,,
4599,14,0.33826547861099243,,,,,
4649,14,0.3966837525367737,,,,,
4694,14,,0.21230000257492065,0.20810000598430634,,,
4694,14,,,,0.2152000069618225,0.2160000056028366,0.22468353807926178
4699,15,0.38353514671325684,,,,,
4749,15,0.3881579339504242,,,,,
4799,15,0.34494897723197937,,,,,
4849,15,0.3551687002182007,,,,,
4899,15,0.3731338679790497,,,,,
4949,15,0.3714551031589508,,,,,
4999,15,0.36067041754722595,,,,,
5007,15,,0.2004999965429306,0.19760000705718994,,,
5007,15,,,,0.20524999499320984,0.20637500286102295,0.19847705960273743
5049,16,0.3602445125579834,,,,,
5099,16,0.3759375810623169,,,,,
5149,16,0.3523024320602417,,,,,
5199,16,0.3382473886013031,,,,,
5249,16,0.4003159999847412,,,,,
5299,16,0.3819126784801483,,,,,
5320,16,,0.20720000565052032,0.2078000009059906,,,
5320,16,,,,0.1951500028371811,0.19512499868869781,0.2109375
5349,17,0.3480794429779053,,,,,
5399,17,0.3371772766113281,,,,,
5449,17,0.34696003794670105,,,,,
5499,17,0.32772281765937805,,,,,
5549,17,0.3334547281265259,,,,,
5599,17,0.3320680856704712,,,,,
5633,17,,0.22910000383853912,0.22750000655651093,,,
5633,17,,,,0.21160000562667847,0.2120250016450882,0.2330894023180008
5649,18,0.31998908519744873,,,,,
5699,18,0.33880385756492615,,,,,
5749,18,0.2986520826816559,,,,,
5799,18,0.3428058922290802,,,,,
5849,18,0.29964032769203186,,,,,
5899,18,0.3054065406322479,,,,,
5946,18,,0.26179999113082886,0.2502000033855438,,,
5946,18,,,,0.23729999363422394,0.23612500727176666,0.2626582384109497
5949,19,0.32917022705078125,,,,,
5999,19,0.36273321509361267,,,,,
6049,19,0.3850031793117523,,,,,
6099,19,0.32978513836860657,,,,,
6149,19,0.36276760697364807,,,,,
6199,19,0.388780415058136,,,,,
6249,19,0.3355027139186859,,,,,
6259,19,,0.21709999442100525,0.21299999952316284,,,
6259,19,,,,0.210999995470047,0.20884999632835388,0.22062896192073822
6299,20,0.3488672971725464,,,,,
6349,20,0.3620719015598297,,,,,
6399,20,0.34496745467185974,,,,,
