train_loss,epoch,step,val_loss,val_acc,train_acc,test_acc
2.441694498062134,0,49,,,,
2.038801670074463,0,99,,,,
2.0062103271484375,0,149,,,,
2.067190647125244,0,199,,,,
1.9271485805511475,0,249,,,,
1.7339396476745605,0,299,,,,
,0,312,1.726091742515564,0.3555000126361847,,
,0,312,,,0.23109999299049377,0.3600672483444214
1.7440043687820435,1,349,,,,
1.957808017730713,1,399,,,,
1.6383603811264038,1,449,,,,
1.6667745113372803,1,499,,,,
1.5646159648895264,1,549,,,,
1.556786060333252,1,599,,,,
,1,625,1.6255589723587036,0.40389999747276306,,
,1,625,,,0.3702000081539154,0.435621052980423
1.5959465503692627,2,649,,,,
1.4392638206481934,2,699,,,,
1.5008747577667236,2,749,,,,
1.4512629508972168,2,799,,,,
1.3930853605270386,2,849,,,,
1.5353217124938965,2,899,,,,
,2,938,1.4859000444412231,0.4738999903202057,,
,2,938,,,0.43972501158714294,0.49109968543052673
1.5191352367401123,3,949,,,,
1.3984252214431763,3,999,,,,
1.3639800548553467,3,1049,,,,
1.39937424659729,3,1099,,,,
1.4485136270523071,3,1149,,,,
1.3160731792449951,3,1199,,,,
1.2761447429656982,3,1249,,,,
,3,1251,1.2462199926376343,0.5444999933242798,,
,3,1251,,,0.49274998903274536,0.550929605960846
1.313462495803833,4,1299,,,,
1.3062877655029297,4,1349,,,,
1.0952959060668945,4,1399,,,,
1.5933387279510498,4,1449,,,,
1.3500570058822632,4,1499,,,,
1.3733289241790771,4,1549,,,,
,4,1564,1.447455883026123,0.4787999987602234,,
,4,1564,,,0.5407249927520752,0.5309533476829529
1.15739107131958,5,1599,,,,
1.2528526782989502,5,1649,,,,
1.2239429950714111,5,1699,,,,
1.1435006856918335,5,1749,,,,
1.311959981918335,5,1799,,,,
1.343665599822998,5,1849,,,,
,5,1877,1.1803847551345825,0.588100016117096,,
,5,1877,,,0.5776749849319458,0.6107594966888428
1.1049647331237793,6,1899,,,,
1.150482416152954,6,1949,,,,
0.9843733310699463,6,1999,,,,
0.9971194267272949,6,2049,,,,
1.1276123523712158,6,2099,,,,
1.1446051597595215,6,2149,,,,
,6,2190,1.0546672344207764,0.6263999938964844,,
,6,2190,,,0.6065250039100647,0.6284612417221069
1.098227858543396,7,2199,,,,
0.9662800431251526,7,2249,,,,
1.1790353059768677,7,2299,,,,
1.1849784851074219,7,2349,,,,
0.8924357891082764,7,2399,,,,
0.8195897340774536,7,2449,,,,
0.9482616186141968,7,2499,,,,
,7,2503,1.118790864944458,0.6190999746322632,,
,7,2503,,,0.6326500177383423,0.6517009735107422
1.1817692518234253,8,2549,,,,
0.9030894041061401,8,2599,,,,
0.9859648942947388,8,2649,,,,
0.9820087552070618,8,2699,,,,
0.9545648097991943,8,2749,,,,
0.8802173137664795,8,2799,,,,
,8,2816,1.0707197189331055,0.640999972820282,,
,8,2816,,,0.649399995803833,0.6744462251663208
0.9481334686279297,9,2849,,,,
0.9264597296714783,9,2899,,,,
1.0678839683532715,9,2949,,,,
0.877181887626648,9,2999,,,,
