epoch,train_loss,step,test_acc,train_acc
0,2.146054983139038,49,,
0,1.8979824781417847,99,,
0,1.9418396949768066,149,,
0,1.635705828666687,199,,
0,1.837528109550476,249,,
0,1.6809905767440796,299,,
0,1.6904144287109375,349,,
0,,389,0.4702000021934509,0.38633814454078674
1,1.6381899118423462,399,,
1,1.568208932876587,449,,
1,1.5288972854614258,499,,
1,1.533349871635437,549,,
1,1.5324394702911377,599,,
1,1.3755497932434082,649,,
1,1.4214519262313843,699,,
1,1.3896361589431763,749,,
1,,779,0.5922999978065491,0.5717347860336304
2,1.4137799739837646,799,,
2,1.3383599519729614,849,,
2,1.3707629442214966,899,,
2,1.2795103788375854,949,,
2,1.1756523847579956,999,,
2,1.218930721282959,1049,,
2,1.1410632133483887,1099,,
2,1.1323716640472412,1149,,
2,,1169,0.6851999759674072,0.6805689334869385
3,1.0483087301254272,1199,,
3,1.1980174779891968,1249,,
3,1.1166458129882812,1299,,
3,1.2526603937149048,1349,,
3,1.147010326385498,1399,,
3,1.0928075313568115,1449,,
3,1.0387036800384521,1499,,
3,1.0771501064300537,1549,,
3,,1559,0.7408000230789185,0.7335336804389954
4,1.0972641706466675,1599,,
4,1.0074506998062134,1649,,
4,1.1239352226257324,1699,,
4,1.0385878086090088,1749,,
4,1.0327972173690796,1799,,
4,0.91032475233078,1849,,
4,1.0435298681259155,1899,,
4,0.8532062768936157,1949,,
4,,1949,0.7717000246047974,0.7723758220672607
5,0.9410849213600159,1999,,
5,0.893487274646759,2049,,
5,0.9030276536941528,2099,,
5,0.9836621880531311,2149,,
5,1.034667730331421,2199,,
5,0.9398523569107056,2249,,
5,0.9386306405067444,2299,,
5,,2339,0.776199996471405,0.7946714758872986
6,0.9106640219688416,2349,,
6,0.9314963221549988,2399,,
6,0.8310456275939941,2449,,
6,0.8972978591918945,2499,,
6,0.8539380431175232,2549,,
6,0.8348517417907715,2599,,
6,0.8709149956703186,2649,,
6,0.9959591627120972,2699,,
6,,2729,0.7965999841690063,0.8146234154701233
7,0.6580192446708679,2749,,
7,0.7587507367134094,2799,,
7,0.834522545337677,2849,,
7,0.7708185911178589,2899,,
7,0.8690597414970398,2949,,
7,0.858174741268158,2999,,
7,0.83265221118927,3049,,
7,0.6971847414970398,3099,,
7,,3119,0.8015000224113464,0.8331330418586731
8,0.7657039165496826,3149,,
8,0.807626485824585,3199,,
8,0.6844974756240845,3249,,
8,0.7993758320808411,3299,,
8,0.7204357981681824,3349,,
8,0.8621176481246948,3399,,
8,0.734857976436615,3449,,
8,0.7205280065536499,3499,,
8,,3509,0.8309999704360962,0.8445712924003601
9,0.6246401071548462,3549,,
9,0.8009000420570374,3599,,
9,0.716724693775177,3649,,
9,0.7311702966690063,3699,,
9,0.6099461317062378,3749,,
9,0.7152806520462036,3799,,
9,0.6803816556930542,3849,,
9,0.7085458636283875,3899,,
9,,3899,0.8450000286102295,0.856330156326294
10,0.6789424419403076,3949,,
10,0.7123286724090576,3999,,
10,0.680368959903717,4049,,
10,0.7651060223579407,4099,,
10,0.8429688811302185,4149,,
10,0.5624399185180664,4199,,
10,0.6080358028411865,4249,,
10,,4289,0.836899995803833,0.8664663434028625
11,0.6379137635231018,4299,,
11,0.5411404967308044,4349,,
11,0.6257652640342712,4399,,
11,0.6174748539924622,4449,,
11,0.6439538598060608,4499,,
11,0.5354169011116028,4549,,
11,0.5652121305465698,4599,,
11,0.5821661949157715,4649,,
11,,4679,0.847100019454956,0.8735376596450806
12,0.5573703050613403,4699,,
12,0.5723866820335388,4749,,
12,0.551182746887207,4799,,
12,0.4922066330909729,4849,,
12,0.6232946515083313,4899,,
