step,epoch,train_loss2,train_loss1,val_acc1,val_acc2,train_acc2,test_acc,train_acc1
49,0,0.017961909994482994,0.01704772189259529,,,,,
99,0,0.016479454934597015,0.015614207834005356,,,,,
149,0,0.015078572556376457,0.014552675187587738,,,,,
199,0,0.015154405497014523,0.015652447938919067,,,,,
249,0,0.014916167594492435,0.014442088082432747,,,,,
299,0,0.012878199107944965,0.012042645364999771,,,,,
312,0,,,0.37209999561309814,0.36489999294281006,,,
312,0,,,,,0.27297499775886536,0.39438292384147644,0.27342501282691956
349,1,0.013064580969512463,0.013034365139901638,,,,,
399,1,0.012022376991808414,0.011817584745585918,,,,,
449,1,0.013465536758303642,0.013581265695393085,,,,,
499,1,0.011633637361228466,0.011794829741120338,,,,,
549,1,0.011423046700656414,0.011842855252325535,,,,,
599,1,0.01216113567352295,0.01286542508751154,,,,,
625,1,,,0.4424000084400177,0.44699999690055847,,,
625,1,,,,,0.3919000029563904,0.4444224536418915,0.3924750089645386
649,2,0.011643116362392902,0.01175854541361332,,,,,
699,2,0.011333422735333443,0.01160595566034317,,,,,
749,2,0.011797260493040085,0.012034635059535503,,,,,
799,2,0.012447962537407875,0.012486012652516365,,,,,
849,2,0.01074758730828762,0.010711551643908024,,,,,
899,2,0.011826898902654648,0.011564213782548904,,,,,
938,2,,,0.4797999858856201,0.4771000146865845,,,
938,2,,,,,0.4510500133037567,0.4792326092720032,0.44407498836517334
949,3,0.011186021380126476,0.012266429141163826,,,,,
999,3,0.009934313595294952,0.010346077382564545,,,,,
1049,3,0.010146989487111568,0.010395868681371212,,,,,
1099,3,0.01168608758598566,0.011066836304962635,,,,,
1149,3,0.008503654040396214,0.008551672101020813,,,,,
1199,3,0.010968769900500774,0.011371374130249023,,,,,
1249,3,0.00840808730572462,0.008947184309363365,,,,,
1251,3,,,0.5005999803543091,0.5184999704360962,,,
1251,3,,,,,0.4925000071525574,0.5211629867553711,0.48432499170303345
1299,4,0.008890152908861637,0.009793479926884174,,,,,
1349,4,0.010313613340258598,0.009398731403052807,,,,,
1399,4,0.010289046913385391,0.009420597925782204,,,,,
1449,4,0.008805196732282639,0.008583301678299904,,,,,
1499,4,0.008785567246377468,0.009258043020963669,,,,,
1549,4,0.0100549953058362,0.009946835227310658,,,,,
1564,4,,,0.5273000001907349,0.5437999963760376,,,
1564,4,,,,,0.5287749767303467,0.5423259735107422,0.526199996471405
