step,epoch,train_loss,val_acc2,val_acc1,test_acc,train_acc1,train_acc2
1849,5,0.440006285905838,,,,,
1871,5,,0.13130000233650208,0.10279999673366547,,,
1871,5,,,,0.0995846539735794,0.11045172065496445,0.11873998492956161
1899,6,0.4360220432281494,,,,,
1949,6,0.43452516198158264,,,,,
1999,6,0.44117677211761475,,,,,
2049,6,0.44338539242744446,,,,,
2099,6,0.45124033093452454,,,,,
2149,6,0.4316171109676361,,,,,
2183,6,,0.13130000233650208,0.12129999697208405,,,
2183,6,,,,0.11115506291389465,0.11127804219722748,0.12557591497898102
2199,7,0.43234366178512573,,,,,
2249,7,0.4284105896949768,,,,,
2299,7,0.42183929681777954,,,,,
2349,7,0.43308302760124207,,,,,
2399,7,0.428333044052124,,,,,
2449,7,0.430419921875,,,,,
2495,7,,0.12060000002384186,0.11699999868869781,,,
2495,7,,,,0.11481408029794693,0.12222055345773697,0.13166065514087677
2499,8,0.43115663528442383,,,,,
2549,8,0.4215008318424225,,,,,
2599,8,0.4169221520423889,,,,,
2649,8,0.41536226868629456,,,,,
2699,8,0.41652897000312805,,,,,
2749,8,0.42864835262298584,,,,,
2799,8,0.43691539764404297,,,,,
2807,8,,0.1421000063419342,0.1396999955177307,,,
2807,8,,,,0.13399921357631683,0.1264272779226303,0.15061599016189575
2849,9,0.4044610559940338,,,,,
2899,9,0.40245506167411804,,,,,
2949,9,0.3939732313156128,,,,,
2999,9,0.38668954372406006,,,,,
3049,9,0.3569548428058624,,,,,
3099,9,0.3684249222278595,,,,,
3119,9,,0.18219999969005585,0.188400000333786,,,
3119,9,,,,0.2024327516555786,0.17159955203533173,0.17420372366905212
3149,10,0.3453197777271271,,,,,
3199,10,0.3654603064060211,,,,,
3249,10,0.33974385261535645,,,,,
3299,10,0.3948804438114166,,,,,
3349,10,0.38134604692459106,,,,,
3399,10,0.3481258451938629,,,,,
3431,10,,0.2248000055551529,0.21140000224113464,,,
3431,10,,,,0.22606803476810455,0.20525340735912323,0.2060546875
3449,11,0.36535483598709106,,,,,
3499,11,0.3258514106273651,,,,,
3549,11,0.3531515896320343,,,,,
3599,11,0.325222909450531,,,,,
3649,11,0.33509430289268494,,,,,
