epoch,train_loss,step,val_acc,val_loss,test_acc,train_acc,mix_match_loss
0,2.269888401031494,49,,,,,
0,1.992226481437683,99,,,,,
0,1.9995195865631104,149,,,,,
0,1.6289997100830078,199,,,,,
0,1.7905266284942627,249,,,,,
0,1.7752948999404907,299,,,,,
0,,311,0.37380000948905945,1.7216227054595947,,,
0,,311,,,0.4221000075340271,0.3141776919364929,
1,1.684683918952942,349,,,,,
1,1.71290123462677,399,,,,,
1,1.8685407638549805,449,,,,,
1,1.4194834232330322,499,,,,,
1,1.4352481365203857,549,,,,,
1,1.5655378103256226,599,,,,,
1,,623,0.48429998755455017,1.5068650245666504,,,
1,,623,,,0.5349000096321106,0.44260817766189575,
2,1.48965322971344,649,,,,,
2,1.4319908618927002,699,,,,,
2,1.70162832736969,749,,,,,
2,1.5623691082000732,799,,,,,
2,1.3324735164642334,849,,,,,
2,1.452526569366455,899,,,,,
2,,935,0.5325000286102295,1.418515682220459,,,
2,,935,,,0.5924000144004822,0.5246143937110901,
3,1.4060899019241333,949,,,,,
3,1.335933804512024,999,,,,,
3,1.3178982734680176,1049,,,,,
3,1.431946039199829,1099,,,,,
3,1.2789974212646484,1149,,,,,
3,1.3261466026306152,1199,,,,,
3,,1247,0.5867000222206116,1.2931807041168213,,,
3,,1247,,,0.6597999930381775,0.5745442509651184,
4,1.0915614366531372,1249,,,,,
4,1.1889126300811768,1299,,,,,
4,1.317724347114563,1349,,,,,
4,1.0722038745880127,1399,,,,,
4,1.2140324115753174,1449,,,,,
4,1.1565206050872803,1499,,,,,
4,1.1510515213012695,1549,,,,,
4,,1559,0.607200026512146,1.2382665872573853,,,
4,,1559,,,0.6816999912261963,0.6165114045143127,
5,0.9217554926872253,1599,,,,,
5,1.2446141242980957,1649,,,,,
5,1.251860499382019,1699,,,,,
5,1.0796622037887573,1749,,,,,
5,1.0612908601760864,1799,,,,,
5,1.1573048830032349,1849,,,,,
5,,1871,0.6187000274658203,1.2371516227722168,,,
5,,1871,,,0.7016000151634216,0.6425280570983887,
6,1.088194489479065,1899,,,,,
6,1.2150570154190063,1949,,,,,
6,1.3049070835113525,1999,,,,,
6,1.2230557203292847,2049,,,,,
6,0.9912706017494202,2099,,,,,
6,1.021578073501587,2149,,,,,
6,,2183,0.6401000022888184,1.1581066846847534,,,
6,,2183,,,0.7372999787330627,0.6601061820983887,
7,0.9425845742225647,2199,,,,,
7,1.2696713209152222,2249,,,,,
7,1.319153070449829,2299,,,,,
7,1.0145237445831299,2349,,,,,
7,0.9937173128128052,2399,,,,,
7,0.9573088884353638,2449,,,,,
7,,2495,0.6428999900817871,1.1775609254837036,,,
7,,2495,,,0.7307999730110168,0.6748547554016113,
8,1.2177855968475342,2499,,,,,
8,1.0828545093536377,2549,,,,,
8,1.1463209390640259,2599,,,,,
8,1.0425630807876587,2649,,,,,
8,0.9668729901313782,2699,,,,,
8,1.129919171333313,2749,,,,,
8,0.937080979347229,2799,,,,,
8,,2807,0.6653000116348267,1.116330623626709,,,
8,,2807,,,0.7653999924659729,0.6845953464508057,
9,1.177161693572998,2849,,,,,
9,1.192452311515808,2899,,,,,
9,1.1132628917694092,2949,,,,,
9,1.0443719625473022,2999,,,,,
9,0.9039316773414612,3049,,,,,
9,0.9374241828918457,3099,,,,,
9,,3119,0.6879000067710876,1.0566012859344482,,,
9,,3119,,,0.7879999876022339,0.7012971043586731,
10,0.9885350465774536,3149,,,,,
10,0.8543862104415894,3199,,,,,
10,1.2114628553390503,3249,,,,,
10,0.818688154220581,3299,,,,,
10,0.8776377439498901,3349,,,,,
10,1.1035399436950684,3399,,,,,
10,,3431,0.7045000195503235,1.0257344245910645,,,
10,,3431,,,0.8069000244140625,0.7086839079856873,
11,0.7132110595703125,3449,,,,,
11,0.7138700485229492,3499,,,,,
11,0.8807199001312256,3549,,,,,
11,1.2082957029342651,3599,,,,,
11,1.1220449209213257,3649,,,,,
11,1.0259778499603271,3699,,,,,
11,,3743,0.692799985408783,1.0579355955123901,,,
11,,3743,,,0.7903000116348267,0.7192257642745972,
12,0.8232287168502808,3749,,,,,
12,1.1719087362289429,3799,,,,,
12,1.0521786212921143,3849,,,,,
12,1.1499357223510742,3899,,,,,
12,0.9052505493164062,3949,,,,,
12,1.0220030546188354,3999,,,,,
12,1.0654311180114746,4049,,,,,
12,,4055,0.6923999786376953,1.0364779233932495,,,
12,,4055,,,0.7918999791145325,0.6982421875,
13,0.9961277842521667,4099,,,,,
13,0.9106925129890442,4149,,,,,
13,0.8243365287780762,4199,,,,,
13,0.882321298122406,4249,,,,,
13,0.9814087748527527,4299,,,,,
13,0.8454148769378662,4349,,,,,
13,,4367,0.691100001335144,1.0426111221313477,,,
13,,4367,,,0.795199990272522,0.7165464758872986,
14,0.8805253505706787,4399,,,,,
14,1.0814813375473022,4449,,,,,
14,0.9767500162124634,4499,,,,,
14,1.043182611465454,4549,,,,,
14,0.8499676585197449,4599,,,,,
14,0.8547869324684143,4649,,,,,
14,,4679,0.7211999893188477,0.9848225712776184,,,
14,,4679,,,0.8273000121116638,0.7268379330635071,
15,0.7595512866973877,4699,,,,,
15,0.890008807182312,4749,,,,,
15,0.9630807042121887,4799,,,,,
15,1.2135505676269531,4849,,,,,
15,0.912265956401825,4899,,,,,
15,1.109411358833313,4949,,,,,
15,,4991,0.7121999859809875,0.9997472763061523,,,
15,,4991,,,0.8187999725341797,0.7346504330635071,
16,0.8445114493370056,4999,,,,,
16,0.8849576711654663,5049,,,,,
16,0.9132132530212402,5099,,,,,
16,0.9206090569496155,5149,,,,,
16,0.9784907102584839,5199,,,,,
16,1.0937076807022095,5249,,,,,
16,1.0689613819122314,5299,,,,,
16,,5303,0.6826000213623047,1.0768170356750488,,,
16,,5303,,,0.7885000109672546,0.7415614724159241,
17,0.9100300073623657,5349,,,,,
17,0.843774676322937,5399,,,,,
17,0.9711669683456421,5449,,,,,
17,0.9649630784988403,5499,,,,,
17,0.8566980361938477,5549,,,,,
17,1.1262845993041992,5599,,,,,
17,,5615,0.6898999810218811,1.079511284828186,,,
17,,5615,,,0.7972999811172485,0.7443910241127014,
18,0.9206257462501526,5649,,,,,
18,0.8771964311599731,5699,,,,,
18,0.8233703374862671,5749,,,,,
18,0.9376571774482727,5799,,,,,
18,0.8857210874557495,5849,,,,,
18,0.7859808802604675,5899,,,,,
18,,5927,0.7103999853134155,1.0068691968917847,,,
18,,5927,,,0.8216999769210815,0.7481721043586731,
19,0.6837117671966553,5949,,,,,
19,0.8942658305168152,5999,,,,,
19,0.9451683163642883,6049,,,,,
19,0.7824182510375977,6099,,,,,
19,0.9707736372947693,6149,,,,,
19,0.8621563911437988,6199,,,,,
19,,6239,0.723800003528595,0.9769941568374634,,,
19,,6239,,,0.8269000053405762,0.7533553838729858,
20,,6249,,,,,2.2950541973114014
20,,6299,,,,,2.278142213821411
20,,6349,,,,,2.3059844970703125
20,,6399,,,,,2.3178822994232178
20,,6449,,,,,2.3108673095703125
20,,6499,,,,,2.275233030319214
20,,6549,,,,,2.3339412212371826
20,,6557,0.11159999668598175,2.3022971153259277,,,
20,1.0690523386001587,6557,,,0.10000000149011612,0.7568259239196777,
21,,6599,,,,,0.1527201235294342
21,,6649,,,,,0.04668625816702843
21,,6699,,,,,0.030816301703453064
21,,6749,,,,,9.313225191043273e-10
21,,6799,,,,,1.6524476461564905e-18
21,,6849,,,,,1.2508838222034617e-18
21,,6899,,,,,6.424472927938461e-17
21,,6949,,,,,2.607702853651972e-08
21,,6999,,,,,1.4342366227992898e-07
21,,7049,,,,,3.390014171600342e-07
21,,7099,,,,,8.167697274075181e-07
21,,7113,0.11180000007152557,14.697484016418457,,,
21,,7113,,,0.10000000149011612,,
22,,7149,,,,,1.334584339929279e-06
22,,7199,,,,,2.5052552246052073e-06
22,,7249,,,,,3.963701601605862e-06
22,,7299,,,,,6.240773018362233e-06
22,,7349,,,,,7.919009476609062e-06
22,,7399,,,,,1.0105740329890978e-05
22,,7449,,,,,1.2512252396845724e-05
22,,7499,,,,,1.3172560102248099e-05
22,,7549,,,,,1.5076158888405189e-05
22,,7599,,,,,1.4754857147636358e-05
22,,7649,,,,,1.5878022168180905e-05
22,,7669,0.11180000007152557,11.876158714294434,,,
22,,7669,,,0.10000000149011612,,
23,,7699,,,,,1.63427375809988e-05
23,,7749,,,,,1.719675856293179e-05
23,,7799,,,,,1.7364396626362577e-05
23,,7849,,,,,1.730665098875761e-05
23,,7899,,,,,1.8768801965052262e-05
23,,7949,,,,,1.924098251038231e-05
23,,7999,,,,,1.8350656318943948e-05
23,,8049,,,,,1.95771917788079e-05
23,,8099,,,,,2.027288246608805e-05
23,,8149,,,,,2.0531782865873538e-05
23,,8199,,,,,2.0413515812833793e-05
23,,8225,0.11180000007152557,11.598776817321777,,,
23,,8225,,,0.10000000149011612,,
24,,8249,,,,,2.018533632508479e-05
24,,8299,,,,,2.0832598238484934e-05
24,,8349,,,,,2.132712870661635e-05
24,,8399,,,,,2.2503365471493453e-05
24,,8449,,,,,2.11185215448495e-05
24,,8499,,,,,2.2143894966575317e-05
24,,8549,,,,,2.3013741156319156e-05
24,,8599,,,,,2.2868462110636756e-05
24,,8649,,,,,2.404190308880061e-05
24,,8699,,,,,2.3253091057995334e-05
24,,8749,,,,,2.4203034627134912e-05
24,,8781,0.11180000007152557,11.41920280456543,,,
24,,8781,,,0.10000000149011612,,
25,,8799,,,,,2.44507518800674e-05
25,,8849,,,,,2.4865188606781885e-05
25,,8899,,,,,2.5026294679264538e-05
25,,8949,,,,,2.513527579139918e-05
25,,8999,,,,,2.5587884010747075e-05
25,,9049,,,,,2.5454717615502886e-05
25,,9099,,,,,2.5670784452813677e-05
25,,9149,,,,,2.6647730919648893e-05
25,,9199,,,,,2.6609550332068466e-05
25,,9249,,,,,2.7198129828320816e-05
25,,9299,,,,,2.7335980121279135e-05
25,,9337,0.11180000007152557,11.291115760803223,,,
25,,9337,,,0.10000000149011612,,
26,,9349,,,,,2.7970174414804205e-05
26,,9399,,,,,2.825981573550962e-05
26,,9449,,,,,2.8094984372728504e-05
26,,9499,,,,,2.816856067511253e-05
26,,9549,,,,,2.861931898223702e-05
26,,9599,,,,,2.8625841878238134e-05
26,,9649,,,,,2.9179045668570325e-05
26,,9699,,,,,2.9389524570433423e-05
26,,9749,,,,,2.970897730847355e-05
26,,9799,,,,,3.008987732755486e-05
26,,9849,,,,,3.0070325010456145e-05
26,,9893,0.11180000007152557,11.206011772155762,,,
26,,9893,,,0.10000000149011612,,
27,,9899,,,,,2.993714042531792e-05
27,,9949,,,,,3.0445633456110954e-05
27,,9999,,,,,3.0434459404204972e-05
27,,10049,,,,,3.065611963393167e-05
27,,10099,,,,,3.1037034204928204e-05
27,,10149,,,,,3.115344588877633e-05
27,,10199,,,,,3.132015626761131e-05
27,,10249,,,,,3.1554856832372025e-05
27,,10299,,,,,3.176253449055366e-05
27,,10349,,,,,3.219094651285559e-05
27,,10399,,,,,3.206615656381473e-05
27,,10449,,,,,3.2440555514767766e-05
27,,10449,0.11180000007152557,11.141424179077148,,,
27,,10449,,,0.10000000149011612,,
28,,10499,,,,,3.2745065254857764e-05
28,,10549,,,,,3.264914994360879e-05
28,,10599,,,,,3.299373929621652e-05
28,,10649,,,,,3.304776691948064e-05
28,,10699,,,,,3.3471511414973065e-05
28,,10749,,,,,3.3555334084667265e-05
28,,10799,,,,,3.365779048181139e-05
28,,10849,,,,,3.395581734366715e-05
28,,10899,,,,,3.4086202504113317e-05
28,,10949,,,,,3.440379077801481e-05
28,,10999,,,,,3.463569373707287e-05
28,,11005,0.11180000007152557,11.081615447998047,,,
28,,11005,,,0.10000000149011612,,
29,,11049,,,,,3.46645392710343e-05
29,,11099,,,,,3.501005994621664e-05
29,,11149,,,,,3.521867984090932e-05
29,,11199,,,,,3.5438479244476184e-05
29,,11249,,,,,3.555676084943116e-05
29,,11299,,,,,3.575979280867614e-05
29,,11349,,,,,3.592278517317027e-05
29,,11399,,,,,3.606993777793832e-05
29,,11449,,,,,3.639496935647912e-05
29,,11499,,,,,3.642012961790897e-05
29,,11549,,,,,3.6684614315163344e-05
29,,11561,0.11180000007152557,11.030830383300781,,,
29,,11561,,,0.10000000149011612,,
30,,11599,,,,,3.6869922041660175e-05
30,,11649,,,,,3.702825051732361e-05
30,,11699,,,,,3.719962478498928e-05
30,,11749,,,,,3.744550485862419e-05
30,,11799,,,,,3.755354919121601e-05
30,,11849,,,,,3.7804082239745185e-05
30,,11899,,,,,3.791770723182708e-05
30,,11949,,,,,3.821573409368284e-05
30,,11999,,,,,3.846719482680783e-05
30,,12049,,,,,3.856778494082391e-05
30,,12099,,,,,3.874753383570351e-05
30,,12117,0.11180000007152557,10.982309341430664,,,
30,,12117,,,0.10000000149011612,,
31,,12149,,,,,3.894493784173392e-05
31,,12199,,,,,3.9146110793808475e-05
31,,12249,,,,,3.925135388271883e-05
31,,12299,,,,,3.95801143895369e-05
31,,12349,,,,,3.9808299334254116e-05
31,,12399,,,,,3.992379060946405e-05
31,,12449,,,,,4.007281313533895e-05
31,,12499,,,,,4.032055949210189e-05
31,,12549,,,,,4.0483548218617216e-05
31,,12599,,,,,4.0637230995344e-05
31,,12649,,,,,4.0891492972150445e-05
31,,12673,0.11180000007152557,10.933660507202148,,,
31,,12673,,,0.10000000149011612,,
32,,12699,,,,,4.108331268071197e-05
32,,12749,,,,,4.1269577195635065e-05
32,,12799,,,,,4.1404626244911924e-05
32,,12849,,,,,4.158066076342948e-05
32,,12899,,,,,4.174830246483907e-05
32,,12949,,,,,4.191872358205728e-05
32,,12999,,,,,4.215995068079792e-05
32,,13049,,,,,4.2403033148730174e-05
32,,13099,,,,,4.253808219800703e-05
32,,13149,,,,,4.267220720066689e-05
32,,13199,,,,,4.278676715330221e-05
32,,13229,0.11180000007152557,10.891058921813965,,,
32,,13229,,,0.10000000149011612,,
33,,13249,,,,,4.293015445000492e-05
33,,13299,,,,,4.317790444474667e-05
33,,13349,,,,,4.338280996307731e-05
33,,13399,,,,,4.353276381152682e-05
33,,13449,,,,,4.364733467809856e-05
33,,13499,,,,,4.377121149445884e-05
33,,13549,,,,,4.387366789160296e-05
33,,13599,,,,,4.399753379402682e-05
33,,13649,,,,,4.4166114093968645e-05
33,,13699,,,,,4.442969657247886e-05
33,,13749,,,,,4.451537461136468e-05
33,,13785,0.11180000007152557,10.85694694519043,,,
33,,13785,,,0.10000000149011612,,
34,,13799,,,,,4.4595410145120695e-05
34,,13849,,,,,4.470345811569132e-05
34,,13899,,,,,4.481523501453921e-05
34,,13949,,,,,4.4927000999450684e-05
34,,13999,,,,,4.5024808059679344e-05
34,,14049,,,,,4.522969902609475e-05
34,,14099,,,,,4.5370343286776915e-05
34,,14149,,,,,4.556687053991482e-05
34,,14199,,,,,4.567957148537971e-05
34,,14249,,,,,4.5764340029563755e-05
34,,14299,,,,,4.588449883158319e-05
34,,14341,0.11180000007152557,10.828934669494629,,,
34,,14341,,,0.10000000149011612,,
35,,14349,,,,,4.5906803279649466e-05
35,,14399,,,,,4.601485125022009e-05
35,,14449,,,,,4.6143388317432255e-05
35,,14499,,,,,4.625329893315211e-05
35,,14549,,,,,4.636693847714923e-05
35,,14599,,,,,4.6375331294257194e-05
35,,14649,,,,,4.649174661608413e-05
35,,14699,,,,,4.651410199585371e-05
35,,14749,,,,,4.6610963181592524e-05
35,,14799,,,,,4.671434362535365e-05
35,,14849,,,,,4.673017610912211e-05
35,,14897,0.11180000007152557,10.808462142944336,,,
35,,14897,,,0.10000000149011612,,
36,,14899,,,,,4.6849385398672894e-05
36,,14949,,,,,4.696860196418129e-05
36,,14999,,,,,4.7078461648197845e-05
36,,15049,,,,,4.7087774873944e-05
36,,15099,,,,,4.708963751909323e-05
36,,15149,,,,,4.720698780147359e-05
36,,15199,,,,,4.7206991439452395e-05
36,,15249,,,,,4.7326200729003176e-05
36,,15299,,,,,4.7326200729003176e-05
36,,15349,,,,,4.7350418753921986e-05
36,,15399,,,,,4.7445413656532764e-05
36,,15449,,,,,4.7445413656532764e-05
36,,15453,0.11180000007152557,10.795373916625977,,,
36,,15453,,,0.10000000149011612,,
37,,15499,,,,,4.756463022204116e-05
37,,15549,,,,,4.767824066220783e-05
37,,15599,,,,,4.768382495967671e-05
37,,15649,,,,,4.776019704877399e-05
37,,15699,,,,,4.768382495967671e-05
37,,15749,,,,,4.768382495967671e-05
37,,15799,,,,,4.7687550249975175e-05
37,,15849,,,,,4.780304152518511e-05
37,,15899,,,,,4.780304152518511e-05
37,,15949,,,,,4.777975846081972e-05
37,,15999,,,,,4.7732257371535525e-05
37,,16009,0.11180000007152557,10.788980484008789,,,
37,,16009,,,0.10000000149011612,,
38,,16049,,,,,4.7803972847759724e-05
38,,16099,,,,,4.780304152518511e-05
38,,16149,,,,,4.780304152518511e-05
38,,16199,,,,,4.780304152518511e-05
38,,16249,,,,,4.792225081473589e-05
38,,16299,,,,,4.792225081473589e-05
38,,16349,,,,,4.792225081473589e-05
38,,16399,,,,,4.792225081473589e-05
38,,16449,,,,,4.792225081473589e-05
38,,16499,,,,,4.80125927424524e-05
38,,16549,,,,,4.8013524065027013e-05
38,,16565,0.11180000007152557,10.785594940185547,,,
38,,16565,,,0.10000000149011612,,
39,,16599,,,,,4.8007004807004705e-05
39,,16649,,,,,4.80125927424524e-05
39,,16699,,,,,4.803028787137009e-05
39,,16749,,,,,4.8023768613347784e-05
39,,16799,,,,,4.792225081473589e-05
39,,16849,,,,,4.792225081473589e-05
39,,16899,,,,,4.792225081473589e-05
39,,16949,,,,,4.792225081473589e-05
39,,16999,,,,,4.792225081473589e-05
39,,17049,,,,,4.792225081473589e-05
39,,17099,,,,,4.7967889258870855e-05
39,,17121,0.11180000007152557,10.785714149475098,,,
39,,17121,,,0.10000000149011612,,
40,,17149,,,,,4.797347719431855e-05
40,,17199,,,,,4.795764107257128e-05
40,,17249,,,,,4.7945533879101276e-05
40,,17299,,,,,4.789710510522127e-05
40,,17349,,,,,4.792225081473589e-05
40,,17399,,,,,4.792225081473589e-05
40,,17449,,,,,4.792225081473589e-05
40,,17499,,,,,4.792225081473589e-05
40,,17549,,,,,4.792225081473589e-05
40,,17599,,,,,4.791945684701204e-05
40,,17649,,,,,4.787102807313204e-05
40,,17677,0.11180000007152557,10.788766860961914,,,
40,,17677,,,0.10000000149011612,,
41,,17699,,,,,4.784215707331896e-05
41,,17749,,,,,4.782353062182665e-05
41,,17799,,,,,4.781328243552707e-05
41,,17849,,,,,4.7805835492908955e-05
41,,17899,,,,,4.771828753291629e-05
41,,17949,,,,,4.769221050082706e-05
41,,17999,,,,,4.7703386371722445e-05
41,,18049,,,,,4.770245504914783e-05
41,,18099,,,,,4.7691279178252444e-05
41,,18149,,,,,4.769593579112552e-05
41,,18199,,,,,4.7705249016871676e-05
41,,18233,0.11180000007152557,10.787189483642578,,,
41,,18233,,,0.10000000149011612,,
42,,18249,,,,,4.7758338041603565e-05
42,,18299,,,,,4.776765126734972e-05
42,,18349,,,,,4.7761128371348605e-05
42,,18399,,,,,4.774622721015476e-05
42,,18449,,,,,4.775647175847553e-05
42,,18499,,,,,4.774622721015476e-05
42,,18549,,,,,4.776205969392322e-05
42,,18599,,,,,4.774808985530399e-05
42,,18649,,,,,4.773784530698322e-05
42,,18699,,,,,4.773505133925937e-05
