epoch,train_loss,step,val_acc,val_loss,test_acc,train_acc
0,2.40289044380188,49,,,,
0,2.2966811656951904,99,,,,
0,2.2583742141723633,149,,,,
0,2.1177759170532227,199,,,,
0,2.093599557876587,249,,,,
0,2.0579237937927246,299,,,,
0,,311,0.2554999887943268,2.0158531665802,,
0,,311,,,0.27970001101493835,0.15479767322540283
1,1.9786399602890015,349,,,,
1,1.8483937978744507,399,,,,
1,1.8687840700149536,449,,,,
1,2.0397419929504395,499,,,,
1,1.8943244218826294,549,,,,
1,1.7316828966140747,599,,,,
1,,623,0.3549000024795532,1.7920470237731934,,
1,,623,,,0.390500009059906,0.2870342433452606
2,1.8482426404953003,649,,,,
2,1.7751606702804565,699,,,,
2,1.949193000793457,749,,,,
2,1.691452145576477,799,,,,
2,1.843538761138916,849,,,,
2,1.7821693420410156,899,,,,
2,,935,0.3785000145435333,1.7191593647003174,,
2,,935,,,0.4142000079154968,0.3446013629436493
3,1.810729742050171,949,,,,
3,1.6647465229034424,999,,,,
3,1.7919847965240479,1049,,,,
3,1.6470065116882324,1099,,,,
3,1.771537184715271,1149,,,,
3,1.6281594038009644,1199,,,,
3,,1247,0.4293999969959259,1.635582685470581,,
3,,1247,,,0.4666999876499176,0.3965595066547394
4,1.662866473197937,1249,,,,
4,1.822068691253662,1299,,,,
4,1.4663277864456177,1349,,,,
4,1.5131808519363403,1399,,,,
4,1.6781127452850342,1449,,,,
4,1.8270390033721924,1499,,,,
4,1.5278595685958862,1549,,,,
4,,1559,0.46160000562667847,1.5795018672943115,,
4,,1559,,,0.5056999921798706,0.4359976053237915
5,1.7748539447784424,1599,,,,
5,1.5486743450164795,1649,,,,
5,1.4477897882461548,1699,,,,
5,1.6069154739379883,1749,,,,
5,1.3853081464767456,1799,,,,
5,1.4472477436065674,1849,,,,
5,,1871,0.4921000003814697,1.493423581123352,,
5,,1871,,,0.5511999726295471,0.4606620669364929
6,1.4742825031280518,1899,,,,
6,1.5480917692184448,1949,,,,
6,1.4473706483840942,1999,,,,
6,1.4704042673110962,2049,,,,
6,1.5161579847335815,2099,,,,
6,1.308717131614685,2149,,,,
6,,2183,0.5206000208854675,1.4358776807785034,,
6,,2183,,,0.588699996471405,0.4957181513309479
7,1.5703092813491821,2199,,,,
7,1.2506643533706665,2249,,,,
7,1.335589051246643,2299,,,,
7,1.4314309358596802,2349,,,,
7,1.5294584035873413,2399,,,,
7,1.557608962059021,2449,,,,
7,,2495,0.541100025177002,1.384134292602539,,
7,,2495,,,0.6118999719619751,0.5266676545143127
8,1.2877607345581055,2499,,,,
8,1.3998922109603882,2549,,,,
8,1.3256810903549194,2599,,,,
8,1.4059125185012817,2649,,,,
8,1.3624118566513062,2699,,,,
8,1.1525214910507202,2749,,,,
8,1.2192997932434082,2799,,,,
8,,2807,0.5576000213623047,1.364957571029663,,
8,,2807,,,0.6347000002861023,0.5598958134651184
9,1.3878337144851685,2849,,,,
9,1.3085755109786987,2899,,,,
9,1.3059117794036865,2949,,,,
9,1.2852140665054321,2999,,,,
9,1.1598387956619263,3049,,,,
9,1.1729212999343872,3099,,,,
9,,3119,0.5740000009536743,1.321319580078125,,
9,,3119,,,0.6446999907493591,0.5760216116905212
10,1.1706626415252686,3149,,,,
10,1.1774002313613892,3199,,,,
10,1.153720498085022,3249,,,,
10,1.3778247833251953,3299,,,,
10,1.3532767295837402,3349,,,,
10,1.4163429737091064,3399,,,,
10,,3431,0.6071000099182129,1.2461137771606445,,
10,,3431,,,0.6887999773025513,0.6005609035491943
11,1.1766831874847412,3449,,,,
11,1.1229192018508911,3499,,,,
11,1.2745134830474854,3549,,,,
11,1.0842572450637817,3599,,,,
11,1.3884525299072266,3649,,,,
11,1.4594616889953613,3699,,,,
11,,3743,0.6057999730110168,1.2488818168640137,,
11,,3743,,,0.6909999847412109,0.6185897588729858
12,0.9098780751228333,3749,,,,
12,1.1499813795089722,3799,,,,
12,0.9161677360534668,3849,,,,
12,1.1238325834274292,3899,,,,
12,1.1839759349822998,3949,,,,
12,1.0220893621444702,3999,,,,
12,1.021924614906311,4049,,,,
12,,4055,0.6263999938964844,1.2093532085418701,,
12,,4055,,,0.7067000269889832,0.6277543902397156
13,1.0080493688583374,4099,,,,
13,1.0718121528625488,4149,,,,
13,1.0998179912567139,4199,,,,
13,1.0456119775772095,4249,,,,
13,1.183056354522705,4299,,,,
13,1.248155951499939,4349,,,,
13,,4367,0.6438000202178955,1.153145670890808,,
13,,4367,,,0.7354999780654907,0.6435797214508057
14,1.2314436435699463,4399,,,,
14,0.9787501692771912,4449,,,,
14,1.198996663093567,4499,,,,
14,1.0398074388504028,4549,,,,
14,1.019934058189392,4599,,,,
14,0.9975659251213074,4649,,,,
14,,4679,0.6547999978065491,1.1242408752441406,,
14,,4679,,,0.7450000047683716,0.6584284901618958
15,1.0724660158157349,4699,,,,
15,0.9711741805076599,4749,,,,
15,1.0932705402374268,4799,,,,
15,1.1614140272140503,4849,,,,
15,1.0004853010177612,4899,,,,
15,1.088532567024231,4949,,,,
15,,4991,0.6771000027656555,1.073905348777771,,
15,,4991,,,0.7746000289916992,0.6706480383872986
16,0.9632379412651062,4999,,,,
16,1.0921121835708618,5049,,,,
16,1.218491554260254,5099,,,,
16,0.8683404922485352,5149,,,,
16,0.8175801634788513,5199,,,,
16,1.0812973976135254,5249,,,,
16,1.1760458946228027,5299,,,,
16,,5303,0.6790000200271606,1.0715101957321167,,
16,,5303,,,0.7759000062942505,0.6833934187889099
17,0.919122040271759,5349,,,,
17,0.8974115252494812,5399,,,,
17,0.972374677658081,5449,,,,
17,0.9782618880271912,5499,,,,
17,1.0852957963943481,5549,,,,
17,0.9421819448471069,5599,,,,
17,,5615,0.6779999732971191,1.0860849618911743,,
17,,5615,,,0.7749000191688538,0.6924078464508057
18,0.9788622856140137,5649,,,,
