step,epoch,train_loss,val_loss,val_acc,test_acc,train_acc
49,0,2.4416375160217285,,,,
99,0,2.904103994369507,,,,
149,0,2.396796464920044,,,,
199,0,1.9566185474395752,,,,
249,0,2.171320676803589,,,,
299,0,1.8207015991210938,,,,
312,0,,2.090777635574341,0.2840999960899353,,
312,0,,,,0.30943432450294495,0.20800000429153442
349,1,1.8903945684432983,,,,
399,1,1.9115670919418335,,,,
449,1,1.7191017866134644,,,,
499,1,1.7768687009811401,,,,
549,1,1.7661738395690918,,,,
599,1,1.6473451852798462,,,,
625,1,,1.6936967372894287,0.3684999942779541,,
625,1,,,,0.3707476258277893,0.32222500443458557
649,2,1.6679037809371948,,,,
699,2,1.6789250373840332,,,,
749,2,1.5960900783538818,,,,
799,2,1.6329314708709717,,,,
849,2,1.538020372390747,,,,
899,2,1.7454129457473755,,,,
938,2,,1.5621086359024048,0.4417000114917755,,
938,2,,,,0.4440268874168396,0.38960000872612
949,3,1.460357904434204,,,,
999,3,1.445725917816162,,,,
1049,3,1.6392762660980225,,,,
1099,3,1.4639745950698853,,,,
1149,3,1.45933997631073,,,,
1199,3,1.5247633457183838,,,,
1249,3,1.399208426475525,,,,
1251,3,,1.403078556060791,0.48899999260902405,,
1251,3,,,,0.490308552980423,0.45089998841285706
1299,4,1.341392159461975,,,,
1349,4,1.3951232433319092,,,,
1399,4,1.4576046466827393,,,,
1449,4,1.3161258697509766,,,,
1499,4,1.464189887046814,,,,
1549,4,1.166551113128662,,,,
1564,4,,1.3263660669326782,0.5248000025749207,,
1564,4,,,,0.5275909900665283,0.4988250136375427
1599,5,1.120730996131897,,,,
1649,5,1.2313756942749023,,,,
1699,5,1.2721004486083984,,,,
1749,5,1.3188716173171997,,,,
1799,5,1.3345203399658203,,,,
1849,5,1.1227787733078003,,,,
1877,5,,1.2067651748657227,0.5766000151634216,,
1877,5,,,,0.5895965099334717,0.5509250164031982
1899,6,1.1037744283676147,,,,
1949,6,1.2174324989318848,,,,
1999,6,1.1379632949829102,,,,
2049,6,1.1138018369674683,,,,
2099,6,1.1884784698486328,,,,
2149,6,1.2238359451293945,,,,
2190,6,,1.2240982055664062,0.5708000063896179,,
2190,6,,,,0.6061115264892578,0.5880249738693237
2199,7,1.0569568872451782,,,,
2249,7,1.0185428857803345,,,,
2299,7,1.0861027240753174,,,,
2349,7,1.1094790697097778,,,,
2399,7,0.9754511117935181,,,,
2449,7,1.0515022277832031,,,,
2499,7,0.9635974168777466,,,,
2503,7,,1.0730513334274292,0.6229000091552734,,
2503,7,,,,0.6229232549667358,0.6099500060081482
2549,8,1.1075472831726074,,,,
2599,8,1.032380223274231,,,,
2649,8,1.0688213109970093,,,,
2699,8,0.9918698072433472,,,,
2749,8,0.9443319439888,,,,
2799,8,1.1016943454742432,,,,
2816,8,,1.086157202720642,0.6082000136375427,,
2816,8,,,,0.6405261158943176,0.6256250143051147
2849,9,0.9489315748214722,,,,
2899,9,1.0809745788574219,,,,
2949,9,1.1953485012054443,,,,
2999,9,0.964129626750946,,,,
3049,9,1.0938389301300049,,,,
3099,9,1.123327374458313,,,,
3129,9,,1.0015424489974976,0.6446999907493591,,
3129,9,,,,0.6506131291389465,0.6453750133514404
