train_loss2,train_loss1,step,epoch,val_acc1,val_acc2,test_acc,train_acc1,train_acc2
0.016954705119132996,0.01750696264207363,49,0,,,,,
0.01573879085481167,0.015173391439020634,99,0,,,,,
0.016006140038371086,0.015200428664684296,149,0,,,,,
0.014429192990064621,0.014585461467504501,199,0,,,,,
0.014531210064888,0.014917569234967232,249,0,,,,,
0.012841342017054558,0.012490654364228249,299,0,,,,,
,,312,0,0.37389999628067017,0.3617999851703644,,,
,,312,0,,,0.3886471390724182,0.27502501010894775,0.27254998683929443
0.012731829658150673,0.012855852022767067,349,1,,,,,
0.013159239664673805,0.013490880839526653,399,1,,,,,
0.012859227135777473,0.013495617546141148,449,1,,,,,
0.011820686049759388,0.011992606334388256,499,1,,,,,
0.01124347560107708,0.011514561250805855,549,1,,,,,
0.013342869468033314,0.013503157533705235,599,1,,,,,
,,625,1,0.43790000677108765,0.43160000443458557,,,
,,625,1,,,0.4426423907279968,0.3935000002384186,0.3908500075340271
0.01146711129695177,0.012234142981469631,649,2,,,,,
0.013204487040638924,0.01333802193403244,699,2,,,,,
0.011080277152359486,0.011334848590195179,749,2,,,,,
0.010802307166159153,0.010907921008765697,799,2,,,,,
0.010519000701606274,0.010598807595670223,849,2,,,,,
0.010409479960799217,0.009685707278549671,899,2,,,,,
,,938,2,0.4823000133037567,0.48500001430511475,,,
,,938,2,,,0.49238529801368713,0.44769999384880066,0.44749999046325684
0.011043003760278225,0.011142287403345108,949,3,,,,,
0.00979253277182579,0.009897544980049133,999,3,,,,,
0.01123905647546053,0.011537695303559303,1049,3,,,,,
0.011434991843998432,0.010897315107285976,1099,3,,,,,
0.010533589869737625,0.009664365090429783,1149,3,,,,,
0.010491250082850456,0.009653558023273945,1199,3,,,,,
0.008962930180132389,0.008895223028957844,1249,3,,,,,
,,1251,3,0.5234000086784363,0.5164999961853027,,,
,,1251,3,,,0.5264042615890503,0.49129998683929443,0.4882749915122986
0.010136136785149574,0.009447393007576466,1299,4,,,,,
0.01069161668419838,0.010512790642678738,1349,4,,,,,
0.010497341863811016,0.010520415380597115,1399,4,,,,,
0.009060862474143505,0.009349585510790348,1449,4,,,,,
0.008455666713416576,0.008159917779266834,1499,4,,,,,
0.009480562061071396,0.00865937303751707,1549,4,,,,,
,,1564,4,0.5564000010490417,0.5623999834060669,,,
,,1564,4,,,0.5635878443717957,0.5252000093460083,0.5249249935150146
0.0069044362753629684,0.007565213367342949,1599,5,,,,,
0.00818506721407175,0.008686245419085026,1649,5,,,,,
0.007434479892253876,0.00767742283642292,1699,5,,,,,
0.007908573374152184,0.007714136969298124,1749,5,,,,,
0.01006717886775732,0.010429252870380878,1799,5,,,,,
0.009095398709177971,0.009492042474448681,1849,5,,,,,
,,1877,5,0.5587000250816345,0.5562000274658203,,,
