train_loss,epoch,step,val_acc,test_acc,train_acc
nan,0,49,,,
nan,0,99,,,
nan,0,149,,,
nan,0,199,,,
nan,0,249,,,
nan,0,299,,,
,0,311,0.10790000110864639,,
,0,311,,0.1002769023180008,0.11075220257043839
nan,1,349,,,
nan,1,399,,,
nan,1,449,,,
nan,1,499,,,
nan,1,549,,,
nan,1,599,,,
,1,623,0.10790000110864639,,
,1,623,,0.1002769023180008,0.10586939007043839
nan,2,649,,,
nan,2,699,,,
nan,2,749,,,
nan,2,799,,,
nan,2,849,,,
nan,2,899,,,
,2,935,0.10790000110864639,,
,2,935,,0.1002769023180008,0.10581930726766586
nan,3,949,,,
nan,3,999,,,
nan,3,1049,,,
nan,3,1099,,,
nan,3,1149,,,
nan,3,1199,,,
,3,1247,0.10790000110864639,,
,3,1247,,0.1002769023180008,0.1057942733168602
nan,4,1249,,,
nan,4,1299,,,
nan,4,1349,,,
nan,4,1399,,,
nan,4,1449,,,
nan,4,1499,,,
nan,4,1549,,,
,4,1559,0.10790000110864639,,
,4,1559,,0.1002769023180008,0.10584434866905212
nan,5,1599,,,
nan,5,1649,,,
nan,5,1699,,,
nan,5,1749,,,
nan,5,1799,,,
nan,5,1849,,,
,5,1871,0.10790000110864639,,
,5,1871,,0.1002769023180008,0.1057942733168602
nan,6,1899,,,
nan,6,1949,,,
nan,6,1999,,,
nan,6,2049,,,
nan,6,2099,,,
nan,6,2149,,,
,6,2183,0.10790000110864639,,
,6,2183,,0.1002769023180008,0.10584434866905212
nan,7,2199,,,
nan,7,2249,,,
nan,7,2299,,,
nan,7,2349,,,
nan,7,2399,,,
nan,7,2449,,,
,7,2495,0.10790000110864639,,
,7,2495,,0.1002769023180008,0.10591947287321091
nan,8,2499,,,
nan,8,2549,,,
nan,8,2599,,,
nan,8,2649,,,
nan,8,2699,,,
nan,8,2749,,,
nan,8,2799,,,
,8,2807,0.10790000110864639,,
,8,2807,,0.1002769023180008,0.10584434866905212
nan,9,2849,,,
nan,9,2899,,,
nan,9,2949,,,
nan,9,2999,,,
nan,9,3049,,,
nan,9,3099,,,
,9,3119,0.10790000110864639,,
,9,3119,,0.1002769023180008,0.10589443147182465
nan,10,3149,,,
nan,10,3199,,,
nan,10,3249,,,
nan,10,3299,,,
nan,10,3349,,,
nan,10,3399,,,
,10,3431,0.10790000110864639,,
,10,3431,,0.1002769023180008,0.10576923191547394
nan,11,3449,,,
nan,11,3499,,,
nan,11,3549,,,
nan,11,3599,,,
nan,11,3649,,,
nan,11,3699,,,
,11,3743,0.10790000110864639,,
,11,3743,,0.1002769023180008,0.10584434866905212
nan,12,3749,,,
nan,12,3799,,,
nan,12,3849,,,
nan,12,3899,,,
nan,12,3949,,,
nan,12,3999,,,
nan,12,4049,,,
,12,4055,0.10790000110864639,,
,12,4055,,0.1002769023180008,0.10584434866905212
nan,13,4099,,,
nan,13,4149,,,
nan,13,4199,,,
nan,13,4249,,,
nan,13,4299,,,
nan,13,4349,,,
,13,4367,0.10790000110864639,,
,13,4367,,0.1002769023180008,0.10584434866905212
nan,14,4399,,,
nan,14,4449,,,
nan,14,4499,,,
nan,14,4549,,,
nan,14,4599,,,
nan,14,4649,,,
,14,4679,0.10790000110864639,,
,14,4679,,0.1002769023180008,0.10589443147182465
nan,15,4699,,,
nan,15,4749,,,
nan,15,4799,,,
nan,15,4849,,,
nan,15,4899,,,
nan,15,4949,,,
,15,4991,0.10790000110864639,,
,15,4991,,0.1002769023180008,0.10591947287321091
nan,16,4999,,,
nan,16,5049,,,
nan,16,5099,,,
nan,16,5149,,,
nan,16,5199,,,
nan,16,5249,,,
nan,16,5299,,,
,16,5303,0.10790000110864639,,
,16,5303,,0.1002769023180008,0.10589443147182465
nan,17,5349,,,
nan,17,5399,,,
nan,17,5449,,,
nan,17,5499,,,
nan,17,5549,,,
nan,17,5599,,,
,17,5615,0.10790000110864639,,
,17,5615,,0.1002769023180008,0.10591947287321091
nan,18,5649,,,
nan,18,5699,,,
nan,18,5749,,,
nan,18,5799,,,
nan,18,5849,,,
nan,18,5899,,,
,18,5927,0.10790000110864639,,
,18,5927,,0.1002769023180008,0.10581930726766586
nan,19,5949,,,
nan,19,5999,,,
nan,19,6049,,,
nan,19,6099,,,
nan,19,6149,,,
nan,19,6199,,,
,19,6239,0.10790000110864639,,
,19,6239,,0.1002769023180008,0.10586939007043839
nan,20,6249,,,
nan,20,6299,,,
nan,20,6349,,,
nan,20,6399,,,
nan,20,6449,,,
nan,20,6499,,,
nan,20,6549,,,
,20,6551,0.10790000110864639,,
,20,6551,,0.1002769023180008,0.10586939007043839
nan,21,6599,,,
nan,21,6649,,,
nan,21,6699,,,
nan,21,6749,,,
nan,21,6799,,,
nan,21,6849,,,
,21,6863,0.10790000110864639,,
,21,6863,,0.1002769023180008,0.10576923191547394
nan,22,6899,,,
nan,22,6949,,,
nan,22,6999,,,
nan,22,7049,,,
nan,22,7099,,,
nan,22,7149,,,
,22,7175,0.10790000110864639,,
,22,7175,,0.1002769023180008,0.10586939007043839
nan,23,7199,,,
nan,23,7249,,,
nan,23,7299,,,
nan,23,7349,,,
nan,23,7399,,,
nan,23,7449,,,
,23,7487,0.10790000110864639,,
,23,7487,,0.1002769023180008,0.10599458962678909
nan,24,7499,,,
nan,24,7549,,,
nan,24,7599,,,
nan,24,7649,,,
nan,24,7699,,,
nan,24,7749,,,
nan,24,7799,,,
,24,7799,0.10790000110864639,,
,24,7799,,0.1002769023180008,0.10584434866905212
nan,25,7849,,,
nan,25,7899,,,
nan,25,7949,,,
nan,25,7999,,,
nan,25,8049,,,
nan,25,8099,,,
,25,8111,0.10790000110864639,,
,25,8111,,0.1002769023180008,0.10584434866905212
nan,26,8149,,,
nan,26,8199,,,
nan,26,8249,,,
nan,26,8299,,,
nan,26,8349,,,
nan,26,8399,,,
,26,8423,0.10790000110864639,,
,26,8423,,0.1002769023180008,0.10591947287321091
nan,27,8449,,,
nan,27,8499,,,
nan,27,8549,,,
nan,27,8599,,,
nan,27,8649,,,
nan,27,8699,,,
,27,8735,0.10790000110864639,,
,27,8735,,0.1002769023180008,0.10586939007043839
nan,28,8749,,,
nan,28,8799,,,
nan,28,8849,,,
nan,28,8899,,,
nan,28,8949,,,
nan,28,8999,,,
,28,9047,0.10790000110864639,,
,28,9047,,0.1002769023180008,0.10586939007043839
nan,29,9049,,,
nan,29,9099,,,
nan,29,9149,,,
nan,29,9199,,,
nan,29,9249,,,
nan,29,9299,,,
nan,29,9349,,,
,29,9359,0.10790000110864639,,
,29,9359,,0.1002769023180008,0.10594451427459717
nan,30,9399,,,
nan,30,9449,,,
nan,30,9499,,,
nan,30,9549,,,
nan,30,9599,,,
nan,30,9649,,,
,30,9671,0.10790000110864639,,
,30,9671,,0.1002769023180008,0.10589443147182465
nan,31,9699,,,
nan,31,9749,,,
nan,31,9799,,,
nan,31,9849,,,
nan,31,9899,,,
nan,31,9949,,,
,31,9983,0.10790000110864639,,
,31,9983,,0.1002769023180008,0.10594451427459717
nan,32,9999,,,
nan,32,10049,,,
nan,32,10099,,,
nan,32,10149,,,
nan,32,10199,,,
nan,32,10249,,,
,32,10295,0.10790000110864639,,
,32,10295,,0.1002769023180008,0.10594451427459717
nan,33,10299,,,
nan,33,10349,,,
nan,33,10399,,,
nan,33,10449,,,
nan,33,10499,,,
nan,33,10549,,,
