step,epoch,train_loss,val_loss,val_acc,test_acc,train_acc
2649,8,0.8578005433082581,,,,
2699,8,0.8902071714401245,,,,
2749,8,0.9070137143135071,,,,
2799,8,0.851253092288971,,,,
2807,8,,0.9814481735229492,0.6784999966621399,,
2807,8,,,,0.7166000008583069,0.6897786259651184
2849,9,0.7750484943389893,,,,
2899,9,0.9109790921211243,,,,
2949,9,1.0652128458023071,,,,
2999,9,0.7980149984359741,,,,
3049,9,1.114693284034729,,,,
3099,9,0.8789919018745422,,,,
3119,9,,0.918213963508606,0.7077000141143799,,
3119,9,,,,0.7491000294685364,0.7093850374221802
3149,10,0.7406222224235535,,,,
3199,10,0.8874983787536621,,,,
3249,10,0.8471370935440063,,,,
3299,10,0.8720960021018982,,,,
3349,10,0.7472602725028992,,,,
3399,10,0.7865009903907776,,,,
3431,10,,0.8471264839172363,0.7319999933242798,,
3431,10,,,,0.7688000202178955,0.730543851852417
3449,11,1.009360432624817,,,,
3499,11,0.8026519417762756,,,,
3549,11,0.8326091170310974,,,,
3599,11,0.7397159337997437,,,,
3649,11,0.8337440490722656,,,,
3699,11,0.7561968564987183,,,,
3743,11,,0.9243376851081848,0.705299973487854,,
3743,11,,,,0.7368999719619751,0.7417868375778198
3749,12,0.7594197392463684,,,,
3799,12,0.615249752998352,,,,
3849,12,0.5873687267303467,,,,
3899,12,0.7208493947982788,,,,
3949,12,0.7373579740524292,,,,
3999,12,0.7858331799507141,,,,
4049,12,0.5900382995605469,,,,
4055,12,,0.7798383235931396,0.754800021648407,,
4055,12,,,,0.7935000061988831,0.7526292204856873
4099,13,0.8836153149604797,,,,
4149,13,0.8749468326568604,,,,
4199,13,0.7093849778175354,,,,
4249,13,0.7883926630020142,,,,
4299,13,0.6008866429328918,,,,
4349,13,0.5950685143470764,,,,
4367,13,,1.2134358882904053,0.6412000060081482,,
4367,13,,,,0.6632999777793884,0.7599158883094788
4399,14,0.7475842833518982,,,,
4449,14,0.6568907499313354,,,,
4499,14,0.7832087278366089,,,,
4549,14,0.6367986798286438,,,,
4599,14,0.6629863977432251,,,,
4649,14,0.7696375250816345,,,,
4679,14,,0.8461877703666687,0.7351999878883362,,
4679,14,,,,0.766700029373169,0.7671774625778198
4699,15,0.8156896233558655,,,,
4749,15,0.8526151180267334,,,,
4799,15,0.6206149458885193,,,,
4849,15,0.8513249158859253,,,,
4899,15,0.8751776218414307,,,,
4949,15,0.6775652170181274,,,,
4991,15,,0.7667834758758545,0.7663999795913696,,
4991,15,,,,0.8041999936103821,0.7719351053237915
4999,16,0.6408101320266724,,,,
5049,16,0.6940996050834656,,,,
5099,16,0.810604453086853,,,,
5149,16,0.7380014657974243,,,,
5199,16,0.7893803715705872,,,,
5249,16,0.8579541444778442,,,,
5299,16,0.7080084681510925,,,,
5303,16,,0.8307884931564331,0.7429999709129333,,
5303,16,,,,0.782800018787384,0.775390625
5349,17,0.7823203206062317,,,,
5399,17,0.973379909992218,,,,
5449,17,0.6240336298942566,,,,
5499,17,0.5411930084228516,,,,
5549,17,0.6889199614524841,,,,
5599,17,0.792267382144928,,,,
5615,17,,0.833497941493988,0.7437000274658203,,
5615,17,,,,0.7775999903678894,0.7804487347602844
5649,18,0.7082589864730835,,,,
5699,18,0.766903281211853,,,,
5749,18,0.5710301995277405,,,,
5799,18,0.6179865598678589,,,,
5849,18,0.7613545656204224,,,,
5899,18,0.7442379593849182,,,,
5927,18,,0.8386407494544983,0.7360000014305115,,
5927,18,,,,0.7682999968528748,0.7839793562889099
5949,19,0.6718853712081909,,,,
5999,19,0.5743362903594971,,,,
6049,19,0.6281240582466125,,,,
6099,19,0.7180047035217285,,,,
6149,19,0.6357792019844055,,,,
6199,19,0.7054920792579651,,,,
6239,19,,0.7357752919197083,0.7784000039100647,,
6239,19,,,,0.8240000009536743,0.7861077785491943
6249,20,0.6235213279724121,,,,
6299,20,0.7542377710342407,,,,
6349,20,0.7205424904823303,,,,
6399,20,0.5296814441680908,,,,
6449,20,0.4565907120704651,,,,
6499,20,0.5565410256385803,,,,
6549,20,0.7122356295585632,,,,
6551,20,,0.9147977828979492,0.7139000296592712,,
6551,20,,,,0.7412999868392944,0.7934695482254028
6599,21,0.6123638153076172,,,,
6649,21,0.8082235455513,,,,
6699,21,0.5169617533683777,,,,
6749,21,0.6702587604522705,,,,
6799,21,0.6702083349227905,,,,
6849,21,0.6819976568222046,,,,
6863,21,,0.8360802531242371,0.7405999898910522,,
6863,21,,,,0.769599974155426,0.7945212125778198
6899,22,0.6778513193130493,,,,
6949,22,0.7909465432167053,,,,
6999,22,0.5600711107254028,,,,
7049,22,0.7618179321289062,,,,
7099,22,0.701082706451416,,,,
7149,22,0.7328664660453796,,,,
7175,22,,0.9875081777572632,0.6963000297546387,,
7175,22,,,,0.7233999967575073,0.7956981062889099
7199,23,0.6399965286254883,,,,
7249,23,0.575505256652832,,,,
7299,23,0.7442092895507812,,,,
7349,23,0.8287450671195984,,,,
7399,23,0.6790317893028259,,,,
7449,23,0.46638208627700806,,,,
7487,23,,0.742773175239563,0.7731999754905701,,
7487,23,,,,0.8044999837875366,0.7959985733032227
7499,24,0.7572912573814392,,,,
7549,24,0.7439242005348206,,,,
7599,24,0.7466241121292114,,,,
7649,24,0.6173656582832336,,,,
7699,24,0.7099493145942688,,,,
7749,24,0.6023223400115967,,,,
7799,24,0.6591892242431641,,,,
7799,24,,0.88873291015625,0.7210000157356262,,
7799,24,,,,0.7475000023841858,0.8021584749221802
7849,25,0.5711212158203125,,,,
7899,25,0.5420962572097778,,,,
7949,25,0.5986210107803345,,,,
7999,25,0.6839064359664917,,,,
8049,25,0.684358537197113,,,,
8099,25,0.6820989847183228,,,,
8111,25,,0.7048877477645874,0.7926999926567078,,
8111,25,,,,0.8314999938011169,0.8036108016967773
8149,26,0.546779215335846,,,,
8199,26,0.8728844523429871,,,,
8249,26,0.7983456254005432,,,,
8299,26,0.7016647458076477,,,,
8349,26,0.6281630992889404,,,,
8399,26,0.6747098565101624,,,,
8423,26,,0.8122650980949402,0.7427999973297119,,
8423,26,,,,0.7860000133514404,0.8044621348381042
8449,27,0.7867749333381653,,,,
8499,27,0.5519512295722961,,,,
8549,27,0.6460582613945007,,,,
8599,27,0.6183888912200928,,,,
8649,27,0.8404225707054138,,,,
8699,27,0.5434033274650574,,,,
8735,27,,0.7578260898590088,0.7646999955177307,,
8735,27,,,,0.8047999739646912,0.8057892918586731
8749,28,0.6325339674949646,,,,
8799,28,0.5114418268203735,,,,
8849,28,0.7797291278839111,,,,
8899,28,0.603388786315918,,,,
8949,28,0.43824833631515503,,,,
8999,28,0.5688929557800293,,,,
9047,28,,0.831860363483429,0.7545999884605408,,
9047,28,,,,0.7833999991416931,0.8063401579856873
9049,29,0.655608057975769,,,,
9099,29,0.8268503546714783,,,,
9149,29,0.7508156299591064,,,,
9199,29,0.6209039092063904,,,,
9249,29,0.5425648093223572,,,,
9299,29,0.5411434173583984,,,,
9349,29,0.457867830991745,,,,
9359,29,,0.7678723335266113,0.7644000053405762,,
9359,29,,,,0.7986000180244446,0.8060396909713745
9399,30,0.5741598606109619,,,,
9449,30,0.7465165257453918,,,,
9499,30,0.6188212037086487,,,,
9549,30,0.7375766038894653,,,,
9599,30,0.6705976724624634,,,,
9649,30,0.48469123244285583,,,,
9671,30,,0.8091433048248291,0.7559999823570251,,
9671,30,,,,0.7937999963760376,0.8092197775840759
9699,31,0.6011011004447937,,,,
9749,31,0.5816892981529236,,,,
9799,31,0.5392000079154968,,,,
9849,31,0.5636801719665527,,,,
9899,31,0.5611451864242554,,,,
9949,31,0.6770816445350647,,,,
9983,31,,0.9102712869644165,0.732200026512146,,
9983,31,,,,0.754800021648407,0.8074919581413269
9999,32,0.6356217861175537,,,,
10049,32,0.70461106300354,,,,
10099,32,0.5612428188323975,,,,
10149,32,0.5462478399276733,,,,
10199,32,0.46227726340293884,,,,
10249,32,0.5332393646240234,,,,
10295,32,,0.8471223711967468,0.7365999817848206,,
10295,32,,,,0.7752000093460083,0.8131260275840759
10299,33,0.5985788106918335,,,,
10349,33,0.6079416871070862,,,,
10399,33,0.688389003276825,,,,
10449,33,0.5773181319236755,,,,
10499,33,0.7161238193511963,,,,
10549,33,0.5499932169914246,,,,
10599,33,0.718398928642273,,,,
10607,33,,0.9325189590454102,0.7321000099182129,,
10607,33,,,,0.7616000175476074,0.8130007982254028
10649,34,0.5139065384864807,,,,
10699,34,0.719955563545227,,,,
10749,34,0.6381693482398987,,,,
10799,34,0.6049616932868958,,,,
10849,34,0.6326863169670105,,,,
10899,34,0.6159589290618896,,,,
10919,34,,0.7659400701522827,0.7678999900817871,,
10919,34,,,,0.8091999888420105,0.8146534562110901
10949,35,0.5800706744194031,,,,
10999,35,0.5284683704376221,,,,
11049,35,0.8435985445976257,,,,
11099,35,0.6005648374557495,,,,
11149,35,0.48619207739830017,,,,
11199,35,0.5630340576171875,,,,
11231,35,,0.7690508365631104,0.765500009059906,,
11231,35,,,,0.8126000165939331,0.8127003312110901
11249,36,0.6886363625526428,,,,
11299,36,0.6096258163452148,,,,
11349,36,0.7434526681900024,,,,
11399,36,0.6341981887817383,,,,
11449,36,0.6287872195243835,,,,
11499,36,0.5545467734336853,,,,
11543,36,,0.8002945780754089,0.7687000036239624,,
11543,36,,,,0.7980999946594238,0.8140524625778198
11549,37,0.6085260510444641,,,,
11599,37,0.4814938008785248,,,,
11649,37,0.6392249464988708,,,,
11699,37,0.5695267915725708,,,,
11749,37,0.5015274882316589,,,,
11799,37,0.5927669405937195,,,,
11849,37,0.5201717615127563,,,,
11855,37,,0.7394325137138367,0.7766000032424927,,
11855,37,,,,0.8159999847412109,0.819260835647583
11899,38,0.6200922727584839,,,,
11949,38,0.6256686449050903,,,,
11999,38,0.7487947344779968,,,,
12049,38,0.7805073261260986,,,,
12099,38,0.6365145444869995,,,,
12149,38,0.6104750037193298,,,,
12167,38,,1.0065414905548096,0.7102000117301941,,
12167,38,,,,0.7470999956130981,0.8176332116127014
12199,39,0.5205960869789124,,,,
12249,39,0.7335725426673889,,,,
12299,39,0.5786311626434326,,,,
12349,39,0.44576555490493774,,,,
12399,39,0.4856628179550171,,,,
12449,39,0.3959227204322815,,,,
12479,39,,0.7680032253265381,0.7712000012397766,,
12479,39,,,,0.7989000082015991,0.8178335428237915
12499,40,0.4190085530281067,,,,
12549,40,0.4899485409259796,,,,
12599,40,0.7863311171531677,,,,
12649,40,0.6510281562805176,,,,
12699,40,0.5910667777061462,,,,
12749,40,0.691173791885376,,,,
12791,40,,0.7797341346740723,0.7694000005722046,,
12791,40,,,,0.8165000081062317,0.8186348080635071
12799,41,0.5024706125259399,,,,
12849,41,0.6616240739822388,,,,
12899,41,0.39407312870025635,,,,
12949,41,0.6994433999061584,,,,
12999,41,0.6760402917861938,,,,
13049,41,0.6195066571235657,,,,
13099,41,0.5377616286277771,,,,
13103,41,,0.7279632091522217,0.7836999893188477,,
13103,41,,,,0.8238000273704529,0.8170823454856873
13149,42,0.6378058195114136,,,,
13199,42,0.7154412269592285,,,,
13249,42,0.5735467672348022,,,,
13299,42,0.670050323009491,,,,
13349,42,0.5552114248275757,,,,
13399,42,0.706850528717041,,,,
13415,42,,0.9069055914878845,0.7315000295639038,,
13415,42,,,,0.7638000249862671,0.8167818784713745
13449,43,0.5625634789466858,,,,
13499,43,0.4307408034801483,,,,
13549,43,0.6268989443778992,,,,
13599,43,0.36977046728134155,,,,
13649,43,0.5446843504905701,,,,
13699,43,0.6680402159690857,,,,
13727,43,,0.6909853219985962,0.7950000166893005,,
13727,43,,,,0.8464000225067139,0.8218399286270142
13749,44,0.46302518248558044,,,,
13799,44,0.45411890745162964,,,,
13849,44,0.6442950367927551,,,,
13899,44,0.719403862953186,,,,
13949,44,0.5199190378189087,,,,
13999,44,0.6993202567100525,,,,
14039,44,,0.839097261428833,0.7519000172615051,,
14039,44,,,,0.789900004863739,0.8219901919364929
14049,45,0.5974401235580444,,,,
14099,45,0.47225916385650635,,,,
14149,45,0.38537484407424927,,,,
14199,45,0.6736574172973633,,,,
14249,45,0.5212398171424866,,,,
14299,45,0.4857930541038513,,,,
14349,45,0.5908755660057068,,,,
14351,45,,0.7468388080596924,0.7681999802589417,,
14351,45,,,,0.8026999831199646,0.8197365999221802
14399,46,0.5237925052642822,,,,
14449,46,0.4769009053707123,,,,
14499,46,0.6966207027435303,,,,
14549,46,0.6025822162628174,,,,
14599,46,0.6526519060134888,,,,
14649,46,0.7360281944274902,,,,
14663,46,,0.6564183831214905,0.8065000176429749,,
14663,46,,,,0.845300018787384,0.8235176205635071
14699,47,0.5273910760879517,,,,
14749,47,0.6876153349876404,,,,
14799,47,0.6348217129707336,,,,
14849,47,0.60140061378479,,,,
14899,47,0.43407389521598816,,,,
14949,47,0.5116052031517029,,,,
14975,47,,0.7849760055541992,0.7750999927520752,,
14975,47,,,,0.8109999895095825,0.8234174847602844
