step,train_loss,epoch,val_acc,val_loss,test_acc,train_acc,mix_match_loss
49,2.08984637260437,0,,,,,
99,1.9255155324935913,0,,,,,
149,1.8486876487731934,0,,,,,
199,1.627902626991272,0,,,,,
249,1.6361498832702637,0,,,,,
299,1.6503486633300781,0,,,,,
311,,0,0.39660000801086426,1.6633497476577759,,,
311,,0,,,0.43140000104904175,0.31460335850715637,
349,1.8276950120925903,1,,,,,
399,1.4710471630096436,1,,,,,
449,1.4501792192459106,1,,,,,
499,1.615801453590393,1,,,,,
549,1.4088001251220703,1,,,,,
599,1.4897270202636719,1,,,,,
623,,1,0.5015000104904175,1.4635459184646606,,,
623,,1,,,0.5590000152587891,0.44819211959838867,
649,1.3387542963027954,2,,,,,
699,1.2769789695739746,2,,,,,
749,1.4244145154953003,2,,,,,
799,1.3547860383987427,2,,,,,
849,1.4207565784454346,2,,,,,
899,1.4699130058288574,2,,,,,
935,,2,0.49380001425743103,1.5915454626083374,,,
935,,2,,,0.5475999712944031,0.5314503312110901,
949,1.3127280473709106,3,,,,,
999,1.3512330055236816,3,,,,,
1049,1.3592557907104492,3,,,,,
1099,1.3341079950332642,3,,,,,
1149,1.3964234590530396,3,,,,,
1199,1.1901952028274536,3,,,,,
1247,,3,0.5885000228881836,1.3514729738235474,,,
1247,,3,,,0.6682999730110168,0.5942257642745972,
1249,1.2390813827514648,4,,,,,
1299,1.102927565574646,4,,,,,
1349,1.1479862928390503,4,,,,,
1399,1.0375561714172363,4,,,,,
1449,1.1093344688415527,4,,,,,
1499,1.1584362983703613,4,,,,,
1549,1.1597676277160645,4,,,,,
1559,,4,0.6309000253677368,1.1892521381378174,,,
1559,,4,,,0.7210999727249146,0.6327624320983887,
1599,0.9822494387626648,5,,,,,
1649,0.9392141699790955,5,,,,,
1699,1.0698350667953491,5,,,,,
1749,1.0409904718399048,5,,,,,
1799,1.0423027276992798,5,,,,,
1849,1.342434287071228,5,,,,,
1871,,5,0.651199996471405,1.1377058029174805,,,
1871,,5,,,0.7368000149726868,0.6585286259651184,
1899,0.9593697786331177,6,,,,,
1949,1.1714595556259155,6,,,,,
1999,1.0755589008331299,6,,,,,
2049,1.1175551414489746,6,,,,,
2099,1.277500033378601,6,,,,,
2149,1.1656086444854736,6,,,,,
2183,,6,0.6626999974250793,1.1242291927337646,,,
2183,,6,,,0.7459999918937683,0.6799378991127014,
2199,1.065711259841919,7,,,,,
2249,1.1749480962753296,7,,,,,
2299,0.9240529537200928,7,,,,,
2349,1.17091965675354,7,,,,,
2399,1.2211626768112183,7,,,,,
2449,0.840615451335907,7,,,,,
2495,,7,0.6915000081062317,1.0401452779769897,,,
2495,,7,,,0.7858999967575073,0.6859475374221802,
2499,1.111809492111206,8,,,,,
2549,1.1792633533477783,8,,,,,
2599,0.9841216206550598,8,,,,,
2649,1.0200798511505127,8,,,,,
2699,1.0348066091537476,8,,,,,
2749,1.003481388092041,8,,,,,
2799,0.9478370547294617,8,,,,,
2807,,8,0.6995999813079834,1.0342440605163574,,,
2807,,8,,,0.7957000136375427,0.6983674168586731,
2849,0.8736162185668945,9,,,,,
2899,1.0143487453460693,9,,,,,
2949,1.0437674522399902,9,,,,,
2999,0.9912420511245728,9,,,,,
3049,0.8061569929122925,9,,,,,
3099,0.8934602737426758,9,,,,,
3119,,9,0.6905999779701233,1.0339915752410889,,,
3119,,9,,,0.7835000157356262,0.7117137312889099,
3149,0.9974050521850586,10,,,,,
3199,0.8670390844345093,10,,,,,
3249,0.9547119736671448,10,,,,,
3299,1.022560477256775,10,,,,,
3349,0.8827833533287048,10,,,,,
3399,0.7937370538711548,10,,,,,
3431,,10,0.6974999904632568,1.0165611505508423,,,
3431,,10,,,0.7932999730110168,0.7214042544364929,
3449,0.9096716642379761,11,,,,,
3499,0.8850867748260498,11,,,,,
3549,0.8445450663566589,11,,,,,
3599,0.6290327906608582,11,,,,,
3649,0.9125350117683411,11,,,,,
3699,0.8741239905357361,11,,,,,
3743,,11,0.696399986743927,1.0322235822677612,,,
3743,,11,,,0.7910000085830688,0.7292417883872986,
3749,0.8888574838638306,12,,,,,
3799,0.8985500931739807,12,,,,,
3849,0.9811064004898071,12,,,,,
3899,0.9832414984703064,12,,,,,
3949,0.8180913329124451,12,,,,,
3999,0.9402115941047668,12,,,,,
4049,0.655114471912384,12,,,,,
4055,,12,0.6983000040054321,1.0247937440872192,,,
4055,,12,,,0.8069999814033508,0.7340244650840759,
4099,0.7043496370315552,13,,,,,
4149,0.7879936695098877,13,,,,,
4199,0.9059870839118958,13,,,,,
4249,0.9459413290023804,13,,,,,
4299,0.708286702632904,13,,,,,
4349,0.7923234701156616,13,,,,,
