epoch,train_loss,step,val_acc,test_acc,train_acc
0,0.5274180769920349,49,,,
0,0.4957054555416107,99,,,
0,0.46533262729644775,149,,,
0,0.3802306354045868,199,,,
0,0.4857076406478882,249,,,
0,0.38103169202804565,299,,,
0,,311,0.2987000048160553,,
0,,311,,0.3714999854564667,0.2552584111690521
1,0.36164695024490356,349,,,
1,0.34951451420783997,399,,,
1,0.37847185134887695,449,,,
1,0.39857494831085205,499,,,
1,0.3316279649734497,549,,,
1,0.2863783836364746,599,,,
1,,623,0.35690000653266907,,
1,,623,,0.47040000557899475,0.34006911516189575
2,0.35934680700302124,649,,,
2,0.2775353789329529,699,,,
2,0.31644588708877563,749,,,
2,0.2545580267906189,799,,,
2,0.24914389848709106,849,,,
2,0.40048497915267944,899,,,
2,,935,0.3880999982357025,,
2,,935,,0.5250999927520752,0.38276243209838867
3,0.21720658242702484,949,,,
3,0.22512981295585632,999,,,
3,0.31613677740097046,1049,,,
3,0.29154282808303833,1099,,,
3,0.24397961795330048,1149,,,
3,0.2521842122077942,1199,,,
3,,1247,0.43560001254081726,,
3,,1247,,0.5587000250816345,0.4107572138309479
4,0.2340126633644104,1249,,,
4,0.225064218044281,1299,,,
4,0.2536923289299011,1349,,,
4,0.30655133724212646,1399,,,
4,0.29456937313079834,1449,,,
4,0.1971665620803833,1499,,,
4,0.20206555724143982,1549,,,
4,,1559,0.42399999499320984,,
4,,1559,,0.541700005531311,0.4344951808452606
5,0.2124226987361908,1599,,,
5,0.20835155248641968,1649,,,
5,0.2017805576324463,1699,,,
5,0.23142826557159424,1749,,,
5,0.18068748712539673,1799,,,
5,0.23205214738845825,1849,,,
5,,1871,0.43860000371932983,,
5,,1871,,0.5909000039100647,0.45184797048568726
6,0.203485906124115,1899,,,
6,0.10933253169059753,1949,,,
6,0.161535382270813,1999,,,
6,0.2920638918876648,2049,,,
6,0.18059498071670532,2099,,,
6,0.23540093004703522,2149,,,
6,,2183,0.4860999882221222,,
6,,2183,,0.6661999821662903,0.4690254330635071
7,0.10065896064043045,2199,,,
7,0.16214686632156372,2249,,,
7,0.20879143476486206,2299,,,
7,0.23613601922988892,2349,,,
7,0.15176379680633545,2399,,,
7,0.20386295020580292,2449,,,
7,,2495,0.4885999858379364,,
7,,2495,,0.6561999917030334,0.48455026745796204
8,0.15386344492435455,2499,,,
8,0.1838020384311676,2549,,,
8,0.19765710830688477,2599,,,
8,0.16298426687717438,2649,,,
8,0.17103059589862823,2699,,,
8,0.1239556297659874,2749,,,
8,0.09543924033641815,2799,,,
8,,2807,0.4823000133037567,,
8,,2807,,0.6643999814987183,0.49321413040161133
9,0.1395685076713562,2849,,,
9,0.1577056646347046,2899,,,
9,0.175514355301857,2949,,,
9,0.11140114814043045,2999,,,
9,0.11970105022192001,3049,,,
9,0.12566602230072021,3099,,,
9,,3119,0.498199999332428,,
9,,3119,,0.703000009059906,0.5025791525840759
10,0.09625064581632614,3149,,,
10,0.08580238372087479,3199,,,
10,0.11750292032957077,3249,,,
10,0.08374965935945511,3299,,,
10,0.09627524018287659,3349,,,
10,0.14391523599624634,3399,,,
10,,3431,0.49970000982284546,,
10,,3431,,0.6988000273704529,0.5098908543586731
11,0.0047667138278484344,3449,,,
11,-0.0029344893991947174,3499,,,
11,0.1305719017982483,3549,,,
11,0.06360459327697754,3599,,,
11,0.15763649344444275,3649,,,
