epoch,train_loss,step,val_acc,val_loss,train_acc,test_acc
9,,3119,,,0.8225160241127014,0.8525999784469604
10,-3.802184581756592,3149,,,,
10,-4.531185150146484,3199,,,,
10,-5.657082557678223,3249,,,,
10,-4.470345973968506,3299,,,,
10,-6.063906669616699,3349,,,,
10,-4.698713302612305,3399,,,,
10,,3431,0.717199981212616,1.4414350986480713,,
10,,3431,,,0.7008714079856873,0.7544999718666077
11,-5.6272172927856445,3449,,,,
11,-5.454322814941406,3499,,,,
11,-5.812972068786621,3549,,,,
11,-5.405176162719727,3599,,,,
11,-6.0033955574035645,3649,,,,
11,-6.306127548217773,3699,,,,
11,,3743,0.7552000284194946,1.2366892099380493,,
11,,3743,,,0.7561097741127014,0.7962999939918518
12,-5.986123085021973,3749,,,,
12,-6.72589635848999,3799,,,,
12,-7.042370796203613,3849,,,,
12,-6.308819770812988,3899,,,,
12,-5.440356254577637,3949,,,,
12,-6.499210834503174,3999,,,,
12,-5.567447662353516,4049,,,,
12,,4055,0.7615000009536743,1.2709271907806396,,
12,,4055,,,0.7739382982254028,0.8008000254631042
13,-6.693312644958496,4099,,,,
13,-7.425605297088623,4149,,,,
13,-6.766241550445557,4199,,,,
13,-6.888400077819824,4249,,,,
13,-6.873172760009766,4299,,,,
13,-6.440800666809082,4349,,,,
13,,4367,0.765500009059906,1.2767534255981445,,
13,,4367,,,0.7891877293586731,0.8086000084877014
14,-6.763493537902832,4399,,,,
14,-7.247996807098389,4449,,,,
14,-7.26177453994751,4499,,,,
14,-8.371962547302246,4549,,,,
14,-7.529207229614258,4599,,,,
14,-6.9202880859375,4649,,,,
14,,4679,0.7925000190734863,1.1177078485488892,,
14,,4679,,,0.8052634000778198,0.8378000259399414
15,-8.532267570495605,4699,,,,
15,-7.971447467803955,4749,,,,
15,-8.420031547546387,4799,,,,
15,-8.788724899291992,4849,,,,
15,-8.666886329650879,4899,,,,
15,-7.837974548339844,4949,,,,
15,,4991,0.8011999726295471,1.1309692859649658,,
15,,4991,,,0.8141276240348816,0.8500000238418579
16,-9.247538566589355,4999,,,,
16,-10.433633804321289,5049,,,,
16,-9.85542106628418,5099,,,,
16,-8.721674919128418,5149,,,,
16,-9.010746002197266,5199,,,,
16,-8.537598609924316,5249,,,,
16,-9.561816215515137,5299,,,,
16,,5303,0.8062999844551086,1.075966238975525,,
