train_loss1,step,epoch,train_loss2,val_acc1,val_acc2,train_acc2,train_acc1,test_acc
0.014822447672486305,49,0,0.014176066033542156,,,,,
0.015219264663755894,99,0,0.014892518520355225,,,,,
0.013596810400485992,149,0,0.013663522899150848,,,,,
0.01308571919798851,199,0,0.01297721453011036,,,,,
0.014797731302678585,249,0,0.014073393307626247,,,,,
0.013803012669086456,299,0,0.013764286413788795,,,,,
,311,0,,0.3601999878883362,0.3944999873638153,,,
,311,0,,,,0.3363381326198578,0.32855066657066345,0.39899998903274536
0.011593005619943142,349,1,0.010925181210041046,,,,,
0.01301503088325262,399,1,0.012797038070857525,,,,,
0.012808771803975105,449,1,0.012916749343276024,,,,,
0.01132400706410408,499,1,0.011313275434076786,,,,,
0.012528466992080212,549,1,0.012425268068909645,,,,,
0.011881050653755665,599,1,0.011127214878797531,,,,,
,623,1,,0.46540001034736633,0.5169000029563904,,,
,623,1,,,,0.47345754504203796,0.4489433169364929,0.51910001039505
0.009018192999064922,649,2,0.008885246701538563,,,,,
0.010304701514542103,699,2,0.010157478973269463,,,,,
0.010737982578575611,749,2,0.011000649072229862,,,,,
0.009409159421920776,799,2,0.009104222990572453,,,,,
0.010939792729914188,849,2,0.01024482399225235,,,,,
0.011926660314202309,899,2,0.011419749818742275,,,,,
,935,2,,0.5365999937057495,0.5231999754905701,,,
,935,2,,,,0.5382111668586731,0.5266426205635071,0.6057000160217285
0.01004369743168354,949,3,0.009402692317962646,,,,,
0.009185007773339748,999,3,0.009319235570728779,,,,,
0.007866797968745232,1049,3,0.007758154533803463,,,,,
0.00749884732067585,1099,3,0.007633089553564787,,,,,
0.007110194768756628,1149,3,0.006977136246860027,,,,,
0.007104214280843735,1199,3,0.006918135564774275,,,,,
,1247,3,,0.5109000205993652,0.5227000117301941,,,
,1247,3,,,,0.5689854025840759,0.5696113705635071,0.5554999709129333
0.009901601821184158,1249,4,0.010064155794680119,,,,,
0.008114167489111423,1299,4,0.007760920561850071,,,,,
0.008077122271060944,1349,4,0.007926101796329021,,,,,
0.007009947206825018,1399,4,0.007504599168896675,,,,,
0.008195469155907631,1449,4,0.007861064746975899,,,,,
0.007310307119041681,1499,4,0.007416261360049248,,,,,
0.006158539094030857,1549,4,0.0060109468176960945,,,,,
,1559,4,,0.6000000238418579,0.6039000153541565,,,
,1559,4,,,,0.6037159562110901,0.6046674847602844,0.6765999794006348
0.007080181501805782,1599,5,0.0068105775862932205,,,,,
0.005943348631262779,1649,5,0.0061096204444766045,,,,,
0.005322940647602081,1699,5,0.005715802311897278,,,,,
0.005448107607662678,1749,5,0.005517605692148209,,,,,
0.006485470570623875,1799,5,0.006437917239964008,,,,,
0.005301603581756353,1849,5,0.005526077933609486,,,,,
,1871,5,,0.6147000193595886,0.5968999862670898,,,
,1871,5,,,,0.6335386633872986,0.6322365999221802,0.7016000151634216
0.005946807097643614,1899,6,0.005547163542360067,,,,,
0.004242940805852413,1949,6,0.00425637885928154,,,,,
0.006793688982725143,1999,6,0.006519288290292025,,,,,
0.006472243927419186,2049,6,0.006729557644575834,,,,,
0.004337980877608061,2099,6,0.004634121898561716,,,,,
0.004847693257033825,2149,6,0.0044218674302101135,,,,,
,2183,6,,0.6496000289916992,0.6545000076293945,,,
,2183,6,,,,0.6541215777397156,0.6516426205635071,0.7415000200271606
0.00358378142118454,2199,7,0.003340268973261118,,,,,
0.005002085119485855,2249,7,0.005994557403028011,,,,,
0.004616361577063799,2299,7,0.004461266100406647,,,,,
0.004468562081456184,2349,7,0.004451562650501728,,,,,
0.0028841900639235973,2399,7,0.002921489765867591,,,,,
0.004059584811329842,2449,7,0.0034789671190083027,,,,,
,2495,7,,0.628600001335144,0.6603000164031982,,,
,2495,7,,,,0.6728014945983887,0.6722255349159241,0.7214999794960022
0.005721044726669788,2499,8,0.0045556253753602505,,,,,
0.003217893885448575,2549,8,0.0030380457174032927,,,,,
0.004603794310241938,2599,8,0.004308837465941906,,,,,
0.0048111663199961185,2649,8,0.004217481706291437,,,,,
0.004086797591298819,2699,8,0.004254776053130627,,,,,
0.003931593149900436,2749,8,0.003908196464180946,,,,,
0.0032986984588205814,2799,8,0.0032466822303831577,,,,,
,2807,8,,0.6401000022888184,0.6735000014305115,,,
,2807,8,,,,0.6852464079856873,0.6869741678237915,0.7303000092506409
0.002422434277832508,2849,9,0.0024131613317877054,,,,,
0.0032686383929103613,2899,9,0.003569582011550665,,,,,
0.003091546008363366,2949,9,0.003487158566713333,,,,,
0.003092645201832056,2999,9,0.0033597175497561693,,,,,
0.0026377688627690077,3049,9,0.002165423473343253,,,,,
0.0036000674590468407,3099,9,0.003960130270570517,,,,,
,3119,9,,0.6614000201225281,0.666700005531311,,,
,3119,9,,,,0.6919070482254028,0.6935847401618958,0.7592999935150146
0.004729915875941515,3149,10,0.004004104994237423,,,,,
0.003416606457903981,3199,10,0.0030147673096507788,,,,,
0.0038576950319111347,3249,10,0.003617428010329604,,,,,
0.0065499283373355865,3299,10,0.005104956217110157,,,,,
0.004322125110775232,3349,10,0.003550604684278369,,,,,
0.006574556697160006,3399,10,0.006667454726994038,,,,,
,3431,10,,0.704200029373169,0.7024000287055969,,,
,3431,10,,,,0.7022485733032227,0.7034004330635071,0.8102999925613403
0.00443399790674448,3449,11,0.0046814726665616035,,,,,
0.0032449031714349985,3499,11,0.0032292648684233427,,,,,
0.0011129998601973057,3549,11,0.0014793263981118798,,,,,
0.004470441490411758,3599,11,0.003738475264981389,,,,,
0.0029733788687735796,3649,11,0.002612121170386672,,,,,
0.0021481879521161318,3699,11,0.0019858968444168568,,,,,
,3743,11,,0.7049999833106995,0.6959999799728394,,,
,3743,11,,,,0.7130408883094788,0.7121644616127014,0.8172000050544739
0.0023131887428462505,3749,12,0.002228474011644721,,,,,
0.002361038001254201,3799,12,0.0024497462436556816,,,,,
0.0054713026620447636,3849,12,0.005029037594795227,,,,,
0.0016817832365632057,3899,12,0.0019795510452240705,,,,,
0.006005875300616026,3949,12,0.005893115419894457,,,,,
0.0036167344078421593,3999,12,0.0033365129493176937,,,,,
0.0021777073852717876,4049,12,0.001824100036174059,,,,,
,4055,12,,0.7002999782562256,0.6924999952316284,,,
,4055,12,,,,0.7194761633872986,0.7203024625778198,0.8095999956130981
0.0035326064098626375,4099,13,0.0024558226577937603,,,,,
0.003998270258307457,4149,13,0.0043073976412415504,,,,,
0.0015611662529408932,4199,13,0.0016731662908568978,,,,,
0.0033557468559592962,4249,13,0.0035269472282379866,,,,,
0.00218254909850657,4299,13,0.002026163274422288,,,,,
0.001580870826728642,4349,13,0.0017472608014941216,,,,,
,4367,13,,0.6899999976158142,0.6955000162124634,,,
,4367,13,,,,0.7261117696762085,0.7238832116127014,0.7971000075340271
0.0015138306189328432,4399,14,0.001412307028658688,,,,,
0.002202968578785658,4449,14,0.0021587226074188948,,,,,
0.004503772594034672,4499,14,0.005213716998696327,,,,,
0.0020187527406960726,4549,14,0.0021175281144678593,,,,,
0.002041428117081523,4599,14,0.0015076585114002228,,,,,
0.0031272859778255224,4649,14,0.002542549278587103,,,,,
,4679,14,,0.722100019454956,0.7059999704360962,,,
,4679,14,,,,0.7312199473381042,0.731520414352417,0.8321999907493591
0.0015333506744354963,4699,15,0.001567772589623928,,,,,
0.0027015425730496645,4749,15,0.0026088720187544823,,,,,
0.0015952015528455377,4799,15,0.002012680284678936,,,,,
0.0010493667796254158,4849,15,0.0011535651283338666,,,,,
0.0020624971948564053,4899,15,0.0028597491327673197,,,,,
0.0020695633720606565,4949,15,0.002008901908993721,,,,,
,4991,15,,0.7160000205039978,0.7084000110626221,,,
,4991,15,,,,0.7348507642745972,0.7366536259651184,0.8289999961853027
0.0015570474788546562,4999,16,0.0019163278630003333,,,,,
0.0022756403777748346,5049,16,0.0023200763389468193,,,,,
0.001634145388379693,5099,16,0.0014757671160623431,,,,,
0.005413437262177467,5149,16,0.0041175722144544125,,,,,
0.00195943471044302,5199,16,0.001289183390326798,,,,,
0.0021416291128844023,5249,16,0.002501965034753084,,,,,
0.0023804849479347467,5299,16,0.001890146522782743,,,,,
,5303,16,,0.7142999768257141,0.7178999781608582,,,
,5303,16,,,,0.7386067509651184,0.7400841116905212,0.8313000202178955
0.003240837249904871,5349,17,0.002778459107503295,,,,,
0.002005344955250621,5399,17,0.0021261952351778746,,,,,
0.002768538659438491,5449,17,0.0032009249553084373,,,,,
0.0007858547032810748,5499,17,0.0008139488636516035,,,,,
0.0027283038944005966,5549,17,0.0023786667734384537,,,,,
0.001404233742505312,5599,17,0.0009525974746793509,,,,,
,5615,17,,0.7168999910354614,0.7123000025749207,,,
,5615,17,,,,0.7434144616127014,0.7475460767745972,0.8349999785423279
0.002618654863908887,5649,18,0.0030233613215386868,,,,,
0.0011942406417801976,5699,18,0.0010585624258965254,,,,,
0.0011603588936850429,5749,18,0.0011465431889519095,,,,,
0.003414742648601532,5799,18,0.002016816521063447,,,,,
0.0017205416224896908,5849,18,0.0016271013300865889,,,,,
0.0026513792108744383,5899,18,0.0027415493968874216,,,,,
,5927,18,,0.7160999774932861,0.7236999869346619,,,
,5927,18,,,,0.7482722401618958,0.7505759000778198,0.8274999856948853
0.0005191105883568525,5949,19,0.00045598854194395244,,,,,
0.004855473060160875,5999,19,0.004186595790088177,,,,,
0.0014332374557852745,6049,19,0.0017108714673668146,,,,,
0.0016645487630739808,6099,19,0.002081020502373576,,,,,
0.002528607379645109,6149,19,0.0022355190012604,,,,,
0.0009962308686226606,6199,19,0.0008494730573147535,,,,,
,6239,19,,0.7303000092506409,0.7253999710083008,,,
,6239,19,,,,0.7535306215286255,0.7529296875,0.8475000262260437
0.001410652999766171,6249,20,0.0012832550564780831,,,,,
