train_loss1,step,epoch,train_loss2,val_acc1,val_acc2,test_acc,train_acc1,train_acc2
0.017427943646907806,49,0,0.018035676330327988,,,,,
0.016056809574365616,99,0,0.016089752316474915,,,,,
0.015240317210555077,149,0,0.01518404483795166,,,,,
0.01524678897112608,199,0,0.014791060239076614,,,,,
0.013559926301240921,249,0,0.01443555485457182,,,,,
0.014494800940155983,299,0,0.014648431912064552,,,,,
,312,0,,0.37400001287460327,0.3790999948978424,,,
,312,0,,,,0.3861748278141022,0.273624986410141,0.2653749883174896
0.01390513963997364,349,1,0.013664044439792633,,,,,
0.012109736911952496,399,1,0.012538347393274307,,,,,
0.013175202533602715,449,1,0.013440726324915886,,,,,
0.012413661926984787,499,1,0.011769045144319534,,,,,
0.012695582583546638,549,1,0.011910307221114635,,,,,
0.01286156103014946,599,1,0.012358483858406544,,,,,
,625,1,,0.4478999972343445,0.444599986076355,,,
,625,1,,,,0.44778481125831604,0.3877750039100647,0.38909998536109924
0.010750499553978443,649,2,0.011508027091622353,,,,,
0.010944469831883907,699,2,0.010465514846146107,,,,,
0.012311672791838646,749,2,0.012588792480528355,,,,,
0.010376128368079662,799,2,0.010373071767389774,,,,,
0.011010958813130856,849,2,0.011212874203920364,,,,,
0.011340741999447346,899,2,0.011817862279713154,,,,,
,938,2,,0.487199991941452,0.48739999532699585,,,
,938,2,,,,0.48714399337768555,0.44909998774528503,0.44337499141693115
0.011156673543155193,949,3,0.010531595908105373,,,,,
0.009975118562579155,999,3,0.010307135060429573,,,,,
0.010681763291358948,1049,3,0.010927567258477211,,,,,
0.010285167023539543,1099,3,0.01010485365986824,,,,,
0.010594497434794903,1149,3,0.010897574946284294,,,,,
0.010579369962215424,1199,3,0.009813557378947735,,,,,
0.010291988030076027,1249,3,0.010548850521445274,,,,,
,1251,3,,0.5382999777793884,0.5216000080108643,,,
,1251,3,,,,0.5332278609275818,0.48977500200271606,0.4889250099658966
0.009615861810743809,1299,4,0.009702098555862904,,,,,
0.00930266734212637,1349,4,0.009964456781744957,,,,,
0.009856650605797768,1399,4,0.010143429040908813,,,,,
0.010713454335927963,1449,4,0.010383272543549538,,,,,
0.00947724748402834,1499,4,0.009111306630074978,,,,,
0.008689405396580696,1549,4,0.00873288419097662,,,,,
,1564,4,,0.5565999746322632,0.5490000247955322,,,
,1564,4,,,,0.5637856125831604,0.5271250009536743,0.5219500064849854
0.0089645404368639,1599,5,0.00992421992123127,,,,,
0.008890276774764061,1649,5,0.00978918094187975,,,,,
0.00983147881925106,1699,5,0.010136865079402924,,,,,
0.008314155042171478,1749,5,0.008038071915507317,,,,,
0.007422046735882759,1799,5,0.00811627134680748,,,,,
0.006940328516066074,1849,5,0.006816001608967781,,,,,
,1877,5,,0.5503000020980835,0.552299976348877,,,
,1877,5,,,,0.5774327516555786,0.5565000176429749,0.5527999997138977
0.008083438500761986,1899,6,0.0075058359652757645,,,,,
0.006735498551279306,1949,6,0.007056712172925472,,,,,
0.007089438382536173,1999,6,0.007528721354901791,,,,,
0.00803605280816555,2049,6,0.007593391928821802,,,,,
