train_loss1,step,epoch,train_loss2,val_acc1,val_acc2,test_acc,train_acc2,train_acc1
0.01750696264207363,49,0,0.016954705119132996,,,,,
0.015173391439020634,99,0,0.01573879085481167,,,,,
0.015200428664684296,149,0,0.016006140038371086,,,,,
0.014585461467504501,199,0,0.014429192990064621,,,,,
0.014917569234967232,249,0,0.014531210064888,,,,,
0.012490654364228249,299,0,0.012841342017054558,,,,,
,312,0,,0.37389999628067017,0.3617999851703644,,,
,312,0,,,,0.3886471390724182,0.27254998683929443,0.27502501010894775
0.012855852022767067,349,1,0.012731829658150673,,,,,
0.013490880839526653,399,1,0.013159239664673805,,,,,
0.013495617546141148,449,1,0.012859227135777473,,,,,
0.011992606334388256,499,1,0.011820686049759388,,,,,
0.011514561250805855,549,1,0.01124347560107708,,,,,
0.013503157533705235,599,1,0.013342869468033314,,,,,
,625,1,,0.43790000677108765,0.43160000443458557,,,
,625,1,,,,0.4426423907279968,0.3908500075340271,0.3935000002384186
0.012234142981469631,649,2,0.01146711129695177,,,,,
0.01333802193403244,699,2,0.013204487040638924,,,,,
0.011334848590195179,749,2,0.011080277152359486,,,,,
0.010907921008765697,799,2,0.010802307166159153,,,,,
0.010598807595670223,849,2,0.010519000701606274,,,,,
0.009685707278549671,899,2,0.010409479960799217,,,,,
,938,2,,0.4823000133037567,0.48500001430511475,,,
,938,2,,,,0.49238529801368713,0.44749999046325684,0.44769999384880066
0.011142287403345108,949,3,0.011043003760278225,,,,,
0.009897544980049133,999,3,0.00979253277182579,,,,,
0.011537695303559303,1049,3,0.01123905647546053,,,,,
0.010897315107285976,1099,3,0.011434991843998432,,,,,
0.009664365090429783,1149,3,0.010533589869737625,,,,,
0.009653558023273945,1199,3,0.010491250082850456,,,,,
0.008895223028957844,1249,3,0.008962930180132389,,,,,
,1251,3,,0.5234000086784363,0.5164999961853027,,,
,1251,3,,,,0.5264042615890503,0.4882749915122986,0.49129998683929443
0.009447393007576466,1299,4,0.010136136785149574,,,,,
0.010512790642678738,1349,4,0.01069161668419838,,,,,
0.010520415380597115,1399,4,0.010497341863811016,,,,,
0.009349585510790348,1449,4,0.009060862474143505,,,,,
0.008159917779266834,1499,4,0.008455666713416576,,,,,
0.00865937303751707,1549,4,0.009480562061071396,,,,,
,1564,4,,0.5564000010490417,0.5623999834060669,,,
,1564,4,,,,0.5635878443717957,0.5249249935150146,0.5252000093460083
0.007565213367342949,1599,5,0.0069044362753629684,,,,,
0.008686245419085026,1649,5,0.00818506721407175,,,,,
0.00767742283642292,1699,5,0.007434479892253876,,,,,
0.007714136969298124,1749,5,0.007908573374152184,,,,,
0.010429252870380878,1799,5,0.01006717886775732,,,,,
0.009492042474448681,1849,5,0.009095398709177971,,,,,
,1877,5,,0.5587000250816345,0.5562000274658203,,,
,1877,5,,,,0.5774327516555786,0.5540750026702881,0.5522500276565552
0.007955454289913177,1899,6,0.008378180675208569,,,,,
0.00818207859992981,1949,6,0.007955122739076614,,,,,
0.008417877368628979,1999,6,0.008731206879019737,,,,,
0.008406785316765308,2049,6,0.009390393272042274,,,,,
0.007746548391878605,2099,6,0.007379766087979078,,,,,
0.007439654320478439,2149,6,0.0063684252090752125,,,,,
,2190,6,,0.5947999954223633,0.5874000191688538,,,
,2190,6,,,,0.6091772317886353,0.5745000243186951,0.5763499736785889
0.008222011849284172,2199,7,0.007414206862449646,,,,,
0.006922618020325899,2249,7,0.006943935994058847,,,,,
0.006333297584205866,2299,7,0.007077204529196024,,,,,
0.008580692112445831,2349,7,0.009081699885427952,,,,,
0.008574861101806164,2399,7,0.008721066638827324,,,,,
0.006979221012443304,2449,7,0.0069351051934063435,,,,,
0.007698545232415199,2499,7,0.007801535539329052,,,,,
,2503,7,,0.6252999901771545,0.6305000185966492,,,
,2503,7,,,,0.6230221390724182,0.5966249704360962,0.5960500240325928
0.0068993521854281425,2549,8,0.007568736094981432,,,,,
0.007210440468043089,2599,8,0.006826858967542648,,,,,
0.005811470095068216,2649,8,0.004792531952261925,,,,,
0.006313376594334841,2699,8,0.0066548860631883144,,,,,
0.00555363530293107,2749,8,0.005105642136186361,,,,,
0.006772457621991634,2799,8,0.007767592556774616,,,,,
,2816,8,,0.6370000243186951,0.6262999773025513,,,
,2816,8,,,,0.6346914768218994,0.6129000186920166,0.6128749847412109
0.005969023797661066,2849,9,0.00471203587949276,,,,,
0.005686476826667786,2899,9,0.006411916110664606,,,,,
0.006158458534628153,2949,9,0.006498366594314575,,,,,
0.004688784014433622,2999,9,0.006031504832208157,,,,,
0.0053328718058764935,3049,9,0.005660445429384708,,,,,
0.005844210274517536,3099,9,0.005661425180733204,,,,,
,3129,9,,0.5555999875068665,0.6043000221252441,,,
,3129,9,,,,0.600969135761261,0.62295001745224,0.6193749904632568
0.006529541686177254,3149,10,0.006008013617247343,,,,,
0.006121357437223196,3199,10,0.005665348842740059,,,,,
0.005954909138381481,3249,10,0.0065871174447238445,,,,,
0.007643440272659063,3299,10,0.006620867643505335,,,,,
0.004741481970995665,3349,10,0.004914401564747095,,,,,
0.008846702985465527,3399,10,0.00771565455943346,,,,,
,3442,10,,0.6355000138282776,0.6644999980926514,,,
,3442,10,,,,0.644382894039154,0.6311749815940857,0.6310250163078308
0.0058201937936246395,3449,11,0.006240378599613905,,,,,
0.005280504003167152,3499,11,0.004688717890530825,,,,,
0.005355745553970337,3549,11,0.005351902451366186,,,,,
0.006609502248466015,3599,11,0.006218975875526667,,,,,
0.00562488054856658,3649,11,0.00564722903072834,,,,,
0.007425259333103895,3699,11,0.006905387621372938,,,,,
0.004749066662043333,3749,11,0.0046651181764900684,,,,,
,3755,11,,0.6424000263214111,0.6596999764442444,,,
,3755,11,,,,0.6575356125831604,0.643975019454956,0.6399250030517578
0.005054150242358446,3799,12,0.006075482815504074,,,,,
0.004939205013215542,3849,12,0.005625114310532808,,,,,
0.005795045290142298,3899,12,0.006530177779495716,,,,,
0.005166582763195038,3949,12,0.004356893710792065,,,,,
0.0057421112433075905,3999,12,0.0056160567328333855,,,,,
0.00511486129835248,4049,12,0.005366455763578415,,,,,
,4068,12,,0.6266999840736389,0.6482999920845032,,,
,4068,12,,,,0.6800830960273743,0.652525007724762,0.654574990272522
0.005956651642918587,4099,13,0.005252397153526545,,,,,
0.00812004879117012,4149,13,0.0075403908267617226,,,,,
0.005276424344629049,4199,13,0.005088532343506813,,,,,
0.005999450571835041,4249,13,0.005916655994951725,,,,,
0.004084054380655289,4299,13,0.003928692080080509,,,,,
0.006423173937946558,4349,13,0.0072051407769322395,,,,,
