step,train_loss2,train_loss1,epoch,test_acc,train_acc2,train_acc1
49,0.015004058368504047,0.015158900991082191,0,,,
99,0.01398997288197279,0.013590569607913494,0,,,
149,0.014929047785699368,0.01413397490978241,0,,,
199,0.013891732320189476,0.01396887470036745,0,,,
249,0.01345542911440134,0.013162534683942795,0,,,
299,0.01270939689129591,0.013604407198727131,0,,,
349,0.01337809395045042,0.013440074399113655,0,,,
389,,,0,0.5295000076293945,0.34262821078300476,0.36921074986457825
399,0.013132290914654732,0.011899266391992569,1,,,
449,0.01231490820646286,0.011957762762904167,1,,,
499,0.011147028766572475,0.010477951727807522,1,,,
549,0.010910733602941036,0.010363845154643059,1,,,
599,0.011558028869330883,0.01091053057461977,1,,,
649,0.011459052562713623,0.01122191734611988,1,,,
699,0.009430809877812862,0.009418088011443615,1,,,
749,0.010656749829649925,0.010340467095375061,1,,,
779,,,1,0.5730999708175659,0.49312901496887207,0.5138421654701233
799,0.009489555843174458,0.0096561498939991,2,,,
849,0.010401234962046146,0.010041723027825356,2,,,
899,0.008303823880851269,0.007855200208723545,2,,,
949,0.007508564740419388,0.007295506540685892,2,,,
999,0.008780218660831451,0.008293992839753628,2,,,
1049,0.007543436251580715,0.007642355747520924,2,,,
1099,0.00909418798983097,0.009252013638615608,2,,,
1149,0.008462703786790371,0.007873503491282463,2,,,
1169,,,2,0.6448000073432922,0.5615184307098389,0.5784054398536682
1199,0.007600579410791397,0.0063132066279649734,3,,,
1249,0.006532303057610989,0.007056972477585077,3,,,
1299,0.009060874581336975,0.00819949060678482,3,,,
1349,0.007339039351791143,0.006771076936274767,3,,,
1399,0.008252734318375587,0.00846388190984726,3,,,
1449,0.007124252617359161,0.006447612773627043,3,,,
1499,0.007057282608002424,0.007157275918871164,3,,,
1549,0.007291879970580339,0.007049245294183493,3,,,
1559,,,3,0.6909999847412109,0.6040664911270142,0.6201722621917725
1599,0.008828015998005867,0.007324197329580784,4,,,
1649,0.007397827226668596,0.006921342574059963,4,,,
1699,0.008069160394370556,0.007809292059391737,4,,,
1749,0.00682389922440052,0.005805398803204298,4,,,
1799,0.007612911053001881,0.007007787469774485,4,,,
1849,0.005302966572344303,0.005351885687559843,4,,,
1899,0.007751486264169216,0.008261357434093952,4,,,
1949,0.007319568656384945,0.007188880816102028,4,,,
1949,,,4,0.7601000070571899,0.6418069005012512,0.6496394276618958
1999,0.006068049930036068,0.0055601755157113075,5,,,
2049,0.005650509148836136,0.005344991572201252,5,,,
2099,0.0048602065071463585,0.004544274415820837,5,,,
2149,0.005788782611489296,0.006010666023939848,5,,,
2199,0.003976866137236357,0.004101935774087906,5,,,
2249,0.004050904884934425,0.0038722222670912743,5,,,
2299,0.008833510801196098,0.009880571626126766,5,,,
2339,,,5,0.7296000123023987,0.6652043461799622,0.6701522469520569
2349,0.004384779836982489,0.0038711135275661945,6,,,
2399,0.006420949939638376,0.006263281684368849,6,,,
2449,0.0052543021738529205,0.005513827316462994,6,,,
2499,0.006605703849345446,0.005519477650523186,6,,,
2549,0.00510373106226325,0.004356201738119125,6,,,
2599,0.0061281593516469,0.005389614962041378,6,,,
2649,0.0048889038152992725,0.005221526138484478,6,,,
2699,0.003936463501304388,0.0035540529061108828,6,,,
2729,,,6,0.7773000001907349,0.6820112466812134,0.687339723110199
2749,0.00452752411365509,0.004456481896340847,7,,,
2799,0.004197813104838133,0.00456326873973012,7,,,
2849,0.004282045178115368,0.0046851192601025105,7,,,
2899,0.005334870889782906,0.00545543385669589,7,,,
2949,0.0038327290676534176,0.003543053288012743,7,,,
2999,0.003797186305746436,0.003480789950117469,7,,,
3049,0.005190192721784115,0.0053255269303917885,7,,,
3099,0.0032117078080773354,0.0023346932139247656,7,,,
3119,,,7,0.7813000082969666,0.6963741779327393,0.7007812261581421
3149,0.004511131439357996,0.004338544327765703,8,,,
3199,0.0026414492167532444,0.003163185203447938,8,,,
3249,0.0020574266090989113,0.002221866277977824,8,,,
3299,0.007363170385360718,0.007086421828716993,8,,,
