step,epoch,train_loss,val_acc,train_acc,test_acc
49,0,0.5099058747291565,,,
99,0,0.4215121269226074,,,
149,0,0.4676586389541626,,,
199,0,0.4384169578552246,,,
249,0,0.24297411739826202,,,
299,0,0.2960053086280823,,,
311,0,,0.2824999988079071,,
311,0,,,0.2628956437110901,0.3504999876022339
349,1,0.3958279490470886,,,
399,1,0.25179803371429443,,,
449,1,0.38996776938438416,,,
499,1,0.38542306423187256,,,
549,1,0.3295673131942749,,,
599,1,0.31277167797088623,,,
623,1,,0.37059998512268066,,
623,1,,,0.34572815895080566,0.47859999537467957
649,2,0.25889915227890015,,,
699,2,0.319489061832428,,,
749,2,0.2557041347026825,,,
799,2,0.2808583080768585,,,
849,2,0.34091290831565857,,,
899,2,0.20840439200401306,,,
935,2,,0.39419999718666077,,
935,2,,,0.38994890451431274,0.515500009059906
949,3,0.28018441796302795,,,
999,3,0.25492918491363525,,,
1049,3,0.19187363982200623,,,
1099,3,0.18001790344715118,,,
1149,3,0.23011785745620728,,,
1199,3,0.19357949495315552,,,
1247,3,,0.4228000044822693,,
1247,3,,,0.41651642322540283,0.5587999820709229
1249,4,0.2733645439147949,,,
1299,4,0.105004221200943,,,
1349,4,0.2633466124534607,,,
1399,4,0.17699956893920898,,,
1449,4,0.16334842145442963,,,
1499,4,0.2179999053478241,,,
1549,4,0.2755357623100281,,,
1559,4,,0.4474000036716461,,
1559,4,,,0.4344951808452606,0.6079999804496765
1599,5,0.19212940335273743,,,
1649,5,0.15842176973819733,,,
1699,5,0.16953787207603455,,,
1749,5,0.21519804000854492,,,
1799,5,0.1640322357416153,,,
1849,5,0.24350206553936005,,,
1871,5,,0.4742000102996826,,
1871,5,,,0.4574318826198578,0.6442999839782715
1899,6,0.20638751983642578,,,
1949,6,0.1390220820903778,,,
1999,6,0.1770082414150238,,,
2049,6,0.2513410449028015,,,
2099,6,0.09233309328556061,,,
2149,6,0.16908268630504608,,,
2183,6,,0.46790000796318054,,
2183,6,,,0.4744090437889099,0.6473000049591064
2199,7,0.10035914182662964,,,
2249,7,0.12233860790729523,,,
2299,7,0.13270622491836548,,,
2349,7,0.15340754389762878,,,
2399,7,0.20946937799453735,,,
2449,7,0.12370258569717407,,,
2495,7,,0.48510000109672546,,
2495,7,,,0.48622795939445496,0.670199990272522
2499,8,0.13656195998191833,,,
2549,8,0.15295246243476868,,,
2599,8,0.13736005127429962,,,
2649,8,0.19703072309494019,,,
2699,8,0.17315611243247986,,,
2749,8,0.14616981148719788,,,
2799,8,0.23651303350925446,,,
2807,8,,0.4945000112056732,,
2807,8,,,0.4965444803237915,0.679099977016449
2849,9,0.16279858350753784,,,
2899,9,0.12131890654563904,,,
2949,9,0.1012410819530487,,,
2999,9,0.12409881502389908,,,
3049,9,0.08264894783496857,,,
3099,9,0.06576776504516602,,,
3119,9,,0.515999972820282,,
3119,9,,,0.5054837465286255,0.7174999713897705
3149,10,0.11375436931848526,,,
3199,10,0.07101137936115265,,,
3249,10,0.2346142679452896,,,
3299,10,0.16801387071609497,,,
3349,10,0.0836874395608902,,,
3399,10,0.20659956336021423,,,
3431,10,,0.5206999778747559,,
3431,10,,,0.5148237347602844,0.7261000275611877
3449,11,0.18284226953983307,,,
3499,11,0.04060324281454086,,,
3549,11,0.006825237534940243,,,
3599,11,0.0022156257182359695,,,
3649,11,0.04540977627038956,,,
3699,11,0.08105859160423279,,,
3743,11,,0.5163000226020813,,
3743,11,,,0.519606351852417,0.7315000295639038
3749,12,0.08064775168895721,,,
3799,12,0.1239471584558487,,,
3849,12,0.041010111570358276,,,
3899,12,0.11980418860912323,,,
3949,12,0.11022274941205978,,,
3999,12,0.1375996619462967,,,
4049,12,0.22849363088607788,,,
4055,12,,0.5212000012397766,,
4055,12,,,0.5270182490348816,0.7297999858856201
4099,13,0.11527398228645325,,,
4149,13,0.1412857174873352,,,
4199,13,0.13601364195346832,,,
4249,13,0.05696369707584381,,,
4299,13,0.14731675386428833,,,
4349,13,0.12316391617059708,,,
4367,13,,0.5199999809265137,,
4367,13,,,0.5304237008094788,0.7422999739646912
4399,14,0.13500463962554932,,,
4449,14,0.10047775506973267,,,
4499,14,0.18208694458007812,,,
4549,14,0.05829840153455734,,,
4599,14,0.08175982534885406,,,
4649,14,0.07978150248527527,,,
4679,14,,0.5187000036239624,,
4679,14,,,0.5365585088729858,0.7226999998092651
4699,15,0.0744190588593483,,,
4749,15,0.11053983867168427,,,
4799,15,0.07343404740095139,,,
4849,15,0.08604798465967178,,,
4899,15,0.12243621051311493,,,
4949,15,0.1211685910820961,,,
4991,15,,0.5260000228881836,,
4991,15,,,0.540940523147583,0.7394000291824341
4999,16,0.062157660722732544,,,
5049,16,0.08315986394882202,,,
5099,16,0.11314110457897186,,,
5149,16,0.03492984175682068,,,
5199,16,0.12268752604722977,,,
5249,16,0.07453534752130508,,,
5299,16,0.0608908087015152,,,
5303,16,,0.515500009059906,,
5303,16,,,0.5452223420143127,0.7206000089645386
5349,17,0.07096472382545471,,,
5399,17,0.022352423518896103,,,
5449,17,0.1006368100643158,,,
5499,17,0.1348031759262085,,,
5549,17,0.030140232294797897,,,
5599,17,0.1456575095653534,,,
5615,17,,0.5281999707221985,,
5615,17,,,0.5493539571762085,0.7537999749183655
5649,18,0.13041189312934875,,,
5699,18,-0.014261290431022644,,,
5749,18,0.09161122143268585,,,
5799,18,0.13818798959255219,,,
5849,18,0.05532592535018921,,,
5899,18,0.2594170868396759,,,
5927,18,,0.5339999794960022,,
5927,18,,,0.5525841116905212,0.7457000017166138
5949,19,0.05732110142707825,,,
5999,19,0.0137231620028615,,,
6049,19,0.04499216377735138,,,
6099,19,0.039730802178382874,,,
6149,19,-0.019415829330682755,,,
6199,19,0.05439119040966034,,,
6239,19,,0.5328999757766724,,
6239,19,,,0.5521584749221802,0.7531999945640564
6249,20,0.06837079674005508,,,
6299,20,0.07230190187692642,,,
6349,20,-0.03034484013915062,,,
6399,20,0.1532476842403412,,,
6449,20,0.01977747492492199,,,
6499,20,0.1160149872303009,,,
6549,20,-0.032127752900123596,,,
6551,20,,0.5411999821662903,,
6551,20,,,0.5569160580635071,0.7666000127792358
6599,21,-0.010004878044128418,,,
6649,21,0.023417914286255836,,,
6699,21,0.14658614993095398,,,
6749,21,0.006448986940085888,,,
