epoch,step,train_loss,test_acc,train_acc
0,49,2.2913877964019775,,
0,99,2.118795156478882,,
0,149,2.0819616317749023,,
0,199,2.051128387451172,,
0,249,1.9487941265106201,,
0,299,1.9546023607254028,,
0,349,1.999971628189087,,
0,389,,0.2865000069141388,0.2056690752506256
1,399,1.9941893815994263,,
1,449,2.0649654865264893,,
1,499,1.9449251890182495,,
1,549,1.945976972579956,,
1,599,1.844200611114502,,
1,649,1.9175077676773071,,
1,699,1.7781033515930176,,
1,749,1.6121896505355835,,
1,779,,0.3531999886035919,0.3025440573692322
2,799,1.7536499500274658,,
2,849,1.8338052034378052,,
2,899,1.8532077074050903,,
2,949,1.7251003980636597,,
2,999,1.8217946290969849,,
2,1049,1.7126483917236328,,
2,1099,1.8379487991333008,,
2,1149,1.617634892463684,,
2,1169,,0.44429999589920044,0.3708333373069763
3,1199,1.675952434539795,,
3,1249,1.808813452720642,,
3,1299,1.7404899597167969,,
3,1349,1.593582272529602,,
3,1399,1.6234596967697144,,
3,1449,1.4613507986068726,,
3,1499,1.3770554065704346,,
3,1549,1.5541613101959229,,
3,1559,,0.5038999915122986,0.43014824390411377
4,1599,1.4981426000595093,,
4,1649,1.5750173330307007,,
4,1699,1.5627915859222412,,
4,1749,1.4568898677825928,,
4,1799,1.5327091217041016,,
4,1849,1.4367177486419678,,
4,1899,1.557117223739624,,
4,1949,1.4695242643356323,,
4,1949,,0.4659000039100647,0.4830128252506256
5,1999,1.3269785642623901,,
5,2049,1.4807000160217285,,
5,2099,1.2553273439407349,,
5,2149,1.4530490636825562,,
5,2199,1.4392778873443604,,
5,2249,1.2671706676483154,,
5,2299,1.4626790285110474,,
5,2339,,0.5608999729156494,0.5296474099159241
6,2349,1.3415613174438477,,
6,2399,1.4464004039764404,,
6,2449,1.2607239484786987,,
6,2499,1.3567008972167969,,
6,2549,1.2919435501098633,,
6,2599,1.4727104902267456,,
6,2649,1.4261647462844849,,
6,2699,1.2020771503448486,,
6,2729,,0.5946000218391418,0.5696714520454407
7,2749,1.4099613428115845,,
7,2799,1.3769409656524658,,
7,2849,1.453516960144043,,
7,2899,1.3016217947006226,,
7,2949,1.2090362310409546,,
7,2999,1.1009387969970703,,
7,3049,1.2954860925674438,,
7,3099,1.0447405576705933,,
7,3119,,0.6425999999046326,0.5987379550933838
8,3149,1.116784930229187,,
8,3199,1.1895747184753418,,
8,3249,1.1490554809570312,,
8,3299,1.1694412231445312,,
8,3349,1.1773757934570312,,
8,3399,1.1175131797790527,,
8,3449,1.1316732168197632,,
8,3499,0.9730764031410217,,
8,3509,,0.6421999931335449,0.6265624761581421
9,3549,1.1753135919570923,,
9,3599,1.4155327081680298,,
9,3649,1.1628272533416748,,
9,3699,1.3449946641921997,,
9,3749,1.0857741832733154,,
9,3799,1.0982542037963867,,
9,3849,1.3452918529510498,,
9,3899,1.2586761713027954,,
9,3899,,0.6998999714851379,0.650661051273346
10,3949,1.1256914138793945,,
10,3999,1.3496171236038208,,
10,4049,0.8577250838279724,,
10,4099,1.2271803617477417,,
10,4149,1.285277247428894,,
10,4199,1.1117262840270996,,
10,4249,1.147304654121399,,
10,4289,,0.7099000215530396,0.6656049489974976
11,4299,1.1860804557800293,,
11,4349,1.2445443868637085,,
11,4399,1.1929376125335693,,
11,4449,1.0508248805999756,,
11,4499,1.2003451585769653,,
11,4549,0.9141326546669006,,
11,4599,0.9707840085029602,,
11,4649,1.0903255939483643,,
11,4679,,0.7301999926567078,0.6741987466812134
12,4699,0.9654121994972229,,
12,4749,1.031240701675415,,
12,4799,0.9906600713729858,,
12,4849,0.9679293036460876,,
12,4899,1.051919937133789,,
12,4949,1.0030591487884521,,
12,4999,1.1870551109313965,,
12,5049,1.0883735418319702,,
12,5069,,0.7621999979019165,0.6832732558250427
13,5099,1.0459915399551392,,
13,5149,0.9846160411834717,,
13,5199,1.0870569944381714,,
13,5249,0.9981164932250977,,
13,5299,0.9599113464355469,,
13,5349,0.9990211129188538,,
13,5399,1.2928094863891602,,
13,5449,1.0116204023361206,,
13,5459,,0.7542999982833862,0.6890825033187866
14,5499,0.9558014869689941,,
14,5549,0.7570652365684509,,
14,5599,0.8711281418800354,,
14,5649,0.9840596914291382,,
14,5699,0.8939679861068726,,
14,5749,0.8125443458557129,,
14,5799,0.9463129639625549,,
14,5849,1.0885409116744995,,
14,5849,,0.751800000667572,0.6940504908561707
15,5899,1.0681394338607788,,
15,5949,1.0611790418624878,,
15,5999,0.9167293906211853,,
15,6049,1.1880067586898804,,
15,6099,0.9783632159233093,,
15,6149,1.1495816707611084,,
15,6199,0.8597255945205688,,
15,6239,,0.7455000281333923,0.6962540149688721
16,6249,0.9796479940414429,,
16,6299,1.0087213516235352,,
16,6349,0.8992834687232971,,
16,6399,0.8480438590049744,,
16,6449,1.2118209600448608,,
16,6499,1.1925575733184814,,
16,6549,1.0469623804092407,,
16,6599,1.0102342367172241,,
16,6629,,0.7476999759674072,0.7026041746139526
17,6649,0.860454261302948,,
17,6699,1.0525656938552856,,
17,6749,1.0326279401779175,,
17,6799,1.04197096824646,,
17,6849,1.0799052715301514,,
17,6899,1.0306901931762695,,
17,6949,0.8802040815353394,,
17,6999,0.9842644929885864,,
