train_loss,epoch,step,val_acc,val_loss,test_acc
3.0444297790527344,0,49,,,
2.6829750537872314,0,99,,,
2.785165309906006,0,149,,,
2.503150463104248,0,199,,,
2.6270759105682373,0,249,,,
2.507014513015747,0,299,,,
2.381199836730957,0,349,,,
,0,389,0.4779999852180481,1.5124807357788086,
,0,389,,,0.5297999978065491
2.2300703525543213,1,399,,,
2.2220497131347656,1,449,,,
2.4302637577056885,1,499,,,
2.3294777870178223,1,549,,,
2.1611363887786865,1,599,,,
2.3026928901672363,1,649,,,
2.3353166580200195,1,699,,,
1.7799391746520996,1,749,,,
,1,779,0.566100001335144,1.3068486452102661,
,1,779,,,0.6306999921798706
2.1970434188842773,2,799,,,
1.949498176574707,2,849,,,
2.0740644931793213,2,899,,,
2.0517771244049072,2,949,,,
1.9915275573730469,2,999,,,
1.775658369064331,2,1049,,,
1.7229112386703491,2,1099,,,
1.801870584487915,2,1149,,,
,2,1169,0.6225000023841858,1.184481143951416,
,2,1169,,,0.6953999996185303
1.8291341066360474,3,1199,,,
1.9620261192321777,3,1249,,,
1.8761028051376343,3,1299,,,
1.62587571144104,3,1349,,,
1.867709755897522,3,1399,,,
1.7623482942581177,3,1449,,,
1.7449724674224854,3,1499,,,
1.7079975605010986,3,1549,,,
,3,1559,0.6453999876976013,1.1354423761367798,
,3,1559,,,0.7272999882698059
1.7956712245941162,4,1599,,,
1.5172839164733887,4,1649,,,
1.7180984020233154,4,1699,,,
1.8193296194076538,4,1749,,,
1.6296805143356323,4,1799,,,
1.9468176364898682,4,1849,,,
1.5739860534667969,4,1899,,,
1.5656795501708984,4,1949,,,
,4,1949,0.6722000241279602,1.0971603393554688,
,4,1949,,,0.7578999996185303
1.3423566818237305,5,1999,,,
1.4614633321762085,5,2049,,,
1.4861176013946533,5,2099,,,
1.7377973794937134,5,2149,,,
1.5131464004516602,5,2199,,,
1.3367211818695068,5,2249,,,
1.3584389686584473,5,2299,,,
,5,2339,0.7027999758720398,1.0134987831115723,
,5,2339,,,0.7904999852180481
1.4734007120132446,6,2349,,,
1.5329697132110596,6,2399,,,
1.355055809020996,6,2449,,,
1.4378358125686646,6,2499,,,
1.562270164489746,6,2549,,,
1.5737009048461914,6,2599,,,
1.7023526430130005,6,2649,,,
1.5138769149780273,6,2699,,,
,6,2729,0.7123000025749207,0.9904288053512573,
,6,2729,,,0.8130000233650208
1.458081603050232,7,2749,,,
1.6632475852966309,7,2799,,,
1.531712293624878,7,2849,,,
1.3063085079193115,7,2899,,,
1.6433089971542358,7,2949,,,
1.4684810638427734,7,2999,,,
1.4996702671051025,7,3049,,,
1.3567650318145752,7,3099,,,
,7,3119,0.7224000096321106,0.958961009979248,
,7,3119,,,0.8299999833106995
1.435736060142517,8,3149,,,
1.2857911586761475,8,3199,,,
1.3898800611495972,8,3249,,,
1.2443877458572388,8,3299,,,
1.511044979095459,8,3349,,,
1.4285922050476074,8,3399,,,
1.3247780799865723,8,3449,,,
1.0739911794662476,8,3499,,,
,8,3509,0.7297999858856201,0.9480475783348083,
,8,3509,,,0.8396000266075134
1.2500956058502197,9,3549,,,
1.4156885147094727,9,3599,,,
1.4327605962753296,9,3649,,,
1.2374396324157715,9,3699,,,
1.468293309211731,9,3749,,,
1.3993127346038818,9,3799,,,
1.425749659538269,9,3849,,,
1.3238168954849243,9,3899,,,
,9,3899,0.728600025177002,0.9422769546508789,
,9,3899,,,0.8271999955177307
2.321086883544922,10,3949,,,
2.4095427989959717,10,3999,,,
1.967376708984375,10,4049,,,
2.2758378982543945,10,4099,,,
2.366915225982666,10,4149,,,
2.311375856399536,10,4199,,,
,10,4211,,,0.8420000076293945
2.0712859630584717,11,4249,,,
2.3273978233337402,11,4299,,,
2.288208484649658,11,4349,,,
2.0031237602233887,11,4399,,,
2.296896457672119,11,4449,,,
2.390437126159668,11,4499,,,
,11,4523,0.7382000088691711,1.0073720216751099,
,11,4523,,,0.8456000089645386
2.2952089309692383,12,4549,,,
2.181131362915039,12,4599,,,
2.1596055030822754,12,4649,,,
2.4175806045532227,12,4699,,,
1.8037045001983643,12,4749,,,
2.240354061126709,12,4799,,,
,12,4835,0.7398999929428101,0.9947271347045898,
,12,4835,,,0.8521999716758728
2.329916477203369,13,4849,,,
2.2216320037841797,13,4899,,,
2.2785773277282715,13,4949,,,
2.003222942352295,13,4999,,,
2.3521652221679688,13,5049,,,
2.1209943294525146,13,5099,,,
,13,5147,0.7454000115394592,0.993416965007782,
,13,5147,,,0.8536999821662903
2.3584847450256348,14,5149,,,
2.2006478309631348,14,5199,,,
2.2581734657287598,14,5249,,,
2.2929625511169434,14,5299,,,
2.211526870727539,14,5349,,,
2.3170783519744873,14,5399,,,
2.2102062702178955,14,5449,,,
,14,5459,0.743399977684021,1.0021826028823853,
,14,5459,,,0.8518000245094299
1.9175500869750977,15,5499,,,
2.344763994216919,15,5549,,,
2.2177248001098633,15,5599,,,
2.301334857940674,15,5649,,,
1.6323952674865723,15,5699,,,
2.0340189933776855,15,5749,,,
,15,5771,0.7494999766349792,0.9869875907897949,
,15,5771,,,0.858299970626831
2.3503329753875732,16,5799,,,
2.2558276653289795,16,5849,,,
2.0683703422546387,16,5899,,,
2.0528016090393066,16,5949,,,
2.228764533996582,16,5999,,,
1.826459288597107,16,6049,,,
,16,6083,0.7493000030517578,0.9854671955108643,
,16,6083,,,0.862500011920929
2.2545418739318848,17,6099,,,
2.0240001678466797,17,6149,,,
1.9678778648376465,17,6199,,,
2.2967453002929688,17,6249,,,
2.029733657836914,17,6299,,,
2.324894905090332,17,6349,,,
,17,6395,0.7465999722480774,0.9947697520256042,
,17,6395,,,0.8633999824523926
2.096489906311035,18,6399,,,
1.869521141052246,18,6449,,,
2.3532333374023438,18,6499,,,
1.841782569885254,18,6549,,,
2.2631328105926514,18,6599,,,
2.264824390411377,18,6649,,,
2.097344398498535,18,6699,,,
,18,6707,0.7483999729156494,0.9943783283233643,
,18,6707,,,0.863099992275238
2.2818527221679688,19,6749,,,
2.191845417022705,19,6799,,,
2.2177815437316895,19,6849,,,
1.7760229110717773,19,6899,,,
2.2456932067871094,19,6949,,,
1.8456108570098877,19,6999,,,
,19,7019,0.7544999718666077,0.9977867007255554,
,19,7019,,,0.8733999729156494
2.2989861965179443,20,7049,,,
2.284825563430786,20,7099,,,
1.915930986404419,20,7149,,,
2.311532497406006,20,7199,,,
1.511940836906433,20,7249,,,
2.2419838905334473,20,7299,,,
,20,7331,0.7531999945640564,0.9808233380317688,
,20,7331,,,0.8646000027656555
1.8504551649093628,21,7349,,,
2.019383430480957,21,7399,,,
2.4014267921447754,21,7449,,,
2.094059944152832,21,7499,,,
2.3137176036834717,21,7549,,,
2.322719097137451,21,7599,,,
,21,7643,0.7523000240325928,0.9886782169342041,
,21,7643,,,0.8695999979972839
2.2320871353149414,22,7649,,,
2.3583245277404785,22,7699,,,
1.985159158706665,22,7749,,,
2.259626865386963,22,7799,,,
2.379058361053467,22,7849,,,
2.0753681659698486,22,7899,,,
2.343355655670166,22,7949,,,
,22,7955,0.7555000185966492,0.9828511476516724,
