train_loss2,step,train_loss1,epoch,train_acc1,test_acc,train_acc2
0.013783441856503487,49,0.01402470376342535,0,,,
0.014682872220873833,99,0.014149036258459091,0,,,
0.014170272275805473,149,0.014010444283485413,0,,,
0.013641678728163242,199,0.013738364912569523,0,,,
0.013391129672527313,249,0.012927119620144367,0,,,
0.013369707390666008,299,0.013503382913768291,0,,,
0.011741271242499352,349,0.012249280698597431,0,,,
,389,,0,0.3432692289352417,0.5073000192642212,0.34503206610679626
0.011435363441705704,399,0.011692091822624207,1,,,
0.012007636949419975,449,0.012100212275981903,1,,,
0.009576497599482536,499,0.00959464069455862,1,,,
0.011920316144824028,549,0.011652562767267227,1,,,
0.013259303756058216,599,0.013757975772023201,1,,,
0.009913124144077301,649,0.010609420016407967,1,,,
0.010063407942652702,699,0.009914376772940159,1,,,
0.011778704822063446,749,0.012263849377632141,1,,,
,779,,1,0.48243188858032227,0.6029999852180481,0.4876802861690521
0.008323125541210175,799,0.008726105093955994,2,,,
0.00863473117351532,849,0.008079994469881058,2,,,
0.008700156584382057,899,0.00944669172167778,2,,,
0.009605363942682743,949,0.009875091724097729,2,,,
0.009785405360162258,999,0.010303011164069176,2,,,
0.008245127275586128,1049,0.00809204950928688,2,,,
0.008600802160799503,1099,0.008702969178557396,2,,,
0.010350093245506287,1149,0.010175052098929882,2,,,
,1169,,2,0.556209921836853,0.6431000232696533,0.5565103888511658
0.008461898192763329,1199,0.007607342209666967,3,,,
0.010232373140752316,1249,0.010384411551058292,3,,,
0.008998711593449116,1299,0.00936050247400999,3,,,
0.009554991498589516,1349,0.00917541328817606,3,,,
0.00876148883253336,1399,0.008119195699691772,3,,,
0.009020859375596046,1449,0.008587269112467766,3,,,
0.007214734796434641,1499,0.006574287079274654,3,,,
0.007984424009919167,1549,0.00773913087323308,3,,,
,1559,,3,0.6031049489974976,0.7232999801635742,0.600981593132019
0.007898149080574512,1599,0.008061910048127174,4,,,
0.006383769679814577,1649,0.005951473489403725,4,,,
0.009246964938938618,1699,0.008696376346051693,4,,,
0.005156517960131168,1749,0.005063459277153015,4,,,
0.006245989818125963,1799,0.005760302301496267,4,,,
0.00727470126003027,1849,0.00665024109184742,4,,,
0.00714532658457756,1899,0.006970973219722509,4,,,
0.0074368310160934925,1949,0.006767355836927891,4,,,
,1949,,4,0.6385216116905212,0.7107999920845032,0.6322916746139526
0.007202710025012493,1999,0.007856335490942001,5,,,
0.005978376138955355,2049,0.005328136496245861,5,,,
0.005125235300511122,2099,0.005458954256027937,5,,,
0.004627066198736429,2149,0.004827575758099556,5,,,
0.0061794365756213665,2199,0.006654917728155851,5,,,
0.004852858372032642,2249,0.005333422217518091,5,,,
0.0058159539476037025,2299,0.005626868922263384,5,,,
,2339,,5,0.6634414792060852,0.7530999779701233,0.6582131385803223
0.003520926460623741,2349,0.0035853306762874126,6,,,
0.006797323003411293,2399,0.007296264171600342,6,,,
0.0053274910897016525,2449,0.005673706531524658,6,,,
0.004060073290020227,2499,0.003975150641053915,6,,,
