train_loss,step,epoch,test_acc,train_acc
3.722653388977051,49,0,,
3.5222883224487305,99,0,,
3.2632060050964355,149,0,,
3.05454683303833,199,0,,
2.9080755710601807,249,0,,
2.801853656768799,299,0,,
2.9663000106811523,349,0,,
,389,0,0.5601000189781189,0.3628605902194977
2.699516534805298,399,1,,
2.8172731399536133,449,1,,
2.888731002807617,499,1,,
2.783590793609619,549,1,,
2.4618310928344727,599,1,,
2.5207266807556152,649,1,,
2.524576187133789,699,1,,
2.62280011177063,749,1,,
,779,1,0.6309999823570251,0.5053585767745972
2.4426026344299316,799,2,,
2.634488582611084,849,2,,
2.592942714691162,899,2,,
2.386139392852783,949,2,,
2.435494899749756,999,2,,
1.9004755020141602,1049,2,,
2.3471295833587646,1099,2,,
2.6488499641418457,1149,2,,
,1169,2,0.6906999945640564,0.5722556114196777
2.309614419937134,1199,3,,
2.4331307411193848,1249,3,,
2.210010528564453,1299,3,,
2.4858810901641846,1349,3,,
2.1982836723327637,1399,3,,
2.4708852767944336,1449,3,,
2.3460545539855957,1499,3,,
2.444286584854126,1549,3,,
,1559,3,0.767799973487854,0.6188501715660095
2.0148255825042725,1599,4,,
2.016200304031372,1649,4,,
2.0125417709350586,1699,4,,
2.1353611946105957,1749,4,,
2.2455992698669434,1799,4,,
2.0227911472320557,1849,4,,
2.2003016471862793,1899,4,,
2.286637306213379,1949,4,,
,1949,4,0.8080000281333923,0.6424378752708435
2.1157138347625732,1999,5,,
1.943852424621582,2049,5,,
2.0860767364501953,2099,5,,
2.2582948207855225,2149,5,,
2.1549558639526367,2199,5,,
1.7308157682418823,2249,5,,
1.9860200881958008,2299,5,,
,2339,5,0.7865999937057495,0.6601161956787109
1.9839683771133423,2349,6,,
1.9481234550476074,2399,6,,
1.6185085773468018,2449,6,,
1.6801128387451172,2499,6,,
1.5978899002075195,2549,6,,
1.708056092262268,2599,6,,
2.0417187213897705,2649,6,,
1.7135939598083496,2699,6,,
,2729,6,0.8029000163078308,0.6714743375778198
1.7174426317214966,2749,7,,
1.8525323867797852,2799,7,,
1.7238693237304688,2849,7,,
1.614332914352417,2899,7,,
1.5676634311676025,2949,7,,
1.5520731210708618,2999,7,,
1.6755130290985107,3049,7,,
1.8678971529006958,3099,7,,
,3119,7,0.816100001335144,0.682421863079071
1.3889830112457275,3149,8,,
1.5492918491363525,3199,8,,
1.8692140579223633,3249,8,,
1.702864170074463,3299,8,,
1.6315778493881226,3349,8,,
1.4475212097167969,3399,8,,
1.7286880016326904,3449,8,,
1.7051007747650146,3499,8,,
,3509,8,0.8490999937057495,0.6932992935180664
1.6238479614257812,3549,9,,
1.7583560943603516,3599,9,,
1.4715051651000977,3649,9,,
1.5568125247955322,3699,9,,
1.6620131731033325,3749,9,,
1.793220043182373,3799,9,,
1.3164440393447876,3849,9,,
1.3159863948822021,3899,9,,
,3899,9,0.8202999830245972,0.7000200152397156
1.5300395488739014,3949,10,,
1.5742745399475098,3999,10,,
1.5181119441986084,4049,10,,
1.2778040170669556,4099,10,,
1.4577128887176514,4149,10,,
1.0730772018432617,4199,10,,
1.6703726053237915,4249,10,,
,4289,10,0.8485999703407288,0.7083433270454407
1.2837145328521729,4299,11,,
1.3423908948898315,4349,11,,
1.5101213455200195,4399,11,,
1.330658197402954,4449,11,,
1.5445926189422607,4499,11,,
