step,epoch,train_loss,val_loss,val_acc,test_acc
49,0,2.9140408039093018,,,
99,0,2.6649158000946045,,,
149,0,2.7388463020324707,,,
199,0,2.444153308868408,,,
249,0,2.623974561691284,,,
299,0,2.3866918087005615,,,
349,0,2.3731117248535156,,,
389,0,,1.5397216081619263,0.4781999886035919,
389,0,,,,0.5335000157356262
399,1,2.3657896518707275,,,
449,1,2.274844169616699,,,
499,1,2.4688897132873535,,,
549,1,2.170701503753662,,,
599,1,2.1325085163116455,,,
649,1,2.2168564796447754,,,
699,1,2.251253366470337,,,
749,1,2.1506526470184326,,,
779,1,,1.3288555145263672,0.5602999925613403,
779,1,,,,0.614300012588501
799,2,1.9879226684570312,,,
849,2,2.036884307861328,,,
899,2,1.953702449798584,,,
949,2,1.969736933708191,,,
999,2,1.9711419343948364,,,
1049,2,1.840482234954834,,,
1099,2,1.8589789867401123,,,
1149,2,1.9975945949554443,,,
1169,2,,1.176689624786377,0.6333000063896179,
1169,2,,,,0.7049999833106995
1199,3,1.9575998783111572,,,
1249,3,1.8704619407653809,,,
1299,3,1.9644663333892822,,,
1349,3,1.8891490697860718,,,
1399,3,1.8445343971252441,,,
1449,3,1.902874231338501,,,
1499,3,1.7358510494232178,,,
1549,3,1.9618773460388184,,,
1559,3,,1.1154216527938843,0.6592000126838684,
1559,3,,,,0.7465999722480774
1599,4,1.8498280048370361,,,
1649,4,1.6387865543365479,,,
1699,4,1.411424160003662,,,
1749,4,1.7154324054718018,,,
1799,4,1.7365102767944336,,,
1849,4,1.606128215789795,,,
1899,4,1.4278476238250732,,,
1949,4,1.741332769393921,,,
1949,4,,1.0558876991271973,0.6834999918937683,
1949,4,,,,0.7789999842643738
1999,5,1.8330159187316895,,,
2049,5,1.5296719074249268,,,
2099,5,1.7520015239715576,,,
2149,5,1.5065455436706543,,,
2199,5,1.7636770009994507,,,
2249,5,1.2998067140579224,,,
2299,5,1.6168367862701416,,,
2339,5,,1.0228229761123657,0.6973999738693237,
2339,5,,,,0.7935000061988831
2349,6,1.504815936088562,,,
2399,6,1.4823315143585205,,,
2449,6,1.6143555641174316,,,
2499,6,1.556230902671814,,,
2549,6,1.5448791980743408,,,
2599,6,1.4040379524230957,,,
2649,6,1.5122857093811035,,,
2699,6,1.543121337890625,,,
2729,6,,1.0047427415847778,0.7060999870300293,
2729,6,,,,0.7967000007629395
2749,7,1.4554779529571533,,,
2799,7,1.479451298713684,,,
2849,7,1.5214130878448486,,,
2899,7,1.4628149271011353,,,
2949,7,1.4705290794372559,,,
2999,7,1.492582082748413,,,
3049,7,1.5826627016067505,,,
3099,7,1.5398129224777222,,,
3119,7,,0.9675897359848022,0.7215999960899353,
3119,7,,,,0.8234999775886536
3149,8,1.482199788093567,,,
3199,8,1.5926673412322998,,,
3249,8,1.3388078212738037,,,
3299,8,1.5118613243103027,,,
3349,8,1.5090733766555786,,,
3399,8,1.118388056755066,,,
3449,8,1.3537856340408325,,,
3499,8,1.2504583597183228,,,
3509,8,,0.9695674777030945,0.7181000113487244,
3509,8,,,,0.8220999836921692
3549,9,1.2842308282852173,,,
3599,9,1.5208494663238525,,,
3649,9,1.4311001300811768,,,
3699,9,1.3932039737701416,,,
3749,9,1.4044926166534424,,,
3799,9,1.4617148637771606,,,
3849,9,1.524033784866333,,,
3899,9,1.4031778573989868,,,
3899,9,,0.9401517510414124,0.736299991607666,
3899,9,,,,0.8363999724388123
3949,10,2.224095582962036,,,
3999,10,2.254828929901123,,,
4049,10,2.286609649658203,,,
4099,10,2.0737016201019287,,,
4149,10,2.087595224380493,,,
4199,10,2.3852338790893555,,,
4211,10,,,,0.8452000021934509
4249,11,1.8398377895355225,,,
4299,11,1.9562170505523682,,,
4349,11,2.3550357818603516,,,
4399,11,2.309342384338379,,,
4449,11,2.3482277393341064,,,
4499,11,1.7662670612335205,,,
4523,11,,0.9937037229537964,0.736299991607666,
4523,11,,,,0.8482000231742859
4549,12,2.165163040161133,,,
4599,12,2.184976577758789,,,
4649,12,2.2428855895996094,,,
4699,12,2.2106471061706543,,,
4749,12,2.211656093597412,,,
4799,12,2.108626365661621,,,
4835,12,,0.9990508556365967,0.7368999719619751,
4835,12,,,,0.847100019454956
4849,13,2.2605984210968018,,,
4899,13,2.2476587295532227,,,
4949,13,1.7668931484222412,,,
4999,13,2.3075995445251465,,,
5049,13,2.225083827972412,,,
5099,13,2.284890651702881,,,
5147,13,,0.9738916158676147,0.7480000257492065,
5147,13,,,,0.8614000082015991
5149,14,2.0885767936706543,,,
5199,14,2.1285018920898438,,,
5249,14,1.883692979812622,,,
5299,14,1.8339804410934448,,,
5349,14,1.596757173538208,,,
5399,14,2.1073975563049316,,,
5449,14,2.313194990158081,,,
5459,14,,0.9973670840263367,0.7408999800682068,
5459,14,,,,0.8562999963760376
5499,15,2.291924476623535,,,
5549,15,2.2276086807250977,,,
5599,15,2.2271697521209717,,,
5649,15,1.9324092864990234,,,
5699,15,2.3023176193237305,,,
5749,15,1.8748199939727783,,,
5771,15,,0.9996404051780701,0.7441999912261963,
5771,15,,,,0.8582000136375427
5799,16,2.292145252227783,,,
5849,16,1.6329679489135742,,,
5899,16,2.1469762325286865,,,
5949,16,1.5078802108764648,,,
5999,16,2.238807439804077,,,
6049,16,2.2444238662719727,,,
6083,16,,0.9741255640983582,0.7505999803543091,
6083,16,,,,0.8695999979972839
6099,17,2.3172402381896973,,,
6149,17,2.1670236587524414,,,
6199,17,2.2983477115631104,,,
6249,17,2.1785218715667725,,,
6299,17,1.9168567657470703,,,
6349,17,2.054582118988037,,,
6395,17,,0.9956931471824646,0.7490000128746033,
6395,17,,,,0.8652999997138977
6399,18,1.6809637546539307,,,
6449,18,2.027590751647949,,,
6499,18,2.4077064990997314,,,
6549,18,2.2198076248168945,,,
6599,18,2.338080883026123,,,
6649,18,1.6641225814819336,,,
6699,18,1.7530829906463623,,,
6707,18,,1.0050264596939087,0.7498000264167786,
6707,18,,,,0.8659999966621399
6749,19,2.2284679412841797,,,
6799,19,2.2349138259887695,,,
6849,19,2.3509321212768555,,,
6899,19,2.091970920562744,,,
6949,19,2.3998019695281982,,,
6999,19,2.1484665870666504,,,
7019,19,,0.981505274772644,0.753000020980835,
7019,19,,,,0.8646000027656555
7049,20,2.111140727996826,,,
7099,20,2.2761893272399902,,,
7149,20,2.262042284011841,,,
7199,20,2.0518484115600586,,,
7249,20,2.399500846862793,,,
7299,20,2.448558807373047,,,
7331,20,,1.002527117729187,0.7508000135421753,
7331,20,,,,0.864300012588501
7349,21,2.1780247688293457,,,
7399,21,2.244666337966919,,,
7449,21,1.9946714639663696,,,
7499,21,2.1897568702697754,,,
7549,21,2.2866194248199463,,,
7599,21,2.3564271926879883,,,
7643,21,,0.9882746934890747,0.7541999816894531,
7643,21,,,,0.8720999956130981
7649,22,2.168062210083008,,,
7699,22,1.9081836938858032,,,
7749,22,2.448516845703125,,,
7799,22,2.1563825607299805,,,
7849,22,2.0853166580200195,,,
7899,22,1.9966036081314087,,,
7949,22,1.8290516138076782,,,
7955,22,,0.9966129064559937,0.7526000142097473,
7955,22,,,,0.8711000084877014
7999,23,2.4479522705078125,,,
8049,23,2.3853135108947754,,,
8099,23,2.3628134727478027,,,
8149,23,2.2142767906188965,,,
8199,23,2.001267671585083,,,
8249,23,2.3851284980773926,,,
8267,23,,1.0010099411010742,0.7501000165939331,
8267,23,,,,0.867900013923645
8299,24,2.204745054244995,,,
8349,24,2.412633180618286,,,
8399,24,2.4759459495544434,,,
8449,24,2.224071741104126,,,
8499,24,2.1787095069885254,,,
8549,24,2.2349302768707275,,,
8579,24,,1.008013129234314,0.7494999766349792,
8579,24,,,,0.8644000291824341
8599,25,2.27534818649292,,,
8649,25,2.0110857486724854,,,
8699,25,2.487853527069092,,,
8749,25,2.471734046936035,,,
8799,25,2.3814644813537598,,,
8849,25,2.166194200515747,,,
8891,25,,1.003878116607666,0.7484999895095825,
8891,25,,,,0.8646000027656555
8899,26,1.96181321144104,,,
8949,26,2.4325077533721924,,,
8999,26,2.3325459957122803,,,
9049,26,2.469572067260742,,,
9099,26,2.4952571392059326,,,
9149,26,2.519505023956299,,,
9199,26,2.0968668460845947,,,
9203,26,,1.004464030265808,0.7491999864578247,
9203,26,,,,0.8729000091552734
9249,27,2.4501328468322754,,,
9299,27,2.024168014526367,,,
9349,27,2.3632688522338867,,,
9399,27,1.9993821382522583,,,
9449,27,1.9671003818511963,,,
9499,27,2.4225566387176514,,,
9515,27,,0.9967426657676697,0.7501999735832214,
9515,27,,,,0.8698999881744385
9549,28,2.295596122741699,,,
9599,28,2.529736280441284,,,
9649,28,1.8552477359771729,,,
9699,28,2.419064521789551,,,
9749,28,1.7622718811035156,,,
9799,28,2.49690580368042,,,
9827,28,,1.0059939622879028,0.7497000098228455,
9827,28,,,,0.8737000226974487
9849,29,2.2422289848327637,,,
9899,29,2.282506227493286,,,
9949,29,2.3109614849090576,,,
9999,29,2.272225856781006,,,
10049,29,2.0409185886383057,,,
10099,29,2.430799961090088,,,
10139,29,,1.0112037658691406,0.7520999908447266,
10139,29,,,,0.8773000240325928
10149,30,2.1415445804595947,,,
10199,30,2.3661835193634033,,,
10249,30,2.2830734252929688,,,
10299,30,2.419196605682373,,,
10349,30,1.7001280784606934,,,
10399,30,2.289881706237793,,,
10449,30,2.3320980072021484,,,
10451,30,,1.0133477449417114,0.7512000203132629,
10451,30,,,,0.8669000267982483
10499,31,2.439547061920166,,,
10549,31,2.328822374343872,,,
10599,31,2.2935566902160645,,,
10649,31,2.0028929710388184,,,
10699,31,2.380460739135742,,,
10749,31,1.8179364204406738,,,
10763,31,,1.004323959350586,0.7559999823570251,
10763,31,,,,0.8748000264167786
10799,32,2.0474777221679688,,,
10849,32,2.045548915863037,,,
10899,32,2.330327033996582,,,
10949,32,2.43623948097229,,,
10999,32,2.4150214195251465,,,
11049,32,2.008749008178711,,,
11075,32,,1.027282476425171,0.7577999830245972,
11075,32,,,,0.8779000043869019
11099,33,2.0901246070861816,,,
11149,33,2.1132144927978516,,,
11199,33,2.0776333808898926,,,
11249,33,2.3806018829345703,,,
11299,33,2.1308512687683105,,,
11349,33,2.1291489601135254,,,
11387,33,,1.0081980228424072,0.7556999921798706,
11387,33,,,,0.8806999921798706
11399,34,2.3328521251678467,,,
11449,34,1.884281873703003,,,
11499,34,2.1837878227233887,,,
11549,34,2.3326711654663086,,,
11599,34,2.358699321746826,,,
11649,34,2.367067813873291,,,
11699,34,2.365013360977173,,,
11699,34,,1.0039620399475098,0.7559999823570251,
11699,34,,,,0.878000020980835
11749,35,2.178544282913208,,,
11799,35,2.3015966415405273,,,
11849,35,2.2953476905822754,,,
11899,35,2.0172207355499268,,,
11949,35,2.2471117973327637,,,
11999,35,2.4130256175994873,,,
12011,35,,1.0214699506759644,0.7562999725341797,
12011,35,,,,0.8761000037193298
12049,36,2.328063726425171,,,
12099,36,2.230963945388794,,,
12149,36,2.4191579818725586,,,
12199,36,2.0713999271392822,,,
12249,36,2.3233213424682617,,,
12299,36,2.2890872955322266,,,
12323,36,,1.0255098342895508,0.7555999755859375,
