epoch,train_loss,step,test_acc,train_acc
0,2.488614082336426,49,,
0,2.3577444553375244,99,,
0,2.755601167678833,149,,
0,2.451220989227295,199,,
0,2.430123805999756,249,,
0,2.393867015838623,299,,
0,2.026155710220337,349,,
0,,389,0.23649999499320984,0.1478165090084076
1,2.276658296585083,399,,
1,2.2418630123138428,449,,
1,2.4275379180908203,499,,
1,2.190763473510742,549,,
1,2.093540668487549,599,,
1,2.2377822399139404,649,,
1,2.250889301300049,699,,
1,2.152087926864624,749,,
1,,779,0.3172999918460846,0.2037459909915924
2,2.0095975399017334,799,,
2,2.0386409759521484,849,,
2,2.035759925842285,899,,
2,2.022444009780884,949,,
2,1.9320820569992065,999,,
2,2.0731189250946045,1049,,
2,1.9638855457305908,1099,,
2,2.0048139095306396,1149,,
2,,1169,0.3472000062465668,0.2588942348957062
3,2.06659197807312,1199,,
3,1.9839518070220947,1249,,
3,2.05667781829834,1299,,
3,2.0444326400756836,1349,,
3,1.9595996141433716,1399,,
3,2.005662679672241,1449,,
3,1.9864776134490967,1499,,
3,1.944990873336792,1549,,
3,,1559,0.38100001215934753,0.2861177921295166
4,1.8651878833770752,1599,,
4,1.7814044952392578,1649,,
4,2.0228891372680664,1699,,
4,1.8120366334915161,1749,,
4,1.9238663911819458,1799,,
4,1.935937762260437,1849,,
4,1.8753410577774048,1899,,
4,1.8451589345932007,1949,,
4,,1949,0.4300999939441681,0.31672677397727966
5,1.8572794198989868,1999,,
5,1.9460780620574951,2049,,
5,1.8644907474517822,2099,,
5,1.803919792175293,2149,,
5,1.9297363758087158,2199,,
5,1.903711199760437,2249,,
5,1.791617512702942,2299,,
5,,2339,0.45410001277923584,0.3418269157409668
6,1.7787827253341675,2349,,
6,1.8265045881271362,2399,,
6,1.8017864227294922,2449,,
6,1.7529454231262207,2499,,
6,1.7646172046661377,2549,,
6,1.933934211730957,2599,,
6,1.966719388961792,2649,,
6,1.7603468894958496,2699,,
6,,2729,0.4681999981403351,0.37009215354919434
7,1.7141382694244385,2749,,
7,1.8046000003814697,2799,,
7,1.9696955680847168,2849,,
7,1.7359904050827026,2899,,
7,1.618716835975647,2949,,
7,1.8071110248565674,2999,,
7,1.778123140335083,3049,,
7,1.7105464935302734,3099,,
7,,3119,0.4925000071525574,0.39763620495796204
8,1.8260802030563354,3149,,
8,1.877823829650879,3199,,
