step,epoch,train_loss,val_loss,val_acc,train_acc,test_acc,mix_match_loss
49,0,2.148432970046997,,,,,
99,0,1.8916938304901123,,,,,
149,0,1.8430070877075195,,,,,
199,0,1.8200308084487915,,,,,
249,0,1.9062913656234741,,,,,
299,0,1.45708429813385,,,,,
311,0,,1.6320133209228516,0.4325999915599823,,,
311,0,,,,0.3275240361690521,0.47780001163482666,
349,1,1.718565583229065,,,,,
399,1,1.6759490966796875,,,,,
449,1,1.5445420742034912,,,,,
499,1,1.7043832540512085,,,,,
549,1,1.3650588989257812,,,,,
599,1,1.297613263130188,,,,,
623,1,,1.4930822849273682,0.48350000381469727,,,
623,1,,,,0.47796472907066345,0.5411999821662903,
649,2,1.4069370031356812,,,,,
699,2,1.4717835187911987,,,,,
749,2,1.3645225763320923,,,,,
799,2,1.5426750183105469,,,,,
849,2,1.2757844924926758,,,,,
899,2,1.2288236618041992,,,,,
935,2,,1.3420045375823975,0.5764999985694885,,,
935,2,,,,0.554762601852417,0.6534000039100647,
949,3,1.3655354976654053,,,,,
999,3,1.2851848602294922,,,,,
1049,3,1.1469919681549072,,,,,
1099,3,1.248775839805603,,,,,
1149,3,1.2273911237716675,,,,,
1199,3,1.1780906915664673,,,,,
1247,3,,1.228333830833435,0.6176000237464905,,,
1247,3,,,,0.6054437160491943,0.694100022315979,
1249,4,1.2626242637634277,,,,,
1299,4,1.3006510734558105,,,,,
1349,4,1.1924294233322144,,,,,
1399,4,0.9321093559265137,,,,,
1449,4,1.1016629934310913,,,,,
1499,4,1.0630278587341309,,,,,
1549,4,1.2449792623519897,,,,,
1559,4,,1.1367989778518677,0.6535000205039978,,,
1559,4,,,,0.644606351852417,0.7384999990463257,
1599,5,1.091399073600769,,,,,
1649,5,1.1416019201278687,,,,,
1699,5,1.1080498695373535,,,,,
1749,5,1.0590170621871948,,,,,
1799,5,1.0846108198165894,,,,,
1849,5,1.1818032264709473,,,,,
1871,5,,1.176749348640442,0.6395000219345093,,,
1871,5,,,,0.6700220108032227,0.7257000207901001,
1899,6,1.0612884759902954,,,,,
1949,6,0.9489659667015076,,,,,
1999,6,1.1401891708374023,,,,,
2049,6,1.1603251695632935,,,,,
2099,6,0.9208114743232727,,,,,
2149,6,0.9281403422355652,,,,,
2183,6,,1.1487617492675781,0.6543999910354614,,,
2183,6,,,,0.6848958134651184,0.7444999814033508,
2199,7,1.0337245464324951,,,,,
2249,7,1.1621402502059937,,,,,
2299,7,1.2840443849563599,,,,,
2349,7,1.1065610647201538,,,,,
2399,7,0.9714102149009705,,,,,
2449,7,0.8817362189292908,,,,,
2495,7,,1.0270349979400635,0.6988999843597412,,,
2495,7,,,,0.6995442509651184,0.7924000024795532,
2499,8,1.2018766403198242,,,,,
2549,8,0.9932570457458496,,,,,
2599,8,0.9890482425689697,,,,,
2649,8,1.1238080263137817,,,,,
2699,8,0.9767898321151733,,,,,
2749,8,1.1192790269851685,,,,,
2799,8,0.961371898651123,,,,,
2807,8,,1.0367578268051147,0.6909000277519226,,,
2807,8,,,,0.7075821161270142,0.7820000052452087,
2849,9,0.8720852732658386,,,,,
2899,9,0.7957876324653625,,,,,
2949,9,0.9802953600883484,,,,,
2999,9,0.9557762145996094,,,,,
3049,9,0.7836926579475403,,,,,
3099,9,1.0705149173736572,,,,,
3119,9,,1.0563143491744995,0.6930999755859375,,,
3119,9,,,,0.715745210647583,0.7900999784469604,
3149,10,0.9795216917991638,,,,,
3199,10,0.9315556883811951,,,,,
3249,10,1.1931560039520264,,,,,
3299,10,1.0469359159469604,,,,,
3349,10,0.965298593044281,,,,,
3399,10,0.793835461139679,,,,,
3431,10,,1.022096037864685,0.7052000164985657,,,
3431,10,,,,0.7234575152397156,0.8021000027656555,
3449,11,1.0099588632583618,,,,,
3499,11,0.9374759793281555,,,,,
3549,11,0.864065945148468,,,,,
3599,11,0.8950144648551941,,,,,
3649,11,0.6445168256759644,,,,,
3699,11,1.101353406906128,,,,,
3743,11,,1.041838526725769,0.7019000053405762,,,
3743,11,,,,0.7339493036270142,0.8065000176429749,
3749,12,0.750481367111206,,,,,
3799,12,0.8349318504333496,,,,,
3849,12,0.8617230653762817,,,,,
3899,12,1.017707347869873,,,,,
3949,12,0.789283812046051,,,,,
3999,12,0.6860779523849487,,,,,
4049,12,0.9783871173858643,,,,,
4055,12,,1.0489928722381592,0.6894000172615051,,,
4055,12,,,,0.7390574812889099,0.7828999757766724,
4099,13,0.9627432227134705,,,,,
4149,13,0.9044183492660522,,,,,
