epoch,train_loss,step,val_loss,val_acc,train_acc,test_acc,mix_match_loss
0,2.917052984237671,49,,,,,
0,2.1896653175354004,99,,,,,
0,2.1113321781158447,149,,,,,
0,2.229738235473633,199,,,,,
0,1.8738651275634766,249,,,,,
0,2.042206287384033,299,,,,,
0,,311,1.912399411201477,0.27970001101493835,,,
0,,311,,,0.20367588102817535,0.30448970198631287,
1,2.0429043769836426,349,,,,,
1,1.873819351196289,399,,,,,
1,1.8006832599639893,449,,,,,
1,1.8470968008041382,499,,,,,
1,1.8619270324707031,549,,,,,
1,1.6472623348236084,599,,,,,
1,,623,1.7126140594482422,0.35260000824928284,,,
1,,623,,,0.3129006326198578,0.3944818079471588,
2,1.7452136278152466,649,,,,,
2,2.069483995437622,699,,,,,
2,1.735424280166626,749,,,,,
2,1.5595911741256714,799,,,,,
2,1.580885410308838,849,,,,,
2,1.5637072324752808,899,,,,,
2,,935,1.6652185916900635,0.38769999146461487,,,
2,,935,,,0.37940704822540283,0.4355221390724182,
3,1.5200495719909668,949,,,,,
3,1.7057324647903442,999,,,,,
3,1.4631646871566772,1049,,,,,
3,1.6954774856567383,1099,,,,,
3,1.5470048189163208,1149,,,,,
3,1.5590622425079346,1199,,,,,
3,,1247,1.493341088294983,0.46309998631477356,,,
3,,1247,,,0.42417868971824646,0.4947586953639984,
4,1.6713050603866577,1249,,,,,
4,1.5207622051239014,1299,,,,,
4,1.5992883443832397,1349,,,,,
4,1.5412733554840088,1399,,,,,
4,1.4075920581817627,1449,,,,,
4,1.2951397895812988,1499,,,,,
4,1.5555323362350464,1549,,,,,
4,,1559,1.5114352703094482,0.4722999930381775,,,
4,,1559,,,0.4653695821762085,0.4993077516555786,
5,1.4488792419433594,1599,,,,,
5,1.4955220222473145,1649,,,,,
5,1.3384159803390503,1699,,,,,
5,1.368093490600586,1749,,,,,
5,1.4645051956176758,1799,,,,,
5,1.5693296194076538,1849,,,,,
5,,1871,1.3780560493469238,0.519599974155426,,,
5,,1871,,,0.5077624320983887,0.550929605960846,
6,1.4625192880630493,1899,,,,,
6,1.277161717414856,1949,,,,,
6,1.4578354358673096,1999,,,,,
6,1.3986120223999023,2049,,,,,
6,1.276782512664795,2099,,,,,
6,1.2736231088638306,2149,,,,,
6,,2183,1.2895965576171875,0.54830002784729,,,
6,,2183,,,0.5224609375,0.579311728477478,
7,1.2596731185913086,2199,,,,,
7,1.103590965270996,2249,,,,,
7,1.3961045742034912,2299,,,,,
7,1.037182092666626,2349,,,,,
7,1.364574670791626,2399,,,,,
7,1.1759384870529175,2449,,,,,
7,,2495,1.2777621746063232,0.5580999851226807,,,
7,,2495,,,0.5513571500778198,0.6151107549667358,
8,1.0757951736450195,2499,,,,,
8,1.2990585565567017,2549,,,,,
8,1.1741552352905273,2599,,,,,
8,1.1628007888793945,2649,,,,,
8,1.113237977027893,2699,,,,,
8,1.2700343132019043,2749,,,,,
8,1.2497055530548096,2799,,,,,
8,,2807,1.3246906995773315,0.5449000000953674,,,
8,,2807,,,0.5731169581413269,0.6103639006614685,
9,1.2793649435043335,2849,,,,,
9,1.1794568300247192,2899,,,,,
9,1.2362257242202759,2949,,,,,
9,1.2204769849777222,2999,,,,,
9,1.0095523595809937,3049,,,,,
9,1.0999119281768799,3099,,,,,
9,,3119,1.4676378965377808,0.5156999826431274,,,
9,,3119,,,0.5889924168586731,0.6297468543052673,
10,1.3163384199142456,3149,,,,,
10,1.2140522003173828,3199,,,,,
10,1.2821892499923706,3249,,,,,
10,1.0600212812423706,3299,,,,,
10,1.184491753578186,3349,,,,,
10,1.263094186782837,3399,,,,,
10,,3431,1.2233830690383911,0.5917999744415283,,,
10,,3431,,,0.6015625,0.6361748576164246,
11,1.0748603343963623,3449,,,,,
11,1.1934704780578613,3499,,,,,
11,1.2436249256134033,3549,,,,,
11,1.163533329963684,3599,,,,,
11,1.2518454790115356,3649,,,,,
11,1.136646032333374,3699,,,,,
11,,3743,1.2218466997146606,0.5893999934196472,,,
11,,3743,,,0.6044421195983887,0.6610957384109497,
12,1.1358036994934082,3749,,,,,
12,1.053449034690857,3799,,,,,
12,1.2598247528076172,3849,,,,,
12,0.9352099895477295,3899,,,,,
12,1.12776517868042,3949,,,,,
12,1.1362143754959106,3999,,,,,
12,1.0370852947235107,4049,,,,,
12,,4055,1.1537901163101196,0.6118999719619751,,,
12,,4055,,,0.6280298233032227,0.6684137582778931,
13,1.2677030563354492,4099,,,,,
13,1.0592212677001953,4149,,,,,
13,1.172601580619812,4199,,,,,
13,1.094545602798462,4249,,,,,
13,0.9909787178039551,4299,,,,,
13,0.8969947099685669,4349,,,,,
13,,4367,1.090753197669983,0.6439999938011169,,,
13,,4367,,,0.6389473080635071,0.6829509735107422,
14,1.1013849973678589,4399,,,,,
14,1.1943962574005127,4449,,,,,
14,1.076065182685852,4499,,,,,
14,1.0171657800674438,4549,,,,,
14,1.0168213844299316,4599,,,,,
14,1.1568267345428467,4649,,,,,
14,,4679,1.1277880668640137,0.6389999985694885,,,
14,,4679,,,0.650390625,0.6985759735107422,
15,1.0843088626861572,4699,,,,,
15,0.8695780634880066,4749,,,,,
15,1.056671380996704,4799,,,,,
15,1.0648729801177979,4849,,,,,
15,1.1182551383972168,4899,,,,,
15,1.007756233215332,4949,,,,,
15,,4991,1.0734819173812866,0.6500999927520752,,,
15,,4991,,,0.6548727750778198,0.6879944801330566,
16,1.0922294855117798,4999,,,,,
16,0.7642784714698792,5049,,,,,
16,0.848882257938385,5099,,,,,
16,0.91983562707901,5149,,,,,
16,0.8949248790740967,5199,,,,,
16,0.9587528109550476,5249,,,,,
16,1.1343698501586914,5299,,,,,
16,,5303,1.0033988952636719,0.6632999777793884,,,
16,,5303,,,0.6647385954856873,0.7067840099334717,
17,0.962681233882904,5349,,,,,
17,0.980933427810669,5399,,,,,
17,1.0649508237838745,5449,,,,,
17,0.8312366604804993,5499,,,,,
17,0.9646974205970764,5549,,,,,
17,0.892435610294342,5599,,,,,
17,,5615,1.0158354043960571,0.6668999791145325,,,
17,,5615,,,0.6724509000778198,0.6988726258277893,
18,0.9896185994148254,5649,,,,,
18,1.0919229984283447,5699,,,,,
18,1.0330759286880493,5749,,,,,
18,1.0002361536026,5799,,,,,
18,0.9714765548706055,5849,,,,,
18,1.018056869506836,5899,,,,,
18,,5927,1.0525702238082886,0.6531000137329102,,,
18,,5927,,,0.6706480383872986,0.7162777185440063,
19,0.7643858790397644,5949,,,,,
19,0.9849023222923279,5999,,,,,
19,0.9886969327926636,6049,,,,,
19,1.0877065658569336,6099,,,,,
19,0.8714390993118286,6149,,,,,
19,1.013594627380371,6199,,,,,
19,,6239,1.094961166381836,0.6442000269889832,,,
19,,6239,,,0.6807641983032227,0.7229034900665283,
20,,6249,,,,,1.7530120611190796
20,,6299,,,,,1.6481976509094238
20,,6349,,,,,1.6762065887451172
20,,6399,,,,,1.9117120504379272
20,,6449,,,,,1.2755532264709473
20,,6499,,,,,1.7902356386184692
20,,6549,,,,,1.3667291402816772
20,,6559,1.05173921585083,0.6859999895095825,,,
20,1.3408267498016357,6559,,,0.6816456317901611,0.7394185066223145,
21,,6599,,,,,1.7168225049972534
21,,6649,,,,,1.5033138990402222
21,,6699,,,,,1.6897413730621338
21,,6749,,,,,1.4556303024291992
21,,6799,,,,,1.7470186948776245
21,,6849,,,,,1.4876389503479004
21,,6872,1.1498889923095703,0.6474999785423279,,,
21,,6872,,,,0.7058939933776855,
22,,6899,,,,,1.5607423782348633
22,,6949,,,,,1.6801270246505737
22,,6999,,,,,1.5791982412338257
22,,7049,,,,,1.724919319152832
22,,7099,,,,,1.6984798908233643
22,,7149,,,,,1.417031168937683
22,,7187,1.046892523765564,0.682699978351593,,,
22,,7187,,,,0.7168710231781006,
23,,7199,,,,,1.6255079507827759
23,,7249,,,,,1.7236456871032715
23,,7299,,,,,1.4901342391967773
23,,7349,,,,,1.774478554725647
23,,7399,,,,,1.5857666730880737
23,,7449,,,,,1.7614755630493164
23,,7499,,,,,1.6181309223175049
23,,7506,1.1180979013442993,0.6579999923706055,,,
23,,7506,,,,0.7044106125831604,
24,,7549,,,,,1.269529104232788
24,,7599,,,,,1.4227728843688965
24,,7649,,,,,1.0383405685424805
24,,7699,,,,,1.6238728761672974
24,,7749,,,,,1.6752681732177734
24,,7799,,,,,1.7483102083206177
24,,7824,1.1594502925872803,0.6425999999046326,,,
24,,7824,,,,0.7041139006614685,
25,,7849,,,,,1.2812079191207886
25,,7899,,,,,1.6525647640228271
25,,7949,,,,,1.5066927671432495
25,,7999,,,,,1.3085333108901978
25,,8049,,,,,1.7135002613067627
25,,8099,,,,,1.216538429260254
25,,8142,1.130173921585083,0.6492999792098999,,,
25,,8142,,,,0.7001582384109497,
26,,8149,,,,,1.5442765951156616
26,,8199,,,,,1.5859134197235107
26,,8249,,,,,1.6331459283828735
26,,8299,,,,,1.5391186475753784
26,,8349,,,,,1.2673808336257935
26,,8399,,,,,1.6130447387695312
26,,8449,,,,,1.222543716430664
26,,8459,1.2770646810531616,0.6000999808311462,,,
26,,8459,,,,0.6773141026496887,
27,,8499,,,,,1.2745425701141357
27,,8549,,,,,1.6880372762680054
27,,8599,,,,,1.3183894157409668
27,,8649,,,,,1.3069597482681274
27,,8699,,,,,1.7234050035476685
27,,8749,,,,,0.933291494846344
27,,8773,1.140444278717041,0.6585000157356262,,,
27,,8773,,,,0.690664529800415,
28,,8799,,,,,1.6827419996261597
28,,8849,,,,,1.6454566717147827
28,,8899,,,,,nan
28,,8949,,,,,nan
28,,8999,,,,,nan
28,,9049,,,,,nan
28,,9089,nan,0.10790000110864639,,,
28,,9089,,,,0.1002769023180008,
29,,9099,,,,,nan
29,,9149,,,,,nan
29,,9199,,,,,nan
29,,9249,,,,,nan
29,,9299,,,,,nan
29,,9349,,,,,nan
