train_loss,epoch,step,val_acc,val_loss,train_acc,test_acc
2.9403913021087646,0,49,,,,
2.575869560241699,0,99,,,,
2.43959641456604,0,149,,,,
2.3019044399261475,0,199,,,,
1.926283359527588,0,249,,,,
2.2329797744750977,0,299,,,,
,0,311,0.20550000667572021,2.5986733436584473,,
,0,311,,,0.1852213591337204,0.2021999955177307
2.3546125888824463,1,349,,,,
2.0783514976501465,1,399,,,,
1.9369083642959595,1,449,,,,
2.135603427886963,1,499,,,,
2.100855588912964,1,549,,,,
2.1929092407226562,1,599,,,,
,1,623,0.24969999492168427,27.76976203918457,,
,1,623,,,0.26031652092933655,0.2515000104904175
1.9961057901382446,2,649,,,,
2.1177031993865967,2,699,,,,
2.3929378986358643,2,749,,,,
2.0705819129943848,2,799,,,,
2.0294525623321533,2,849,,,,
2.123008966445923,2,899,,,,
,2,935,0.3046000003814697,4.892905235290527,,
,2,935,,,0.25701120495796204,0.31220000982284546
1.908951759338379,3,949,,,,
1.9824365377426147,3,999,,,,
1.8449106216430664,3,1049,,,,
1.7852553129196167,3,1099,,,,
1.7499879598617554,3,1149,,,,
1.7833796739578247,3,1199,,,,
,3,1247,0.3783000111579895,1.7132198810577393,,
,3,1247,,,0.34332433342933655,0.38940000534057617
1.786937952041626,4,1249,,,,
1.7914808988571167,4,1299,,,,
1.6193791627883911,4,1349,,,,
1.7286783456802368,4,1399,,,,
1.7202589511871338,4,1449,,,,
1.647682785987854,4,1499,,,,
1.7484509944915771,4,1549,,,,
,4,1559,0.42260000109672546,1.6082361936569214,,
,4,1559,,,0.4005909562110901,0.43639999628067017
1.5075507164001465,5,1599,,,,
1.4844802618026733,5,1649,,,,
1.4697997570037842,5,1699,,,,
1.5591673851013184,5,1749,,,,
1.7284321784973145,5,1799,,,,
1.468396782875061,5,1849,,,,
,5,1871,0.48170000314712524,1.4777717590332031,,
,5,1871,,,0.4393779933452606,0.5020999908447266
1.5068284273147583,6,1899,,,,
1.556268572807312,6,1949,,,,
1.3209621906280518,6,1999,,,,
1.3197661638259888,6,2049,,,,
1.3591632843017578,6,2099,,,,
1.450009822845459,6,2149,,,,
,6,2183,0.5228999853134155,1.3553277254104614,,
,6,2183,,,0.48745492100715637,0.5396999716758728
1.3678534030914307,7,2199,,,,
1.4172329902648926,7,2249,,,,
1.3004481792449951,7,2299,,,,
1.3058968782424927,7,2349,,,,
1.3577063083648682,7,2399,,,,
1.407138705253601,7,2449,,,,
,7,2495,0.5551000237464905,1.2931283712387085,,
,7,2495,,,0.5248898267745972,0.572700023651123
1.3450634479522705,8,2499,,,,
0.9948593974113464,8,2549,,,,
1.0742228031158447,8,2599,,,,
1.1768584251403809,8,2649,,,,
1.4961754083633423,8,2699,,,,
1.0989340543746948,8,2749,,,,
1.1355953216552734,8,2799,,,,
,8,2807,0.5873000025749207,1.1917827129364014,,
,8,2807,,,0.5694862008094788,0.6082000136375427
1.0878658294677734,9,2849,,,,
0.9465494751930237,9,2899,,,,
1.2831224203109741,9,2949,,,,
1.1581584215164185,9,2999,,,,
1.108932375907898,9,3049,,,,
1.0703247785568237,9,3099,,,,
,9,3119,0.6051999926567078,1.1826969385147095,,
,9,3119,,,0.6157351732254028,0.6234999895095825
1.120922565460205,10,3149,,,,
0.9533820152282715,10,3199,,,,
1.0797367095947266,10,3249,,,,
1.0311464071273804,10,3299,,,,
1.102282166481018,10,3349,,,,
0.9061686396598816,10,3399,,,,
,10,3431,0.6154999732971191,1.1662808656692505,,
,10,3431,,,0.6626602411270142,0.6470000147819519
0.5741029977798462,11,3449,,,,
0.8513288497924805,11,3499,,,,
0.4923482835292816,11,3549,,,,
0.5366926789283752,11,3599,,,,
0.7653761506080627,11,3649,,,,
0.5442953109741211,11,3699,,,,
,11,3743,0.6463000178337097,1.2111142873764038,,
,11,3743,,,0.6804386973381042,0.667900025844574
0.12708616256713867,12,3749,,,,
0.21851801872253418,12,3799,,,,
0.3045946955680847,12,3849,,,,
0.022199571132659912,12,3899,,,,
-0.005211293697357178,12,3949,,,,
0.27734488248825073,12,3999,,,,
-0.15734052658081055,12,4049,,,,
,12,4055,0.6675000190734863,1.2670445442199707,,
,12,4055,,,0.6915314793586731,0.6875
-0.18219304084777832,13,4099,,,,
0.18690133094787598,13,4149,,,,
-0.08077371120452881,13,4199,,,,
-0.125604510307312,13,4249,,,,
-0.45549535751342773,13,4299,,,,
-0.4367424249649048,13,4349,,,,
,13,4367,0.6608999967575073,1.5755876302719116,,
,13,4367,,,0.7020483016967773,0.6859999895095825
-1.1605215072631836,14,4399,,,,
-1.095876932144165,14,4449,,,,
-0.5926885604858398,14,4499,,,,
-1.0898483991622925,14,4549,,,,
-0.8002541065216064,14,4599,,,,
-1.192439079284668,14,4649,,,,
,14,4679,0.621399998664856,1.938516616821289,,
,14,4679,,,0.7161959409713745,0.6449999809265137
-1.0693258047103882,15,4699,,,,
-1.5741850137710571,15,4749,,,,
-1.6016242504119873,15,4799,,,,
-1.6299970149993896,15,4849,,,,
-1.4523812532424927,15,4899,,,,
-1.6879284381866455,15,4949,,,,
,15,4991,0.6779999732971191,1.6492255926132202,,
,15,4991,,,0.7220803499221802,0.70660001039505
-1.9594436883926392,16,4999,,,,
-2.3435306549072266,16,5049,,,,
-2.139738082885742,16,5099,,,,
-2.3108973503112793,16,5149,,,,
-2.3008604049682617,16,5199,,,,
-1.9267995357513428,16,5249,,,,
-1.8680270910263062,16,5299,,,,
,16,5303,0.7161999940872192,1.6319446563720703,,
,16,5303,,,0.7302433848381042,0.7488999962806702
