step,train_loss,epoch,val_loss,val_acc,train_acc,test_acc
49,2.4343297481536865,0,,,,
99,3.1309306621551514,0,,,,
149,2.6702115535736084,0,,,,
199,2.545958995819092,0,,,,
249,2.5291197299957275,0,,,,
299,2.523470878601074,0,,,,
311,,0,2.6839983463287354,0.14399999380111694,,
311,,0,,,0.13439002633094788,0.1446000039577484
349,2.2348179817199707,1,,,,
399,2.505510091781616,1,,,,
449,2.3005852699279785,1,,,,
499,2.308391571044922,1,,,,
549,2.283681631088257,1,,,,
599,2.047856569290161,1,,,,
623,,1,13.757234573364258,0.24529999494552612,,
623,,1,,,0.1977914720773697,0.2700999975204468
649,2.306124687194824,2,,,,
699,2.1239895820617676,2,,,,
749,2.244758129119873,2,,,,
799,2.128532886505127,2,,,,
849,2.078843593597412,2,,,,
899,2.136629819869995,2,,,,
935,,2,2.839123010635376,0.27399998903274536,,
935,,2,,,0.24536758661270142,0.301800012588501
949,2.090498924255371,3,,,,
999,1.9661307334899902,3,,,,
1049,2.0741429328918457,3,,,,
1099,1.886328935623169,3,,,,
1149,1.9402974843978882,3,,,,
1199,1.9843778610229492,3,,,,
1247,,3,1.8085830211639404,0.3531000018119812,,
1247,,3,,,0.30063101649284363,0.385699987411499
1249,1.6744437217712402,4,,,,
1299,1.9493142366409302,4,,,,
1349,1.7792460918426514,4,,,,
1399,1.7379975318908691,4,,,,
1449,1.9190709590911865,4,,,,
1499,1.7319265604019165,4,,,,
1549,1.7623728513717651,4,,,,
1559,,4,1.7652639150619507,0.3594000041484833,,
1559,,4,,,0.34209734201431274,0.3840999901294708
1599,1.8502551317214966,5,,,,
1649,1.7042262554168701,5,,,,
1699,1.6561046838760376,5,,,,
1749,1.7610145807266235,5,,,,
1799,1.7443701028823853,5,,,,
1849,1.6368132829666138,5,,,,
1871,,5,1.633576512336731,0.4180999994277954,,
1871,,5,,,0.38408952951431274,0.4593999981880188
1899,1.8027658462524414,6,,,,
1949,1.6738054752349854,6,,,,
1999,1.6669225692749023,6,,,,
2049,1.6866105794906616,6,,,,
2099,1.644079327583313,6,,,,
2149,1.7055972814559937,6,,,,
2183,,6,1.7014117240905762,0.3978999853134155,,
2183,,6,,,0.42157453298568726,0.43299999833106995
2199,1.5394686460494995,7,,,,
2249,1.6459336280822754,7,,,,
2299,1.6864283084869385,7,,,,
2349,1.4964255094528198,7,,,,
2399,1.4920763969421387,7,,,,
2449,1.557909369468689,7,,,,
2495,,7,1.4820080995559692,0.48829999566078186,,
2495,,7,,,0.46872496604919434,0.5317999720573425
2499,1.4994616508483887,8,,,,
2549,1.3654093742370605,8,,,,
2599,1.6016299724578857,8,,,,
2649,1.3602817058563232,8,,,,
2699,1.4324249029159546,8,,,,
2749,1.5685900449752808,8,,,,
2799,1.4364140033721924,8,,,,
2807,,8,1.5338560342788696,0.4893999993801117,,
2807,,8,,,0.5136218070983887,0.542900025844574
2849,1.608241081237793,9,,,,
2899,1.2954646348953247,9,,,,
2949,1.3815877437591553,9,,,,
2999,1.4091315269470215,9,,,,
3049,1.3841288089752197,9,,,,
3099,1.3360689878463745,9,,,,
3119,,9,1.376639723777771,0.546500027179718,,
3119,,9,,,0.5488781929016113,0.5945000052452087
3149,1.3142489194869995,10,,,,
3199,1.1333587169647217,10,,,,
3249,1.2478654384613037,10,,,,
3299,1.5692164897918701,10,,,,
3349,1.3729453086853027,10,,,,
3399,1.0861589908599854,10,,,,
3431,,10,1.281388521194458,0.586899995803833,,
3431,,10,,,0.5855869650840759,0.6586999893188477
3449,0.9156519174575806,11,,,,
3499,0.8433950543403625,11,,,,
3549,0.9458891153335571,11,,,,
3599,0.8076865673065186,11,,,,
3649,1.0750981569290161,11,,,,
3699,1.2376035451889038,11,,,,
3743,,11,1.290139079093933,0.6128000020980835,,
3743,,11,,,0.6069711446762085,0.6858999729156494
3749,0.44932401180267334,12,,,,
3799,0.3666418790817261,12,,,,
3849,0.6923164129257202,12,,,,
3899,0.6883335709571838,12,,,,
3949,0.3896194100379944,12,,,,
