epoch,step,train_loss,val_loss,val_acc,train_acc,test_acc
14,4499,0.7887197732925415,,,,
14,4549,0.6747416853904724,,,,
14,4599,0.8656521439552307,,,,
14,4649,0.8840627670288086,,,,
14,4679,,0.8387330770492554,0.7452999949455261,,
14,4679,,,,0.7536308169364929,0.7753999829292297
15,4699,0.9017085433006287,,,,
15,4749,0.7140290141105652,,,,
15,4799,0.8636674880981445,,,,
15,4849,0.8868257403373718,,,,
15,4899,0.6633747816085815,,,,
15,4949,0.8785244822502136,,,,
15,4991,,0.8338268399238586,0.7408000230789185,,
15,4991,,,,0.7576121687889099,0.7699999809265137
16,4999,0.8220228552818298,,,,
16,5049,0.6435578465461731,,,,
16,5099,0.7088747620582581,,,,
16,5149,0.8975794315338135,,,,
16,5199,0.7739155292510986,,,,
16,5249,0.7845335006713867,,,,
16,5299,0.7474187612533569,,,,
16,5303,,0.8443567156791687,0.7357000112533569,,
16,5303,,,,0.7638972401618958,0.7736999988555908
17,5349,0.6702969670295715,,,,
17,5399,0.7907869219779968,,,,
17,5449,0.8323776125907898,,,,
17,5499,0.4650856554508209,,,,
17,5549,0.7528378367424011,,,,
17,5599,0.6744083166122437,,,,
17,5615,,0.9702930450439453,0.6967999935150146,,
17,5615,,,,0.7687800526618958,0.728600025177002
18,5649,0.7916280627250671,,,,
18,5699,0.459567129611969,,,,
18,5749,0.7256765961647034,,,,
18,5799,0.6332696676254272,,,,
18,5849,0.8848371505737305,,,,
18,5899,0.8537459373474121,,,,
18,5927,,0.8716689348220825,0.7305999994277954,,
18,5927,,,,0.7742888331413269,0.7657999992370605
19,5949,0.7304324507713318,,,,
19,5999,0.6736053228378296,,,,
19,6049,0.7072290182113647,,,,
19,6099,0.7694240212440491,,,,
19,6149,0.5602914690971375,,,,
19,6199,0.6961137056350708,,,,
19,6239,,0.9292166233062744,0.7196000218391418,,
19,6239,,,,0.7755158543586731,0.7498999834060669
20,6249,0.6084088683128357,,,,
20,6299,0.6827308535575867,,,,
20,6349,0.44067496061325073,,,,
20,6399,0.6008118987083435,,,,
20,6449,0.5483647584915161,,,,
20,6499,0.6553953886032104,,,,
20,6549,0.6812624931335449,,,,
20,6551,,0.8181629180908203,0.746999979019165,,
20,6551,,,,0.7802484035491943,0.7781999707221985
21,6599,0.6420379877090454,,,,
21,6649,0.6400589346885681,,,,
21,6699,0.7238386273384094,,,,
21,6749,0.6058163046836853,,,,
21,6799,0.8431306481361389,,,,
21,6849,0.6989641785621643,,,,
21,6863,,0.8440972566604614,0.7365999817848206,,
21,6863,,,,0.7839793562889099,0.7752000093460083
22,6899,0.8783828020095825,,,,
22,6949,0.5583037734031677,,,,
22,6999,0.7445673942565918,,,,
22,7049,0.6502231359481812,,,,
22,7099,0.9776958227157593,,,,
22,7149,0.7137659788131714,,,,
22,7175,,0.8002464175224304,0.7487000226974487,,
22,7175,,,,0.7851061820983887,0.7853000164031982
23,7199,0.5662227869033813,,,,
23,7249,0.6272842884063721,,,,
23,7299,0.5681334733963013,,,,
23,7349,0.7479792833328247,,,,
23,7399,0.7084709405899048,,,,
23,7449,0.6711090207099915,,,,
23,7487,,0.824375569820404,0.7524999976158142,,
23,7487,,,,0.7937449812889099,0.7817999720573425
24,7499,0.6990527510643005,,,,
24,7549,0.62527996301651,,,,
24,7599,0.5917909145355225,,,,
24,7649,0.7141588926315308,,,,
24,7699,0.5862200856208801,,,,
24,7749,0.7002212405204773,,,,
24,7799,0.6622336506843567,,,,
24,7799,,0.9590434432029724,0.7084000110626221,,
24,7799,,,,0.7907151579856873,0.7382000088691711
25,7849,0.546745777130127,,,,
25,7899,0.741885781288147,,,,
25,7949,0.7935518026351929,,,,
25,7999,0.6815219521522522,,,,
25,8049,0.5499365329742432,,,,
25,8099,0.759171724319458,,,,
25,8111,,0.8229418992996216,0.7465000152587891,,
25,8111,,,,0.7948968410491943,0.7840999960899353
26,8149,0.7178121209144592,,,,
26,8199,0.8453125953674316,,,,
26,8249,0.701762318611145,,,,
26,8299,0.5928191542625427,,,,
26,8349,0.6630071997642517,,,,
26,8399,0.6149823069572449,,,,
26,8423,,0.7452872395515442,0.7782999873161316,,
26,8423,,,,0.7982772588729858,0.8112000226974487
27,8449,0.6282196044921875,,,,
27,8499,0.6229297518730164,,,,
27,8549,0.6404933333396912,,,,
27,8599,0.6614025831222534,,,,
27,8649,0.585216224193573,,,,
27,8699,0.8077077269554138,,,,
27,8735,,0.7333030700683594,0.7728999853134155,,
27,8735,,,,0.7943209409713745,0.8144999742507935
28,8749,0.7056038975715637,,,,
28,8799,0.6546240448951721,,,,
28,8849,0.5776804685592651,,,,
28,8899,0.6939067840576172,,,,
28,8949,0.9550069570541382,,,,
28,8999,0.8219316005706787,,,,
28,9047,,0.7021576166152954,0.7889000177383423,,
28,9047,,,,0.7993038892745972,0.8273000121116638
29,9049,0.5210630297660828,,,,
29,9099,0.7582271099090576,,,,
29,9149,0.7208502888679504,,,,
29,9199,0.7215725779533386,,,,
29,9249,0.4955143928527832,,,,
29,9299,0.49782055616378784,,,,
29,9349,0.7110227942466736,,,,
29,9359,,0.778419017791748,0.7681999802589417,,
29,9359,,,,0.7994290590286255,0.8029000163078308
30,9399,0.621103823184967,,,,
30,9449,0.5017802715301514,,,,
30,9499,0.5416259765625,,,,
30,9549,0.7987934947013855,,,,
30,9599,0.7102184891700745,,,,
30,9649,0.6439458727836609,,,,
30,9671,,0.8650872111320496,0.7415000200271606,,
30,9671,,,,0.8023086786270142,0.7760000228881836
31,9699,0.6808558106422424,,,,
31,9749,0.44625020027160645,,,,
31,9799,0.5036168098449707,,,,
31,9849,0.6727757453918457,,,,
31,9899,0.5260466933250427,,,,
31,9949,0.5899353623390198,,,,
31,9983,,0.7423097491264343,0.7677000164985657,,
