epoch,test_acc,train_loss
0,86.83,-17.8098
0,86.83,-22.0634
0,86.83,-20.5872
0,86.83,-20.0216
0,86.83,-22.2079
0,86.83,-25.7877
0,86.83,-25.1061
1,86.76,-24.9357
1,86.76,-31.175
1,86.76,-32.8517
1,86.76,-33.8144
1,86.76,-41.0906
1,86.76,-43.0487
1,86.76,-45.7717
2,87.57,-49.0853
2,87.57,-50.4251
2,87.57,-55.1154
2,87.57,-56.7428
2,87.57,-55.754
2,87.57,-56.9834
2,87.57,-60.2825
3,88.04,-61.8998
3,88.04,-72.9363
3,88.04,-65.7333
3,88.04,-67.1906
3,88.04,-70.8448
3,88.04,-77.4477
3,88.04,-70.3714
4,88.12,-73.8893
4,88.12,-75.3393
4,88.12,-81.5579
4,88.12,-84.8286
4,88.12,-91.1077
4,88.12,-81.0332
4,88.12,-86.8325
5,88.44,-95.9631
5,88.44,-81.8254
5,88.44,-100.8828
5,88.44,-95.1319
5,88.44,-84.2565
5,88.44,-98.6683
5,88.44,-98.735
6,88.55,-105.9491
6,88.55,-108.9281
6,88.55,-94.714
6,88.55,-105.9497
6,88.55,-105.5692
6,88.55,-104.2044
6,88.55,-110.694
7,88.44,-108.3004
7,88.44,-114.9034
7,88.44,-115.2549
7,88.44,-116.5646
7,88.44,-124.4202
7,88.44,-124.2468
7,88.44,-131.6986
8,88.45,-132.9796
8,88.45,-133.8306
8,88.45,-120.9009
8,88.45,-124.6424
8,88.45,-124.9377
8,88.45,-123.7146
8,88.45,-131.9367
9,88.63,-131.0208
9,88.63,-135.6927
9,88.63,-156.9688
9,88.63,-136.5473
9,88.63,-142.6791
9,88.63,-142.5386
9,88.63,-144.6884
10,88.68,-147.9519
10,88.68,-152.2653
10,88.68,-159.1211
10,88.68,-160.849
10,88.68,-156.6931
10,88.68,-161.0728
10,88.68,-162.0358
11,88.85,-161.6206
11,88.85,-153.5222
11,88.85,-154.5602
11,88.85,-162.5867
11,88.85,-167.3675
11,88.85,-167.578
11,88.85,-164.7565
12,88.68,-183.3778
12,88.68,-173.5823
12,88.68,-171.5756
12,88.68,-187.9781
12,88.68,-181.1832
12,88.68,-169.4915
12,88.68,-183.7281
13,88.86,-174.07
13,88.86,-182.8747
13,88.86,-192.9898
13,88.86,-188.5923
13,88.86,-189.8111
13,88.86,-188.1907
13,88.86,-207.3683
14,88.77,-223.6639
14,88.77,-204.5384
14,88.77,-194.1163
14,88.77,-203.4055
14,88.77,-213.3167
14,88.77,-198.358
14,88.77,-218.2613
15,88.59,-219.1829
15,88.59,-217.1949
15,88.59,-226.364
15,88.59,-205.2137
15,88.59,-224.0073
15,88.59,-224.4083
15,88.59,-237.1212
16,88.85,-230.1935
16,88.85,-222.042
16,88.85,-221.0756
16,88.85,-232.1724
16,88.85,-230.2708
16,88.85,-243.5883
16,88.85,-247.2745
17,88.61,-221.7726
17,88.61,-248.9757
17,88.61,-256.4704
17,88.61,-245.1414
17,88.61,-255.1271
17,88.61,-267.7591
17,88.61,-258.851
18,88.65,-255.1468
18,88.65,-273.4488
18,88.65,-289.759
18,88.65,-298.2371
18,88.65,-269.5121
18,88.65,-285.722
18,88.65,-252.2823
19,88.62,-279.4875
19,88.62,-255.9019
19,88.62,-283.6365
19,88.62,-313.366
19,88.62,-265.2543
19,88.62,-282.2782
19,88.62,-297.411
20,88.63,-325.7258
20,88.63,-315.0819
20,88.63,-271.8835
20,88.63,-305.168
20,88.63,-306.4837
20,88.63,-312.2375
20,88.63,-338.2917
21,88.55,-334.6721
21,88.55,-330.8238
21,88.55,-312.5036
21,88.55,-308.3256
21,88.55,-310.8265
21,88.55,-321.2782
21,88.55,-356.7441
22,88.52,-366.5092
22,88.52,-305.8803
22,88.52,-323.8575
22,88.52,-370.6965
22,88.52,-340.6083
22,88.52,-378.1147
22,88.52,-355.9106
23,88.29,-373.2728
23,88.29,-361.8208
23,88.29,-330.853
23,88.29,-382.9008
23,88.29,-356.802
23,88.29,-396.9489
23,88.29,-345.2598
24,88.71,-355.4976
24,88.71,-405.5663
24,88.71,-335.7429
24,88.71,-374.6432
24,88.71,-419.521
24,88.71,-393.0121
24,88.71,-386.1859
25,88.52,-382.7571
25,88.52,-390.4263
25,88.52,-361.3851
25,88.52,-386.7122
25,88.52,-393.2253
25,88.52,-445.4284
25,88.52,-429.127
26,88.85,-410.5334
26,88.85,-442.2961
26,88.85,-439.4246
26,88.85,-435.0238
26,88.85,-443.1447
26,88.85,-481.8354
26,88.85,-463.0628
27,88.42,-444.3573
27,88.42,-452.1469
27,88.42,-487.5587
27,88.42,-448.0341
27,88.42,-452.6509
27,88.42,-496.9633
27,88.42,-463.9873
28,88.52,-461.4933
28,88.52,-463.0112
28,88.52,-484.5774
28,88.52,-446.7922
28,88.52,-467.2677
28,88.52,-545.392
28,88.52,-494.3767
29,88.46,-520.3679
29,88.46,-500.6876
29,88.46,-565.8385
29,88.46,-528.7632
29,88.46,-481.9971
29,88.46,-532.4333
29,88.46,-504.39
30,88.55,-509.6255
30,88.55,-559.7715
30,88.55,-594.365
30,88.55,-559.863
30,88.55,-552.7245
30,88.55,-574.4785
30,88.55,-586.925
31,88.4,-623.181
31,88.4,-543.8518
31,88.4,-559.6647
31,88.4,-549.5834
31,88.4,-573.4804
31,88.4,-603.4994
31,88.4,-562.1274
32,88.26,-673.8666
32,88.26,-649.9102
32,88.26,-639.0437
32,88.26,-674.9143
32,88.26,-625.8905
32,88.26,-635.863
32,88.26,-551.096
33,88.27,-666.0069
33,88.27,-658.2942
33,88.27,-653.7951
33,88.27,-632.3469
33,88.27,-679.9163
33,88.27,-651.0483
33,88.27,-659.0906
34,88.33,-683.1678
34,88.33,-652.8519
34,88.33,-691.732
34,88.33,-714.676
34,88.33,-723.3513
34,88.33,-729.9238
34,88.33,-682.8931
35,88.24,-755.4902
35,88.24,-675.8284
35,88.24,-719.4071
35,88.24,-816.817
35,88.24,-768.5568
35,88.24,-708.9738
35,88.24,-732.4169
36,88.45,-767.4802
36,88.45,-748.5963
36,88.45,-793.7515
36,88.45,-726.1561
36,88.45,-791.1613
36,88.45,-821.2812
36,88.45,-787.6514
37,88.02,-789.4275
37,88.02,-805.9576
37,88.02,-821.7493
37,88.02,-794.5493
37,88.02,-900.6058
37,88.02,-799.6055
37,88.02,-825.2802
38,88.19,-867.9963
38,88.19,-925.7612
38,88.19,-778.5648
38,88.19,-947.1177
38,88.19,-874.3113
38,88.19,-891.5964
38,88.19,-845.9096
39,88.27,-918.1975
39,88.27,-859.9602
39,88.27,-924.2676
39,88.27,-950.9698
39,88.27,-916.4244
39,88.27,-931.54
39,88.27,-889.2899
40,88.12,-942.5824
40,88.12,-916.6635
40,88.12,-904.5831
40,88.12,-1037.5847
40,88.12,-891.5401
40,88.12,-960.9987
40,88.12,-842.0745
41,88.18,-973.3434
41,88.18,-870.7841
41,88.18,-923.6558
41,88.18,-951.3268
41,88.18,-1071.1238
41,88.18,-1008.6217
41,88.18,-1004.0494
42,88.3,-1102.339
42,88.3,-1088.2754
42,88.3,-1004.8244
42,88.3,-991.3554
42,88.3,-1043.6853
42,88.3,-1055.5759
42,88.3,-1006.1
43,87.93,-1023.4496
43,87.93,-1008.9062
43,87.93,-1078.5458
43,87.93,-1090.2322
43,87.93,-1196.0601
43,87.93,-1137.0029
43,87.93,-1037.7037
44,88.12,-1117.2388
44,88.12,-1113.1182
44,88.12,-1109.1901
44,88.12,-1193.5591
44,88.12,-1059.8328
44,88.12,-1225.3994
44,88.12,-1116.0359
45,88.11,-1144.7585
45,88.11,-1147.1163
45,88.11,-1197.6831
45,88.11,-1218.7147
45,88.11,-1209.9353
45,88.11,-1177.2771
45,88.11,-1243.4574
46,88.06,-1259.5166
46,88.06,-1229.528
46,88.06,-1361.6951
46,88.06,-1213.7809
46,88.06,-1276.3789
46,88.06,-1290.3584
46,88.06,-1309.1655
47,87.98,-1300.4338
47,87.98,-1231.3872
47,87.98,-1252.4309
47,87.98,-1293.1904
47,87.98,-1375.0249
47,87.98,-1343.885
47,87.98,-1274.6357
48,88.05,-1325.6301
48,88.05,-1384.8168
48,88.05,-1281.3379
48,88.05,-1423.4708
48,88.05,-1370.7261
48,88.05,-1399.0413
48,88.05,-1343.009
49,87.64,-1412.8827
49,87.64,-1456.6078
49,87.64,-1376.545
49,87.64,-1405.4395
49,87.64,-1414.9567
49,87.64,-1496.4888
49,87.64,-1474.6365
50,87.48,-1483.0756
50,87.48,-1579.4244
50,87.48,-1490.006
50,87.48,-1460.818
50,87.48,-1370.6228
50,87.48,-1385.3523
50,87.48,-1510.1128
51,87.67,-1395.3574
51,87.67,-1327.3344
51,87.67,-1596.8772
51,87.67,-1627.0911
51,87.67,-1488.308
51,87.67,-1348.5452
51,87.67,-1471.2966
52,87.59,-1430.7986
52,87.59,-1476.8079
52,87.59,-1648.8877
52,87.59,-1550.3743
52,87.59,-1537.1464
52,87.59,-1609.5665
52,87.59,-1671.0154
53,87.32,-1685.4014
53,87.32,-1590.879
53,87.32,-1621.4667
53,87.32,-1694.1902
53,87.32,-1729.48
53,87.32,-1699.85
53,87.32,-1613.01
54,86.9,-1713.6761
54,86.9,-1698.8071
54,86.9,-1796.582
54,86.9,-1763.1891
54,86.9,-1683.448
54,86.9,-1829.6655
54,86.9,-1605.7357
55,87.44,-1750.6616
55,87.44,-1717.4512
55,87.44,-1861.4302
55,87.44,-1689.139
55,87.44,-1596.0399
55,87.44,-1811.1016
55,87.44,-1875.5959
56,86.96,-1873.307
56,86.96,-1934.8201
56,86.96,-1829.1711
56,86.96,-1872.9243
56,86.96,-1739.5081
56,86.96,-1963.3223
56,86.96,-1853.6654
57,86.88,-1914.7937
57,86.88,-1708.5343
57,86.88,-1784.2611
57,86.88,-1959.7351
57,86.88,-1879.4655
57,86.88,-1974.4995
57,86.88,-1959.3932
58,86.6,-1873.2463
58,86.6,-2074.4612
58,86.6,-1998.5516
58,86.6,-1828.4944
58,86.6,-1925.6443
58,86.6,-1856.2285
58,86.6,-2069.0801
59,86.55,-1926.9741
59,86.55,-2047.9146
59,86.55,-2086.3003
59,86.55,-2015.9255
59,86.55,-2076.6765
59,86.55,-1921.5745
59,86.55,-2242.897
60,86.62,-1983.127
60,86.62,-2214.6118
60,86.62,-2125.9126
60,86.62,-2181.9409
60,86.62,-2173.1646
60,86.62,-2096.5835
60,86.62,-2136.6526
61,86.04,-2175.2024
61,86.04,-1993.0482
61,86.04,-2320.2422
61,86.04,-2272.6577
61,86.04,-2207.3667
61,86.04,-2324.0137
61,86.04,-2468.687
62,86.07,-2223.7869
62,86.07,-2247.4736
62,86.07,-2350.3047
62,86.07,-2394.8564
62,86.07,-2280.9553
62,86.07,-2309.4487
62,86.07,-2401.0186
63,86.22,-2327.1794
63,86.22,-2422.9214
63,86.22,-2136.5234
63,86.22,-2244.1558
63,86.22,-2351.1409
63,86.22,-2476.8818
63,86.22,-2349.6729
64,85.95,-2514.8789
64,85.95,-2328.1902
64,85.95,-2510.2695
64,85.95,-2496.511
64,85.95,-2568.3579
64,85.95,-2445.457
64,85.95,-2287.864
65,86.05,-2624.6138
65,86.05,-2548.5117
65,86.05,-2456.4497
65,86.05,-2380.3096
65,86.05,-2594.645
65,86.05,-2426.7227
65,86.05,-2503.0776
66,85.72,-2591.1863
66,85.72,-2509.8237
66,85.72,-2633.5745
66,85.72,-2592.127
66,85.72,-2314.2925
66,85.72,-2612.6455
66,85.72,-2626.4185
67,85.66,-2574.1187
67,85.66,-2388.8608
67,85.66,-2519.0828
67,85.66,-2509.8252
67,85.66,-2677.2532
67,85.66,-2973.4807
67,85.66,-2735.4045
68,85.43,-2551.2671
68,85.43,-2801.1868
68,85.43,-2781.103
68,85.43,-2987.877
68,85.43,-2825.749
68,85.43,-2767.2874
68,85.43,-2747.4136
69,85.02,-2769.7317
69,85.02,-2650.5669
69,85.02,-2946.8284
69,85.02,-2885.9851
69,85.02,-2903.9795
69,85.02,-2880.2915
69,85.02,-2805.1548
70,85.37,-3143.6243
70,85.37,-2948.8193
70,85.37,-3030.6624
70,85.37,-2913.8298
70,85.37,-2658.5105
70,85.37,-2871.0024
70,85.37,-3287.3564
71,85.52,-2760.873
71,85.52,-3085.843
71,85.52,-3067.7815
71,85.52,-3185.9829
71,85.52,-3169.6714
71,85.52,-3060.1392
71,85.52,-3021.9634
72,85.25,-3172.0188
72,85.25,-3122.9141
72,85.25,-3092.9075
72,85.25,-3190.1294
72,85.25,-3208.0549
72,85.25,-3153.8193
72,85.25,-3251.1667
73,85.62,-3153.2795
73,85.62,-3406.5347
73,85.62,-3243.822
73,85.62,-3312.1831
73,85.62,-3115.1162
73,85.62,-3227.502
73,85.62,-3113.6238
74,85.1,-3500.1284
74,85.1,-3514.0461
74,85.1,-3364.4722
74,85.1,-2910.5061
74,85.1,-3475.1997
74,85.1,-3030.4707
74,85.1,-3463.354
75,84.83,-3338.0298
75,84.83,-3707.8967
75,84.83,-3306.8867
75,84.83,-3376.0425
75,84.83,-3405.8247
75,84.83,-3403.5784
75,84.83,-3121.9312
76,84.87,-3561.2817
76,84.87,-3275.7544
76,84.87,-3635.4285
76,84.87,-3674.3462
76,84.87,-3586.8462
76,84.87,-3558.0024
76,84.87,-3536.8071
77,85.32,-3778.353
77,85.32,-3803.2925
77,85.32,-3712.9258
77,85.32,-3401.918
77,85.32,-3441.4355
77,85.32,-3547.0098
77,85.32,-3559.6284
78,84.87,-3757.856
78,84.87,-3620.3242
78,84.87,-3605.9019
78,84.87,-3755.1479
78,84.87,-3672.8784
78,84.87,-3779.6516
78,84.87,-3825.2227
79,84.68,-3764.781
79,84.68,-4076.0898
79,84.68,-3735.6704
79,84.68,-3881.1406
79,84.68,-3720.6514
79,84.68,-3749.5771
79,84.68,-4139.6816
80,84.16,-3869.9473
80,84.16,-3894.5586
80,84.16,-3947.8242
80,84.16,-3879.3608
80,84.16,-4193.792
80,84.16,-4106.3584
80,84.16,-4138.5938
81,84.61,-3679.6326
81,84.61,-4156.021
81,84.61,-4238.1548
81,84.61,-4023.196
81,84.61,-4312.5645
81,84.61,-4289.3047
81,84.61,-4173.9663
82,84.59,-4246.8047
82,84.59,-4528.9473
82,84.59,-4076.0835
82,84.59,-4361.3291
82,84.59,-4316.8555
82,84.59,-4233.0537
82,84.59,-4192.2705
83,84.47,-4532.481
83,84.47,-4328.4141
83,84.47,-4490.7617
83,84.47,-4046.5034
83,84.47,-4322.4814
83,84.47,-4235.5615
83,84.47,-4346.4248
84,83.67,-4326.3784
84,83.67,-4737.3271
84,83.67,-4488.7998
84,83.67,-4350.0005
84,83.67,-4338.8145
84,83.67,-4815.6855
84,83.67,-4572.8096
85,84.52,-4536.1982
85,84.52,-4329.1772
85,84.52,-4385.2432
85,84.52,-4459.3359
85,84.52,-4772.8335
85,84.52,-4439.6162
85,84.52,-4638.2773
86,84.0,-4753.5942
86,84.0,-4685.6392
86,84.0,-4628.1992
86,84.0,-4852.1206
86,84.0,-4822.9678
86,84.0,-4783.2432
86,84.0,-4634.0254
87,84.26,-4864.2036
87,84.26,-4775.917
87,84.26,-4714.2129
87,84.26,-4702.1685
87,84.26,-4726.4131
87,84.26,-4916.0938
87,84.26,-4593.4155
88,84.08,-5187.3633
88,84.08,-5002.5088
88,84.08,-4914.8193
88,84.08,-4645.9297
88,84.08,-4784.6724
88,84.08,-5284.6758
88,84.08,-4824.2139
89,84.0,-4482.6982
89,84.0,-4753.2432
89,84.0,-4912.3618
89,84.0,-4719.4043
89,84.0,-4808.333
89,84.0,-4904.8838
89,84.0,-4908.1128
90,83.4,-4977.1514
90,83.4,-5264.624
90,83.4,-5145.8428
90,83.4,-5256.4468
90,83.4,-5206.4863
90,83.4,-5215.8086
90,83.4,-4939.3643
91,83.3,-4981.3975
91,83.3,-5356.7666
91,83.3,-5421.6211
91,83.3,-4849.8428
91,83.3,-5458.5073
91,83.3,-5386.354
91,83.3,-5350.6021
