step,train_loss,epoch,train_acc,test_acc
49,3.5580873489379883,0,,
99,3.1198019981384277,0,,
149,3.084733724594116,0,,
199,2.8587911128997803,0,,
249,2.9600272178649902,0,,
299,2.823615074157715,0,,
349,2.323251962661743,0,,
389,,0,0.40663060545921326,0.5228999853134155
399,2.098109245300293,1,,
449,2.0067386627197266,1,,
499,2.253387451171875,1,,
549,1.9794831275939941,1,,
599,2.0882740020751953,1,,
649,2.0309946537017822,1,,
699,2.2257885932922363,1,,
749,2.278411388397217,1,,
779,,1,0.5603765845298767,0.6642000079154968
799,1.9888606071472168,2,,
849,1.9445457458496094,2,,
899,2.022433042526245,2,,
949,1.871378779411316,2,,
999,1.981063961982727,2,,
1049,2.0941290855407715,2,,
1099,1.9710946083068848,2,,
1149,1.9704537391662598,2,,
1169,,2,0.6223357319831848,0.6965000033378601
1199,1.4921408891677856,3,,
1249,1.7467594146728516,3,,
1299,1.7639437913894653,3,,
1349,1.8332064151763916,3,,
1399,1.6328589916229248,3,,
1449,1.7296828031539917,3,,
1499,1.5303202867507935,3,,
1549,1.6526092290878296,3,,
1559,,3,0.6631009578704834,0.771399974822998
1599,1.730722188949585,4,,
1649,1.7692484855651855,4,,
1699,1.5968871116638184,4,,
1749,1.726163387298584,4,,
1799,1.7824177742004395,4,,
1849,1.5652332305908203,4,,
1899,1.9225540161132812,4,,
1949,1.6427063941955566,4,,
1949,,4,0.6828725934028625,0.7502999901771545
1999,1.6346921920776367,5,,
2049,1.4037879705429077,5,,
2099,1.5589194297790527,5,,
2149,1.2208309173583984,5,,
2199,1.7250158786773682,5,,
2249,1.5127434730529785,5,,
2299,1.547119140625,5,,
2339,,5,0.702343761920929,0.7828999757766724
2349,1.4436776638031006,6,,
2399,1.0461506843566895,6,,
2449,1.4231256246566772,6,,
2499,1.6220731735229492,6,,
2549,1.2516177892684937,6,,
2599,1.7406551837921143,6,,
2649,1.276946783065796,6,,
2699,1.4478299617767334,6,,
2729,,6,0.71484375,0.8011999726295471
2749,1.3155699968338013,7,,
2799,1.0394394397735596,7,,
2849,1.3757504224777222,7,,
2899,1.3392727375030518,7,,
2949,1.316107988357544,7,,
2999,1.1731648445129395,7,,
3049,1.2745256423950195,7,,
3099,1.382796049118042,7,,
3119,,7,0.7222957015037537,0.8037999868392944
3149,1.1095715761184692,8,,
3199,1.1570794582366943,8,,
3249,1.0413274765014648,8,,
3299,0.9537066221237183,8,,
3349,1.1687099933624268,8,,
3399,1.2922804355621338,8,,
3449,1.2163589000701904,8,,
3499,1.4659183025360107,8,,
3509,,8,0.7323517799377441,0.7752000093460083
3549,1.2471342086791992,9,,
3599,1.2485337257385254,9,,
3649,0.9291653633117676,9,,
3699,1.0329523086547852,9,,
3749,1.1952753067016602,9,,
3799,0.8664228916168213,9,,
3849,1.4385100603103638,9,,
3899,1.0046262741088867,9,,
3899,,9,0.7372796535491943,0.8219000101089478
3949,1.0790882110595703,10,,
3999,1.1647355556488037,10,,
4049,1.0466499328613281,10,,
4099,1.2527962923049927,10,,
4149,1.0103192329406738,10,,
4199,1.146936297416687,10,,
4249,1.2070375680923462,10,,
4289,,10,0.7471153736114502,0.8122000098228455
4299,1.0543923377990723,11,,
4349,1.2615962028503418,11,,
4399,0.9177805185317993,11,,
4449,1.0491368770599365,11,,
4499,1.1459122896194458,11,,
4549,1.0593458414077759,11,,
4599,0.9181735515594482,11,,
4649,1.092690110206604,11,,
4679,,11,0.7528044581413269,0.8385000228881836
4699,0.7573869228363037,12,,
4749,0.8734312653541565,12,,
4799,0.8571449518203735,12,,
4849,0.9862211346626282,12,,
4899,0.8252722024917603,12,,
4949,0.8944624662399292,12,,
4999,0.8993744850158691,12,,
5049,0.948861837387085,12,,
5069,,12,0.7564502954483032,0.8248999714851379
5099,0.8756787180900574,13,,
5149,0.9239535927772522,13,,
5199,0.731853723526001,13,,
5249,0.8286311030387878,13,,
5299,0.9314256310462952,13,,
5349,1.008105754852295,13,,
5399,0.8392542600631714,13,,
5449,0.979148805141449,13,,
5459,,13,0.7604767680168152,0.845300018787384
5499,0.6236059665679932,14,,
5549,0.6395511627197266,14,,
5599,0.7557394504547119,14,,
5649,0.820406436920166,14,,
5699,0.5629833936691284,14,,
5749,0.8182374238967896,14,,
5799,0.7223638296127319,14,,
5849,0.7504670023918152,14,,
5849,,14,0.765044093132019,0.8374000191688538
5899,0.4800723195075989,15,,
5949,0.8141436576843262,15,,
5999,0.8497897386550903,15,,
6049,0.6150559186935425,15,,
6099,0.6806316375732422,15,,
6149,0.8110953569412231,15,,
6199,0.8089680671691895,15,,
6239,,15,0.7707732319831848,0.8449000120162964
6249,0.657349705696106,16,,
6299,0.6691464185714722,16,,
6349,0.7244802713394165,16,,
6399,1.0321563482284546,16,,
6449,0.5750584602355957,16,,
6499,0.4881020784378052,16,,
6549,0.6811678409576416,16,,
6599,0.6241475343704224,16,,
6629,,16,0.7739382982254028,0.8366000056266785
6649,0.5447649955749512,17,,
6699,0.7638953924179077,17,,
6749,0.6924616098403931,17,,
6799,0.5273412466049194,17,,
6849,0.5027593374252319,17,,
6899,0.5283028483390808,17,,
6949,0.7808867692947388,17,,
6999,0.7563360333442688,17,,
7019,,17,0.7764022350311279,0.8604999780654907
7049,0.5104930400848389,18,,
7099,0.596769392490387,18,,
7149,0.6358030438423157,18,,
7199,0.8080816268920898,18,,
7249,0.6709169149398804,18,,
7299,0.8344563245773315,18,,
7349,0.5133095979690552,18,,
7399,0.6283215284347534,18,,
7409,,18,0.780468761920929,0.8392999768257141
7449,0.38797664642333984,19,,
7499,0.7296724319458008,19,,
7549,0.4534299075603485,19,,
7599,0.6353693008422852,19,,
7649,0.6776200532913208,19,,
7699,0.458774209022522,19,,
7749,0.4817291498184204,19,,
7799,0.4725194275379181,19,,
7799,,19,0.782772421836853,0.8442000150680542
7849,0.6513211727142334,20,,
7899,0.6187509298324585,20,,
7949,0.5364863872528076,20,,
7999,0.711880087852478,20,,
8049,0.46806657314300537,20,,
8099,0.7338241338729858,20,,
8149,0.6333476305007935,20,,
8189,,20,0.7856370210647583,0.8665000200271606
8199,0.580411434173584,21,,
8249,0.6578801870346069,21,,
8299,0.5323953628540039,21,,
8349,0.4748677611351013,21,,
8399,0.5368092656135559,21,,
8449,0.4237419664859772,21,,
8499,0.731728732585907,21,,
8549,0.5729032158851624,21,,
8579,,21,0.7879807949066162,0.8648999929428101
8599,0.4649219512939453,22,,
8649,0.43347281217575073,22,,
8699,0.563162088394165,22,,
8749,0.5530892610549927,22,,
8799,0.4700733423233032,22,,
8849,0.5556679964065552,22,,
8899,0.658737301826477,22,,
8949,0.5242444276809692,22,,
8969,,22,0.7892027497291565,0.8532999753952026
8999,0.6160895228385925,23,,
9049,0.39390724897384644,23,,
9099,0.465736985206604,23,,
9149,0.4783284068107605,23,,
9199,0.5577666759490967,23,,
9249,0.6085640788078308,23,,
9299,0.36635327339172363,23,,
9349,0.6353275775909424,23,,
9359,,23,0.7915464639663696,0.8677999973297119
9399,0.46546804904937744,24,,
9449,0.49375444650650024,24,,
9499,0.5573388934135437,24,,
9549,0.5266317129135132,24,,
9599,0.469504177570343,24,,
9649,0.5100435614585876,24,,
9699,0.6576869487762451,24,,
9749,0.44953006505966187,24,,
9749,,24,0.7936097979545593,0.8672000169754028
9799,0.5483872890472412,25,,
9849,0.6452807784080505,25,,
9899,0.6995912194252014,25,,
9949,0.4205325245857239,25,,
9999,0.6047842502593994,25,,
10049,0.6303272843360901,25,,
10099,0.43941986560821533,25,,
10139,,25,0.7945312261581421,0.8532000184059143
10149,0.4492200016975403,26,,
10199,0.4271179139614105,26,,
10249,0.5581450462341309,26,,
10299,0.5260125398635864,26,,
