epoch,mix_match_loss,step,test_acc,train_acc,train_loss
21,,8579,0.5008000135421753,0.544451117515564,
22,,8599,,,1.5644513368606567
22,,8649,,,1.6526983976364136
22,,8699,,,1.8797298669815063
22,,8749,,,2.0474114418029785
22,,8799,,,1.6267296075820923
22,,8849,,,1.7167836427688599
22,,8899,,,2.306582450866699
22,,8949,,,1.6474764347076416
22,,8969,0.510200023651123,0.551362156867981,
23,,8999,,,1.6902321577072144
23,,9049,,,1.5778703689575195
23,,9099,,,1.5573961734771729
23,,9149,,,1.9797252416610718
23,,9199,,,1.666599154472351
23,,9249,,,1.6532222032546997
23,,9299,,,1.4584654569625854
23,,9349,,,1.620732307434082
23,,9359,0.5120999813079834,0.5571914911270142,
24,,9399,,,1.6693058013916016
24,,9449,,,1.8556076288223267
24,,9499,,,1.5787895917892456
24,,9549,,,1.3561943769454956
24,,9599,,,1.5087109804153442
24,,9649,,,1.9995954036712646
24,,9699,,,1.5564531087875366
24,,9749,,,1.9958209991455078
24,,9749,0.5085999965667725,0.5668469667434692,
25,,9799,,,1.4944181442260742
25,,9849,,,1.6139202117919922
25,,9899,,,1.509372353553772
25,,9949,,,1.4491896629333496
25,,9999,,,1.7915620803833008
25,,10049,,,1.7036044597625732
25,,10099,,,1.761045217514038
25,,10139,0.515999972820282,0.5707532167434692,
26,,10149,,,1.467329978942871
26,,10199,,,1.5346559286117554
26,,10249,,,1.407630443572998
26,,10299,,,1.9279178380966187
26,,10349,,,1.7230085134506226
26,,10399,,,1.2746390104293823
26,,10449,,,1.8303080797195435
26,,10499,,,1.59073007106781
26,,10529,0.5113999843597412,0.5713942050933838,
27,,10549,,,1.4096676111221313
27,,10599,,,1.4120186567306519
27,,10649,,,1.424243450164795
27,,10699,,,1.3228257894515991
27,,10749,,,1.4847230911254883
27,,10799,,,1.7006654739379883
27,,10849,,,1.632560133934021
27,,10899,,,1.7243330478668213
27,,10919,0.4966999888420105,0.5863581895828247,
28,,10949,,,1.3030778169631958
28,,10999,,,1.5323444604873657
28,,11049,,,1.4950610399246216
28,,11099,,,1.5660468339920044
28,,11149,,,1.451246976852417
28,,11199,,,1.4002888202667236
28,,11249,,,1.256131887435913
28,,11299,,,1.5890777111053467
28,,11309,0.5004000067710876,0.5912259817123413,
29,,11349,,,1.2104690074920654
29,,11399,,,1.5614385604858398
29,,11449,,,1.5034029483795166
29,,11499,,,1.4558722972869873
29,,11549,,,1.5346423387527466
29,,11599,,,1.4497003555297852
29,,11649,,,1.5359272956848145
