epoch,mix_match_loss_epoch,mix_match_loss_step,step,test_acc,train_acc,train_loss
0,,,49,,,2.2387125492095947
0,,,99,,,1.8645349740982056
0,,,149,,,1.7563800811767578
0,,,199,,,1.6868984699249268
0,,,249,,,1.523385763168335
0,,,299,,,1.6332706212997437
0,,,349,,,1.7471983432769775
0,,,389,0.45890000462532043,0.3483373522758484,
1,,,399,,,1.5923126935958862
1,,,449,,,1.6004064083099365
1,,,499,,,1.6523709297180176
1,,,549,,,1.6329234838485718
1,,,599,,,1.4030426740646362
1,,,649,,,1.5251764059066772
1,,,699,,,1.4074956178665161
1,,,749,,,1.3301594257354736
1,,,779,0.589900016784668,0.4960136115550995,
2,,,799,,,1.366963505744934
2,,,849,,,1.1677435636520386
2,,,899,,,1.2095890045166016
2,,,949,,,1.362542986869812
2,,,999,,,1.412065863609314
2,,,1049,,,1.3749228715896606
2,,,1099,,,1.0740939378738403
2,,,1149,,,1.1378493309020996
2,,,1169,0.6583999991416931,0.5838541388511658,
3,,,1199,,,1.085229754447937
3,,,1249,,,1.0979820489883423
3,,,1299,,,1.1670905351638794
3,,,1349,,,1.1729493141174316
3,,,1399,,,1.174211859703064
3,,,1449,,,1.156050682067871
3,,,1499,,,1.1398530006408691
3,,,1549,,,1.0398191213607788
3,,,1559,0.7207000255584717,0.6317908763885498,
4,,,1599,,,0.9864084124565125
4,,,1649,,,1.157280445098877
4,,,1699,,,1.2455172538757324
4,,,1749,,,0.9815343022346497
4,,,1799,,,1.3980144262313843
4,,,1849,,,1.1949025392532349
4,,,1899,,,1.3262614011764526
4,,,1949,,,1.1149450540542603
4,,,1949,0.7573000192642212,0.6604967713356018,
5,,,1999,,,0.9465240240097046
5,,,2049,,,1.1810917854309082
5,,,2099,,,1.174244999885559
5,,,2149,,,1.1043040752410889
5,,,2199,,,1.2147117853164673
5,,,2249,,,0.8766071200370789
5,,,2299,,,0.8927156329154968
5,,,2339,0.7229999899864197,0.6792067289352417,
6,,,2349,,,0.9246876239776611
6,,,2399,,,1.0184921026229858
6,,,2449,,,0.9586751461029053
6,,,2499,,,0.9473385214805603
6,,,2549,,,1.119891881942749
6,,,2599,,,0.942302405834198
6,,,2649,,,0.761069118976593
6,,,2699,,,1.1821931600570679
6,,,2729,0.7695000171661377,0.695152223110199,
7,,,2749,,,1.2283583879470825
7,,,2799,,,1.0890333652496338
7,,,2849,,,1.057719111442566
7,,,2899,,,0.6556507349014282
7,,,2949,,,1.0806509256362915
7,,,2999,,,1.1021674871444702
7,,,3049,,,0.9254710078239441
7,,,3099,,,0.9725303649902344
7,,,3119,0.7753999829292297,0.7070713043212891,
8,,,3149,,,0.9166528582572937
8,,,3199,,,1.07210111618042
8,,,3249,,,1.1060742139816284
8,,,3299,,,1.037026047706604
8,,,3349,,,0.9177811145782471
8,,,3399,,,1.248502492904663
8,,,3449,,,0.9526163339614868
8,,,3499,,,0.8927069902420044
8,,,3509,0.7943999767303467,0.7156450152397156,
9,,,3549,,,0.9799773097038269
9,,,3599,,,0.9498578906059265
9,,,3649,,,0.9595050811767578
9,,,3699,,,0.9245104789733887
9,,,3749,,,0.8267244100570679
9,,,3799,,,1.1035562753677368
9,,,3849,,,0.7238679528236389
9,,,3899,,,1.2104119062423706
9,,,3899,0.8033000230789185,0.7252002954483032,
10,,,3949,,,1.1231191158294678
10,,,3999,,,0.9752117395401001
10,,,4049,,,1.2493641376495361
10,,,4099,,,0.6486574411392212
10,,,4149,,,1.0075136423110962
10,,,4199,,,0.9034801125526428
10,,,4249,,,1.1721398830413818
10,,,4289,0.8180000185966492,0.7304487228393555,
11,,,4299,,,0.8143410086631775
11,,,4349,,,0.7661411166191101
11,,,4399,,,0.7080131769180298
11,,,4449,,,0.9198285341262817
11,,,4499,,,0.9119467735290527
11,,,4549,,,0.7755810618400574
11,,,4599,,,1.1130367517471313
11,,,4649,,,1.0223897695541382
11,,,4679,0.7912999987602234,0.7361778616905212,
12,,,4699,,,0.8251091837882996
12,,,4749,,,0.9810475707054138
12,,,4799,,,0.825205385684967
12,,,4849,,,0.9345241785049438
12,,,4899,,,0.8977339267730713
12,,,4949,,,0.7998710870742798
12,,,4999,,,0.8173944354057312
12,,,5049,,,0.9775400161743164
12,,,5069,0.8007000088691711,0.7446314096450806,
13,,,5099,,,0.8353525400161743
13,,,5149,,,0.9521404504776001
13,,,5199,,,0.8286591172218323
13,,,5249,,,0.830963671207428
13,,,5299,,,0.9322620034217834
13,,,5349,,,0.7615052461624146
13,,,5399,,,1.0256634950637817
13,,,5449,,,0.9475617408752441
13,,,5459,0.8442000150680542,0.7460136413574219,
14,,,5499,,,0.985505998134613
14,,,5549,,,0.7662902474403381
14,,,5599,,,0.8413749933242798
14,,,5649,,,0.9133469462394714
14,,,5699,,,0.8128056526184082
14,,,5749,,,0.7451291680335999
14,,,5799,,,0.9013805389404297
14,,,5849,,,0.781592071056366
14,,,5849,0.8382999897003174,0.7535055875778198,
15,,,5899,,,1.0616909265518188
15,,,5949,,,0.7771236300468445
15,,,5999,,,0.8070313334465027
15,,,6049,,,0.7856330871582031
15,,,6099,,,0.7854665517807007
15,,,6149,,,0.7516451478004456
15,,,6199,,,1.0926498174667358
15,,,6239,0.8500000238418579,0.7558894157409668,
16,,,6249,,,0.8708204627037048
16,,,6299,,,0.9257379770278931
16,,,6349,,,0.7995045185089111
16,,,6399,,,0.9410746097564697
16,,,6449,,,0.9324653148651123
16,,,6499,,,0.6788979172706604
16,,,6549,,,0.7842869758605957
16,,,6599,,,0.7228615880012512
16,,,6629,0.8385999798774719,0.7590945363044739,
17,,,6649,,,0.7466774582862854
17,,,6699,,,0.9925435185432434
17,,,6749,,,0.8092556595802307
17,,,6799,,,0.8454639911651611
17,,,6849,,,0.7184731364250183
17,,,6899,,,0.8569602370262146
17,,,6949,,,0.6869750618934631
17,,,6999,,,0.8986079096794128
17,,,7019,0.8568999767303467,0.7639623284339905,
18,,,7049,,,0.7375734448432922
18,,,7099,,,0.8740971684455872
18,,,7149,,,0.8553904891014099
18,,,7199,,,0.9086336493492126
18,,,7249,,,0.7912806868553162
18,,,7299,,,1.064697504043579
18,,,7349,,,0.9754263162612915
18,,,7399,,,0.7717955708503723
18,,,7409,0.8417999744415283,0.7658453583717346,
19,,,7449,,,0.7261304259300232
19,,,7499,,,1.1902410984039307
19,,,7549,,,0.8847755193710327
19,,,7599,,,1.0879307985305786
19,,,7649,,,0.8360909223556519
19,,,7699,,,0.8866255879402161
19,,,7749,,,1.078762173652649
19,,,7799,,,0.8202849626541138
19,,,7799,0.8154000043869019,0.7663061022758484,1.0175336599349976
20,,1.2952507734298706,7849,,,
20,,1.5066498517990112,7899,,,
20,,1.2573306560516357,7949,,,
20,,1.095772385597229,7999,,,
20,,1.3153735399246216,8049,,,
20,,1.3426001071929932,8099,,,
20,,1.5017566680908203,8149,,,
