train_loss,epoch,step,val_loss,val_acc,test_acc
2.9217028617858887,0,49,,,
2.9009552001953125,0,99,,,
2.7885634899139404,0,149,,,
2.6617932319641113,0,199,,,
2.5117950439453125,0,249,,,
2.19179630279541,0,299,,,
2.459312677383423,0,349,,,
,0,389,1.523082971572876,0.46950000524520874,
,0,389,,,0.5224999785423279
2.5162713527679443,1,399,,,
2.3578028678894043,1,449,,,
2.195131540298462,1,499,,,
2.2653937339782715,1,549,,,
2.1623239517211914,1,599,,,
2.1048810482025146,1,649,,,
2.0321202278137207,1,699,,,
2.097290515899658,1,749,,,
,1,779,1.281988263130188,0.5710999965667725,
,1,779,,,0.6281999945640564
1.9209740161895752,2,799,,,
2.11789608001709,2,849,,,
1.885101556777954,2,899,,,
1.9809818267822266,2,949,,,
2.1048803329467773,2,999,,,
1.9943201541900635,2,1049,,,
1.8155152797698975,2,1099,,,
1.902207851409912,2,1149,,,
,2,1169,1.1811244487762451,0.6355999708175659,
,2,1169,,,0.7142999768257141
1.6838549375534058,3,1199,,,
1.969690203666687,3,1249,,,
1.8272193670272827,3,1299,,,
1.902878999710083,3,1349,,,
1.8240073919296265,3,1399,,,
1.7335315942764282,3,1449,,,
1.6328811645507812,3,1499,,,
1.9209822416305542,3,1549,,,
,3,1559,1.0955047607421875,0.6615999937057495,
,3,1559,,,0.7416999936103821
1.6126459836959839,4,1599,,,
1.7363426685333252,4,1649,,,
1.5191028118133545,4,1699,,,
1.5473082065582275,4,1749,,,
1.7111573219299316,4,1799,,,
1.569087028503418,4,1849,,,
1.6575586795806885,4,1899,,,
1.4227665662765503,4,1949,,,
,4,1949,1.0695884227752686,0.6741999983787537,
,4,1949,,,0.7684000134468079
1.6398582458496094,5,1999,,,
1.4075058698654175,5,2049,,,
1.5476598739624023,5,2099,,,
1.537595510482788,5,2149,,,
1.9013278484344482,5,2199,,,
1.6419233083724976,5,2249,,,
1.652100920677185,5,2299,,,
,5,2339,1.0781257152557373,0.6789000034332275,
,5,2339,,,0.7717999815940857
1.4680335521697998,6,2349,,,
1.469210147857666,6,2399,,,
1.574736475944519,6,2449,,,
1.5833549499511719,6,2499,,,
1.635900616645813,6,2549,,,
1.5828654766082764,6,2599,,,
1.351922631263733,6,2649,,,
1.5171266794204712,6,2699,,,
,6,2729,1.008100986480713,0.7045000195503235,
,6,2729,,,0.7958999872207642
1.5577298402786255,7,2749,,,
1.540921688079834,7,2799,,,
1.7401330471038818,7,2849,,,
1.5476456880569458,7,2899,,,
1.564488410949707,7,2949,,,
1.500605583190918,7,2999,,,
1.5846812725067139,7,3049,,,
1.6056748628616333,7,3099,,,
,7,3119,1.0061711072921753,0.7037000060081482,
,7,3119,,,0.8026000261306763
1.377148151397705,8,3149,,,
1.2775098085403442,8,3199,,,
1.3207886219024658,8,3249,,,
1.4450445175170898,8,3299,,,
1.5155353546142578,8,3349,,,
1.5330779552459717,8,3399,,,
1.2511847019195557,8,3449,,,
1.3714618682861328,8,3499,,,
,8,3509,0.9747990369796753,0.7226999998092651,
,8,3509,,,0.8220999836921692
1.3484673500061035,9,3549,,,
1.4792976379394531,9,3599,,,
1.2927570343017578,9,3649,,,
1.3733341693878174,9,3699,,,
1.2698155641555786,9,3749,,,
1.4533946514129639,9,3799,,,
1.4261534214019775,9,3849,,,
1.1940921545028687,9,3899,,,
,9,3899,0.9334422945976257,0.737500011920929,
,9,3899,,,0.8389999866485596
2.1828012466430664,10,3949,,,
2.275228500366211,10,3999,,,
2.3466808795928955,10,4049,,,
1.6896384954452515,10,4099,,,
2.2255568504333496,10,4149,,,
2.3036913871765137,10,4199,,,
,10,4211,,,0.8525999784469604
2.1631932258605957,11,4249,,,
2.0893778800964355,11,4299,,,
2.3499722480773926,11,4349,,,
2.275074005126953,11,4399,,,
2.1906003952026367,11,4449,,,
1.8775012493133545,11,4499,,,
,11,4523,0.9959646463394165,0.7366999983787537,
,11,4523,,,0.8458999991416931
2.2191429138183594,12,4549,,,
2.1745476722717285,12,4599,,,
1.8467094898223877,12,4649,,,
2.1774089336395264,12,4699,,,
2.2984819412231445,12,4749,,,
2.276707887649536,12,4799,,,
,12,4835,1.0037678480148315,0.7402999997138977,
,12,4835,,,0.8507000207901001
2.23071551322937,13,4849,,,
1.8968918323516846,13,4899,,,
2.2961602210998535,13,4949,,,
2.0379183292388916,13,4999,,,
2.1959028244018555,13,5049,,,
2.250427722930908,13,5099,,,
,13,5147,1.011287808418274,0.7404999732971191,
,13,5147,,,0.8504999876022339
1.968184232711792,14,5149,,,
2.1592583656311035,14,5199,,,
2.283210515975952,14,5249,,,
2.000562906265259,14,5299,,,
2.2439610958099365,14,5349,,,
