step,epoch,train_loss,val_acc1,val_acc2,test_acc,train_acc1,train_acc2
49,0,31.157136917114258,,,,,
99,0,5.178200721740723,,,,,
149,0,2.482358932495117,,,,,
199,0,1.4980149269104004,,,,,
249,0,3.49391770362854,,,,,
299,0,2.8799238204956055,,,,,
311,0,,0.10199999809265137,0.10199999809265137,,,
311,0,,,,0.09889240562915802,0.09675480425357819,0.09650440514087677
349,1,0.6631566286087036,,,,,
399,1,0.5444046854972839,,,,,
449,1,1.2572968006134033,,,,,
499,1,0.47769972681999207,,,,,
549,1,0.4838081896305084,,,,,
599,1,0.4780636131763458,,,,,
623,1,,0.10610000044107437,0.10729999840259552,,,
623,1,,,,0.09760680049657822,0.09818208962678909,0.09758113324642181
649,2,0.48444682359695435,,,,,
699,2,0.45658543705940247,,,,,
749,2,0.47074881196022034,,,,,
799,2,0.45838382840156555,,,,,
849,2,0.45563656091690063,,,,,
899,2,0.460000216960907,,,,,
935,2,,0.11169999837875366,0.11089999973773956,,,
935,2,,,,0.09938686341047287,0.10857371985912323,0.10894931852817535
949,3,0.4621552526950836,,,,,
999,3,0.4562373459339142,,,,,
1049,3,0.45616692304611206,,,,,
1099,3,0.4589675962924957,,,,,
1149,3,0.46258851885795593,,,,,
1199,3,0.45825502276420593,,,,,
1247,3,,0.11069999635219574,0.1111999973654747,,,
1247,3,,,,0.09899129718542099,0.11005108058452606,0.11022636294364929
1249,4,0.45652392506599426,,,,,
1299,4,0.45603299140930176,,,,,
1349,4,0.45058828592300415,,,,,
1399,4,0.4538951516151428,,,,,
1449,4,0.4581769108772278,,,,,
1499,4,0.45318230986595154,,,,,
1549,4,0.45305684208869934,,,,,
1559,4,,0.1111999973654747,0.11100000143051147,,,
1559,4,,,,0.09899129718542099,0.10919971764087677,0.10927484184503555
1599,5,0.4467889666557312,,,,,
1649,5,0.4684484302997589,,,,,
1699,5,0.4447450339794159,,,,,
1749,5,0.44926419854164124,,,,,
1799,5,0.44457685947418213,,,,,
1849,5,0.4450478255748749,,,,,
1871,5,,0.11150000244379044,0.11089999973773956,,,
1871,5,,,,0.09869462251663208,0.11005108058452606,0.11015123873949051
1899,6,0.4410969018936157,,,,,
1949,6,0.44635090231895447,,,,,
1999,6,0.45295190811157227,,,,,
2049,6,0.4467482268810272,,,,,
2099,6,0.4384845495223999,,,,,
2149,6,0.4452466368675232,,,,,
2183,6,,0.1062999963760376,0.10689999908208847,,,
2183,6,,,,0.09721123427152634,0.11037660390138626,0.11017628014087677
2199,7,0.439927339553833,,,,,
2249,7,0.4371720850467682,,,,,
2299,7,0.4393652677536011,,,,,
2349,7,0.43350327014923096,,,,,
2399,7,0.4412389397621155,,,,,
2449,7,0.44793689250946045,,,,,
2495,7,,0.11670000106096268,0.11110000312328339,,,
2495,7,,,,0.09938686341047287,0.10864883661270142,0.10849859565496445
2499,8,0.437262624502182,,,,,
2549,8,0.43413907289505005,,,,,
2599,8,0.4299207031726837,,,,,
2649,8,0.4352302849292755,,,,,
2699,8,0.4365423619747162,,,,,
2749,8,0.42639362812042236,,,,,
2799,8,0.435359925031662,,,,,
2807,8,,0.11129999905824661,0.11100000143051147,,,
2807,8,,,,0.11006724834442139,0.11015123873949051,0.10927484184503555
2849,9,0.42590460181236267,,,,,
2899,9,0.43534544110298157,,,,,
2949,9,0.4221630096435547,,,,,
2999,9,0.4238947629928589,,,,,
3049,9,0.423677533864975,,,,,
3099,9,0.41792556643486023,,,,,
3119,9,,0.13289999961853027,0.11060000211000443,,,
3119,9,,,,0.1227254718542099,0.11879006773233414,0.10992588102817535
3149,10,0.4320973753929138,,,,,
3199,10,0.4204540550708771,,,,,
3249,10,0.4192935824394226,,,,,
3299,10,0.433318555355072,,,,,
3349,10,0.4274025857448578,,,,,
3399,10,0.42752504348754883,,,,,
3431,10,,0.12860000133514404,0.11050000041723251,,,
3431,10,,,,0.12490110844373703,0.1328125,0.10932491719722748
3449,11,0.42445364594459534,,,,,
3499,11,0.4334195554256439,,,,,
3549,11,0.4189561605453491,,,,,
3599,11,0.4194943904876709,,,,,
3649,11,0.4259653389453888,,,,,
3699,11,0.42620736360549927,,,,,
3743,11,,0.12359999865293503,0.1111999973654747,,,
3743,11,,,,0.13498812913894653,0.13947315514087677,0.10985076427459717
3749,12,0.4474015235900879,,,,,
3799,12,0.43381983041763306,,,,,
3849,12,0.4318082332611084,,,,,
3899,12,0.41739630699157715,,,,,
3949,12,0.42676788568496704,,,,,
3999,12,0.419956773519516,,,,,
4049,12,0.4295865297317505,,,,,
4055,12,,0.14429999887943268,0.11069999635219574,,,
4055,12,,,,0.13073575496673584,0.14826221764087677,0.10952524095773697
4099,13,0.4220730662345886,,,,,
4149,13,0.4193188548088074,,,,,
4199,13,0.4312795102596283,,,,,
4249,13,0.41866534948349,,,,,
4299,13,0.42892852425575256,,,,,
4349,13,0.4182991683483124,,,,,
4367,13,,0.1281999945640564,0.11089999973773956,,,
4367,13,,,,0.11412183195352554,0.15271934866905212,0.10922475904226303
4399,14,0.4242493510246277,,,,,
4449,14,0.43123698234558105,,,,,
4499,14,0.41954079270362854,,,,,
4549,14,0.43123671412467957,,,,,
4599,14,0.4358987510204315,,,,,
4649,14,0.4199660122394562,,,,,
4679,14,,0.14839999377727509,0.11100000143051147,,,
4679,14,,,,0.1370648741722107,0.12484975904226303,0.10887420177459717
4699,15,0.42005637288093567,,,,,
4749,15,0.4164678454399109,,,,,
4799,15,0.4174051582813263,,,,,
4849,15,0.41806337237358093,,,,,
4899,15,0.41842883825302124,,,,,
4949,15,0.4156874120235443,,,,,
4991,15,,0.21209999918937683,0.11230000108480453,,,
4991,15,,,,0.2112341821193695,0.15372096002101898,0.10914964228868484
4999,16,0.41435372829437256,,,,,
5049,16,0.41839098930358887,,,,,
5099,16,0.4391220211982727,,,,,
5149,16,0.4185068905353546,,,,,
5199,16,0.43996477127075195,,,,,
5249,16,0.42677706480026245,,,,,
5299,16,0.4175839126110077,,,,,
5303,16,,0.17159999907016754,0.11420000344514847,,,
5303,16,,,,0.16099683940410614,0.21704727411270142,0.11097756773233414
5349,17,0.4216747283935547,,,,,
5399,17,0.4198418855667114,,,,,
5449,17,0.41338229179382324,,,,,
5499,17,0.4098597764968872,,,,,
5549,17,0.41857174038887024,,,,,
5599,17,0.4111313223838806,,,,,
5615,17,,0.18880000710487366,0.18060000240802765,,,
5615,17,,,,0.20490506291389465,0.21684695780277252,0.12474960088729858
5649,18,0.40479883551597595,,,,,
5699,18,0.3832162618637085,,,,,
5749,18,0.3835218846797943,,,,,
5799,18,0.36046266555786133,,,,,
5849,18,0.3621039390563965,,,,,
5899,18,0.34536975622177124,,,,,
5927,18,,0.23229999840259552,0.23100000619888306,,,
5927,18,,,,0.23121044039726257,0.2197265625,0.21266525983810425
5949,19,0.3353640139102936,,,,,
5999,19,0.36007261276245117,,,,,
6049,19,0.33139553666114807,,,,,
6099,19,0.3486778736114502,,,,,
6149,19,0.35324737429618835,,,,,
6199,19,0.3424888253211975,,,,,
