epoch,step,test_acc,train_loss
27,10799,,-2.4519882202148438
27,10849,,-2.5129268169403076
27,10899,,-2.536688804626465
27,10919,0.5878999829292297,
28,10949,,-2.695561647415161
28,10999,,-2.345916509628296
28,11049,,-2.467794895172119
28,11099,,-2.6294894218444824
28,11149,,-2.531841993331909
28,11199,,-2.440756320953369
28,11249,,-2.608675956726074
28,11299,,-2.4966721534729004
28,11309,0.5900999903678894,
29,11349,,-2.6978352069854736
29,11399,,-2.7978663444519043
29,11449,,-2.6244797706604004
29,11499,,-2.4510388374328613
29,11549,,-2.4254603385925293
29,11599,,-2.479679822921753
29,11649,,-2.5095953941345215
29,11699,,-2.493244171142578
29,11699,0.5856999754905701,
30,11749,,5.058345317840576
30,11799,,4.3442230224609375
30,11849,,4.505295753479004
30,11899,,4.863664627075195
30,11949,,4.37837028503418
30,11999,,4.426486968994141
30,12049,,4.126414775848389
30,12089,0.6068999767303467,
31,12099,,4.641144752502441
31,12149,,3.826083183288574
31,12199,,4.718491554260254
31,12249,,2.956008195877075
31,12299,,4.394129753112793
31,12349,,4.235967636108398
31,12399,,3.6226229667663574
31,12449,,3.8994803428649902
31,12479,0.6230000257492065,
32,12499,,4.493304252624512
32,12549,,4.2002763748168945
32,12599,,4.26870584487915
32,12649,,3.8931350708007812
32,12699,,4.136654853820801
32,12749,,4.175691604614258
32,12799,,3.9919838905334473
32,12849,,4.179364204406738
32,12869,0.6240000128746033,
33,12899,,4.2546162605285645
33,12949,,4.480475902557373
33,12999,,3.8181724548339844
33,13049,,4.101269245147705
33,13099,,4.220624923706055
33,13149,,4.07371187210083
33,13199,,3.521380662918091
33,13249,,4.027401447296143
33,13259,0.6327000260353088,
34,13299,,4.1575751304626465
34,13349,,4.229997634887695
34,13399,,4.27778434753418
34,13449,,4.198131084442139
34,13499,,3.156210422515869
34,13549,,4.163021564483643
34,13599,,4.035444736480713
34,13649,,4.173160076141357
34,13649,0.635699987411499,
35,13699,,4.144856929779053
35,13749,,3.11439847946167
35,13799,,3.3994786739349365
35,13849,,4.439815998077393
35,13899,,3.7573904991149902
35,13949,,3.3957552909851074
35,13999,,3.367328643798828
35,14039,0.6269999742507935,
36,14049,,3.4896440505981445
36,14099,,4.303998947143555
36,14149,,3.9270315170288086
36,14199,,4.0186333656311035
36,14249,,4.236418724060059
36,14299,,3.7388086318969727
36,14349,,4.19162130355835
36,14399,,4.220559120178223
36,14429,0.6362000107765198,
37,14449,,4.05854606628418
37,14499,,3.9256062507629395
37,14549,,3.8596432209014893
37,14599,,3.2298178672790527
37,14649,,3.749201536178589
37,14699,,3.9503331184387207
37,14749,,3.9576001167297363
37,14799,,4.031983852386475
37,14819,0.6365000009536743,
38,14849,,3.880443572998047
38,14899,,3.812460422515869
