step,train_loss2,train_loss1,epoch,train_acc2,test_acc,train_acc1
49,0.015598800964653492,0.01601283811032772,0,,,
99,0.015137550421059132,0.015397544018924236,0,,,
149,0.015518635511398315,0.015378870069980621,0,,,
199,0.015478015877306461,0.01571778766810894,0,,,
249,0.01507615391165018,0.014127402566373348,0,,,
299,0.01482691802084446,0.014600029215216637,0,,,
349,0.01516704075038433,0.015114810317754745,0,,,
389,,,0,0.2682091295719147,0.413100004196167,0.28327324986457825
399,0.016178667545318604,0.015134797431528568,1,,,
449,0.014413152821362019,0.014165959320962429,1,,,
499,0.013884811662137508,0.013614313676953316,1,,,
549,0.01446545124053955,0.013875267468392849,1,,,
599,0.013648354448378086,0.013367663137614727,1,,,
649,0.012280348688364029,0.012439747340977192,1,,,
699,0.013863619416952133,0.013888214714825153,1,,,
749,0.013759451918303967,0.013570367358624935,1,,,
779,,,1,0.3555488884449005,0.505299985408783,0.3725961446762085
799,0.013275769539177418,0.013753836043179035,2,,,
849,0.012722508050501347,0.012356286868453026,2,,,
899,0.014927991665899754,0.014725149609148502,2,,,
949,0.013201823458075523,0.012811940163373947,2,,,
999,0.012806902639567852,0.012364055030047894,2,,,
1049,0.012744581326842308,0.012612491846084595,2,,,
1099,0.013400621712207794,0.013867161236703396,2,,,
1149,0.011417016386985779,0.011245444416999817,2,,,
1169,,,2,0.4017828404903412,0.5496000051498413,0.4103565812110901
1199,0.013483794406056404,0.012634540908038616,3,,,
1249,0.013379347510635853,0.013636966235935688,3,,,
1299,0.011675487272441387,0.011847141198813915,3,,,
1349,0.012452740222215652,0.012478742748498917,3,,,
1399,0.012185175903141499,0.012220192700624466,3,,,
1449,0.013055408373475075,0.01265299879014492,3,,,
1499,0.014929385855793953,0.01510845497250557,3,,,
1549,0.010859951376914978,0.010742838494479656,3,,,
1559,,,3,0.4300480782985687,0.5881999731063843,0.43567708134651184
1599,0.010542145930230618,0.011221952736377716,4,,,
1649,0.01036375854164362,0.011037326417863369,4,,,
1699,0.011519585736095905,0.010822637937963009,4,,,
