epoch,step,train_loss,val_loss,val_acc,test_acc
0,49,2.2365546226501465,,,
0,99,2.044358730316162,,,
0,149,2.0025711059570312,,,
0,199,1.9825921058654785,,,
0,249,2.070474624633789,,,
0,299,1.8043231964111328,,,
0,311,,2.0216128826141357,0.30300000309944153,
0,311,,,,0.35519999265670776
1,349,2.22641921043396,,,
1,399,2.060267210006714,,,
1,449,1.9188405275344849,,,
1,499,2.026369333267212,,,
1,549,1.834723711013794,,,
1,599,2.0002808570861816,,,
1,623,,1.9247504472732544,0.30300000309944153,
1,623,,,,0.366100013256073
2,649,1.832406759262085,,,
2,699,2.015864372253418,,,
2,749,2.0526950359344482,,,
2,799,1.8209023475646973,,,
2,849,1.8827428817749023,,,
2,899,1.7019742727279663,,,
2,935,,1.8551419973373413,0.3521000146865845,
2,935,,,,0.4672999978065491
3,949,1.9812307357788086,,,
3,999,1.9161133766174316,,,
3,1049,1.8998186588287354,,,
3,1099,1.7411822080612183,,,
3,1149,1.8871660232543945,,,
3,1199,1.674410343170166,,,
3,1247,,1.8096121549606323,0.36579999327659607,
3,1247,,,,0.47350001335144043
4,1249,1.7635705471038818,,,
4,1299,1.5595998764038086,,,
4,1349,1.6719236373901367,,,
4,1399,1.5410999059677124,,,
4,1449,1.5813562870025635,,,
4,1499,1.9498636722564697,,,
4,1549,1.8540735244750977,,,
4,1559,,1.8419171571731567,0.34459999203681946,
4,1559,,,,0.4203000068664551
5,1599,1.81234872341156,,,
5,1649,1.753060221672058,,,
5,1699,1.8059344291687012,,,
5,1749,1.4506592750549316,,,
5,1799,1.8827346563339233,,,
5,1849,1.290071725845337,,,
5,1871,,1.8051494359970093,0.36660000681877136,
5,1871,,,,0.45320001244544983
6,1899,1.500711441040039,,,
6,1949,1.48915696144104,,,
6,1999,1.5056370496749878,,,
6,2049,1.6340408325195312,,,
6,2099,1.3115460872650146,,,
6,2149,1.543381690979004,,,
6,2183,,1.7603448629379272,0.40459999442100525,
6,2183,,,,0.5221999883651733
7,2199,1.7155721187591553,,,
7,2249,1.8209872245788574,,,
7,2299,1.896524429321289,,,
7,2349,1.377665638923645,,,
7,2399,1.6971397399902344,,,
7,2449,1.7593172788619995,,,
7,2495,,1.745956301689148,0.41190001368522644,
7,2495,,,,0.5496000051498413
8,2499,1.5077084302902222,,,
8,2549,1.611266016960144,,,
8,2599,0.8295576572418213,,,
8,2649,1.1331605911254883,,,
8,2699,1.3239105939865112,,,
8,2749,1.5877885818481445,,,
8,2799,1.3491053581237793,,,
8,2807,,1.6821788549423218,0.4417000114917755,
8,2807,,,,0.5878999829292297
9,2849,1.5484439134597778,,,
9,2899,1.2199665307998657,,,
9,2949,1.0276240110397339,,,
9,2999,1.62660813331604,,,
9,3049,1.3312397003173828,,,
9,3099,1.502785086631775,,,
9,3119,,1.6724886894226074,0.4415999948978424,
9,3119,,,,0.6008999943733215
10,3149,0.9929215908050537,,,
10,3199,0.5854967832565308,,,
10,3249,0.7944000363349915,,,
10,3299,0.9487033486366272,,,
10,3349,1.347200632095337,,,
10,3399,1.4198004007339478,,,
10,3431,,1.6715244054794312,0.4562999904155731,
10,3431,,,,0.6118999719619751
11,3449,0.9569935202598572,,,
11,3499,1.5263203382492065,,,
11,3549,1.5317482948303223,,,
11,3599,1.1874277591705322,,,
11,3649,0.99922776222229,,,
11,3699,1.483872652053833,,,
11,3743,,1.6644607782363892,0.46860000491142273,
11,3743,,,,0.6306999921798706
12,3749,1.3508347272872925,,,
12,3799,0.9627895951271057,,,
12,3849,1.46016526222229,,,
12,3899,1.0938708782196045,,,
12,3949,0.9509179592132568,,,
12,3999,1.5007658004760742,,,
12,4049,1.2956053018569946,,,
12,4055,,1.6547787189483643,0.4697999954223633,
12,4055,,,,0.6355999708175659
13,4099,1.4765141010284424,,,
13,4149,0.73042893409729,,,
13,4199,0.6581319570541382,,,
13,4249,0.7213122844696045,,,
13,4299,0.8110532760620117,,,
13,4349,0.6290371417999268,,,
13,4367,,1.6456111669540405,0.48590001463890076,
13,4367,,,,0.6657999753952026
14,4399,1.2370374202728271,,,
14,4449,1.2242107391357422,,,
14,4499,1.2476699352264404,,,
14,4549,1.3038328886032104,,,
14,4599,1.229093074798584,,,
14,4649,1.2916147708892822,,,
14,4679,,1.6542901992797852,0.49320000410079956,
14,4679,,,,0.6858000159263611
15,4699,0.48221027851104736,,,
15,4749,0.8319394588470459,,,
15,4799,0.302309513092041,,,
15,4849,1.0857583284378052,,,
15,4899,0.47812700271606445,,,
15,4949,0.885913610458374,,,
15,4991,,1.714012861251831,0.48420000076293945,
15,4991,,,,0.670799970626831
16,4999,-0.11421453952789307,,,
16,5049,1.3453691005706787,,,
16,5099,0.48233532905578613,,,
16,5149,0.7623615264892578,,,
16,5199,1.3963589668273926,,,
16,5249,0.02649092674255371,,,
16,5299,1.5193041563034058,,,
16,5303,,1.7388832569122314,0.4747999906539917,
16,5303,,,,0.6536999940872192
17,5349,1.166183590888977,,,
17,5399,1.002535343170166,,,
17,5449,1.2534584999084473,,,
17,5499,1.4707063436508179,,,
17,5549,1.2246382236480713,,,
17,5599,0.7243109941482544,,,
17,5615,,1.6928484439849854,0.4869999885559082,
17,5615,,,,0.6639999747276306
18,5649,0.202986478805542,,,
18,5699,1.225969910621643,,,
18,5749,-0.2532593011856079,,,
18,5799,1.2257885932922363,,,
18,5849,1.3896101713180542,,,
18,5899,1.1313238143920898,,,
18,5927,,1.6896045207977295,0.4984000027179718,
