epoch,mix_match_loss,step,test_acc,train_acc,train_loss
0,,49,,,4.161739826202393
0,,99,,,3.8362598419189453
0,,149,,,3.703190803527832
0,,199,,,3.4739832878112793
0,,249,,,3.3762338161468506
0,,299,,,3.2205874919891357
0,,349,,,3.247205972671509
0,,389,0.21969999372959137,0.14064502716064453,
1,,399,,,3.087496519088745
1,,449,,,3.0808522701263428
1,,499,,,2.718674421310425
1,,549,,,2.931358575820923
1,,599,,,2.715620517730713
1,,649,,,2.6199400424957275
1,,699,,,2.5352513790130615
1,,749,,,2.4620044231414795
1,,779,0.3555000126361847,0.28792068362236023,
2,,799,,,2.2239742279052734
2,,849,,,2.470777750015259
2,,899,,,2.3159515857696533
2,,949,,,2.1394143104553223
2,,999,,,2.2402327060699463
2,,1049,,,2.118546724319458
2,,1099,,,2.1700642108917236
2,,1149,,,2.188030958175659
2,,1169,0.41269999742507935,0.39086538553237915,
3,,1199,,,1.9986929893493652
3,,1249,,,2.2265219688415527
3,,1299,,,1.780045986175537
3,,1349,,,1.4328758716583252
3,,1399,,,2.1651721000671387
3,,1449,,,2.0203773975372314
3,,1499,,,1.8021492958068848
3,,1549,,,1.8640720844268799
3,,1559,0.4453999996185303,0.46151843667030334,
4,,1599,,,1.8037593364715576
4,,1649,,,1.5488768815994263
4,,1699,,,1.6350388526916504
4,,1749,,,1.8080097436904907
4,,1799,,,1.899654507637024
4,,1849,,,1.4536603689193726
4,,1899,,,1.708292007446289
4,,1949,,,1.8161735534667969
4,,1949,0.4853000044822693,0.512580156326294,
5,,1999,,,1.4911954402923584
5,,2049,,,1.4757368564605713
5,,2099,,,1.7512496709823608
5,,2149,,,1.4842612743377686
5,,2199,,,1.6573219299316406
5,,2249,,,1.6434296369552612
5,,2299,,,1.5117926597595215
5,,2339,0.501800000667572,0.5506811141967773,
6,,2349,,,1.4220330715179443
6,,2399,,,1.5079134702682495
6,,2449,,,1.6146184206008911
6,,2499,,,1.400496006011963
6,,2549,,,1.7300149202346802
6,,2599,,,1.3921493291854858
6,,2649,,,1.4104728698730469
6,,2699,,,1.2507449388504028
6,,2729,0.5587000250816345,0.5885617136955261,
7,,2749,,,1.2122286558151245
7,,2799,,,1.1303907632827759
7,,2849,,,1.1825838088989258
7,,2899,,,1.1246732473373413
7,,2949,,,1.3117271661758423
7,,2999,,,1.2646056413650513
7,,3049,,,1.3429951667785645
7,,3099,,,1.2830010652542114
7,,3119,0.565500020980835,0.6173878312110901,
8,,3149,,,1.3116865158081055
8,,3199,,,1.148491382598877
8,,3249,,,1.2814728021621704
8,,3299,,,1.4121614694595337
8,,3349,,,1.2467408180236816
8,,3399,,,1.0646440982818604
8,,3449,,,1.1755998134613037
8,,3499,,,1.488518476486206
8,,3509,0.5789999961853027,0.6404246687889099,
9,,3549,,,1.272652268409729
9,,3599,,,1.103755235671997
9,,3649,,,1.1198369264602661
9,,3699,,,1.398086667060852
9,,3749,,,0.9711446762084961
9,,3799,,,1.2004573345184326
9,,3849,,,0.980487585067749
9,,3899,,,1.2039586305618286
9,,3899,0.5695000290870667,0.6581130027770996,
10,,3949,,,0.9318590760231018
10,,3999,,,1.0238925218582153
10,,4049,,,0.9099012017250061
10,,4099,,,0.9507013559341431
10,,4149,,,1.2153773307800293
10,,4199,,,0.8661124110221863
10,,4249,,,1.0666794776916504
10,,4289,0.5964999794960022,0.6785456538200378,
11,,4299,,,1.083317756652832
11,,4349,,,0.8747748136520386
11,,4399,,,1.019286870956421
11,,4449,,,0.9447860717773438
11,,4499,,,0.982430636882782
11,,4549,,,1.0884900093078613
