step,train_loss,epoch,val_acc,train_acc,test_acc
49,0.38988280296325684,0,,,
99,0.32057881355285645,0,,,
149,0.38888877630233765,0,,,
199,0.2713470160961151,0,,,
249,0.3341921865940094,0,,,
299,0.32485395669937134,0,,,
311,,0,0.36410000920295715,,
311,,0,,0.32524538040161133,0.39259999990463257
349,0.2689240276813507,1,,,
399,0.27330899238586426,1,,,
449,0.1563895344734192,1,,,
499,0.13091224431991577,1,,,
549,0.1851450800895691,1,,,
599,0.11323575675487518,1,,,
623,,1,0.4697999954223633,,
623,,1,,0.44293370842933655,0.5268999934196472
649,0.23859462141990662,2,,,
699,0.18879228830337524,2,,,
749,0.11417831480503082,2,,,
799,0.0698477029800415,2,,,
849,0.05487624183297157,2,,,
899,0.12834864854812622,2,,,
935,,2,0.4763000011444092,,
935,,2,,0.5071864724159241,0.52920001745224
949,0.08300001919269562,3,,,
999,0.044283006340265274,3,,,
1049,0.0016461312770843506,3,,,
1099,0.11470368504524231,3,,,
1149,0.11285058408975601,3,,,
1199,0.1491060107946396,3,,,
1247,,3,0.545199990272522,,
1247,,3,,0.5493539571762085,0.5963000059127808
1249,0.11238923668861389,4,,,
1299,0.04727305471897125,4,,,
1349,0.003246363252401352,4,,,
1399,0.0026585645973682404,4,,,
1449,-0.06308821588754654,4,,,
1499,0.016440629959106445,4,,,
1549,0.0392301082611084,4,,,
1559,,4,0.579200029373169,,
1559,,4,,0.5846604704856873,0.6416000127792358
1599,-0.017269935458898544,5,,,
1649,0.012213347479701042,5,,,
1699,-0.040734972804784775,5,,,
1749,-0.09147978574037552,5,,,
1799,0.022874832153320312,5,,,
1849,-0.025224626064300537,5,,,
1871,,5,0.6013000011444092,,
1871,,5,,0.6099008321762085,0.6751000285148621
1899,-0.1033673882484436,6,,,
1949,0.02030283212661743,6,,,
1999,-0.16400176286697388,6,,,
2049,0.052117303013801575,6,,,
2099,-0.11351965367794037,6,,,
2149,-0.11365443468093872,6,,,
2183,,6,0.5898000001907349,,
2183,,6,,0.6323117017745972,0.6656000018119812
2199,-0.11739064753055573,7,,,
2249,0.027085499837994576,7,,,
2299,-0.10175394266843796,7,,,
2349,-0.12358776479959488,7,,,
2399,-0.04056498780846596,7,,,
2449,-0.05305054038763046,7,,,
2495,,7,0.614799976348877,,
2495,,7,,0.6470853090286255,0.6876999735832214
2499,-0.10458359122276306,8,,,
2549,-0.1176588237285614,8,,,
2599,-0.009992200881242752,8,,,
2649,-0.06036887690424919,8,,,
2699,-0.07469585537910461,8,,,
2749,-0.0984252393245697,8,,,
2799,0.017832426354289055,8,,,
2807,,8,0.636900007724762,,
2807,,8,,0.6594551205635071,0.71670001745224
2849,-0.1364729255437851,9,,,
2899,-0.14110445976257324,9,,,
2949,-0.09371434897184372,9,,,
2999,-0.17271824181079865,9,,,
3049,-0.03064277581870556,9,,,
3099,-0.027569955214858055,9,,,
3119,,9,0.6462000012397766,,
3119,,9,,0.6740534901618958,0.734000027179718
3149,-0.06849674135446548,10,,,
3199,-0.06173337250947952,10,,,
3249,-0.07068303972482681,10,,,
3299,-0.1375388652086258,10,,,
3349,-0.20243635773658752,10,,,
3399,-0.09094907343387604,10,,,
3431,,10,0.6617000102996826,,
3431,,10,,0.6788612008094788,0.7462999820709229
3449,-0.11435679346323013,11,,,
3499,-0.16889949142932892,11,,,
3549,-0.032765500247478485,11,,,
3599,-0.05107574909925461,11,,,
3649,-0.18036875128746033,11,,,
3699,-0.08928482234477997,11,,,
3743,,11,0.6722000241279602,,
3743,,11,,0.6892778277397156,0.7666000127792358
3749,-0.058747030794620514,12,,,
3799,-0.07019665092229843,12,,,
3849,-0.18249398469924927,12,,,
3899,-0.19841626286506653,12,,,
3949,-0.1430925726890564,12,,,
3999,-0.12688106298446655,12,,,
4049,-0.12140581756830215,12,,,
4055,,12,0.6794000267982483,,
4055,,12,,0.6966395974159241,0.7771999835968018
4099,-0.05646329000592232,13,,,
4149,-0.05684617534279823,13,,,
4199,-0.22755149006843567,13,,,
4249,-0.09354481846094131,13,,,
4299,-0.23840340971946716,13,,,
4349,-0.14171047508716583,13,,,
4367,,13,0.6687999963760376,,
4367,,13,,0.6997696161270142,0.7645000219345093
4399,-0.1621580719947815,14,,,
4449,-0.0214301198720932,14,,,
4499,-0.18638817965984344,14,,,
4549,-0.1835968792438507,14,,,
4599,-0.14525708556175232,14,,,
4649,-0.21257437765598297,14,,,
4679,,14,0.6844000220298767,,
4679,,14,,0.7086588740348816,0.7741000056266785
4699,-0.014118283987045288,15,,,
4749,-0.16890549659729004,15,,,
4799,-0.13792507350444794,15,,,
4849,-0.21471397578716278,15,,,
4899,-0.1317308098077774,15,,,
4949,-0.03296293690800667,15,,,
4991,,15,0.6830999851226807,,
4991,,15,,0.7132411599159241,0.7809000015258789
4999,-0.1600586175918579,16,,,
5049,-0.08444351702928543,16,,,
5099,-0.19788572192192078,16,,,
5149,-0.1402837634086609,16,,,
5199,-0.10816199332475662,16,,,
5249,-0.21325770020484924,16,,,
5299,-0.07357026636600494,16,,,
5303,,16,0.6988999843597412,,
5303,,16,,0.7164713740348816,0.7897999882698059
5349,-0.1794758141040802,17,,,
5399,-0.1662755012512207,17,,,
5449,-0.1743011474609375,17,,,
5499,-0.08364991098642349,17,,,
5549,-0.12946319580078125,17,,,
5599,-0.20868359506130219,17,,,
5615,,17,0.6800000071525574,,
5615,,17,,0.7220553159713745,0.7631000280380249
5649,-0.2106112539768219,18,,,
5699,-0.10471032559871674,18,,,
5749,-0.16811078786849976,18,,,
5799,-0.04735309258103371,18,,,
5849,-0.1301458328962326,18,,,
5899,-0.2082296907901764,18,,,
5927,,18,0.7067000269889832,,
5927,,18,,0.7272636294364929,0.8058000206947327
5949,-0.14736008644104004,19,,,
5999,-0.19727462530136108,19,,,
6049,-0.22811636328697205,19,,,
6099,-0.22452107071876526,19,,,
6149,-0.24816745519638062,19,,,
6199,-0.08913441002368927,19,,,
6239,,19,0.7002999782562256,,
6239,,19,,0.7296674847602844,0.8032000064849854
6249,-0.2190185785293579,20,,,
6299,-0.15921175479888916,20,,,
6349,-0.161983460187912,20,,,
6399,-0.15574100613594055,20,,,
6449,-0.15418559312820435,20,,,
6499,-0.2558964788913727,20,,,
6549,-0.10858454555273056,20,,,
6551,,20,0.7035999894142151,,
6551,,20,,0.7335487008094788,0.7972000241279602
6599,-0.17473004758358002,21,,,
6649,-0.11117658764123917,21,,,
6699,-0.11587907373905182,21,,,
6749,-0.2388700395822525,21,,,
6799,-0.16032621264457703,21,,,
6849,-0.18094131350517273,21,,,
6863,,21,0.7026000022888184,,
6863,,21,,0.7365034222602844,0.8030999898910522
6899,-0.27244865894317627,22,,,
6949,-0.21961739659309387,22,,,
6999,-0.2467186003923416,22,,,
7049,-0.11507030576467514,22,,,
7099,-0.22770437598228455,22,,,
7149,-0.24269774556159973,22,,,
7175,,22,0.701200008392334,,
7175,,22,,0.7389823794364929,0.8101000189781189
7199,-0.1439877450466156,23,,,
7249,-0.1745002418756485,23,,,
7299,-0.2813350558280945,23,,,
7349,-0.16905617713928223,23,,,
7399,-0.2400117665529251,23,,,
7449,-0.08344615250825882,23,,,
7487,,23,0.7069000005722046,,
7487,,23,,0.7426632642745972,0.8055999875068665
7499,-0.20039117336273193,24,,,
7549,-0.2633902430534363,24,,,
7599,-0.2162085473537445,24,,,
7649,-0.25323575735092163,24,,,
7699,-0.17160619795322418,24,,,
7749,-0.13815979659557343,24,,,
