epoch,step,train_loss,test_acc,train_acc,mix_match_loss
0,49,2.2089622020721436,,,
0,99,1.6097432374954224,,,
0,149,1.6681091785430908,,,
0,199,1.543267846107483,,,
0,249,1.4026552438735962,,,
0,299,1.4555556774139404,,,
0,349,1.4340039491653442,,,
0,389,,0.5397999882698059,0.41195914149284363,
1,399,1.2247605323791504,,,
1,449,0.9920859932899475,,,
1,499,1.3201117515563965,,,
1,549,0.957129716873169,,,
1,599,1.0315672159194946,,,
1,649,1.0406537055969238,,,
1,699,0.9201793670654297,,,
1,749,0.9812416434288025,,,
1,779,,0.6585000157356262,0.6166266202926636,
2,799,0.9218947291374207,,,
2,849,1.1209309101104736,,,
2,899,0.9124950170516968,,,
2,949,0.7760692238807678,,,
2,999,0.765953779220581,,,
2,1049,0.6335451006889343,,,
2,1099,0.7052377462387085,,,
2,1149,0.7132613062858582,,,
2,1169,,0.7623999714851379,0.7203525900840759,
3,1199,0.45978009700775146,,,
3,1249,0.771189272403717,,,
3,1299,0.6682478785514832,,,
3,1349,0.8409450054168701,,,
3,1399,0.8840060830116272,,,
3,1449,0.6883338689804077,,,
3,1499,0.7659565806388855,,,
3,1549,0.6831845641136169,,,
3,1559,,0.7594000101089478,0.7733373641967773,
4,1599,0.463183730840683,,,
4,1649,0.592491090297699,,,
4,1699,0.7328305840492249,,,
4,1749,0.4775499701499939,,,
4,1799,0.5772673487663269,,,
4,1849,0.5553810000419617,,,
4,1899,0.5973906517028809,,,
4,1949,0.6258655190467834,,,
4,1949,,0.7940999865531921,0.8049679398536682,
5,1999,0.6311173439025879,,,
5,2049,0.4870281219482422,,,
5,2099,0.6488247513771057,,,
5,2149,0.4828818738460541,,,
5,2199,0.48455682396888733,,,
5,2249,0.5667418837547302,,,
5,2299,0.43481558561325073,,,
5,2339,,0.8259000182151794,0.827544093132019,
6,2349,0.400105744600296,,,
6,2399,0.4167773723602295,,,
6,2449,0.4637112021446228,,,
6,2499,0.43275049328804016,,,
6,2549,0.4925681948661804,,,
6,2599,0.27880632877349854,,,
6,2649,0.5457359552383423,,,
6,2699,0.6021288633346558,,,
6,2729,,0.798799991607666,0.8432091474533081,
7,2749,0.4757881462574005,,,
7,2799,0.41896533966064453,,,
7,2849,0.4194176495075226,,,
7,2899,0.560298502445221,,,
7,2949,0.5186352729797363,,,
7,2999,0.4014829099178314,,,
7,3049,0.5204072594642639,,,
7,3099,0.40471574664115906,,,
7,3119,,0.8289999961853027,0.856209933757782,
8,3149,0.4638099670410156,,,
8,3199,0.4095025062561035,,,
8,3249,0.4365658760070801,,,
8,3299,0.461338609457016,,,
8,3349,0.36689868569374084,,,
8,3399,0.4317012131214142,,,
8,3449,0.36685165762901306,,,
8,3499,0.39351361989974976,,,
8,3509,,0.8338000178337097,0.8673678040504456,
9,3549,0.27227380871772766,,,
9,3599,0.4235297441482544,,,
9,3649,0.38360607624053955,,,
9,3699,0.5543662905693054,,,
9,3749,0.3196491003036499,,,
9,3799,0.43028977513313293,,,
9,3849,0.332649827003479,,,
9,3899,0.37744271755218506,,,
9,3899,,0.8345000147819519,0.8745793104171753,
10,3949,0.32969245314598083,,,
10,3999,0.2537027597427368,,,
10,4049,0.2776573896408081,,,
10,4099,0.3049900531768799,,,
10,4149,0.4155823886394501,,,
10,4199,0.314582496881485,,,
10,4249,0.3746024966239929,,,
10,4289,,0.8585000038146973,0.8856169581413269,
11,4299,0.3815760314464569,,,
11,4349,0.38119250535964966,,,
11,4399,0.4344235062599182,,,
11,4449,0.3534494638442993,,,
11,4499,0.2583877444267273,,,
11,4549,0.30439093708992004,,,
11,4599,0.3132781982421875,,,
11,4649,0.4013785719871521,,,
11,4679,,0.8628000020980835,0.8913261294364929,
12,4699,0.2445344775915146,,,
12,4749,0.21807773411273956,,,
12,4799,0.24259619414806366,,,
