epoch,train_loss,step,val_acc1,val_acc2,train_acc2,train_acc1,test_acc
0,2.6219587326049805,49,,,,,
0,1.3108035326004028,99,,,,,
0,0.9246773719787598,149,,,,,
0,0.6802788972854614,199,,,,,
0,0.7077229022979736,249,,,,,
0,0.46471017599105835,299,,,,,
0,,312,0.10220000147819519,0.10289999842643738,,,
0,,312,,,0.10037499666213989,0.09952499717473984,0.1002769023180008
1,0.460210919380188,349,,,,,
1,0.4614008367061615,399,,,,,
1,0.4602481424808502,449,,,,,
1,0.4557587504386902,499,,,,,
1,0.46135082840919495,549,,,,,
1,0.45872288942337036,599,,,,,
1,,625,0.09470000118017197,0.1062999963760376,,,
1,,625,,,0.10270000249147415,0.10045000165700912,0.10166139155626297
2,0.4585206210613251,649,,,,,
2,0.4559881091117859,699,,,,,
2,0.4557154178619385,749,,,,,
2,0.45612797141075134,799,,,,,
2,0.45337244868278503,849,,,,,
2,0.45375773310661316,899,,,,,
2,,938,0.12680000066757202,0.12359999865293503,,,
2,,938,,,0.11389999836683273,0.11270000040531158,0.12519778311252594
3,0.4485244154930115,949,,,,,
3,0.44869956374168396,999,,,,,
3,0.4457487165927887,1049,,,,,
3,0.4428107440471649,1099,,,,,
3,0.450067400932312,1149,,,,,
3,0.4444374144077301,1199,,,,,
3,0.43531033396720886,1249,,,,,
3,,1251,0.14319999516010284,0.14139999449253082,,,
3,,1251,,,0.13237500190734863,0.13307499885559082,0.14527294039726257
4,0.43052977323532104,1299,,,,,
4,0.4406128227710724,1349,,,,,
4,0.4395630359649658,1399,,,,,
4,0.44188329577445984,1449,,,,,
4,0.4095427393913269,1499,,,,,
4,0.4238119423389435,1549,,,,,
4,,1564,0.17820000648498535,0.15080000460147858,,,
4,,1564,,,0.15022499859333038,0.15052500367164612,0.17227056622505188
5,0.4201292097568512,1599,,,,,
5,0.4158642590045929,1649,,,,,
5,0.40922531485557556,1699,,,,,
5,0.3995591104030609,1749,,,,,
5,0.4200843274593353,1799,,,,,
5,0.3961668014526367,1849,,,,,
5,,1877,0.18610000610351562,0.17990000545978546,,,
5,,1877,,,0.17162500321865082,0.17467500269412994,0.18740110099315643
6,0.3982120454311371,1899,,,,,
6,0.38358935713768005,1949,,,,,
6,0.3909052014350891,1999,,,,,
6,0.3738243877887726,2049,,,,,
6,0.3637032210826874,2099,,,,,
6,0.3791847825050354,2149,,,,,
6,,2190,0.19859999418258667,0.20250000059604645,,,
6,,2190,,,0.18774999678134918,0.18617500364780426,0.1965980976819992
7,0.3770786225795746,2199,,,,,
7,0.380702406167984,2249,,,,,
7,0.377373069524765,2299,,,,,
7,0.3727826774120331,2349,,,,,
7,0.3678015172481537,2399,,,,,
7,0.36128127574920654,2449,,,,,
7,0.36395958065986633,2499,,,,,
7,,2503,0.21879999339580536,0.2207999974489212,,,
7,,2503,,,0.19830000400543213,0.19820000231266022,0.21034415066242218
8,0.38400396704673767,2549,,,,,
8,0.35351794958114624,2599,,,,,
8,0.39501839876174927,2649,,,,,
8,0.36779600381851196,2699,,,,,
8,0.353927880525589,2749,,,,,
8,0.7242928743362427,2799,,,,,
8,,2816,0.10899999737739563,0.11309999972581863,,,
8,,2816,,,0.19875000417232513,0.20007500052452087,0.11273734271526337
9,0.41556036472320557,2849,,,,,
9,0.39031967520713806,2899,,,,,
9,0.35888993740081787,2949,,,,,
9,0.3366885483264923,2999,,,,,
9,0.35514798760414124,3049,,,,,
9,0.34164664149284363,3099,,,,,
9,,3129,0.17949999868869781,0.1964000016450882,,,
9,,3129,,,0.18584999442100525,0.18312500417232513,0.19442246854305267
10,0.36379870772361755,3149,,,,,
10,0.35779547691345215,3199,,,,,
10,0.34698790311813354,3249,,,,,
10,0.3786486089229584,3299,,,,,
10,0.3699919879436493,3349,,,,,
10,0.37334659695625305,3399,,,,,
10,,3442,0.1981000006198883,0.1981000006198883,,,
10,,3442,,,0.18885000050067902,0.18662500381469727,0.19996044039726257
11,0.3573527932167053,3449,,,,,
11,0.35107100009918213,3499,,,,,
11,0.3577316999435425,3549,,,,,
11,0.36573758721351624,3599,,,,,
11,0.34849676489830017,3649,,,,,
11,0.4016261696815491,3699,,,,,
11,0.36914151906967163,3749,,,,,
11,,3755,0.1704999953508377,0.17080000042915344,,,
11,,3755,,,0.1847749948501587,0.18457500636577606,0.17306171357631683
12,0.3769553601741791,3799,,,,,
12,0.3611948490142822,3849,,,,,
12,0.3592883050441742,3899,,,,,
12,0.4041747748851776,3949,,,,,
12,0.3738456666469574,3999,,,,,
12,0.540269672870636,4049,,,,,
12,,4068,0.09200000017881393,0.09769999980926514,,,
12,,4068,,,0.1798499971628189,0.17822499573230743,0.0970134511590004
13,0.42372700572013855,4099,,,,,
13,0.3968352973461151,4149,,,,,
13,0.36668911576271057,4199,,,,,
13,0.3906857967376709,4249,,,,,
13,0.3366563022136688,4299,,,,,
13,0.3268686532974243,4349,,,,,
13,,4381,0.2078000009059906,0.20569999516010284,,,
13,,4381,,,0.19472500681877136,0.1927500069141388,0.21202531456947327
14,0.32962360978126526,4399,,,,,
14,0.3311992585659027,4449,,,,,
14,0.3269919455051422,4499,,,,,
14,0.3307044506072998,4549,,,,,
14,0.3294017016887665,4599,,,,,
14,0.326561838388443,4649,,,,,
14,,4694,0.23240000009536743,0.24220000207424164,,,
14,,4694,,,0.21699999272823334,0.21777500212192535,0.24357199668884277
15,0.33021485805511475,4699,,,,,
15,0.3171748220920563,4749,,,,,
15,0.3726162016391754,4799,,,,,
15,0.3411076068878174,4849,,,,,
15,0.3378935158252716,4899,,,,,
15,0.3096964359283447,4949,,,,,
