train_loss,step,epoch,val_loss,val_acc,test_acc,train_acc
3.934706449508667,49,0,,,,
3.4328606128692627,99,0,,,,
3.545536994934082,149,0,,,,
3.1612303256988525,199,0,,,,
3.4123146533966064,249,0,,,,
3.0673162937164307,299,0,,,,
,311,0,1.5793184041976929,0.4316999912261963,,
,311,0,,,0.4307999908924103,0.3039112687110901
2.996391534805298,349,1,,,,
2.9284369945526123,399,1,,,,
2.9217865467071533,449,1,,,,
3.021894693374634,499,1,,,,
2.4668192863464355,549,1,,,,
2.6332151889801025,599,1,,,,
,623,1,1.2277095317840576,0.576200008392334,,
,623,1,,,0.6014000177383423,0.46531951427459717
2.465146064758301,649,2,,,,
2.5444750785827637,699,2,,,,
2.189164638519287,749,2,,,,
2.218212604522705,799,2,,,,
1.9223239421844482,849,2,,,,
2.3595430850982666,899,2,,,,
,935,2,1.2714253664016724,0.5738000273704529,,
,935,2,,,0.5992000102996826,0.5666566491127014
2.1194896697998047,949,3,,,,
2.4678878784179688,999,3,,,,
2.2049736976623535,1049,3,,,,
2.1867260932922363,1099,3,,,,
2.0454890727996826,1149,3,,,,
2.0773820877075195,1199,3,,,,
,1247,3,0.9909002780914307,0.6837999820709229,,
,1247,3,,,0.7174000144004822,0.624098539352417
1.90389883518219,1249,4,,,,
1.94106924533844,1299,4,,,,
2.017585039138794,1349,4,,,,
1.7960212230682373,1399,4,,,,
1.9077131748199463,1449,4,,,,
2.2500803470611572,1499,4,,,,
1.6402175426483154,1549,4,,,,
,1559,4,0.8902615308761597,0.714900016784668,,
,1559,4,,,0.7429999709129333,0.6649514436721802
1.5869191884994507,1599,5,,,,
1.9909515380859375,1649,5,,,,
1.6022521257400513,1699,5,,,,
1.6731481552124023,1749,5,,,,
2.015559673309326,1799,5,,,,
1.8590679168701172,1849,5,,,,
,1871,5,0.8612383008003235,0.736299991607666,,
,1871,5,,,0.7724000215530396,0.6927834749221802
1.4455013275146484,1899,6,,,,
1.5561001300811768,1949,6,,,,
1.5658230781555176,1999,6,,,,
1.7593464851379395,2049,6,,,,
1.5880056619644165,2099,6,,,,
1.5926671028137207,2149,6,,,,
,2183,6,0.7800596952438354,0.7587000131607056,,
,2183,6,,,0.7972000241279602,0.7101237177848816
1.7395973205566406,2199,7,,,,
1.6963423490524292,2249,7,,,,
1.773082971572876,2299,7,,,,
1.4772326946258545,2349,7,,,,
1.7307640314102173,2399,7,,,,
1.473446011543274,2449,7,,,,
,2495,7,0.8858446478843689,0.7329000234603882,,
,2495,7,,,0.7616000175476074,0.7261242866516113
1.554172396659851,2499,8,,,,
1.6692274808883667,2549,8,,,,
1.3751949071884155,2599,8,,,,
1.5384471416473389,2649,8,,,,
1.6880524158477783,2699,8,,,,
1.442309856414795,2749,8,,,,
1.5471596717834473,2799,8,,,,
,2807,8,0.7594819068908691,0.7781999707221985,,
,2807,8,,,0.8147000074386597,0.7357772588729858
1.4468621015548706,2849,9,,,,
1.408691167831421,2899,9,,,,
1.8056070804595947,2949,9,,,,
1.413503885269165,2999,9,,,,
1.2758641242980957,3049,9,,,,
1.3535845279693604,3099,9,,,,
,3119,9,0.7479638457298279,0.7835000157356262,,
,3119,9,,,0.8269000053405762,0.7479968070983887
1.576491355895996,3149,10,,,,
1.5247483253479004,3199,10,,,,
1.312307596206665,3249,10,,,,
1.0789934396743774,3299,10,,,,
1.4707837104797363,3349,10,,,,
1.08689284324646,3399,10,,,,
,3431,10,0.7573673129081726,0.8019999861717224,,
,3431,10,,,0.8446000218391418,0.7558718919754028
1.327744960784912,3449,11,,,,
1.2548644542694092,3499,11,,,,
1.5023417472839355,3549,11,,,,
1.2376405000686646,3599,11,,,,
1.1558910608291626,3649,11,,,,
1.27234947681427,3699,11,,,,
,3743,11,0.8543384075164795,0.7767000198364258,,
,3743,11,,,0.810699999332428,0.7623572945594788
1.1952428817749023,3749,12,,,,
1.0590392351150513,3799,12,,,,
1.4536463022232056,3849,12,,,,
1.214719295501709,3899,12,,,,
1.518965482711792,3949,12,,,,
1.0725723505020142,3999,12,,,,
1.110823631286621,4049,12,,,,
,4055,12,0.7712960243225098,0.8014000058174133,,
,4055,12,,,0.8425999879837036,0.7709710597991943
1.2752630710601807,4099,13,,,,
1.124925136566162,4149,13,,,,
1.0571825504302979,4199,13,,,,
1.197176456451416,4249,13,,,,
1.261182188987732,4299,13,,,,
1.2446725368499756,4349,13,,,,
,4367,13,0.8129032850265503,0.8011000156402588,,
,4367,13,,,0.8409000039100647,0.7771183848381042
1.1490697860717773,4399,14,,,,
1.5441890954971313,4449,14,,,,
0.9807753562927246,4499,14,,,,
1.3770956993103027,4549,14,,,,
1.1331980228424072,4599,14,,,,
1.0438477993011475,4649,14,,,,
,4679,14,0.755771815776825,0.8177000284194946,,
,4679,14,,,0.8601999878883362,0.7814753651618958
1.220228672027588,4699,15,,,,
1.0080246925354004,4749,15,,,,
1.0623379945755005,4799,15,,,,
