step,train_loss,epoch,val_acc,val_loss,test_acc
49,3.4395453929901123,0,,,
99,3.7272555828094482,0,,,
149,3.4587740898132324,0,,,
199,3.300436019897461,0,,,
249,3.2381558418273926,0,,,
299,3.142899513244629,0,,,
349,3.1329612731933594,0,,,
389,,0,0.2919999957084656,1.929336667060852,
389,,0,,,0.30587419867515564
399,3.022761821746826,1,,,
449,2.944823980331421,1,,,
499,2.9117655754089355,1,,,
549,2.875882148742676,1,,,
599,2.9299721717834473,1,,,
649,2.804044008255005,1,,,
699,2.9621477127075195,1,,,
749,2.765547275543213,1,,,
779,,1,0.3662000000476837,1.723741054534912,
779,,1,,,0.4020965099334717
799,2.8113105297088623,2,,,
849,2.686934471130371,2,,,
899,2.7095651626586914,2,,,
949,2.5453147888183594,2,,,
999,2.602424144744873,2,,,
1049,2.5501708984375,2,,,
1099,2.627335548400879,2,,,
1149,2.570479393005371,2,,,
1169,,2,0.42010000348091125,1.6008572578430176,
1169,,2,,,0.4556961953639984
1199,2.4194581508636475,3,,,
1249,2.4699594974517822,3,,,
1299,2.5492725372314453,3,,,
1349,2.3288121223449707,3,,,
1399,2.2954354286193848,3,,,
1449,2.4458909034729004,3,,,
1499,2.3325657844543457,3,,,
1549,2.2239067554473877,3,,,
1559,,3,0.49570000171661377,1.4328701496124268,
1559,,3,,,0.5159216523170471
1599,2.268311023712158,4,,,
1649,2.354062557220459,4,,,
1699,2.250415086746216,4,,,
1749,2.3892455101013184,4,,,
1799,2.275618314743042,4,,,
1849,2.508312225341797,4,,,
1899,2.2976903915405273,4,,,
1949,2.0137081146240234,4,,,
1949,,4,0.5365999937057495,1.321437954902649,
1949,,4,,,0.5511273741722107
1999,2.02142333984375,5,,,
2049,2.1910817623138428,5,,,
2099,2.3538074493408203,5,,,
2149,2.166874647140503,5,,,
2199,2.1055445671081543,5,,,
2249,2.1926217079162598,5,,,
2299,2.038550853729248,5,,,
2339,,5,0.5799999833106995,1.2407037019729614,
2339,,5,,,0.5994857549667358
2349,1.9547998905181885,6,,,
2399,1.8555948734283447,6,,,
2449,2.140610933303833,6,,,
2499,2.18082594871521,6,,,
2549,2.06894588470459,6,,,
2599,1.8429155349731445,6,,,
2649,2.000683307647705,6,,,
2699,1.6191699504852295,6,,,
2729,,6,0.5928999781608582,1.1870396137237549,
2729,,6,,,0.6344936490058899
2749,1.8139634132385254,7,,,
2799,2.0072999000549316,7,,,
2849,1.8456294536590576,7,,,
2899,1.749621868133545,7,,,
2949,1.93843674659729,7,,,
2999,1.9846924543380737,7,,,
3049,1.726973533630371,7,,,
3099,1.711174488067627,7,,,
3119,,7,0.6233000159263611,1.112912654876709,
3119,,7,,,0.6649525165557861
3149,1.8367252349853516,8,,,
3199,1.815399408340454,8,,,
3249,1.734410285949707,8,,,
3299,1.666285753250122,8,,,
3349,1.7148247957229614,8,,,
3399,1.796578049659729,8,,,
3449,1.7990596294403076,8,,,
3499,1.7297221422195435,8,,,
3509,,8,0.6403999924659729,1.0698802471160889,
3509,,8,,,0.6839398741722107
3549,1.78818678855896,9,,,
3599,1.6840424537658691,9,,,
3649,1.5544579029083252,9,,,
3699,1.7773381471633911,9,,,
3749,1.662914752960205,9,,,
