train_loss,step,epoch,val_loss,val_acc,test_acc,train_acc
1.8367506265640259,49,0,,,,
1.6911330223083496,99,0,,,,
1.7121278047561646,149,0,,,,
1.5821623802185059,199,0,,,,
1.5181738138198853,249,0,,,,
1.5226469039916992,299,0,,,,
,311,0,1.6927242279052734,0.43380001187324524,,
,311,0,,,0.4580000042915344,0.37432390451431274
1.2687066793441772,349,1,,,,
1.313565731048584,399,1,,,,
1.366244912147522,449,1,,,,
1.2645201683044434,499,1,,,,
1.2314170598983765,549,1,,,,
1.191803216934204,599,1,,,,
,623,1,1.1891061067581177,0.5860999822616577,,
,623,1,,,0.6079000234603882,0.5523086786270142
1.2049506902694702,649,2,,,,
1.1621689796447754,699,2,,,,
0.91330885887146,749,2,,,,
0.9718672037124634,799,2,,,,
0.9600253701210022,849,2,,,,
0.9461064338684082,899,2,,,,
,935,2,1.0777840614318848,0.6514000296592712,,
,935,2,,,0.6802999973297119,0.6423026919364929
0.974365770816803,949,3,,,,
0.8685098886489868,999,3,,,,
0.8810577392578125,1049,3,,,,
0.9928109645843506,1099,3,,,,
0.8581416606903076,1149,3,,,,
0.8168342113494873,1199,3,,,,
,1247,3,0.9461472630500793,0.6991999745368958,,
,1247,3,,,0.7402999997138977,0.7007962465286255
0.8372767567634583,1249,4,,,,
0.809751570224762,1299,4,,,,
0.951195478439331,1349,4,,,,
0.8921006321907043,1399,4,,,,
0.896314799785614,1449,4,,,,
0.8246283531188965,1499,4,,,,
0.8391071557998657,1549,4,,,,
,1559,4,0.9150404334068298,0.7093999981880188,,
,1559,4,,,0.7432000041007996,0.7335737347602844
0.6336284875869751,1599,5,,,,
0.7333838939666748,1649,5,,,,
0.6501075029373169,1699,5,,,,
0.6546523571014404,1749,5,,,,
0.8009132742881775,1799,5,,,,
0.8364832401275635,1849,5,,,,
,1871,5,0.8297686576843262,0.7407000064849854,,
,1871,5,,,0.782800018787384,0.7572365999221802
0.7231929898262024,1899,6,,,,
0.7649424076080322,1949,6,,,,
0.883651614189148,1999,6,,,,
0.7219765782356262,2049,6,,,,
0.8553013801574707,2099,6,,,,
0.7836648225784302,2149,6,,,,
,2183,6,0.786552369594574,0.7566999793052673,,
,2183,6,,,0.7955999970436096,0.7740134000778198
0.7549190521240234,2199,7,,,,
0.6413466334342957,2249,7,,,,
0.6825253963470459,2299,7,,,,
0.7052725553512573,2349,7,,,,
