epoch,train_loss,step,val_acc1,val_acc2,test_acc,train_acc2,train_acc1
0,3.495753526687622,49,,,,,
0,1.0718655586242676,99,,,,,
0,0.7235963344573975,149,,,,,
0,0.6497619152069092,199,,,,,
0,0.5596737861633301,249,,,,,
0,0.5681061148643494,299,,,,,
0,,312,0.09790000319480896,0.09790000319480896,,,
0,,312,,,0.10096914321184158,0.1005999967455864,0.10067500174045563
1,0.5432754755020142,349,,,,,
1,0.5067919492721558,399,,,,,
1,0.547053873538971,449,,,,,
1,0.5525612831115723,499,,,,,
1,0.5067679286003113,549,,,,,
1,0.5306997299194336,599,,,,,
1,,625,0.10159999877214432,0.09870000183582306,,,
1,,625,,,0.10116693377494812,0.097850002348423,0.0988750010728836
2,0.5106561779975891,649,,,,,
2,0.4770462214946747,699,,,,,
2,0.45841696858406067,749,,,,,
2,0.4694075584411621,799,,,,,
2,0.44573405385017395,849,,,,,
2,0.4665621221065521,899,,,,,
2,,938,0.1006999984383583,0.10050000250339508,,,
2,,938,,,0.10087025165557861,0.10112500190734863,0.09995000064373016
3,0.44788309931755066,949,,,,,
3,0.45983022451400757,999,,,,,
3,0.4491501748561859,1049,,,,,
3,0.44742000102996826,1099,,,,,
3,0.44800665974617004,1149,,,,,
3,0.4454830586910248,1199,,,,,
3,0.45847755670547485,1249,,,,,
3,,1251,0.09529999643564224,0.09459999948740005,,,
3,,1251,,,0.10116693377494812,0.09902500361204147,0.09832499921321869
4,0.44584089517593384,1299,,,,,
4,0.4497067630290985,1349,,,,,
4,0.4456852674484253,1399,,,,,
4,0.4444112479686737,1449,,,,,
4,0.45144277811050415,1499,,,,,
4,0.44470715522766113,1549,,,,,
4,,1564,0.09780000150203705,0.09790000319480896,,,
4,,1564,,,0.10096914321184158,0.09905000030994415,0.09962499886751175
5,0.4434936046600342,1599,,,,,
5,0.45687559247016907,1649,,,,,
5,0.4425877034664154,1699,,,,,
5,0.4413839280605316,1749,,,,,
5,0.44133394956588745,1799,,,,,
5,0.4423817992210388,1849,,,,,
5,,1877,0.09790000319480896,0.10119999945163727,,,
5,,1877,,,0.10096914321184158,0.10029999911785126,0.09927500039339066
6,0.43980875611305237,1899,,,,,
6,0.43716493248939514,1949,,,,,
6,0.43748706579208374,1999,,,,,
6,0.4434172809123993,2049,,,,,
6,0.43486422300338745,2099,,,,,
6,0.4373486340045929,2149,,,,,
6,,2190,0.09759999811649323,0.0982000008225441,,,
6,,2190,,,0.10126582533121109,0.09817499667406082,0.0982000008225441
7,0.43793976306915283,2199,,,,,
7,0.434709757566452,2249,,,,,
7,0.43187621235847473,2299,,,,,
7,0.43996313214302063,2349,,,,,
7,0.43724504113197327,2399,,,,,
7,0.4303964376449585,2449,,,,,
7,0.4465145766735077,2499,,,,,
7,,2503,0.09520000219345093,0.09510000050067902,,,
7,,2503,,,0.10126582533121109,0.09685000032186508,0.09685000032186508
8,0.43057572841644287,2549,,,,,
8,0.43839728832244873,2599,,,,,
8,0.42826002836227417,2649,,,,,
8,0.43066710233688354,2699,,,,,
8,0.43508657813072205,2749,,,,,
8,0.4254314601421356,2799,,,,,
8,,2816,0.09510000050067902,0.09489999711513519,,,
8,,2816,,,0.10116693377494812,0.09955000132322311,0.09955000132322311
9,0.42560213804244995,2849,,,,,
9,0.42489075660705566,2899,,,,,
9,0.4236651062965393,2949,,,,,
9,0.42378750443458557,2999,,,,,
9,0.42489805817604065,3049,,,,,
9,0.4216446876525879,3099,,,,,
9,,3129,0.09520000219345093,0.0949999988079071,,,
9,,3129,,,0.10116693377494812,0.10122500360012054,0.10122500360012054
10,0.4277747571468353,3149,,,,,
10,0.42557433247566223,3199,,,,,
10,0.44867751002311707,3249,,,,,
10,0.4227488934993744,3299,,,,,
10,0.43070077896118164,3349,,,,,
10,0.4236830174922943,3399,,,,,
10,,3442,0.09510000050067902,0.09510000050067902,,,
10,,3442,,,0.10116693377494812,0.09574999660253525,0.09572499990463257
11,0.429448664188385,3449,,,,,
11,0.4284875988960266,3499,,,,,
11,0.4256809949874878,3549,,,,,
11,0.4224265515804291,3599,,,,,
