train_loss,step,epoch,val_loss,val_acc,test_acc
1.9513859748840332,49,0,,,
2.0141289234161377,99,0,,,
1.896377444267273,149,0,,,
2.0888242721557617,199,0,,,
2.0020837783813477,249,0,,,
1.9705864191055298,299,0,,,
,311,0,1.8140844106674194,0.43050000071525574,
,311,0,,,0.4422999918460846
2.0966944694519043,349,1,,,
1.9362374544143677,399,1,,,
1.8450905084609985,449,1,,,
2.0890462398529053,499,1,,,
1.9447674751281738,549,1,,,
1.8152894973754883,599,1,,,
,623,1,1.5118967294692993,0.4830000102519989,
,623,1,,,0.4948999881744385
1.301149606704712,649,2,,,
1.507856845855713,699,2,,,
1.8171881437301636,749,2,,,
1.7793608903884888,799,2,,,
1.4911844730377197,849,2,,,
1.398025631904602,899,2,,,
,935,2,1.3723957538604736,0.5437999963760376,
,935,2,,,0.5608000159263611
1.3527636528015137,949,3,,,
1.6645642518997192,999,3,,,
1.0211758613586426,1049,3,,,
1.0726048946380615,1099,3,,,
1.396580457687378,1149,3,,,
1.7531538009643555,1199,3,,,
,1247,3,1.269044280052185,0.5734999775886536,
,1247,3,,,0.5964999794960022
1.5322556495666504,1249,4,,,
1.581895351409912,1299,4,,,
1.3492794036865234,1349,4,,,
1.4090161323547363,1399,4,,,
1.4757497310638428,1449,4,,,
1.2394113540649414,1499,4,,,
1.4683287143707275,1549,4,,,
,1559,4,1.1939921379089355,0.619700014591217,
,1559,4,,,0.6438999772071838
1.260287880897522,1599,5,,,
1.506636619567871,1649,5,,,
1.592559814453125,1699,5,,,
1.1813879013061523,1749,5,,,
1.470973253250122,1799,5,,,
0.5342232584953308,1849,5,,,
,1871,5,1.150248408317566,0.6294000148773193,
,1871,5,,,0.6601999998092651
1.4368178844451904,1899,6,,,
1.2143471240997314,1949,6,,,
0.3376730680465698,1999,6,,,
0.29686564207077026,2049,6,,,
0.6553167700767517,2099,6,,,
1.505851149559021,2149,6,,,
,2183,6,1.0511804819107056,0.6536999940872192,
,2183,6,,,0.685699999332428
1.1277039051055908,2199,7,,,
0.021201491355895996,2249,7,,,
0.8040158152580261,2299,7,,,
0.5963541865348816,2349,7,,,
-0.04753696918487549,2399,7,,,
-0.2495424747467041,2449,7,,,
,2495,7,0.9976339936256409,0.6787999868392944,
,2495,7,,,0.7080000042915344
0.949333906173706,2499,8,,,
1.1639906167984009,2549,8,,,
0.8667794466018677,2599,8,,,
1.2742304801940918,2649,8,,,
1.3010687828063965,2699,8,,,
1.2450147867202759,2749,8,,,
1.0863264799118042,2799,8,,,
,2807,8,0.9832145571708679,0.6906999945640564,
,2807,8,,,0.722100019454956
0.5388596057891846,2849,9,,,
0.2502727508544922,2899,9,,,
0.9451606273651123,2949,9,,,
-0.11406636238098145,2999,9,,,
0.2907073497772217,3049,9,,,
0.9798424243927002,3099,9,,,
,3119,9,0.9428418874740601,0.7073000073432922,
,3119,9,,,0.7369999885559082
0.8668200969696045,3149,10,,,
0.6573822498321533,3199,10,,,
0.7531857490539551,3249,10,,,
0.1636660099029541,3299,10,,,
0.47665631771087646,3349,10,,,
1.0059089660644531,3399,10,,,
,3431,10,0.9565449357032776,0.7003999948501587,
,3431,10,,,0.7289000153541565
-0.4292107820510864,3449,11,,,
-0.4094187021255493,3499,11,,,
-0.04311811923980713,3549,11,,,
1.0153576135635376,3599,11,,,
0.6554868221282959,3649,11,,,
0.824156641960144,3699,11,,,
,3743,11,0.9099707007408142,0.7156000137329102,
,3743,11,,,0.7494999766349792
0.6141643524169922,3749,12,,,
-0.31227195262908936,3799,12,,,
-0.01283252239227295,3849,12,,,
-0.20917487144470215,3899,12,,,
0.23727834224700928,3949,12,,,
-0.06603431701660156,3999,12,,,
0.009942889213562012,4049,12,,,
,4055,12,0.9392526149749756,0.7143999934196472,
,4055,12,,,0.7444999814033508
-1.1927335262298584,4099,13,,,
0.16370832920074463,4149,13,,,
0.02598428726196289,4199,13,,,
0.3409799337387085,4249,13,,,
-1.0424139499664307,4299,13,,,
0.655608057975769,4349,13,,,
,4367,13,0.9143081307411194,0.723800003528595,
,4367,13,,,0.7540000081062317
0.2804349660873413,4399,14,,,
0.7725567817687988,4449,14,,,
0.35027480125427246,4499,14,,,
0.9254753589630127,4549,14,,,
0.8621392250061035,4599,14,,,
0.25465357303619385,4649,14,,,
,4679,14,0.8887349367141724,0.7360000014305115,
,4679,14,,,0.7710000276565552
-0.6631104946136475,4699,15,,,
0.37775373458862305,4749,15,,,
-2.151806592941284,4799,15,,,
-1.5088032484054565,4849,15,,,
-1.047059178352356,4899,15,,,
-2.132376194000244,4949,15,,,
,4991,15,0.861417293548584,0.743399977684021,
,4991,15,,,0.7746000289916992
