step,epoch,train_loss,val_loss,val_acc,train_acc,test_acc
5320,16,,,,0.7106000185012817,0.6881922483444214
5349,17,0.7798159122467041,,,,
5399,17,0.725946307182312,,,,
5449,17,0.7670081853866577,,,,
5499,17,0.8276955485343933,,,,
5549,17,0.7855058908462524,,,,
5599,17,0.8682783246040344,,,,
5633,17,,0.9285431504249573,0.6902999877929688,,
5633,17,,,,0.7199500203132629,0.6971914768218994
5649,18,0.7476970553398132,,,,
5699,18,0.85429847240448,,,,
5749,18,0.8773077726364136,,,,
5799,18,0.5240592360496521,,,,
5849,18,0.7543811798095703,,,,
5899,18,0.7537175416946411,,,,
5946,18,,0.9981860518455505,0.6657000184059143,,
5946,18,,,,0.7211499810218811,0.7150909900665283
5949,19,0.7687858939170837,,,,
5999,19,0.7977785468101501,,,,
6049,19,0.8486979007720947,,,,
6099,19,0.8679724931716919,,,,
6149,19,1.0098074674606323,,,,
6199,19,0.787958562374115,,,,
6249,19,0.7911478877067566,,,,
6259,19,,0.9123877882957458,0.6935999989509583,,
6259,19,,,,0.7275500297546387,0.7339794039726257
6299,20,0.8778990507125854,,,,
6349,20,0.7202945351600647,,,,
6399,20,0.7340922951698303,,,,
6449,20,0.7320834994316101,,,,
6499,20,0.8631664514541626,,,,
6549,20,0.6595238447189331,,,,
6572,20,,0.9676744341850281,0.6743000149726868,,
6572,20,,,,0.7335000038146973,0.7250791192054749
6599,21,0.6929147243499756,,,,
6649,21,0.6588523983955383,,,,
6699,21,0.7572081685066223,,,,
6749,21,0.7331221103668213,,,,
6799,21,0.866631031036377,,,,
6849,21,0.8099433779716492,,,,
6885,21,,0.8946712017059326,0.7059999704360962,,
6885,21,,,,0.7354999780654907,0.7256724834442139
6899,22,0.7250581383705139,,,,
6949,22,0.6688752770423889,,,,
6999,22,0.7043813467025757,,,,
7049,22,0.6869590282440186,,,,
7099,22,0.7635414600372314,,,,
7149,22,0.6841635704040527,,,,
7198,22,,0.7556383609771729,0.7451000213623047,,
7198,22,,,,0.7363749742507935,0.7366495132446289
7199,23,0.783551812171936,,,,
7249,23,0.7465180158615112,,,,
7299,23,0.7132923603057861,,,,
7349,23,0.8793870806694031,,,,
7399,23,0.8884696960449219,,,,
7449,23,0.6633192896842957,,,,
7499,23,0.8312435746192932,,,,
7511,23,,0.8172524571418762,0.7282000184059143,,
7511,23,,,,0.7436500191688538,0.7258702516555786
7549,24,1.0110242366790771,,,,
7599,24,0.7248234152793884,,,,
7649,24,0.7387163639068604,,,,
7699,24,0.6086779832839966,,,,
7749,24,0.6902745366096497,,,,
7799,24,0.9056681394577026,,,,
7824,24,,0.8935299515724182,0.70660001039505,,
7824,24,,,,0.7437499761581421,0.7357594966888428
8137,25,,0.6171925663948059,0.7893000245094299,,
8137,25,0.6728392839431763,,,0.7746314406394958,0.7699762582778931
8149,26,0.7478476166725159,,,,
8199,26,2.40671443939209,,,,
8249,26,2.3982937335968018,,,,
8299,26,2.1600594520568848,,,,
8349,26,2.114314556121826,,,,
8386,26,,2.051360845565796,0.2409999966621399,,
8386,26,,,,0.2307354360818863,0.2579113841056824
8399,27,0.8739725351333618,,,,
8449,27,1.1070151329040527,,,,
8467,27,,3.6685562133789062,0.2953000068664551,,
8467,27,,,,0.6739004850387573,0.3007318079471588
8499,28,0.7276627421379089,,,,
8549,28,0.644519567489624,,,,
8558,28,,4.046469211578369,0.30790001153945923,,
8558,28,,,,0.7766998410224915,0.3088409900665283
8599,29,0.45225539803504944,,,,
8649,29,0.5755650997161865,,,,
8651,29,,4.594496250152588,0.32019999623298645,,
8651,29,,,,0.8171203136444092,0.318433552980423
8699,30,0.5437061786651611,,,,
8746,30,,4.416773796081543,0.31790000200271606,,
8746,30,,,,0.8422697186470032,0.3231803774833679
8749,31,0.4274377226829529,,,,
8799,31,0.422432005405426,,,,
8843,31,,3.7698616981506348,0.34599998593330383,,
8843,31,,,,0.852206826210022,0.336530864238739
8849,32,0.372964471578598,,,,
8899,32,0.25608259439468384,,,,
8944,32,,3.99320125579834,0.3562999963760376,,
8944,32,,,,0.8616182208061218,0.3664952516555786
8949,33,0.39055636525154114,,,,
8999,33,0.35290098190307617,,,,
9049,33,0.3534206748008728,,,,
9054,33,,3.6336214542388916,0.3686000108718872,,
9054,33,,,,0.859375,0.3716376721858978
9099,34,0.26587623357772827,,,,
9149,34,0.2008875608444214,,,,
9167,34,,3.8811874389648438,0.36890000104904175,,
9167,34,,,,0.8675332069396973,0.3688686788082123
9199,35,0.3893170654773712,,,,
9249,35,0.42423373460769653,,,,
9283,35,,3.927500009536743,0.3700000047683716,,
9283,35,,,,0.8598464727401733,0.3741099536418915
9299,36,0.38726046681404114,,,,
9349,36,0.3203612267971039,,,,
9396,36,,3.588804006576538,0.39410001039505005,,
9396,36,,,,0.8645603060722351,0.38162580132484436
