train_loss1,step,train_loss2,epoch,val_acc1,val_acc2,train_acc1,test_acc,train_acc2
0.01385288592427969,49,0.013671353459358215,0,,,,,
0.014617465436458588,99,0.014865957200527191,0,,,,,
0.014665420167148113,149,0.014619965106248856,0,,,,,
0.013972063548862934,199,0.013768255710601807,0,,,,,
0.014276761561632156,249,0.014290735125541687,0,,,,,
0.012997268699109554,299,0.013434343971312046,0,,,,,
,311,,0,0.33899998664855957,0.390500009059906,,,
,311,,0,,,0.3175080120563507,0.3594000041484833,0.32341745495796204
0.012312239035964012,349,0.012209884822368622,1,,,,,
0.01188032515347004,399,0.011809932067990303,1,,,,,
0.011752262711524963,449,0.011369087733328342,1,,,,,
0.011364768259227276,499,0.011260862462222576,1,,,,,
0.012146666646003723,549,0.011722445487976074,1,,,,,
0.01169771421700716,599,0.011487356387078762,1,,,,,
,623,,1,0.4975000023841858,0.49380001425743103,,,
,623,,1,,,0.43734976649284363,0.5461999773979187,0.4445362687110901
0.012965473346412182,649,0.012964245863258839,2,,,,,
0.010531989857554436,699,0.010879365727305412,2,,,,,
0.010726090520620346,749,0.010721597820520401,2,,,,,
0.01067805290222168,799,0.009752446785569191,2,,,,,
0.009284976869821548,849,0.008834030479192734,2,,,,,
0.009371580556035042,899,0.009526724927127361,2,,,,,
,935,,2,0.5559999942779541,0.524399995803833,,,
,935,,2,,,0.5181540250778198,0.6061000227928162,0.5214343070983887
0.009752754122018814,949,0.009988388046622276,3,,,,,
0.009517036378383636,999,0.010102172382175922,3,,,,,
0.00847062561661005,1049,0.009360362775623798,3,,,,,
0.00869737658649683,1099,0.009727426804602146,3,,,,,
0.0107593834400177,1149,0.010570628568530083,3,,,,,
0.009454659186303616,1199,0.009924929589033127,3,,,,,
,1247,,3,0.5346999764442444,0.5595999956130981,,,
,1247,,3,,,0.5665063858032227,0.5925999879837036,0.5628255009651184
0.007704667281359434,1249,0.007725129369646311,4,,,,,
0.007799276150763035,1299,0.007611539214849472,4,,,,,
0.007668128237128258,1349,0.008055375888943672,4,,,,,
0.009402095340192318,1399,0.008944963105022907,4,,,,,
0.007558794692158699,1449,0.007845476269721985,4,,,,,
0.007652262691408396,1499,0.007628204300999641,4,,,,,
0.006717294454574585,1549,0.007296512369066477,4,,,,,
,1559,,4,0.5838000178337097,0.6050999760627747,,,
,1559,,4,,,0.6017628312110901,0.6549999713897705,0.5951772928237915
0.00782964937388897,1599,0.007862339727580547,5,,,,,
0.006104354280978441,1649,0.006399726029485464,5,,,,,
0.0052709258161485195,1699,0.005352092906832695,5,,,,,
0.008127945475280285,1749,0.007962300442159176,5,,,,,
0.007002288941293955,1799,0.0067898062989115715,5,,,,,
0.005455589387565851,1849,0.005646936129778624,5,,,,,
,1871,,5,0.6021000146865845,0.6258000135421753,,,
,1871,,5,,,0.6269781589508057,0.6848999857902527,0.6207932829856873
0.006444907747209072,1899,0.006462812889367342,6,,,,,
0.00618734210729599,1949,0.005533912219107151,6,,,,,
0.006393240764737129,1999,0.006725882645696402,6,,,,,
0.00830240361392498,2049,0.008613521233201027,6,,,,,
0.005049929488450289,2099,0.004994512535631657,6,,,,,
0.007055502850562334,2149,0.00669675599783659,6,,,,,
,2183,,6,0.6694999933242798,0.6614999771118164,,,
,2183,,6,,,0.6507411599159241,0.7617999911308289,0.6487630009651184
0.0056122723035514355,2199,0.005595636088401079,7,,,,,
0.004802995827049017,2249,0.004248070064932108,7,,,,,
0.004221269860863686,2299,0.003907219041138887,7,,,,,
0.005394941661506891,2349,0.0054802363738417625,7,,,,,
0.004457347095012665,2399,0.00486462377011776,7,,,,,
