train_loss,step,epoch,train_acc,test_acc
-6.381997108459473,4549,11,,
-6.791894912719727,4599,11,,
-5.904017448425293,4649,11,,
,4679,11,0.7693309187889099,0.7961999773979187
-6.924087047576904,4699,12,,
-6.197491645812988,4749,12,,
-6.3720526695251465,4799,12,,
-6.3177571296691895,4849,12,,
-6.5985236167907715,4899,12,,
-6.791405200958252,4949,12,,
-6.822912693023682,4999,12,,
-6.24713659286499,5049,12,,
,5069,12,0.7886618375778198,0.83160001039505
-8.444704055786133,5099,13,,
-8.25157642364502,5149,13,,
-7.177126884460449,5199,13,,
-8.618236541748047,5249,13,,
-7.799411773681641,5299,13,,
-7.503633975982666,5349,13,,
-7.731805801391602,5399,13,,
-7.293379783630371,5449,13,,
,5459,13,0.8039262890815735,0.8167999982833862
-8.714391708374023,5499,14,,
-8.344010353088379,5549,14,,
-8.021383285522461,5599,14,,
-9.457743644714355,5649,14,,
-8.414227485656738,5699,14,,
-8.12562084197998,5749,14,,
-8.095251083374023,5799,14,,
-8.536354064941406,5849,14,,
,5849,14,0.8166266083717346,0.8513000011444092
-9.86771011352539,5899,15,,
-8.506791114807129,5949,15,,
-9.304543495178223,5999,15,,
-8.756561279296875,6049,15,,
-9.867191314697266,6099,15,,
-9.951308250427246,6149,15,,
-9.666080474853516,6199,15,,
,6239,15,0.8270633220672607,0.8582000136375427
-9.651748657226562,6249,16,,
-10.428229331970215,6299,16,,
-9.373180389404297,6349,16,,
-10.101019859313965,6399,16,,
-10.059860229492188,6449,16,,
-9.727323532104492,6499,16,,
-9.941006660461426,6549,16,,
-10.58641242980957,6599,16,,
,6629,16,0.8391225934028625,0.861299991607666
-9.985595703125,6649,17,,
-10.114801406860352,6699,17,,
-9.8017578125,6749,17,,
-10.069215774536133,6799,17,,
-11.144524574279785,6849,17,,
-10.158072471618652,6899,17,,
-11.009489059448242,6949,17,,
-10.700950622558594,6999,17,,
,7019,17,0.8479767441749573,0.8794000148773193
-12.420100212097168,7049,18,,
-10.179583549499512,7099,18,,
-10.401437759399414,7149,18,,
-12.265137672424316,7199,18,,
-12.168292045593262,7249,18,,
-10.078338623046875,7299,18,,
-11.607206344604492,7349,18,,
-12.215532302856445,7399,18,,
,7409,18,0.8576121926307678,0.8894000053405762
-11.156980514526367,7449,19,,
-11.873717308044434,7499,19,,
-11.106552124023438,7549,19,,
-11.547849655151367,7599,19,,
-12.306084632873535,7649,19,,
-10.59528923034668,7699,19,,
-11.77700138092041,7749,19,,
-12.428356170654297,7799,19,,
,7799,19,0.8631811141967773,0.8932999968528748
-11.688790321350098,7849,20,,
-8.8916654586792,7899,20,,
-10.30441951751709,7949,20,,
-9.777517318725586,7999,20,,
-10.6287260055542,8049,20,,
-11.013200759887695,8099,20,,
-11.526756286621094,8149,20,,
,8189,20,0.7614583373069763,0.776199996471405
-10.704280853271484,8199,21,,
-10.016935348510742,8249,21,,
-10.863428115844727,8299,21,,
-10.053666114807129,8349,21,,
-11.110133171081543,8399,21,,
-9.792802810668945,8449,21,,
-11.680784225463867,8499,21,,
-12.329062461853027,8549,21,,
,8579,21,0.7900240421295166,0.8072999715805054
-11.44067096710205,8599,22,,
-10.920928955078125,8649,22,,
-11.525533676147461,8699,22,,
-10.888317108154297,8749,22,,
-10.584957122802734,8799,22,,
-11.54723834991455,8849,22,,
-11.188921928405762,8899,22,,
-10.286018371582031,8949,22,,
,8969,22,0.8084936141967773,0.847000002861023
-11.224010467529297,8999,23,,
-11.493712425231934,9049,23,,
-13.073567390441895,9099,23,,
-12.071842193603516,9149,23,,
-12.193425178527832,9199,23,,
-11.919157981872559,9249,23,,
-11.72232723236084,9299,23,,
-11.059134483337402,9349,23,,
,9359,23,0.8222155570983887,0.8399999737739563
-12.6350679397583,9399,24,,
-13.171710014343262,9449,24,,
-11.93310260772705,9499,24,,
-13.825135231018066,9549,24,,
-13.559416770935059,9599,24,,
-13.32850170135498,9649,24,,
-11.164819717407227,9699,24,,
-14.040617942810059,9749,24,,
,9749,24,0.8338140845298767,0.8694999814033508
-13.440875053405762,9799,25,,
-13.735980987548828,9849,25,,
-12.729045867919922,9899,25,,
-12.311992645263672,9949,25,,
-13.58328914642334,9999,25,,
-12.782957077026367,10049,25,,
-13.671032905578613,10099,25,,
,10139,25,0.8450320363044739,0.8790000081062317
-13.014830589294434,10149,26,,
-12.135313034057617,10199,26,,
-13.345414161682129,10249,26,,
-14.361262321472168,10299,26,,
-13.337260246276855,10349,26,,
-13.106172561645508,10399,26,,
-12.331782341003418,10449,26,,
-12.771242141723633,10499,26,,
,10529,26,0.853205144405365,0.8867999911308289
-12.308988571166992,10549,27,,
-13.201377868652344,10599,27,,
-14.13321304321289,10649,27,,
-14.41837215423584,10699,27,,
-14.371959686279297,10749,27,,
-14.027236938476562,10799,27,,
-14.037684440612793,10849,27,,
-13.199023246765137,10899,27,,
,10919,27,0.8639423251152039,0.8939999938011169
-14.43671989440918,10949,28,,
-15.211993217468262,10999,28,,
-14.017393112182617,11049,28,,
-14.333600044250488,11099,28,,
-14.57895565032959,11149,28,,
-14.025345802307129,11199,28,,
-14.444504737854004,11249,28,,
-13.980073928833008,11299,28,,
,11309,28,0.8707131147384644,0.9028000235557556
-14.134288787841797,11349,29,,
-14.64139461517334,11399,29,,
-13.807012557983398,11449,29,,
-14.926995277404785,11499,29,,
-13.921320915222168,11549,29,,
-14.491090774536133,11599,29,,
-15.126307487487793,11649,29,,
-14.392333030700684,11699,29,,
,11699,29,0.8749198913574219,0.9067000150680542
-13.045191764831543,11749,30,,
-12.363598823547363,11799,30,,
-10.97812271118164,11849,30,,
-11.626636505126953,11899,30,,
-12.233494758605957,11949,30,,
-10.706665992736816,11999,30,,
-12.31527042388916,12049,30,,
,12089,30,0.7762019038200378,0.7226999998092651
-12.027244567871094,12099,31,,
-12.315074920654297,12149,31,,
-13.840010643005371,12199,31,,
-12.854512214660645,12249,31,,
-11.946297645568848,12299,31,,
-13.547334671020508,12349,31,,
-12.31424617767334,12399,31,,
-13.832425117492676,12449,31,,
,12479,31,0.7985376715660095,0.8009999990463257
-12.848608016967773,12499,32,,
-14.594400405883789,12549,32,,
-15.185754776000977,12599,32,,
-12.084288597106934,12649,32,,
-14.900365829467773,12699,32,,
-11.649734497070312,12749,32,,
-12.741512298583984,12799,32,,
-12.70469856262207,12849,32,,
,12869,32,0.8176081776618958,0.8640000224113464
-13.969710350036621,12899,33,,
-14.378792762756348,12949,33,,
-13.073209762573242,12999,33,,
-13.648591041564941,13049,33,,
-13.01948356628418,13099,33,,
-12.831171989440918,13149,33,,
-13.108150482177734,13199,33,,
-13.775733947753906,13249,33,,
,13259,33,0.8325921297073364,0.8658000230789185
-12.997115135192871,13299,34,,
-13.206621170043945,13349,34,,
-13.11639404296875,13399,34,,
-11.989933967590332,13449,34,,
-12.360547065734863,13499,34,,
-14.659553527832031,13549,34,,
-13.46177864074707,13599,34,,
-14.524969100952148,13649,34,,
,13649,34,0.8427283763885498,0.8862000107765198
-13.675978660583496,13699,35,,
-12.471697807312012,13749,35,,
-13.52119255065918,13799,35,,
-15.567869186401367,13849,35,,
-14.54339599609375,13899,35,,
-14.917144775390625,13949,35,,
-12.621170043945312,13999,35,,
,14039,35,0.8535456657409668,0.8866999745368958
-13.72783374786377,14049,36,,
-13.149402618408203,14099,36,,
-14.633955001831055,14149,36,,
-14.474103927612305,14199,36,,
-14.217860221862793,14249,36,,
-14.888093948364258,14299,36,,
-13.580118179321289,14349,36,,
-14.02105712890625,14399,36,,
,14429,36,0.8617187738418579,0.8978999853134155
-15.09746265411377,14449,37,,
-13.862656593322754,14499,37,,
-14.332124710083008,14549,37,,
-14.129960060119629,14599,37,,
-13.830034255981445,14649,37,,
-14.368834495544434,14699,37,,
-13.268583297729492,14749,37,,
-13.814547538757324,14799,37,,
,14819,37,0.8700721263885498,0.9082000255584717
-14.561723709106445,14849,38,,
-15.552370071411133,14899,38,,
-13.372074127197266,14949,38,,
-14.516658782958984,14999,38,,
-14.886849403381348,15049,38,,
-15.18310546875,15099,38,,
-13.91239070892334,15149,38,,
-14.416866302490234,15199,38,,
,15209,38,0.8763020634651184,0.9125999808311462
-15.80224895477295,15249,39,,
-15.969962120056152,15299,39,,
-15.158480644226074,15349,39,,
-14.721081733703613,15399,39,,
-16.252046585083008,15449,39,,
-15.19450855255127,15499,39,,
-15.428936004638672,15549,39,,
-14.544817924499512,15599,39,,
,15599,39,0.879767656326294,0.9150999784469604
-12.732751846313477,15649,40,,
-12.684163093566895,15699,40,,
-14.102517127990723,15749,40,,
-11.691489219665527,15799,40,,
-14.410005569458008,15849,40,,
-13.24407958984375,15899,40,,
-12.523134231567383,15949,40,,
,15989,40,0.7903245091438293,0.7914999723434448
-11.794626235961914,15999,41,,
-13.606229782104492,16049,41,,
-12.792106628417969,16099,41,,
-14.19744873046875,16149,41,,
-12.739031791687012,16199,41,,
-12.634469032287598,16249,41,,
-12.782304763793945,16299,41,,
-11.292503356933594,16349,41,,
,16379,41,0.8027443885803223,0.847000002861023
-12.748159408569336,16399,42,,
-12.820261001586914,16449,42,,
-13.645136833190918,16499,42,,
-12.851860046386719,16549,42,,
-13.732789993286133,16599,42,,
-13.682953834533691,16649,42,,
-12.727486610412598,16699,42,,
-13.682690620422363,16749,42,,
,16769,42,0.8245392441749573,0.8679999709129333
-14.557534217834473,16799,43,,
-14.84155559539795,16849,43,,
-13.767662048339844,16899,43,,
-13.514787673950195,16949,43,,
-14.364531517028809,16999,43,,
-14.01225471496582,17049,43,,
-12.711811065673828,17099,43,,
-12.852517127990723,17149,43,,
,17159,43,0.8365785479545593,0.8478000164031982
-13.692838668823242,17199,44,,
-14.712721824645996,17249,44,,
-13.785161972045898,17299,44,,
-14.620532989501953,17349,44,,
-13.671148300170898,17399,44,,
-13.429238319396973,17449,44,,
-14.062646865844727,17499,44,,
-15.137057304382324,17549,44,,
,17549,44,0.8483573794364929,0.8826000094413757
-14.60457706451416,17599,45,,
-13.855456352233887,17649,45,,
-13.666236877441406,17699,45,,
-13.690359115600586,17749,45,,
-14.855583190917969,17799,45,,
-14.072041511535645,17849,45,,
-14.083242416381836,17899,45,,
,17939,45,0.8577924966812134,0.8930000066757202
-13.440475463867188,17949,46,,
-15.045310020446777,17999,46,,
-15.011688232421875,18049,46,,
-15.115219116210938,18099,46,,
-15.020124435424805,18149,46,,
-14.122278213500977,18199,46,,
-14.516805648803711,18249,46,,
-14.380948066711426,18299,46,,
,18329,46,0.868088960647583,0.9014999866485596
-14.25584602355957,18349,47,,
-14.959001541137695,18399,47,,
-13.952646255493164,18449,47,,
-13.834434509277344,18499,47,,
-14.45999813079834,18549,47,,
-14.878252029418945,18599,47,,
-15.037201881408691,18649,47,,
-13.952447891235352,18699,47,,
,18719,47,0.8760216236114502,0.9092000126838684
-15.910736083984375,18749,48,,
-14.086153030395508,18799,48,,
-14.66456413269043,18849,48,,
-14.237093925476074,18899,48,,
-15.834579467773438,18949,48,,
-16.582355499267578,18999,48,,
-14.0972261428833,19049,48,,
-15.80160903930664,19099,48,,
,19109,48,0.8807492256164551,0.9139999747276306
-15.04020881652832,19149,49,,
-15.314223289489746,19199,49,,
-15.477209091186523,19249,49,,
-14.464621543884277,19299,49,,
-16.19769287109375,19349,49,,
-15.933565139770508,19399,49,,
-13.588945388793945,19449,49,,
-15.4513578414917,19499,49,,
,19499,49,0.8841747045516968,0.9144999980926514
-16.156721115112305,19549,50,,
-13.705737113952637,19599,50,,
-12.78474235534668,19649,50,,
-12.930383682250977,19699,50,,
-11.664172172546387,19749,50,,
-14.030680656433105,19799,50,,
-12.511993408203125,19849,50,,
,19889,50,0.7961738705635071,0.7311000227928162
-12.318572044372559,19899,51,,
-13.118997573852539,19949,51,,
-14.446830749511719,19999,51,,
-14.595830917358398,20049,51,,
-13.03701400756836,20099,51,,
-14.359865188598633,20149,51,,
-14.14219856262207,20199,51,,
-14.320699691772461,20249,51,,
,20279,51,0.8118589520454407,0.8371000289916992
-14.278193473815918,20299,52,,
-14.06318473815918,20349,52,,
-14.507269859313965,20399,52,,
-13.169471740722656,20449,52,,
-14.336909294128418,20499,52,,
-13.179208755493164,20549,52,,
-14.335372924804688,20599,52,,
-13.981069564819336,20649,52,,
,20669,52,0.8294070363044739,0.8537999987602234
-14.607380867004395,20699,53,,
-12.786205291748047,20749,53,,
-14.466466903686523,20799,53,,
-14.150762557983398,20849,53,,
-13.853860855102539,20899,53,,
-13.924738883972168,20949,53,,
-15.058239936828613,20999,53,,
-15.833576202392578,21049,53,,
,21059,53,0.8413060903549194,0.8669000267982483
-15.560646057128906,21099,54,,
-14.253933906555176,21149,54,,
-13.077560424804688,21199,54,,
-14.252544403076172,21249,54,,
-14.300338745117188,21299,54,,
-13.526602745056152,21349,54,,
-13.273688316345215,21399,54,,
-14.314242362976074,21449,54,,
,21449,54,0.852143406867981,0.8817999958992004
-13.463566780090332,21499,55,,
-14.723915100097656,21549,55,,
-14.466760635375977,21599,55,,
-14.392738342285156,21649,55,,
-14.605783462524414,21699,55,,
-13.167953491210938,21749,55,,
-13.800294876098633,21799,55,,
,21839,55,0.8628805875778198,0.8902000188827515
-14.580841064453125,21849,56,,
-14.555338859558105,21899,56,,
-13.876049041748047,21949,56,,
-15.242110252380371,21999,56,,
-14.890534400939941,22049,56,,
-13.937521934509277,22099,56,,
-14.111809730529785,22149,56,,
-15.158483505249023,22199,56,,
,22229,56,0.8717347979545593,0.9071999788284302
-14.496636390686035,22249,57,,
-14.649408340454102,22299,57,,
-14.819417953491211,22349,57,,
-15.815616607666016,22399,57,,
-16.044879913330078,22449,57,,
-15.70987319946289,22499,57,,
-14.059619903564453,22549,57,,
-14.71587085723877,22599,57,,
,22619,57,0.879767656326294,0.916700005531311
-14.955709457397461,22649,58,,
-15.480992317199707,22699,58,,
-15.634469985961914,22749,58,,
-15.013914108276367,22799,58,,
-14.84737491607666,22849,58,,
-15.09487247467041,22899,58,,
-16.514162063598633,22949,58,,
-15.159844398498535,22999,58,,
,23009,58,0.8840344548225403,0.9193999767303467
-15.373876571655273,23049,59,,
-15.307969093322754,23099,59,,
-15.134378433227539,23149,59,,
-15.221076965332031,23199,59,,
-16.105501174926758,23249,59,,
-14.986992835998535,23299,59,,
-16.19325828552246,23349,59,,
-16.15946388244629,23399,59,,
,23399,59,0.888361394405365,0.9226999878883362
-14.30948257446289,23449,60,,
-14.542119026184082,23499,60,,
-12.642781257629395,23549,60,,
-13.784151077270508,23599,60,,
-12.437055587768555,23649,60,,
-13.720571517944336,23699,60,,
-12.72574234008789,23749,60,,
,23789,60,0.8012820482254028,0.8109999895095825
-12.35361099243164,23799,61,,
-12.90832233428955,23849,61,,
-13.621631622314453,23899,61,,
-14.33851432800293,23949,61,,
-14.034595489501953,23999,61,,
-13.315025329589844,24049,61,,
-12.807039260864258,24099,61,,
-13.410457611083984,24149,61,,
,24179,61,0.8132211565971375,0.8513000011444092
-13.129152297973633,24199,62,,
-12.741144180297852,24249,62,,
-13.260762214660645,24299,62,,
-13.018705368041992,24349,62,,
-15.06756591796875,24399,62,,
-14.12775707244873,24449,62,,
-12.309965133666992,24499,62,,
-13.680343627929688,24549,62,,
,24569,62,0.8327123522758484,0.8600999712944031
-14.627426147460938,24599,63,,
-14.787732124328613,24649,63,,
-13.430333137512207,24699,63,,
-14.35498046875,24749,63,,
-13.430865287780762,24799,63,,
-12.897619247436523,24849,63,,
-13.235222816467285,24899,63,,
-14.726232528686523,24949,63,,
,24959,63,0.8449719548225403,0.8483999967575073
-13.841449737548828,24999,64,,
-12.431534767150879,25049,64,,
-14.297158241271973,25099,64,,
-14.115377426147461,25149,64,,
-14.019782066345215,25199,64,,
-14.779520034790039,25249,64,,
-13.591870307922363,25299,64,,
-15.282438278198242,25349,64,,
,25349,64,0.8559495210647583,0.8963000178337097
-14.810873985290527,25399,65,,
-14.571343421936035,25449,65,,
-13.232820510864258,25499,65,,
-12.945499420166016,25549,65,,
-14.535290718078613,25599,65,,
-15.324576377868652,25649,65,,
-15.104032516479492,25699,65,,
,25739,65,0.8675881624221802,0.906499981880188
-14.95845890045166,25749,66,,
-13.84359359741211,25799,66,,
-15.890501976013184,25849,66,,
-13.839826583862305,25899,66,,
-15.152965545654297,25949,66,,
-14.20494270324707,25999,66,,
-14.162935256958008,26049,66,,
-14.070152282714844,26099,66,,
,26129,66,0.8759815692901611,0.9089999794960022
-15.775063514709473,26149,67,,
-15.931365013122559,26199,67,,
-14.627141952514648,26249,67,,
-15.236336708068848,26299,67,,
-14.759062767028809,26349,67,,
-15.920944213867188,26399,67,,
-14.106776237487793,26449,67,,
-14.8953218460083,26499,67,,
,26519,67,0.8815905451774597,0.9185000061988831
-14.590559959411621,26549,68,,
-14.816229820251465,26599,68,,
-14.930391311645508,26649,68,,
-15.93927001953125,26699,68,,
-16.186403274536133,26749,68,,
-14.930242538452148,26799,68,,
-15.990399360656738,26849,68,,
-17.035789489746094,26899,68,,
,26909,68,0.888942301273346,0.9207000136375427
-16.23932456970215,26949,69,,
-16.275249481201172,26999,69,,
-16.842029571533203,27049,69,,
-16.23443603515625,27099,69,,
-15.41319751739502,27149,69,,
-16.151559829711914,27199,69,,
-15.372190475463867,27249,69,,
-16.126440048217773,27299,69,,
,27299,69,0.8915064334869385,0.9215999841690063
-14.378315925598145,27349,70,,
-12.740137100219727,27399,70,,
-13.910322189331055,27449,70,,
-12.451583862304688,27499,70,,
-13.962137222290039,27549,70,,
-11.63896369934082,27599,70,,
-13.592747688293457,27649,70,,
,27689,70,0.8057491779327393,0.8154000043869019
-13.22414493560791,27699,71,,
