epoch,train_loss,step,test_acc
0,2.07246470451355,49,
0,2.0231902599334717,99,
0,1.6981111764907837,149,
0,1.8223575353622437,199,
0,1.7385376691818237,249,
0,1.994339942932129,299,
0,1.9777051210403442,349,
0,,389,0.4514000117778778
1,2.513333320617676,399,
1,2.0842649936676025,449,
1,1.9125733375549316,499,
1,1.595702052116394,549,
1,1.8775835037231445,599,
1,1.5807676315307617,649,
1,1.6507935523986816,699,
1,1.2952065467834473,749,
1,,779,0.49709999561309814
2,1.4009718894958496,799,
2,1.8050837516784668,849,
2,1.4293781518936157,899,
2,1.3008975982666016,949,
2,1.4243152141571045,999,
2,1.1358929872512817,1049,
2,1.705080270767212,1099,
2,1.529968023300171,1149,
2,,1169,0.6187999844551086
3,1.0027852058410645,1199,
3,1.800819993019104,1249,
3,1.0571315288543701,1299,
3,1.6399226188659668,1349,
3,1.4436578750610352,1399,
3,0.8426463007926941,1449,
3,1.3301013708114624,1499,
3,1.1207587718963623,1549,
3,,1559,0.646399974822998
4,1.050899624824524,1599,
4,0.8329930305480957,1649,
4,1.5192655324935913,1699,
4,0.34753894805908203,1749,
4,0.2962266206741333,1799,
4,1.450050711631775,1849,
4,1.3415571451187134,1899,
4,0.9896491169929504,1949,
4,,1949,0.6812999844551086
5,0.7160668969154358,1999,
5,0.9578810930252075,2049,
5,0.5973944067955017,2099,
5,1.3014476299285889,2149,
5,1.395716905593872,2199,
5,1.0355515480041504,2249,
5,0.44437217712402344,2299,
5,,2339,0.6891999840736389
6,0.3602297902107239,2349,
6,0.735903263092041,2399,
6,1.0490972995758057,2449,
6,1.1079623699188232,2499,
6,0.05247604846954346,2549,
6,-0.6879850625991821,2599,
6,1.147761583328247,2649,
6,0.7401698231697083,2699,
6,,2729,0.7056000232696533
7,-0.613831639289856,2749,
7,-0.7379155158996582,2799,
7,-0.4196150302886963,2849,
7,-0.5234184861183167,2899,
7,-0.2177431583404541,2949,
7,0.21172285079956055,2999,
7,1.041526436805725,3049,
7,-0.5920308232307434,3099,
7,,3119,0.7089999914169312
8,0.3170202970504761,3149,
8,0.13357901573181152,3199,
8,1.0297328233718872,3249,
8,0.5599919557571411,3299,
8,0.8573095798492432,3349,
8,0.04609692096710205,3399,
8,-0.04845082759857178,3449,
8,-0.380324125289917,3499,
8,,3509,0.7192000150680542
9,0.9546339511871338,3549,
9,-0.9302884340286255,3599,
9,-1.1816884279251099,3649,
9,0.9837397933006287,3699,
