train_loss1,epoch,train_loss2,step,train_acc2,test_acc,train_acc1
0.014108988456428051,0,0.013924101367592812,49,,,
0.013913272880017757,0,0.014118829742074013,99,,,
0.012257763184607029,0,0.012902449816465378,149,,,
0.011122602969408035,0,0.011950256302952766,199,,,
0.012111276388168335,0,0.012703842483460903,249,,,
0.011702034622430801,0,0.011501082219183445,299,,,
0.010671336203813553,0,0.010425476357340813,349,,,
,0,,389,0.39352965354919434,0.545799970626831,0.3982371687889099
0.009550677612423897,1,0.009441313333809376,399,,,
0.010666346177458763,1,0.010258645750582218,449,,,
0.007968682795763016,1,0.008187205530703068,499,,,
0.009936930611729622,1,0.00899935606867075,549,,,
0.010149608366191387,1,0.009778374806046486,599,,,
0.00894213281571865,1,0.008622623048722744,649,,,
0.00789778120815754,1,0.007995476014912128,699,,,
0.008839493617415428,1,0.009237314574420452,749,,,
,1,,779,0.5722756385803223,0.5910000205039978,0.566245973110199
0.007031618617475033,2,0.006911329925060272,799,,,
0.0064521594904363155,2,0.006830292753875256,849,,,
0.006546327844262123,2,0.0070864539593458176,899,,,
0.00813144538551569,2,0.007993682287633419,949,,,
0.007773412857204676,2,0.007820787839591503,999,,,
0.006488403771072626,2,0.007120233960449696,1049,,,
0.007847360335290432,2,0.007693528663367033,1099,,,
0.0071999989449977875,2,0.007621285039931536,1149,,,
,2,,1169,0.641486406326294,0.6830000281333923,0.6415064334869385
0.006724616512656212,3,0.005823937710374594,1199,,,
0.006358676590025425,3,0.006664404179900885,1249,,,
0.00685969227924943,3,0.006772252731025219,1299,,,
0.007051412016153336,3,0.006857681088149548,1349,,,
0.005824354011565447,3,0.0055025662295520306,1399,,,
0.006378589663654566,3,0.007156229577958584,1449,,,
0.004697352182120085,3,0.005485852714627981,1499,,,
0.0052105821669101715,3,0.005828324239701033,1549,,,
,3,,1559,0.6904847621917725,0.7311999797821045,0.6938501596450806
0.005484599154442549,4,0.0060513680800795555,1599,,,
0.003707644995301962,4,0.004594219848513603,1649,,,
0.004589807242155075,4,0.004755729343742132,1699,,,
0.004180161282420158,4,0.003947183024138212,1749,,,
0.005971191450953484,4,0.005906855687499046,1799,,,
0.0038805510848760605,4,0.0037304635625332594,1849,,,
0.0056935143657028675,4,0.004918043501675129,1899,,,
0.0070579154416918755,4,0.006519721355289221,1949,,,
,4,,1949,0.7273237109184265,0.7630000114440918,0.7279447317123413
0.0043341233395040035,5,0.0034175280015915632,1999,,,
0.0045652007684111595,5,0.0034358655102550983,2049,,,
0.0034375551622360945,5,0.0031790107022970915,2099,,,
0.0037217296194285154,5,0.003043673001229763,2149,,,
0.003427274292334914,5,0.003445337526500225,2199,,,
0.0027710755821317434,5,0.0026331786066293716,2249,,,
0.003862084588035941,5,0.0035110570024698973,2299,,,
,5,,2339,0.7461938858032227,0.7788000106811523,0.746254026889801
0.001982070505619049,6,0.0018326452700421214,2349,,,
0.004345604684203863,6,0.005007203668355942,2399,,,
0.001987733645364642,6,0.0018369575263932347,2449,,,
0.00253636809065938,6,0.0023836991749703884,2499,,,
0.003149936906993389,6,0.0032698868308216333,2549,,,
0.0035344534553587437,6,0.0026854309253394604,2599,,,
0.0027119850274175406,6,0.002671222435310483,2649,,,
0.0027763431426137686,6,0.0030257771722972393,2699,,,
,6,,2729,0.7624399065971375,0.7738000154495239,0.7599759697914124
0.0023748453240841627,7,0.0028883020859211683,2749,,,
0.003411229234188795,7,0.0027018054388463497,2799,,,
0.0026054740883409977,7,0.002026895061135292,2849,,,
0.0022160557564347982,7,0.001359686255455017,2899,,,
0.00297146406956017,7,0.002982555190101266,2949,,,
0.0016799282748252153,7,0.002091925824061036,2999,,,
0.0030114620458334684,7,0.0026168853510171175,3049,,,
0.0017035455675795674,7,0.0021156182046979666,3099,,,
