epoch,train_loss,step,train_acc,test_acc
24,,9749,0.8327524065971375,0.8676999807357788
25,-14.294347763061523,9799,,
25,-13.253883361816406,9849,,
25,-13.086764335632324,9899,,
25,-12.975554466247559,9949,,
25,-13.902812004089355,9999,,
25,-13.365922927856445,10049,,
25,-12.092534065246582,10099,,
25,,10139,0.845232367515564,0.8784000277519226
26,-13.0224027633667,10149,,
26,-13.338435173034668,10199,,
26,-12.026350021362305,10249,,
26,-13.651041984558105,10299,,
26,-13.411432266235352,10349,,
26,-13.00814437866211,10399,,
26,-11.635425567626953,10449,,
26,-12.65041732788086,10499,,
26,,10529,0.8526642918586731,0.8888999819755554
27,-14.683399200439453,10549,,
27,-14.68089485168457,10599,,
27,-14.606422424316406,10649,,
27,-13.035831451416016,10699,,
27,-14.60942554473877,10749,,
27,-14.177305221557617,10799,,
27,-14.156097412109375,10849,,
27,-13.395780563354492,10899,,
27,,10919,0.8618789911270142,0.8956000208854675
28,-14.907377243041992,10949,,
28,-14.986176490783691,10999,,
28,-14.35130500793457,11049,,
28,-15.105445861816406,11099,,
28,-14.205283164978027,11149,,
28,-13.073125839233398,11199,,
28,-14.596969604492188,11249,,
28,-14.03103256225586,11299,,
28,,11309,0.8685897588729858,0.9007999897003174
29,-14.312464714050293,11349,,
29,-15.198858261108398,11399,,
29,-13.872047424316406,11449,,
29,-13.292073249816895,11499,,
29,-14.467549324035645,11549,,
29,-14.96247673034668,11599,,
29,-15.332179069519043,11649,,
29,-15.139102935791016,11699,,
29,,11699,0.8731169700622559,0.9074000120162964
30,-12.979410171508789,11749,,
30,-12.927854537963867,11799,,
30,-11.740276336669922,11849,,
30,-12.277745246887207,11899,,
30,-11.304566383361816,11949,,
30,-13.83670425415039,11999,,
30,-11.731409072875977,12049,,
30,,12089,0.7787059545516968,0.7681000232696533
31,-14.196515083312988,12099,,
31,-12.168806076049805,12149,,
31,-13.258092880249023,12199,,
31,-13.269042015075684,12249,,
31,-12.336271286010742,12299,,
31,-11.744377136230469,12349,,
31,-13.321319580078125,12399,,
31,-12.996688842773438,12449,,
31,,12479,0.798557698726654,0.8141999840736389
32,-12.365569114685059,12499,,
32,-12.4663667678833,12549,,
32,-13.04929256439209,12599,,
32,-12.850606918334961,12649,,
32,-10.983567237854004,12699,,
32,-12.671271324157715,12749,,
32,-14.601411819458008,12799,,
32,-13.600375175476074,12849,,
32,,12869,0.8178285360336304,0.8269000053405762
33,-12.745180130004883,12899,,
33,-13.354104995727539,12949,,
33,-12.352823257446289,12999,,
33,-12.376047134399414,13049,,
33,-13.011238098144531,13099,,
33,-12.609476089477539,13149,,
33,-14.165884017944336,13199,,
33,-13.205161094665527,13249,,
33,,13259,0.8318108916282654,0.8396999835968018
