train_loss,epoch,step,val_loss,val_acc,train_acc,test_acc
4.0775041580200195,0,49,,,,
2.513474225997925,0,99,,,,
2.296933650970459,0,149,,,,
2.1724326610565186,0,199,,,,
2.1065924167633057,0,249,,,,
1.9611231088638306,0,299,,,,
,0,311,2.058651924133301,0.23119999468326569,,
,0,311,,,0.16864483058452606,0.2776898741722107
2.009152412414551,1,349,,,,
1.7776716947555542,1,399,,,,
1.7599539756774902,1,449,,,,
1.7718185186386108,1,499,,,,
1.8414589166641235,1,549,,,,
1.885063648223877,1,599,,,,
,1,623,1.782745122909546,0.3319000005722046,,
,1,623,,,0.29539763927459717,0.35532042384147644
1.7826114892959595,2,649,,,,
1.8357383012771606,2,699,,,,
1.698361873626709,2,749,,,,
1.6964735984802246,2,799,,,,
1.7212857007980347,2,849,,,,
1.7288358211517334,2,899,,,,
,2,935,1.6911786794662476,0.3686000108718872,,
,2,935,,,0.3443259298801422,0.3987341821193695
1.556209683418274,3,949,,,,
1.5945221185684204,3,999,,,,
1.7760233879089355,3,1049,,,,
1.491398811340332,3,1099,,,,
1.477765679359436,3,1149,,,,
1.8544397354125977,3,1199,,,,
,3,1247,1.5736316442489624,0.4343000054359436,,
,3,1247,,,0.38433995842933655,0.4358188211917877
1.6282070875167847,4,1249,,,,
1.4874244928359985,4,1299,,,,
1.650235652923584,4,1349,,,,
1.5645971298217773,4,1399,,,,
1.7304530143737793,4,1449,,,,
1.5330852270126343,4,1499,,,,
1.437784194946289,4,1549,,,,
,4,1559,1.4891623258590698,0.460099995136261,,
,4,1559,,,0.4265574812889099,0.48259493708610535
1.4820613861083984,5,1599,,,,
1.4459640979766846,5,1649,,,,
1.3837064504623413,5,1699,,,,
1.4950510263442993,5,1749,,,,
1.4374516010284424,5,1799,,,,
1.3116064071655273,5,1849,,,,
,5,1871,1.4096033573150635,0.49549999833106995,,
,5,1871,,,0.4710286557674408,0.5259097814559937
1.3354742527008057,6,1899,,,,
1.488387942314148,6,1949,,,,
1.2454551458358765,6,1999,,,,
1.4381842613220215,6,2049,,,,
1.5845365524291992,6,2099,,,,
1.4366227388381958,6,2149,,,,
,6,2183,1.3902678489685059,0.5121999979019165,,
,6,2183,,,0.49982473254203796,0.5245253443717957
1.5962783098220825,7,2199,,,,
1.3584171533584595,7,2249,,,,
1.4802252054214478,7,2299,,,,
1.4510712623596191,7,2349,,,,
1.3247551918029785,7,2399,,,,
1.4623302221298218,7,2449,,,,
,7,2495,1.2940133810043335,0.5507000088691711,,
,7,2495,,,0.5187550187110901,0.5808939933776855
1.407716155052185,8,2499,,,,
1.262752652168274,8,2549,,,,
1.3174233436584473,8,2599,,,,
1.1744142770767212,8,2649,,,,
1.1438939571380615,8,2699,,,,
1.2631937265396118,8,2749,,,,
1.339499592781067,8,2799,,,,
,8,2807,1.2812116146087646,0.5609999895095825,,
,8,2807,,,0.5523838400840759,0.5864319801330566
1.319760799407959,9,2849,,,,
1.1676088571548462,9,2899,,,,
1.1140562295913696,9,2949,,,,
1.3356012105941772,9,2999,,,,
1.20052170753479,9,3049,,,,
1.2744638919830322,9,3099,,,,
,9,3119,1.2584458589553833,0.578499972820282,,
,9,3119,,,0.5687850713729858,0.628757894039154
1.4116731882095337,10,3149,,,,
1.1437842845916748,10,3199,,,,
1.0741914510726929,10,3249,,,,
1.1375887393951416,10,3299,,,,
1.3305847644805908,10,3349,,,,
0.9595968127250671,10,3399,,,,
,10,3431,1.3473745584487915,0.5529000163078308,,
,10,3431,,,0.5933994650840759,0.605320394039154
1.0883800983428955,11,3449,,,,
1.3218051195144653,11,3499,,,,
1.3987053632736206,11,3549,,,,
1.264011025428772,11,3599,,,,
1.1386163234710693,11,3649,,,,
1.2431461811065674,11,3699,,,,
,11,3743,1.1985514163970947,0.6025999784469604,,
,11,3743,,,0.6010617017745972,0.6464596390724182
1.150552749633789,12,3749,,,,
1.1316897869110107,12,3799,,,,
1.2241907119750977,12,3849,,,,
1.0490819215774536,12,3899,,,,
1.2512136697769165,12,3949,,,,
1.234534502029419,12,3999,,,,
1.0859977006912231,12,4049,,,,
,12,4055,1.1185044050216675,0.6279000043869019,,
,12,4055,,,0.6122546195983887,0.6484375
1.143560528755188,13,4099,,,,
1.1163609027862549,13,4149,,,,
1.1464900970458984,13,4199,,,,
1.2727478742599487,13,4249,,,,
1.2864233255386353,13,4299,,,,
1.2419030666351318,13,4349,,,,
,13,4367,1.1627765893936157,0.609000027179718,,
,13,4367,,,0.6251752972602844,0.6619857549667358
0.9786787629127502,14,4399,,,,
1.1678016185760498,14,4449,,,,
1.0096126794815063,14,4499,,,,
1.0220195055007935,14,4549,,,,
1.0290149450302124,14,4599,,,,
0.942474901676178,14,4649,,,,
,14,4679,1.1239286661148071,0.6330999732017517,,
,14,4679,,,0.6400490999221802,0.6733583807945251
0.9314790368080139,15,4699,,,,
1.0341696739196777,15,4749,,,,
1.1154747009277344,15,4799,,,,
1.2815022468566895,15,4849,,,,
1.0595279932022095,15,4899,,,,
1.0402212142944336,15,4949,,,,
,15,4991,1.2241815328598022,0.6207000017166138,,
,15,4991,,,0.6468600034713745,0.6721716523170471
0.9669460654258728,16,4999,,,,
1.1167417764663696,16,5049,,,,
1.0678960084915161,16,5099,,,,
1.0313445329666138,16,5149,,,,
1.013373613357544,16,5199,,,,
0.9421772360801697,16,5249,,,,
1.1150717735290527,16,5299,,,,
,16,5303,1.0810898542404175,0.6363999843597412,,
,16,5303,,,0.6513171195983887,0.6916534900665283
0.9126091599464417,17,5349,,,,
